row,decision,reason,proposed_fact,proposed_probe,proposed_target
9,fix,Factual drift and awkward causality around standing and jurisdiction.,"In America First Legal Foundation v. Jamieson Greer, before reaching the merits, the court said it had to consider whether AFL satisfied the requirements for Article III standing because that question bore on the district court’s subject-matter jurisdiction.","In America First Legal Foundation v. Jamieson Greer, before reaching the merits, the court said it had to consider whether AFL satisfied the requirements for",Article III standing.
13,fix,"Truncates the required injury standard; source requires injury to a concrete, particularized interest.","According to the opinion in America First Legal Foundation v. Jamieson Greer, when plaintiffs invoke the relaxed standing rules for alleged procedural injuries, they must show that the violation of a procedural right resulted in injury to some concrete, particularized interest.","According to the opinion in America First Legal Foundation v. Jamieson Greer, when plaintiffs invoke the relaxed standing rules for alleged procedural injuries, they must show that the violation of a procedural right resulted in injury to some","concrete, particularized interest."
15,fix,Reframes a standing holding as failure to establish the interest itself.,"According to the opinion in America First Legal Foundation v. Jamieson Greer, after analyzing AFL’s theory that OSC’s failure to investigate prevented AFL from obtaining records requested from DOJ through FOIA, the court said AFL could not establish standing based on its interest in that information.","According to the opinion in America First Legal Foundation v. Jamieson Greer, after analyzing AFL’s theory that OSC’s failure to investigate prevented AFL from obtaining records requested from DOJ through FOIA, the court said AFL could not establish",standing based on its interest in that information.
21,fix,"Question asks who is notified, but current target includes extra material and is poorly targeted.","According to the opinion in America First Legal Foundation v. Jamieson Greer, Section 1214 includes provisions for notifying the complaining party about the progress of an investigation.","According to the opinion in America First Legal Foundation v. Jamieson Greer, Section 1214 includes provisions for notifying",the complaining party about the progress of an investigation.
36,fix,Poorly written and not self-contained; strips out the statutory relation.,"In America First Legal Foundation v. Jamieson Greer, the district court concluded that section 552(a)(4)(F)(i) does not limit OSC’s power to investigate alleged FOIA violations under section 1216.","In America First Legal Foundation v. Jamieson Greer, the district court concluded that OSC’s power to investigate alleged FOIA violations under section 1216 is not limited by",section 552(a)(4)(F)(i).
37,fix,Duplicated wording (“that that”) makes the row low quality.,"In America First Legal Foundation v. Jamieson Greer, where the district court held that 5 U.S.C. § 552(a)(4)(F)(i) does not limit the Office of Special Counsel’s authority to investigate alleged FOIA violations, the opinion states that this investigative power arises under section 1216.","In America First Legal Foundation v. Jamieson Greer, where the district court held that 5 U.S.C. § 552(a)(4)(F)(i) does not limit the Office of Special Counsel’s authority to investigate alleged FOIA violations, the opinion states that this investigative power arises under",section 1216.
42,fix,Hard to parse although substantively correct.,"According to the opinion in America First Legal Foundation v. Jamieson Greer, for Article III standing an injury must be concrete and particularized, and it also must be actual or imminent, not conjectural or hypothetical.","According to the opinion in America First Legal Foundation v. Jamieson Greer, for Article III standing an injury must be concrete and particularized, and it also must be","actual or imminent, not conjectural or hypothetical."
43,fix,Malformed fact and awkward colon-ending probe.,"In America First Legal Foundation v. Jamieson Greer, a plaintiff must allege facts plausibly supporting each element of Article III standing at the motion-to-dismiss stage.","In America First Legal Foundation v. Jamieson Greer, a plaintiff must allege facts plausibly supporting each element of Article III standing at",the motion-to-dismiss stage.
56,fix,Fact is not a complete sentence and probe is awkwardly anchored.,"In America First Legal Foundation v. Jamieson Greer, the court said that any causal connection between OSC’s failure to conduct a section 1216 investigation and DOJ’s failure to comply with the FOIA request was too speculative and attenuated to support Article III standing.","In America First Legal Foundation v. Jamieson Greer, the court said that any causal connection between OSC’s failure to conduct a section 1216 investigation and DOJ’s failure to comply with the FOIA request was too speculative and attenuated to support",Article III standing.
70,fix,Sentence-fragmentary and does not state the proposition cleanly.,"In America First Legal Foundation v. Jamieson Greer, the court said that even if 5 U.S.C. § 1216(a)(3) requires the Office of Special Counsel to investigate, that provision concerns FOIA violations.","In America First Legal Foundation v. Jamieson Greer, the court said that even if 5 U.S.C. § 1216(a)(3) requires the Office of Special Counsel to investigate, that provision concerns",FOIA violations.
