target,probe,fact,inference_type,source_fact(s),derivation,question,answer,source_facts,text_sentences
 partial renal recovery,"According to the case report 'From dog bite to dialysis: complement-mediated haemolytic uraemic syndrome', since she went from complete anuria to adequate urine output but still had reduced kidney function, the overall renal outcome was","According to the case report 'From dog bite to dialysis: complement-mediated haemolytic uraemic syndrome', since she went from complete anuria to adequate urine output but still had reduced kidney function, the overall renal outcome was partial renal recovery",Multi-Fact Integration,"['After transfer to the ICU, she became completely anuric with rapidly worsening renal function.', 'Following the complex medical management, the patient is in good general condition with adequate urine output. Kidney function remains reduced (serum creatine 175\u2009µmol/L)', 'haematological remission was achieved, and her kidney function partially recovered.']",Going from complete anuria to adequate urine output but still reduced kidney function fits the report’s overall outcome of incomplete yet real renal improvement.,"Since she went from complete anuria to adequate urine output but still had reduced kidney function, what overall renal outcome followed?",partial renal recovery,"['After transfer to the ICU, she became completely anuric with rapidly worsening renal function.', 'Following the complex medical management, the patient is in good general condition with adequate urine output. Kidney function remains reduced (serum creatine 175\u2009µmol/L)', 'haematological remission was achieved, and her kidney function partially recovered.']","['After transfer to the ICU, she became completely anuric with rapidly worsening renal function.', 'Following the complex medical management, the patient is in good general condition with adequate urine output. Kidney function remains reduced (serum creatine 175\u2009µmol/L)', 'haematological remission was achieved, and her kidney function partially recovered.']"
 acute leukaemia,"According to the case report 'From dog bite to dialysis: complement-mediated haemolytic uraemic syndrome', the planned haematologic explanation that lost support when flow cytometry was normal and the bone marrow biopsy was cancelled was","According to the case report 'From dog bite to dialysis: complement-mediated haemolytic uraemic syndrome', the planned haematologic explanation that lost support when flow cytometry was normal and the bone marrow biopsy was cancelled was acute leukaemia",Multi-Fact Integration,"['The differential diagnoses included acute leukaemia and haemophagocytic lymphohistiocytosis.', 'Flow cytometry was performed, and bone marrow biopsy planned; however, normal results—with no increase in CD34+ blasts\u2009or abnormal phenotypes—led to cancellation of the biopsy.']",Normal flow cytometry with no excess blasts removed support for the malignancy-based differential that had prompted marrow evaluation.,Which planned haematologic explanation lost support when flow cytometry was normal and the bone marrow biopsy was cancelled?,acute leukaemia,"['The differential diagnoses included acute leukaemia and haemophagocytic lymphohistiocytosis.', 'Flow cytometry was performed, and bone marrow biopsy planned; however, normal results—with no increase in CD34+ blasts\u2009or abnormal phenotypes—led to cancellation of the biopsy.']","['The differential diagnoses included acute leukaemia and haemophagocytic lymphohistiocytosis.', 'Flow cytometry was performed, and bone marrow biopsy planned; however, normal results—with no increase in CD34+ blasts\u2009or abnormal phenotypes—led to cancellation of the biopsy.']"
 eculizumab discontinuation,"According to the case report 'From dog bite to dialysis: complement-mediated haemolytic uraemic syndrome', because no pathogenic complement gene variants were found, if renal function stabilises, the planned reassessment would be for","According to the case report 'From dog bite to dialysis: complement-mediated haemolytic uraemic syndrome', because no pathogenic complement gene variants were found, if renal function stabilises, the planned reassessment would be for eculizumab discontinuation",Reasoning Step,"['Based on this information, complement blockade is being continued due to the severity of her disease, with planned reassessment for discontinuation if renal function stabilises.', 'Identification of pathogenic complement gene abnormalities would favour longer term therapy with close monitoring for relapse. However, no such variants were identified in this patient.']","Because longer-term therapy would be favored by pathogenic variants and none were found, stopping treatment later remains a possible option if renal function stabilises.","Because no pathogenic complement gene variants were found, what future management option remains possible if renal function stabilises?",eculizumab discontinuation,"['Based on this information, complement blockade is being continued due to the severity of her disease, with planned reassessment for discontinuation if renal function stabilises.', 'Identification of pathogenic complement gene abnormalities would favour longer term therapy with close monitoring for relapse. However, no such variants were identified in this patient.']","['Based on this information, complement blockade is being continued due to the severity of her disease, with planned reassessment for discontinuation if renal function stabilises.', 'Identification of pathogenic complement gene abnormalities would favour longer term therapy with close monitoring for relapse. However, no such variants were identified in this patient.']"
 CM-HUS,"According to the case report 'From dog bite to dialysis: complement-mediated haemolytic uraemic syndrome', when TMA was shown on smear and kidney biopsy, while both TTP and STEC-HUS were ruled out, the final diagnosis most supported was","According to the case report 'From dog bite to dialysis: complement-mediated haemolytic uraemic syndrome', when TMA was shown on smear and kidney biopsy, while both TTP and STEC-HUS were ruled out, the final diagnosis most supported was CM-HUS",Multi-Fact Integration,"['A peripheral blood smear revealed 15%–20% schistocytes, consistent with MAHA suggestive of TMA (figure 2).', 'Once the thrombocyte count had increased to 77×10⁹/L, a kidney biopsy was performed showing severe acute tubular necrosis, ischaemic glomeruli with fibrin thrombi and scattered crescent formation, consistent with TMA.', 'Shiga toxin-producing E. coli-associated HUS (STEC-HUS) was ruled out on the basis of a negative stool PCR analysis.', 'ADAMTS13 activity was reported shortly after, at 43.5%, effectively ruling out thrombotic thrombocytopenic purpura (TTP), as TTP typically presents with activity below 10%.']","If TMA was shown on smear and biopsy while TTP and STEC-HUS were ruled out, the remaining diagnosis supported by the report is CM-HUS.","When TMA was shown on smear and kidney biopsy, while both TTP and STEC-HUS were ruled out, which final diagnosis was most supported?",CM-HUS,"['A peripheral blood smear revealed 15%–20% schistocytes, consistent with MAHA suggestive of TMA (figure 2).', 'Once the thrombocyte count had increased to 77×10⁹/L, a kidney biopsy was performed showing severe acute tubular necrosis, ischaemic glomeruli with fibrin thrombi and scattered crescent formation, consistent with TMA.', 'Shiga toxin-producing E. coli-associated HUS (STEC-HUS) was ruled out on the basis of a negative stool PCR analysis.', 'ADAMTS13 activity was reported shortly after, at 43.5%, effectively ruling out thrombotic thrombocytopenic purpura (TTP), as TTP typically presents with activity below 10%.']","['A peripheral blood smear revealed 15%–20% schistocytes, consistent with MAHA suggestive of TMA (figure 2).', 'Once the thrombocyte count had increased to 77×10⁹/L, a kidney biopsy was performed showing severe acute tubular necrosis, ischaemic glomeruli with fibrin thrombi and scattered crescent formation, consistent with TMA.', 'Shiga toxin-producing E. coli-associated HUS (STEC-HUS) was ruled out on the basis of a negative stool PCR analysis.', 'ADAMTS13 activity was reported shortly after, at 43.5%, effectively ruling out thrombotic thrombocytopenic purpura (TTP), as TTP typically presents with activity below 10%.']"
 MAHA suggestive of TMA,"According to the case report 'From dog bite to dialysis: complement-mediated haemolytic uraemic syndrome', after corticosteroids failed and the repeat DAT was negative, the explanation that best fit the patient’s haemolysis was","According to the case report 'From dog bite to dialysis: complement-mediated haemolytic uraemic syndrome', after corticosteroids failed and the repeat DAT was negative, the explanation that best fit the patient’s haemolysis was MAHA suggestive of TMA",Multi-Fact Integration,"['A direct antiglobulin test (DAT) (Coombs test) was positive for IgG, raising suspicion of autoimmune haemolytic anaemia.', 'When the haemolytic process failed to respond to corticosteroid therapy and platelets remained low (41–46\u2009× 10⁹/L), further evaluation was warranted.', 'A peripheral blood smear revealed 15%–20% schistocytes, consistent with MAHA suggestive of TMA (figure 2).', 'The initial DAT was likely a false positive from penicillin or prior transfusions; repeat testing was negative.']","Because steroids did not help, the repeat DAT was negative, and schistocytes showed MAHA, the haemolysis fit TMA rather than autoimmune haemolytic anaemia.","After corticosteroids failed and the repeat DAT was negative, what explanation best fit the patient’s haemolysis?",MAHA suggestive of TMA,"['A direct antiglobulin test (DAT) (Coombs test) was positive for IgG, raising suspicion of autoimmune haemolytic anaemia.', 'When the haemolytic process failed to respond to corticosteroid therapy and platelets remained low (41–46\u2009× 10⁹/L), further evaluation was warranted.', 'A peripheral blood smear revealed 15%–20% schistocytes, consistent with MAHA suggestive of TMA (figure 2).', 'The initial DAT was likely a false positive from penicillin or prior transfusions; repeat testing was negative.']","['A direct antiglobulin test (DAT) (Coombs test) was positive for IgG, raising suspicion of autoimmune haemolytic anaemia.', 'When the haemolytic process failed to respond to corticosteroid therapy and platelets remained low (41–46\u2009× 10⁹/L), further evaluation was warranted.', 'A peripheral blood smear revealed 15%–20% schistocytes, consistent with MAHA suggestive of TMA (figure 2).', 'The initial DAT was likely a false positive from penicillin or prior transfusions; repeat testing was negative.']"
 DIC secondary to bacteraemia,"According to the case report 'From dog bite to dialysis: complement-mediated haemolytic uraemic syndrome', before overt haemolysis developed, the explanation that fit the admission picture better than HUS was","According to the case report 'From dog bite to dialysis: complement-mediated haemolytic uraemic syndrome', before overt haemolysis developed, the explanation that fit the admission picture better than HUS was DIC secondary to bacteraemia",Multi-Fact Integration,"['Given her constellation of symptoms—including fever, pancytopenia, coagulopathy with AKI and lactic acidosis—her condition was interpreted as DIC secondary to bacteraemia and early sepsis (quick Sequential Organ Failure Assessment (qSOFA) score 1/3).', 'Haemolytic uraemic syndrome (HUS) was also considered but seemed unlikely due to leukopaenia, inflammatory markers, normal haptoglobin and non-compensatory reticulocytes.']","Because HUS was considered less likely while the admission syndrome was explicitly interpreted as sepsis-related DIC, the initial picture fit DIC secondary to bacteraemia better.","Before overt haemolysis developed, which explanation fit the admission picture better than HUS?",DIC secondary to bacteraemia,"['Given her constellation of symptoms—including fever, pancytopenia, coagulopathy with AKI and lactic acidosis—her condition was interpreted as DIC secondary to bacteraemia and early sepsis (quick Sequential Organ Failure Assessment (qSOFA) score 1/3).', 'Haemolytic uraemic syndrome (HUS) was also considered but seemed unlikely due to leukopaenia, inflammatory markers, normal haptoglobin and non-compensatory reticulocytes.']","['Given her constellation of symptoms—including fever, pancytopenia, coagulopathy with AKI and lactic acidosis—her condition was interpreted as DIC secondary to bacteraemia and early sepsis (quick Sequential Organ Failure Assessment (qSOFA) score 1/3).', 'Haemolytic uraemic syndrome (HUS) was also considered but seemed unlikely due to leukopaenia, inflammatory markers, normal haptoglobin and non-compensatory reticulocytes.']"
 STEC-HUS,"According to the case report 'From dog bite to dialysis: complement-mediated haemolytic uraemic syndrome', the alternative HUS aetiology argued against by both the stool PCR result and the lack of prodromal enteric illness was","According to the case report 'From dog bite to dialysis: complement-mediated haemolytic uraemic syndrome', the alternative HUS aetiology argued against by both the stool PCR result and the lack of prodromal enteric illness was STEC-HUS",Multi-Fact Integration,"['Shiga toxin-producing E. coli-associated HUS (STEC-HUS) was ruled out on the basis of a negative stool PCR analysis.', 'Thus, the absence of prodromal enteric illness and negative microbiological testing argues against STEC-HUS.']",Both the negative stool PCR and lack of enteric prodrome point away from the same competing HUS cause.,Which alternative HUS aetiology was argued against by both the stool PCR result and the lack of prodromal enteric illness?,STEC-HUS,"['Shiga toxin-producing E. coli-associated HUS (STEC-HUS) was ruled out on the basis of a negative stool PCR analysis.', 'Thus, the absence of prodromal enteric illness and negative microbiological testing argues against STEC-HUS.']","['Shiga toxin-producing E. coli-associated HUS (STEC-HUS) was ruled out on the basis of a negative stool PCR analysis.', 'Thus, the absence of prodromal enteric illness and negative microbiological testing argues against STEC-HUS.']"
 severity of her disease,"According to the case report 'From dog bite to dialysis: complement-mediated haemolytic uraemic syndrome', with no pathogenic complement variants found, the current reason supporting ongoing eculizumab is the","According to the case report 'From dog bite to dialysis: complement-mediated haemolytic uraemic syndrome', with no pathogenic complement variants found, the current reason supporting ongoing eculizumab is the severity of her disease",Reasoning Step,"['Based on this information, complement blockade is being continued due to the severity of her disease, with planned reassessment for discontinuation if renal function stabilises.', 'Identification of pathogenic complement gene abnormalities would favour longer term therapy with close monitoring for relapse. However, no such variants were identified in this patient.']","Since no pathogenic variants were found, the stated reason for ongoing therapy is disease severity rather than inherited risk.","With no pathogenic complement variants found, what current reason supports ongoing eculizumab?",severity of her disease,"['Based on this information, complement blockade is being continued due to the severity of her disease, with planned reassessment for discontinuation if renal function stabilises.', 'Identification of pathogenic complement gene abnormalities would favour longer term therapy with close monitoring for relapse. However, no such variants were identified in this patient.']","['Based on this information, complement blockade is being continued due to the severity of her disease, with planned reassessment for discontinuation if renal function stabilises.', 'Identification of pathogenic complement gene abnormalities would favour longer term therapy with close monitoring for relapse. However, no such variants were identified in this patient.']"
 TTP,"In the case report 'From dog bite to dialysis: complement-mediated haemolytic uraemic syndrome', combining a PLASMIC score of 4/7 with ADAMTS13 activity of 43.5%, the diagnosis that became unlikely was","In the case report 'From dog bite to dialysis: complement-mediated haemolytic uraemic syndrome', combining a PLASMIC score of 4/7 with ADAMTS13 activity of 43.5%, the diagnosis that became unlikely was TTP",Multi-Fact Integration,"['Our patient’s PLASMIC score was 4/7 (low pretest probability of TTP), and ADAMTS13 activity was 43.5%, making TTP unlikely and guiding further diagnostic workup.']",A low PLASMIC score plus ADAMTS13 activity far from the report's severe deficiency range together make thrombotic thrombocytopenic purpura unlikely.,"Combining a PLASMIC score of 4/7 with ADAMTS13 activity of 43.5%, which diagnosis became unlikely?",TTP,"['Our patient’s PLASMIC score was 4/7 (low pretest probability of TTP), and ADAMTS13 activity was 43.5%, making TTP unlikely and guiding further diagnostic workup.']","['Our patient’s PLASMIC score was 4/7 (low pretest probability of TTP), and ADAMTS13 activity was 43.5%, making TTP unlikely and guiding further diagnostic workup.']"
 TMA,"According to the case report 'From dog bite to dialysis: complement-mediated haemolytic uraemic syndrome', a kidney biopsy showed severe acute tubular necrosis, ischaemic glomeruli with fibrin thrombi and scattered crescent formation, consistent with","According to the case report 'From dog bite to dialysis: complement-mediated haemolytic uraemic syndrome', a kidney biopsy showed severe acute tubular necrosis, ischaemic glomeruli with fibrin thrombi and scattered crescent formation, consistent with TMA",Multi-Fact Integration,"['a kidney biopsy was performed showing severe acute tubular necrosis, ischaemic glomeruli with fibrin thrombi and scattered crescent formation, consistent with TMA.', 'Immunofluorescence and electron microscopy are not shown, as immunofluorescence revealed no immune complex deposition and electron microscopy demonstrated no evidence of primary glomerulopathy.']","The biopsy showed TMA-compatible thrombi while specifically lacking evidence of immune-complex or primary glomerular disease, so the renal lesion was attributed to TMA.","In the kidney, what lesion did the report support instead of a primary glomerulopathy?",TMA,"['a kidney biopsy was performed showing severe acute tubular necrosis, ischaemic glomeruli with fibrin thrombi and scattered crescent formation, consistent with TMA.', 'Immunofluorescence and electron microscopy are not shown, as immunofluorescence revealed no immune complex deposition and electron microscopy demonstrated no evidence of primary glomerulopathy.']","['a kidney biopsy was performed showing severe acute tubular necrosis, ischaemic glomeruli with fibrin thrombi and scattered crescent formation, consistent with TMA.', 'Immunofluorescence and electron microscopy are not shown, as immunofluorescence revealed no immune complex deposition and electron microscopy demonstrated no evidence of primary glomerulopathy.']"
