row,decision,reason,proposed_fact,proposed_probe,proposed_target
10,fix,Adds unsupported “handwritten authentication” wording.,"In Williams v. GoAuto Insurance Company, the court concluded that Louisiana law does not require a signature on the notice sent by the premium finance company to the insurer.","In Williams v. GoAuto Insurance Company, the court concluded that Louisiana law does not require the notice sent by the premium finance company to the insurer to include",a signature.
12,fix,"Source says GoAuto never received a cancellation request, not notice of one.","In Williams v. GoAuto Insurance Company, the Plaintiffs contended that GoAuto never received a cancellation request.","In Williams v. GoAuto Insurance Company, the Plaintiffs contended that GoAuto never received",a cancellation request.
13,fix,Incorrectly says the insurer cancels on behalf of the premium finance company.,"According to the opinion in Williams v. GoAuto Insurance Company, the Louisiana statute provides that when the insurer receives the notice of cancellation and statement from the premium finance company, it may treat the cancellation as requested and proceed to cancel the policy.","According to the opinion in Williams v. GoAuto Insurance Company, the Louisiana statute provides that when the insurer receives the notice of cancellation and statement, those documents must come from",the premium finance company.
21,fix,Confused appellate framing; sentence says it was on appeal from the Fifth Circuit.,"In Williams v. GoAuto Insurance Company, the district court held there was no statutory violation and dismissed all claims with prejudice.","In Williams v. GoAuto Insurance Company, the district court held",there was no statutory violation.
24,fix,Improper capitalization and awkward phrasing.,"According to the opinion in Williams v. GoAuto Insurance Company, Plaintiff Nicholas Jenkins was involved in an accident with a third GoAuto insured who was not a party to the case.","According to the opinion in Williams v. GoAuto Insurance Company, Plaintiff Nicholas Jenkins was involved in an accident with","a third GoAuto insured, not a party here."
38,fix,Slight factual drift in timing clause.,"In Williams v. GoAuto Insurance Company, GoAuto’s process included APAC sending notice to an insured who failed to make timely payment, and the notice stated that the policy would be cancelled if no payment was submitted within ten days.","In Williams v. GoAuto Insurance Company, GoAuto’s process included APAC sending notice to an insured who failed to make timely payment, and the notice stated that the policy would be cancelled if no payment was submitted",within ten days.
41,fix,Current target just repeats the clause instead of naming the enclosed item.,"According to the opinion in Williams v. GoAuto Insurance Company, APAC’s request for cancellation states that the enclosed documents are copies of the notices.","According to the opinion in Williams v. GoAuto Insurance Company, APAC’s request for cancellation states that certain documents are enclosed with the request. What documents are enclosed?",copies of the notices.
54,fix,"Opinion is by the Fifth Circuit, not “the Louisiana court.”","In Williams v. GoAuto Insurance Company, the Fifth Circuit said it saw no reason that a company could not certify information without a named employee being identified, absent clearer Louisiana authority.","In Williams v. GoAuto Insurance Company, the Fifth Circuit said it saw no reason that a company could not certify information without a named employee being identified, absent",clearer Louisiana authority.
60,fix,Statutory subsection citation is wrong.,"In Williams v. GoAuto Insurance Company, under La. Rev. Stat. § 9:3550(G)(3)(b)(i), upon receipt of the notice of cancellation and statement from the premium finance company, the insurer may proceed to cancel such contract.","In Williams v. GoAuto Insurance Company, under La. Rev. Stat. § 9:3550(G)(3)(b)(i), upon receipt of the notice of cancellation and statement from the premium finance company, the insurer may proceed to",cancel such contract.
62,fix,Awkward capitalization and clumsy sentence.,"In Williams v. GoAuto Insurance Company, the Plaintiffs argued that since 2017 GoAuto had not received the requests because the employee who affixes the stamp is an APAC employee.","In Williams v. GoAuto Insurance Company, the Plaintiffs argued that GoAuto had not received the requests because the employee who affixes the stamp is an APAC employee, and they said this had been true",since 2017.
69,fix,Awkward “relevant system” phrasing and less self-contained than necessary.,"According to the opinion in Williams v. GoAuto Insurance Company, once the e-mailed notice is received in the early morning hours by GoAuto’s computer system, that computer system cancels the policy.","According to the opinion in Williams v. GoAuto Insurance Company, once the e-mailed notice is received in the early morning hours by GoAuto’s computer system, the policy is canceled by",GoAuto’s computer system.
