index	decision	reason
0	keep	No leakage detected; acceptable wording.
1	keep	No leakage detected; acceptable wording.
2	keep	No leakage detected; acceptable wording.
3	fix	"Awkward trailing phrase (""including"") makes completion clunky."
4	keep	No leakage detected; acceptable wording.
5	keep	No leakage detected; acceptable wording.
6	keep	No leakage detected; acceptable wording.
7	keep	No leakage detected; acceptable wording.
8	keep	No leakage detected; acceptable wording.
9	keep	No leakage detected; acceptable wording.
10	keep	No leakage detected; acceptable wording.
11	keep	No leakage detected; acceptable wording.
12	keep	No leakage detected; acceptable wording.
13	keep	No leakage detected; acceptable wording.
14	keep	No leakage detected; acceptable wording.
15	keep	No leakage detected; acceptable wording.
16	keep	No leakage detected; acceptable wording.
17	keep	No leakage detected; acceptable wording.
18	keep	No leakage detected; acceptable wording.
19	keep	No leakage detected; acceptable wording.
20	keep	No leakage detected; acceptable wording.
21	keep	No leakage detected; acceptable wording.
22	keep	No leakage detected; acceptable wording.
23	keep	No leakage detected; acceptable wording.
24	keep	No leakage detected; acceptable wording.
25	drop	Factual error: claims corticosteroids were used; source says no systemic corticosteroids or other immunosuppressants were used.
26	fix	"Ungrammatical segment (""during that period of"") could be rewritten cleanly."
27	keep	No leakage detected; acceptable wording.
28	keep	No leakage detected; acceptable wording.
29	keep	No leakage detected; acceptable wording.
30	keep	No leakage detected; acceptable wording.
31	keep	No leakage detected; acceptable wording.
32	keep	No leakage detected; acceptable wording.
33	fix	"Awkward terminal preposition (""in"") before answer."
34	keep	No leakage detected; acceptable wording.
35	keep	No leakage detected; acceptable wording.
36	keep	No leakage detected; acceptable wording.
37	keep	No leakage detected; acceptable wording.
38	fix	Colon construction is awkward and semantically clunky.
39	keep	No leakage detected; acceptable wording.
40	keep	No leakage detected; acceptable wording.
41	keep	No leakage detected; acceptable wording.
42	keep	No leakage detected; acceptable wording.
43	keep	No leakage detected; acceptable wording.
44	keep	No leakage detected; acceptable wording.
45	keep	No leakage detected; acceptable wording.
46	keep	No leakage detected; acceptable wording.
47	keep	No leakage detected; acceptable wording.
48	keep	No leakage detected; acceptable wording.
49	keep	No leakage detected; acceptable wording.
50	keep	No leakage detected; acceptable wording.
51	keep	No leakage detected; acceptable wording.
52	keep	No leakage detected; acceptable wording.
53	keep	No leakage detected; acceptable wording.
54	keep	No leakage detected; acceptable wording.
55	keep	No leakage detected; acceptable wording.
56	keep	No leakage detected; acceptable wording.
57	keep	No leakage detected; acceptable wording.
58	keep	No leakage detected; acceptable wording.
59	keep	No leakage detected; acceptable wording.
60	fix	Target contains trailing comma; wording can be tightened.
61	keep	No leakage detected; acceptable wording.
62	keep	No leakage detected; acceptable wording.
63	keep	No leakage detected; acceptable wording.
64	keep	No leakage detected; acceptable wording.
65	keep	No leakage detected; acceptable wording.
66	keep	No leakage detected; acceptable wording.
67	keep	No leakage detected; acceptable wording.
68	keep	No leakage detected; acceptable wording.
69	keep	No leakage detected; acceptable wording.
70	keep	No leakage detected; acceptable wording.
71	keep	No leakage detected; acceptable wording.
72	keep	No leakage detected; acceptable wording.
73	keep	No leakage detected; acceptable wording.
74	keep	No leakage detected; acceptable wording.
75	keep	No leakage detected; acceptable wording.
76	keep	No leakage detected; acceptable wording.
77	keep	No leakage detected; acceptable wording.
78	keep	No leakage detected; acceptable wording.
79	drop	Factual error: says neck stiffness was present; source says no neck stiffness.
80	keep	No leakage detected; acceptable wording.
81	keep	No leakage detected; acceptable wording.
82	keep	No leakage detected; acceptable wording.
83	keep	No leakage detected; acceptable wording.
84	keep	No leakage detected; acceptable wording.
85	keep	No leakage detected; acceptable wording.
86	keep	No leakage detected; acceptable wording.
87	keep	No leakage detected; acceptable wording.
88	keep	No leakage detected; acceptable wording.
89	keep	No leakage detected; acceptable wording.
90	keep	No leakage detected; acceptable wording.
91	keep	No leakage detected; acceptable wording.
92	keep	No leakage detected; acceptable wording.
93	keep	No leakage detected; acceptable wording.
94	keep	No leakage detected; acceptable wording.
95	keep	No leakage detected; acceptable wording.
96	keep	No leakage detected; acceptable wording.
97	keep	No leakage detected; acceptable wording.
98	fix	Repetitive phrasing around genital aphthosis and points.
99	keep	No leakage detected; acceptable wording.
100	keep	No leakage detected; acceptable wording.
101	keep	No leakage detected; acceptable wording.
102	keep	No leakage detected; acceptable wording.
103	keep	No leakage detected; acceptable wording.
104	keep	No leakage detected; acceptable wording.
105	keep	No leakage detected; acceptable wording.
106	keep	No leakage detected; acceptable wording.
107	keep	No leakage detected; acceptable wording.
108	keep	No leakage detected; acceptable wording.
109	drop	"Poorly formed target/time expression (""On day 8,"") makes cloze unnatural."
110	keep	No leakage detected; acceptable wording.
111	drop	"Placeholder title (""..."") and awkward phrasing; low-quality probe text."
112	keep	No leakage detected; acceptable wording.
113	keep	No leakage detected; acceptable wording.
114	keep	No leakage detected; acceptable wording.
115	keep	No leakage detected; acceptable wording.
116	keep	No leakage detected; acceptable wording.
117	keep	No leakage detected; acceptable wording.
118	keep	No leakage detected; acceptable wording.
119	keep	No leakage detected; acceptable wording.
120	keep	No leakage detected; acceptable wording.
121	keep	No leakage detected; acceptable wording.
122	keep	No leakage detected; acceptable wording.
123	keep	No leakage detected; acceptable wording.
124	keep	No leakage detected; acceptable wording.
125	keep	No leakage detected; acceptable wording.
126	keep	No leakage detected; acceptable wording.
127	keep	No leakage detected; acceptable wording.
128	keep	No leakage detected; acceptable wording.
129	keep	No leakage detected; acceptable wording.
130	keep	No leakage detected; acceptable wording.
131	keep	No leakage detected; acceptable wording.
132	keep	No leakage detected; acceptable wording.
133	keep	No leakage detected; acceptable wording.
134	drop	"Malformed target phrase (""sIL-2R as screening investigations"") is not a clean answer span."
135	keep	No leakage detected; acceptable wording.
136	keep	No leakage detected; acceptable wording.
137	keep	No leakage detected; acceptable wording.
138	keep	No leakage detected; acceptable wording.
139	keep	No leakage detected; acceptable wording.
140	keep	No leakage detected; acceptable wording.
141	keep	No leakage detected; acceptable wording.
142	keep	No leakage detected; acceptable wording.
143	keep	No leakage detected; acceptable wording.
144	keep	No leakage detected; acceptable wording.
145	keep	No leakage detected; acceptable wording.
146	keep	No leakage detected; acceptable wording.
147	keep	No leakage detected; acceptable wording.
148	keep	No leakage detected; acceptable wording.
149	keep	No leakage detected; acceptable wording.
150	keep	No leakage detected; acceptable wording.
151	keep	No leakage detected; acceptable wording.
152	keep	No leakage detected; acceptable wording.
153	keep	No leakage detected; acceptable wording.
154	keep	No leakage detected; acceptable wording.
155	keep	No leakage detected; acceptable wording.
156	keep	No leakage detected; acceptable wording.
157	keep	No leakage detected; acceptable wording.
158	keep	No leakage detected; acceptable wording.
159	fix	Relative-clause phrasing is awkward; easy rewrite possible.
160	keep	No leakage detected; acceptable wording.
161	keep	No leakage detected; acceptable wording.
