row,decision,reason,proposed_fact,proposed_probe,proposed_target
1,fix,Poorly written and hard to parse; fact does not cleanly answer the question.,"In United States v. Jaison L. Coleman, while responding to a 911 domestic-violence call, Officer Jamie Kizer asked Lisa Coleman whether her kids were okay.","In United States v. Jaison L. Coleman, while responding to a 911 domestic-violence call, Officer Jamie Kizer asked Lisa Coleman",whether her kids were okay.
2,fix,Ungrammatical dog-description phrasing.,"In United States v. Jaison L. Coleman, after Lisa Coleman agreed to let Officer Jamie Kizer come inside, she described her dogs as friendly and said they would not bite.","In United States v. Jaison L. Coleman, after Lisa Coleman agreed to let Officer Jamie Kizer come inside, she described her dogs as",friendly and said they would not bite.
10,fix,Malformed and reads like an unfinished question rather than a declarative fact.,"According to the opinion in United States v. Jaison L. Coleman, Lisa initially denied Officer Kizer’s request to enter, which helped show that she did not have to consent.","According to the opinion in United States v. Jaison L. Coleman, Lisa initially","denied Officer Kizer’s request to enter, which helped show that she did not have to consent."
15,fix,Fact is fragmentary and not self-contained.,"In United States v. Jaison L. Coleman, Officer Jamie Kizer was with the Marshfield, Wisconsin police department when he responded just after 4:00 a.m. on April 20, 2023.","In United States v. Jaison L. Coleman, Officer Jamie Kizer was with","the Marshfield, Wisconsin police department."
20,fix,Probe is too broad and makes the target carry almost the whole proposition.,"In United States v. Jaison L. Coleman, the district court found that the officers did not exceed the scope of Lisa Coleman’s consent once inside the home.","In United States v. Jaison L. Coleman, the district court found that the officers did not exceed",the scope of Lisa Coleman’s consent once inside the home.
28,fix,Sentence fragment and awkward punctuation in target.,"In United States v. Jaison L. Coleman, when Lisa stepped onto the porch and spoke with Officer Kizer, she hesitated to answer whether her kids were safe.","In United States v. Jaison L. Coleman, when Lisa stepped onto the porch and spoke with Officer Kizer, she hesitated to answer",whether her kids were safe.
48,fix,Slight drift; source says consent must be freely and voluntarily given.,"In United States v. Jaison L. Coleman, the Supreme Court said consent must be freely and voluntarily given to be valid.","In United States v. Jaison L. Coleman, the Supreme Court said consent must be",freely and voluntarily given.
51,fix,Factual incompleteness; drops “given” from the source rule.,"According to the opinion in United States v. Jaison L. Coleman, the Supreme Court said that, for consent to be valid, it must be “freely and voluntarily” given.","According to the opinion in United States v. Jaison L. Coleman, the Supreme Court said that, for consent to be valid, it must be",“freely and voluntarily” given
55,fix,Awkward duplicated “under ... under” phrasing.,"In United States v. Jaison L. Coleman, courts evaluate the scope of consent under the Fourth Amendment consent exception using the standard of “objective reasonableness.”","In United States v. Jaison L. Coleman, courts evaluate the scope of consent under the Fourth Amendment consent exception using the standard of",“objective reasonableness.”
65,fix,Poorly formed quote/target and bracketed fragment.,"In United States v. Jaison L. Coleman, Coleman focused on Officer Kizer’s statement that the officers almost needed to come inside to make sure the kids were okay.","In United States v. Jaison L. Coleman, Coleman focused on Officer Kizer’s statement that the officers almost needed to come inside",to make sure the kids were okay
68,fix,"Factual drift; source says the children were in her bedroom, not merely inside the home.","In United States v. Jaison L. Coleman, after Lisa responded ""Okay"" to Officer Kizer’s request to enter her home, she told Officer Kizer the children were in her bedroom.","In United States v. Jaison L. Coleman, after Lisa responded ""Okay"" to Officer Kizer’s request to enter her home, she told Officer Kizer the children were",in her bedroom
