probe,target,correct_label,formatted_question,option_a,option_b,option_c,option_d,option_e,distractors,fact,raw_knowledge_statement,section,source_row_0based
"According to the paper ""FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision"", FP8 \textsc{FlashAttention-3} is reported to achieve 2.6$\times$ lower numerical error than",a baseline FP8 attention.,(E),"According to the paper ""FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision"", FP8 \textsc{FlashAttention-3} is reported to achieve 2.6$\times$ lower numerical error than
(A) a baseline FP16 attention
(B) the FlashAttention-2 kernel
(C) standard scaled dot-product attention
(D) a BF16 Transformer attention implementation
(E) a baseline FP8 attention.",a baseline FP16 attention,the FlashAttention-2 kernel,standard scaled dot-product attention,a BF16 Transformer attention implementation,a baseline FP8 attention.,"[""a baseline FP16 attention"", ""the FlashAttention-2 kernel"", ""standard scaled dot-product attention"", ""a BF16 Transformer attention implementation""]","According to the paper ""FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision"", FP8 \textsc{FlashAttention-3} is reported to achieve 2.6$\times$ lower numerical error than a baseline FP8 attention.",We validate that FP8 \textsc{FlashAttention-3} achieves 2.6$\times$ lower numerical error than a baseline FP8 attention.,Title/Abstract,12
"According to the paper ""FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision"", in the discussion of hiding softmax under asynchronous block-wise GEMMs, the kinds of softmax-related operations that are overlapped with the asynchronous WGMMA instructions for GEMM are",non-GEMM operations.,(D),"According to the paper ""FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision"", in the discussion of hiding softmax under asynchronous block-wise GEMMs, the kinds of softmax-related operations that are overlapped with the asynchronous WGMMA instructions for GEMM are
(A) data-movement operations.
(B) layer-normalization operations.
(C) low-precision quantization operations.
(D) non-GEMM operations.
(E) Tensor Core operations.",data-movement operations.,layer-normalization operations.,low-precision quantization operations.,non-GEMM operations.,Tensor Core operations.,"[""data-movement operations."", ""Tensor Core operations."", ""layer-normalization operations."", ""low-precision quantization operations.""]","According to the paper ""FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision"", in the discussion of hiding softmax under asynchronous block-wise GEMMs, the kinds of softmax-related operations that are overlapped with the asynchronous WGMMA instructions for GEMM are non-GEMM operations.","\item \textbf{Hiding softmax under asynchronous block-wise GEMMs:} We overlap the comparatively low-throughput non-GEMM operations involved in softmax, such as floating point multiply-add and exponential, with the asynchronous WGMMA instructions for GEMM.",Introduction,39
"According to the paper ""FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision"", on Hopper, when the WGMMA instruction targets the FP8 Tensor Cores instead of FP16 or BF16, it can deliver throughput per SM of",2x.,(C),"According to the paper ""FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision"", on Hopper, when the WGMMA instruction targets the FP8 Tensor Cores instead of FP16 or BF16, it can deliver throughput per SM of
(A) 4x.
(B) 8x.
(C) 2x.
(D) 1.5x.
(E) 3x.",4x.,8x.,2x.,1.5x.,3x.,"[""1.5x."", ""3x."", ""4x."", ""8x.""]","According to the paper ""FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision"", on Hopper, when the WGMMA instruction targets the FP8 Tensor Cores instead of FP16 or BF16, it can deliver throughput per SM of 2x.","For example, the WGMMA instruction can target the FP8 Tensor Cores on Hopper to deliver 2x the throughput per SM when compared to FP16 or BF16.",Background: Multi-Head Attention and GPU Characteristics,96
"According to the paper ""FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision"", for a single attention head with query, key, and value sequences $\mathbf{Q}, \mathbf{K}, \mathbf{V} \in \mathbb{R}^{N \times d}$, the attention output $\mathbf{O}$ is expressed after computing $\mathbf{S} = \alpha \mathbf{Q}\mathbf{K}^\top$ and $\mathbf{P} = \mathrm{softmax}(\mathbf{S})$ as",$\mathbf{P}\mathbf{V}$.,(A),"According to the paper ""FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision"", for a single attention head with query, key, and value sequences $\mathbf{Q}, \mathbf{K}, \mathbf{V} \in \mathbb{R}^{N \times d}$, the attention output $\mathbf{O}$ is expressed after computing $\mathbf{S} = \alpha \mathbf{Q}\mathbf{K}^\top$ and $\mathbf{P} = \mathrm{softmax}(\mathbf{S})$ as
(A) $\mathbf{P}\mathbf{V}$.
(B) $\mathbf{P}\mathbf{V}\mathbf{W}_O$
(C) $\mathbf{P}\mathbf{K}$
(D) $\mathbf{P}^\top\mathbf{V}$
(E) $\mathbf{Q}\mathbf{K}^\top\mathbf{V}$",$\mathbf{P}\mathbf{V}$.,$\mathbf{P}\mathbf{V}\mathbf{W}_O$,$\mathbf{P}\mathbf{K}$,$\mathbf{P}^\top\mathbf{V}$,$\mathbf{Q}\mathbf{K}^\top\mathbf{V}$,"[""$\\mathbf{Q}\\mathbf{K}^\\top\\mathbf{V}$"", ""$\\mathbf{P}\\mathbf{K}$"", ""$\\mathbf{P}^\\top\\mathbf{V}$"", ""$\\mathbf{P}\\mathbf{V}\\mathbf{W}_O$""]","According to the paper ""FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision"", for a single attention head with query, key, and value sequences $\mathbf{Q}, \mathbf{K}, \mathbf{V} \in \mathbb{R}^{N \times d}$, the attention output $\mathbf{O}$ is expressed after computing $\mathbf{S} = \alpha \mathbf{Q}\mathbf{K}^\top$ and $\mathbf{P} = \mathrm{softmax}(\mathbf{S})$ as $\mathbf{P}\mathbf{V}$.","Then the attention output $\mathbf{O}$ is computed as:

\begin{equation*}
  \mathbf{S} = \alpha \mathbf{Q} \mathbf{K}^\top \in \mathbb{R}^{N \times N}, \quad \mathbf{P} = \mathrm{softmax}(\mathbf{S}) \in \mathbb{R}^{N \times N}, \quad \mathbf{O} = \mathbf{P}\mathbf{V} \in \mathbb{R}^{N \times d},
\end{equation*}

where $\mathrm{softmax}$ is applied row-wise and one typically sets $\alpha = 1/\sqrt{d}$ as the scaling factor.",Background: Multi-Head Attention and GPU Characteristics,64
"According to the paper ""FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision"", in the main loop of the algorithm, after waiting for the WGMMA $\tilde{\mathbf{P}}_{\mathrm{cur}} \mathbf{V}_{j-1}$, the quantity that is then rescaled is",$\mathbf{O}_i$.,(E),"According to the paper ""FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision"", in the main loop of the algorithm, after waiting for the WGMMA $\tilde{\mathbf{P}}_{\mathrm{cur}} \mathbf{V}_{j-1}$, the quantity that is then rescaled is
(A) $\ell_i$
(B) $\tilde{\mathbf{P}}_{\mathrm{cur}}$
(C) the attention scores $\mathbf{Q}_i \mathbf{K}_{j}^{T}$
(D) $\mathbf{S}_{\mathrm{next}}$
(E) $\mathbf{O}_i$.",$\ell_i$,$\tilde{\mathbf{P}}_{\mathrm{cur}}$,the attention scores $\mathbf{Q}_i \mathbf{K}_{j}^{T}$,$\mathbf{S}_{\mathrm{next}}$,$\mathbf{O}_i$.,"[""$\\tilde{\\mathbf{P}}_{\\mathrm{cur}}$"", ""$\\ell_i$"", ""$\\mathbf{S}_{\\mathrm{next}}$"", ""the attention scores $\\mathbf{Q}_i \\mathbf{K}_{j}^{T}$""]","According to the paper ""FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision"", in the main loop of the algorithm, after waiting for the WGMMA $\tilde{\mathbf{P}}_{\mathrm{cur}} \mathbf{V}_{j-1}$, the quantity that is then rescaled is $\mathbf{O}_i$.",Wait for the WGMMA $\tilde{\mathbf{P}}_{\mathrm{cur}} \mathbf{V}_{j-1}$ and then rescale $\mathbf{O}_i$,FlashAttention-3: Algorithm,161
"According to the paper ""FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision"", according to the paper ""FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision,"" computing the forward pass of \textsc{FlashAttention-3} in the precision that poses additional layout-conformance challenges not encountered for FP16 is",FP8 precision.,(A),"According to the paper ""FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision"", according to the paper ""FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision,"" computing the forward pass of \textsc{FlashAttention-3} in the precision that poses additional layout-conformance challenges not encountered for FP16 is
(A) FP8 precision.
(B) FP16 precision.
(C) TF32 precision.
(D) BF16 precision.
(E) INT8 precision.",FP8 precision.,FP16 precision.,TF32 precision.,BF16 precision.,INT8 precision.,"[""FP16 precision."", ""BF16 precision."", ""INT8 precision."", ""TF32 precision.""]","According to the paper ""FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision"", according to the paper ""FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision,"" computing the forward pass of \textsc{FlashAttention-3} in the precision that poses additional layout-conformance challenges not encountered for FP16 is FP8 precision.",Computing the forward pass of \textsc{FlashAttention-3} in FP8 precision poses additional challenges not encountered for FP16 in terms of layout conformance.,FlashAttention-3: Algorithm,183
"According to the paper ""FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision"", if $\mathbf{V}$ is not transposed in GMEM as a preprocessing step, the memory location into which tiles of $\mathbf{V}$ are loaded before the in-kernel transpose is",SMEM.,(C),"According to the paper ""FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision"", if $\mathbf{V}$ is not transposed in GMEM as a preprocessing step, the memory location into which tiles of $\mathbf{V}$ are loaded before the in-kernel transpose is
(A) GMEM
(B) L2 cache
(C) SMEM.
(D) registers
(E) HBM",GMEM,L2 cache,SMEM.,registers,HBM,"[""GMEM"", ""registers"", ""L2 cache"", ""HBM""]","According to the paper ""FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision"", if $\mathbf{V}$ is not transposed in GMEM as a preprocessing step, the memory location into which tiles of $\mathbf{V}$ are loaded before the in-kernel transpose is SMEM.","Since the TMA load itself cannot change the contiguous dimension, we then need to either (1) transpose $\mathbf{V}$ in GMEM as a pre-processing step, or (2) do an in-kernel transpose of tiles of $\mathbf{V}$ after loading them into SMEM.",FlashAttention-3: Algorithm,189
"According to the paper ""FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision"", when doing memory copy, the LDSM/STSM instructions are capable of",transposing layouts,(C),"According to the paper ""FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision"", when doing memory copy, the LDSM/STSM instructions are capable of
(A) issuing asynchronous global-memory prefetches
(B) splitting packed 8-bit entries
(C) transposing layouts
(D) executing only in the consumer warpgroup
(E) bypassing shared memory",issuing asynchronous global-memory prefetches,splitting packed 8-bit entries,transposing layouts,executing only in the consumer warpgroup,bypassing shared memory,"[""splitting packed 8-bit entries"", ""bypassing shared memory"", ""issuing asynchronous global-memory prefetches"", ""executing only in the consumer warpgroup""]","According to the paper ""FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision"", when doing memory copy, the LDSM/STSM instructions are capable of transposing layouts","The LDSM/STSM instructions are both register efficient, allowing us to execute them in the producer warpgroup, and capable of transposing layouts when doing memory copy.",FlashAttention-3: Algorithm,198
"According to the paper ""FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision"", in the runtime benchmarking of \textsc{FlashAttention-3} across different sequence lengths, the \textsc{FlashAttention-2} variant described as using H100-specific instructions is",\textsc{FlashAttention-2} in Triton.,(D),"According to the paper ""FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision"", in the runtime benchmarking of \textsc{FlashAttention-3} across different sequence lengths, the \textsc{FlashAttention-2} variant described as using H100-specific instructions is
(A) PyTorch's scaled dot-product attention kernel optimized for H100 GPUs
(B) the vendor's implementation of \textsc{FlashAttention-2} optimized for H100 GPUs from cuDNN
(C) the standard implementation in PyTorch
(D) \textsc{FlashAttention-2} in Triton.
(E) \textsc{FlashAttention-3} implemented with CUTLASS primitives such as WGMMA and TMA",PyTorch's scaled dot-product attention kernel optimized for H100 GPUs,the vendor's implementation of \textsc{FlashAttention-2} optimized for H100 GPUs from cuDNN,the standard implementation in PyTorch,\textsc{FlashAttention-2} in Triton.,\textsc{FlashAttention-3} implemented with CUTLASS primitives such as WGMMA and TMA,"[""the vendor's implementation of \\textsc{FlashAttention-2} optimized for H100 GPUs from cuDNN"", ""the standard implementation in PyTorch"", ""\\textsc{FlashAttention-3} implemented with CUTLASS primitives such as WGMMA and TMA"", ""PyTorch's scaled dot-product attention kernel optimized for H100 GPUs""]","According to the paper ""FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision"", in the runtime benchmarking of \textsc{FlashAttention-3} across different sequence lengths, the \textsc{FlashAttention-2} variant described as using H100-specific instructions is \textsc{FlashAttention-2} in Triton.","We measure the runtime of \textsc{FlashAttention-3} across different sequence lengths and compare it to a standard implementation in PyTorch,
\textsc{FlashAttention-2}, \textsc{FlashAttention-2} in Triton (which uses H100-specific instructions), as well as a vendor's implementation of \textsc{FlashAttention-2} optimized for H100 GPUs from cuDNN.",Empirical Validation,224
"In the paper ""FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision"", when calculating the forward-pass FLOPs for attention with causal masking, the authors divide the computed FLOPs count to account for approximately half of the entries being calculated by",2.,(B),"In the paper ""FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision"", when calculating the forward-pass FLOPs for attention with causal masking, the authors divide the computed FLOPs count to account for approximately half of the entries being calculated by
(A) the square root of the head dimension.
(B) 2.
(C) 2.5.
(D) the sequence length.
(E) 4.",the square root of the head dimension.,2.,2.5.,the sequence length.,4.,"[""2.5."", ""4."", ""the square root of the head dimension."", ""the sequence length.""]","In the paper ""FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision"", when calculating the forward-pass FLOPs for attention with causal masking, the authors divide the computed FLOPs count to account for approximately half of the entries being calculated by 2.","With causal masking, we divide this number by 2 to account for the fact that approximately only half of the entries are calculated.",Empirical Validation,247
