probe,target,correct_label,formatted_question,option_a,option_b,option_c,option_d,option_e,distractors,fact,raw_knowledge_statement,section,inference_type,source_fact(s),source_facts,text_sentences,derivation,question,answer,formatted_question_5shot
"According to the paper 'Byte Latent Transformer: Patches Scale Better Than Tokens', the authors suggest that BLT-Space trails the Llama 3 tokenizer despite equal flop budget because it is",farther from the compute-optimal point,(C),"According to the paper 'Byte Latent Transformer: Patches Scale Better Than Tokens', the authors suggest that BLT-Space trails the Llama 3 tokenizer despite equal flop budget because it is
(A) over-optimized for inference efficiency rather than downstream accuracy
(B) limited mainly by the Llama 3 tokenizer having a higher flop budget
(C) farther from the compute-optimal point
(D) hampered by its larger average patch size of 6 bytes
(E) trained on 30% less data than the other two models",over-optimized for inference efficiency rather than downstream accuracy,limited mainly by the Llama 3 tokenizer having a higher flop budget,farther from the compute-optimal point,hampered by its larger average patch size of 6 bytes,trained on 30% less data than the other two models,"[""over-optimized for inference efficiency rather than downstream accuracy"", ""hampered by its larger average patch size of 6 bytes"", ""trained on 30% less data than the other two models"", ""limited mainly by the Llama 3 tokenizer having a higher flop budget""]","According to the paper 'Byte Latent Transformer: Patches Scale Better Than Tokens', the authors suggest that BLT-Space trails the Llama 3 tokenizer despite equal flop budget because it is farther from the compute-optimal point",,,Synthesized Insight,"['On the other hand, {\\textsc BLT}-Space underperforms the Llama 3 tokenizer on all but one task, but it achieves a significant reduction in inference flops with its larger average patch size of 6 bytes.', 'With the same training budget, the larger patch size model covers 30\\% more data than the other two models which might push {\\textsc BLT} further away from the compute-optimal point.']","['On the other hand, {\\textsc BLT}-Space underperforms the Llama 3 tokenizer on all but one task, but it achieves a significant reduction in inference flops with its larger average patch size of 6 bytes.', 'With the same training budget, the larger patch size model covers 30\\% more data than the other two models which might push {\\textsc BLT} further away from the compute-optimal point.']","['On the other hand, {\\textsc BLT}-Space underperforms the Llama 3 tokenizer on all but one task, but it achieves a significant reduction in inference flops with its larger average patch size of 6 bytes.', 'With the same training budget, the larger patch size model covers 30\\% more data than the other two models which might push {\\textsc BLT} further away from the compute-optimal point.']","The paper links the larger-patch model's extra data coverage at the same budget to being farther from compute-optimal, which is presented as a likely reason for its weaker task performance.",What training-regime issue do the authors suggest may explain why BLT-Space trails the Llama 3 tokenizer despite equal flop budget?,farther from the compute-optimal point,"Question: Which city is the capital of France?
(A) Paris
(B) Berlin
(C) Madrid
(D) Rome
(E) Lisbon
Answer: (A)

Question: Which planet is the largest in the Solar System?
(A) Earth
(B) Jupiter
(C) Saturn
(D) Venus
(E) Mars
Answer: (B)

Question: What is the chemical formula for water?
(A) CO2
(B) O2
(C) H2O
(D) NaCl
(E) CH4
Answer: (C)

Question: What process do plants use to convert sunlight into chemical energy?
(A) Respiration
(B) Fermentation
(C) Evaporation
(D) Photosynthesis
(E) Condensation
Answer: (D)

Question: What is the primary function of red blood cells?
(A) Transmit nerve signals
(B) Produce bile
(C) Filter lymph
(D) Digest proteins
(E) Carry oxygen
Answer: (E)

Question: According to the paper 'Byte Latent Transformer: Patches Scale Better Than Tokens', the authors suggest that BLT-Space trails the Llama 3 tokenizer despite equal flop budget because it is
(A) over-optimized for inference efficiency rather than downstream accuracy
(B) limited mainly by the Llama 3 tokenizer having a higher flop budget
(C) farther from the compute-optimal point
(D) hampered by its larger average patch size of 6 bytes
(E) trained on 30% less data than the other two models"
"According to the paper 'Byte Latent Transformer: Patches Scale Better Than Tokens', token-based models lack the kind of low-level representation that contributes to robustness under noisy inputs:",direct byte-level information,(B),"According to the paper 'Byte Latent Transformer: Patches Scale Better Than Tokens', token-based models lack the kind of low-level representation that contributes to robustness under noisy inputs:
(A) patch-level latent representations
(B) direct byte-level information
(C) long-range contextual information
(D) explicit subword segmentation information
(E) noise-corruption labels",patch-level latent representations,direct byte-level information,long-range contextual information,explicit subword segmentation information,noise-corruption labels,"[""patch-level latent representations"", ""explicit subword segmentation information"", ""long-range contextual information"", ""noise-corruption labels""]","According to the paper 'Byte Latent Transformer: Patches Scale Better Than Tokens', token-based models lack the kind of low-level representation that contributes to robustness under noisy inputs: direct byte-level information",,,Synthesized Insight,"['We also measure the robustness of {\\textsc BLT} compared to token-based models that lack direct byte-level information', 'In Table \\ref{tab:char_tasks} we report results on noised HellaSwag~\\citep{Eval_hellaswag} and find that {\\textsc BLT} indeed outperforms tokenizer-based models across the board in terms of robustness']","['We also measure the robustness of {\\textsc BLT} compared to token-based models that lack direct byte-level information', 'In Table \\ref{tab:char_tasks} we report results on noised HellaSwag~\\citep{Eval_hellaswag} and find that {\\textsc BLT} indeed outperforms tokenizer-based models across the board in terms of robustness']","['We also measure the robustness of {\\textsc BLT} compared to token-based models that lack direct byte-level information', 'In Table \\ref{tab:char_tasks} we report results on noised HellaSwag~\\citep{Eval_hellaswag} and find that {\\textsc BLT} indeed outperforms tokenizer-based models across the board in terms of robustness']","The comparison pairs token models' lack of direct byte-level information with BLT's better noisy-input robustness, implying that missing byte-level information is a likely cause of the gap.","According to the paper's comparison, what kind of information missing from token-based models likely contributes to their weaker noisy-input robustness?",direct byte-level information,"Question: Which city is the capital of France?
(A) Paris
(B) Berlin
(C) Madrid
(D) Rome
(E) Lisbon
Answer: (A)

Question: Which planet is the largest in the Solar System?
(A) Earth
(B) Jupiter
(C) Saturn
(D) Venus
(E) Mars
Answer: (B)

Question: What is the chemical formula for water?
(A) CO2
(B) O2
(C) H2O
(D) NaCl
(E) CH4
Answer: (C)

Question: What process do plants use to convert sunlight into chemical energy?
(A) Respiration
(B) Fermentation
(C) Evaporation
(D) Photosynthesis
(E) Condensation
Answer: (D)

Question: What is the primary function of red blood cells?
(A) Transmit nerve signals
(B) Produce bile
(C) Filter lymph
(D) Digest proteins
(E) Carry oxygen
Answer: (E)

Question: According to the paper 'Byte Latent Transformer: Patches Scale Better Than Tokens', token-based models lack the kind of low-level representation that contributes to robustness under noisy inputs:
(A) patch-level latent representations
(B) direct byte-level information
(C) long-range contextual information
(D) explicit subword segmentation information
(E) noise-corruption labels"
"According to the paper 'Byte Latent Transformer: Patches Scale Better Than Tokens', once hash n-gram embeddings are included, the encoder simplification that becomes workable is",a one-layer encoder,(D),"According to the paper 'Byte Latent Transformer: Patches Scale Better Than Tokens', once hash n-gram embeddings are included, the encoder simplification that becomes workable is
(A) an encoder-free decoder-only architecture
(B) a token-based encoder
(C) a two-layer encoder
(D) a one-layer encoder
(E) a heavier encoder with a one-layer decoder",an encoder-free decoder-only architecture,a token-based encoder,a two-layer encoder,a one-layer encoder,a heavier encoder with a one-layer decoder,"[""a two-layer encoder"", ""an encoder-free decoder-only architecture"", ""a heavier encoder with a one-layer decoder"", ""a token-based encoder""]","According to the paper 'Byte Latent Transformer: Patches Scale Better Than Tokens', once hash n-gram embeddings are included, the encoder simplification that becomes workable is a one-layer encoder",,,Multi-Fact Integration,"['This indicates that hashes are vital to bringing the performance of {\\textsc BLT} to match those of tokenizer based models', 'When paired with hash n-gram embeddings, {\\textsc BLT} works well with an encoder that is extremely light-weight i.e. just one layer, and with a heavier decoder.']","['This indicates that hashes are vital to bringing the performance of {\\textsc BLT} to match those of tokenizer based models', 'When paired with hash n-gram embeddings, {\\textsc BLT} works well with an encoder that is extremely light-weight i.e. just one layer, and with a heavier decoder.']","['This indicates that hashes are vital to bringing the performance of {\\textsc BLT} to match those of tokenizer based models', 'When paired with hash n-gram embeddings, {\\textsc BLT} works well with an encoder that is extremely light-weight i.e. just one layer, and with a heavier decoder.']","Since hash n-gram embeddings are described as vital and the model works well with an extremely light encoder when they are present, they make that encoder simplification viable.",What encoder simplification becomes workable once hash n-gram embeddings are included?,a one-layer encoder,"Question: Which city is the capital of France?
(A) Paris
(B) Berlin
(C) Madrid
(D) Rome
(E) Lisbon
Answer: (A)

Question: Which planet is the largest in the Solar System?
(A) Earth
(B) Jupiter
(C) Saturn
(D) Venus
(E) Mars
Answer: (B)

Question: What is the chemical formula for water?
(A) CO2
(B) O2
(C) H2O
(D) NaCl
(E) CH4
Answer: (C)

Question: What process do plants use to convert sunlight into chemical energy?
(A) Respiration
(B) Fermentation
(C) Evaporation
(D) Photosynthesis
(E) Condensation
Answer: (D)

Question: What is the primary function of red blood cells?
(A) Transmit nerve signals
(B) Produce bile
(C) Filter lymph
(D) Digest proteins
(E) Carry oxygen
Answer: (E)

Question: According to the paper 'Byte Latent Transformer: Patches Scale Better Than Tokens', once hash n-gram embeddings are included, the encoder simplification that becomes workable is
(A) an encoder-free decoder-only architecture
(B) a token-based encoder
(C) a two-layer encoder
(D) a one-layer encoder
(E) a heavier encoder with a one-layer decoder"
"According to the paper 'Byte Latent Transformer: Patches Scale Better Than Tokens', padding extra patch steps during training is especially undesirable because they increase the workload of",the latent transformer,(C),"According to the paper 'Byte Latent Transformer: Patches Scale Better Than Tokens', padding extra patch steps during training is especially undesirable because they increase the workload of
(A) the patching function
(B) the local decoder
(C) the latent transformer
(D) the token-level transformer
(E) the local encoder",the patching function,the local decoder,the latent transformer,the token-level transformer,the local encoder,"[""the local encoder"", ""the patching function"", ""the local decoder"", ""the token-level transformer""]","According to the paper 'Byte Latent Transformer: Patches Scale Better Than Tokens', padding extra patch steps during training is especially undesirable because they increase the workload of the latent transformer",,,Multi-Fact Integration,"['For both token-based and patch-based models, the computational cost of processing data is primarily determined by the number of steps executed by the main Transformer. In {\\textsc BLT}, this is the number of patches needed to encode the data with a given patching function.', 'For efficiency reasons, our implementation of {\\textsc BLT} training packs batches of patches to avoid padding steps in the more expensive latent transformer.']","['For both token-based and patch-based models, the computational cost of processing data is primarily determined by the number of steps executed by the main Transformer. In {\\textsc BLT}, this is the number of patches needed to encode the data with a given patching function.', 'For efficiency reasons, our implementation of {\\textsc BLT} training packs batches of patches to avoid padding steps in the more expensive latent transformer.']","['For both token-based and patch-based models, the computational cost of processing data is primarily determined by the number of steps executed by the main Transformer. In {\\textsc BLT}, this is the number of patches needed to encode the data with a given patching function.', 'For efficiency reasons, our implementation of {\\textsc BLT} training packs batches of patches to avoid padding steps in the more expensive latent transformer.']","If cost is driven by the number of patch steps and the latent transformer is the expensive main transformer, then extra padded patch steps are especially wasteful there.",Which BLT component makes padding extra patch steps especially undesirable during training?,the latent transformer,"Question: Which city is the capital of France?
(A) Paris
(B) Berlin
(C) Madrid
(D) Rome
(E) Lisbon
Answer: (A)

Question: Which planet is the largest in the Solar System?
(A) Earth
(B) Jupiter
(C) Saturn
(D) Venus
(E) Mars
Answer: (B)

Question: What is the chemical formula for water?
(A) CO2
(B) O2
(C) H2O
(D) NaCl
(E) CH4
Answer: (C)

Question: What process do plants use to convert sunlight into chemical energy?
(A) Respiration
(B) Fermentation
(C) Evaporation
(D) Photosynthesis
(E) Condensation
Answer: (D)

Question: What is the primary function of red blood cells?
(A) Transmit nerve signals
(B) Produce bile
(C) Filter lymph
(D) Digest proteins
(E) Carry oxygen
Answer: (E)

Question: According to the paper 'Byte Latent Transformer: Patches Scale Better Than Tokens', padding extra patch steps during training is especially undesirable because they increase the workload of
(A) the patching function
(B) the local decoder
(C) the latent transformer
(D) the token-level transformer
(E) the local encoder"
"According to the paper 'Byte Latent Transformer: Patches Scale Better Than Tokens', within a word, entropy-based patching should tend to devote more compute to",the first bytes,(A),"According to the paper 'Byte Latent Transformer: Patches Scale Better Than Tokens', within a word, entropy-based patching should tend to devote more compute to
(A) the first bytes
(B) the rarest byte values
(C) the bytes immediately following spaces
(D) the last bytes
(E) the middle bytes",the first bytes,the rarest byte values,the bytes immediately following spaces,the last bytes,the middle bytes,"[""the last bytes"", ""the middle bytes"", ""the bytes immediately following spaces"", ""the rarest byte values""]","According to the paper 'Byte Latent Transformer: Patches Scale Better Than Tokens', within a word, entropy-based patching should tend to devote more compute to the first bytes",,,Reasoning Step,"['This ensures words are patched in the same way across sequences and that flops are allocated for hard predictions which often follow spaces.', ""For example, predicting the first byte of the answer to the question ``Who composed the Magic Flute?\\uline{\\hspace{.6em}}'' is much harder than predicting the remaining bytes after ``M''"", 'Next, we introduce a new patching method that uses the insight that the first bytes in words are typically most difficult to predict']","['This ensures words are patched in the same way across sequences and that flops are allocated for hard predictions which often follow spaces.', ""For example, predicting the first byte of the answer to the question ``Who composed the Magic Flute?\\uline{\\hspace{.6em}}'' is much harder than predicting the remaining bytes after ``M''"", 'Next, we introduce a new patching method that uses the insight that the first bytes in words are typically most difficult to predict']","['This ensures words are patched in the same way across sequences and that flops are allocated for hard predictions which often follow spaces.', ""For example, predicting the first byte of the answer to the question ``Who composed the Magic Flute?\\uline{\\hspace{.6em}}'' is much harder than predicting the remaining bytes after ``M''"", 'Next, we introduce a new patching method that uses the insight that the first bytes in words are typically most difficult to predict']","Because compute is meant to be allocated to harder predictions and the paper says the first bytes in words are typically the hardest, entropy patching should focus more compute there.","Within a word, which bytes should entropy-based patching tend to devote more compute to?",the first bytes,"Question: Which city is the capital of France?
(A) Paris
(B) Berlin
(C) Madrid
(D) Rome
(E) Lisbon
Answer: (A)

Question: Which planet is the largest in the Solar System?
(A) Earth
(B) Jupiter
(C) Saturn
(D) Venus
(E) Mars
Answer: (B)

Question: What is the chemical formula for water?
(A) CO2
(B) O2
(C) H2O
(D) NaCl
(E) CH4
Answer: (C)

Question: What process do plants use to convert sunlight into chemical energy?
(A) Respiration
(B) Fermentation
(C) Evaporation
(D) Photosynthesis
(E) Condensation
Answer: (D)

Question: What is the primary function of red blood cells?
(A) Transmit nerve signals
(B) Produce bile
(C) Filter lymph
(D) Digest proteins
(E) Carry oxygen
Answer: (E)

Question: According to the paper 'Byte Latent Transformer: Patches Scale Better Than Tokens', within a word, entropy-based patching should tend to devote more compute to
(A) the first bytes
(B) the rarest byte values
(C) the bytes immediately following spaces
(D) the last bytes
(E) the middle bytes"
"According to the paper 'Byte Latent Transformer: Patches Scale Better Than Tokens', the BLT component reused to enable this reduced-training-flop workflow is",the pretrained global transformer,(E),"According to the paper 'Byte Latent Transformer: Patches Scale Better Than Tokens', the BLT component reused to enable this reduced-training-flop workflow is
(A) the pretrained byte embedding layer
(B) the pretrained local transformer
(C) the reused Llama 3.1 tokenizer
(D) the patching module inherited from the tokenizer-based model
(E) the pretrained global transformer",the pretrained byte embedding layer,the pretrained local transformer,the reused Llama 3.1 tokenizer,the patching module inherited from the tokenizer-based model,the pretrained global transformer,"[""the pretrained local transformer"", ""the reused Llama 3.1 tokenizer"", ""the pretrained byte embedding layer"", ""the patching module inherited from the tokenizer-based model""]","According to the paper 'Byte Latent Transformer: Patches Scale Better Than Tokens', the BLT component reused to enable this reduced-training-flop workflow is the pretrained global transformer",,,Synthesized Insight,"['we explore a workflow where {\\textsc BLT} models can leverage existing pre-trained tokenizer-based models for better and faster training convergence, acheived by initializing the global transformer parameters of {\\textsc BLT} with those of a pre-trained Llama 3.1 model.', 'suggesting that it can be an effective approach in significantly reducing the training flops.']","['we explore a workflow where {\\textsc BLT} models can leverage existing pre-trained tokenizer-based models for better and faster training convergence, acheived by initializing the global transformer parameters of {\\textsc BLT} with those of a pre-trained Llama 3.1 model.', 'suggesting that it can be an effective approach in significantly reducing the training flops.']","['we explore a workflow where {\\textsc BLT} models can leverage existing pre-trained tokenizer-based models for better and faster training convergence, acheived by initializing the global transformer parameters of {\\textsc BLT} with those of a pre-trained Llama 3.1 model.', 'suggesting that it can be an effective approach in significantly reducing the training flops.']","Because the reduced-flop workflow is explicitly achieved by reusing Llama 3.1 parameters in BLT's global transformer, that reused component is what enables the savings.",Which reused BLT component makes this reduced-training-flop workflow possible?,the pretrained global transformer,"Question: Which city is the capital of France?
(A) Paris
(B) Berlin
(C) Madrid
(D) Rome
(E) Lisbon
Answer: (A)

Question: Which planet is the largest in the Solar System?
(A) Earth
(B) Jupiter
(C) Saturn
(D) Venus
(E) Mars
Answer: (B)

Question: What is the chemical formula for water?
(A) CO2
(B) O2
(C) H2O
(D) NaCl
(E) CH4
Answer: (C)

Question: What process do plants use to convert sunlight into chemical energy?
(A) Respiration
(B) Fermentation
(C) Evaporation
(D) Photosynthesis
(E) Condensation
Answer: (D)

Question: What is the primary function of red blood cells?
(A) Transmit nerve signals
(B) Produce bile
(C) Filter lymph
(D) Digest proteins
(E) Carry oxygen
Answer: (E)

Question: According to the paper 'Byte Latent Transformer: Patches Scale Better Than Tokens', the BLT component reused to enable this reduced-training-flop workflow is
(A) the pretrained byte embedding layer
(B) the pretrained local transformer
(C) the reused Llama 3.1 tokenizer
(D) the patching module inherited from the tokenizer-based model
(E) the pretrained global transformer"
"According to the paper 'Byte Latent Transformer: Patches Scale Better Than Tokens', when BLT assigns longer patches to a predictable span, the component invoked less often on that span is",the global latent transformer,(A),"According to the paper 'Byte Latent Transformer: Patches Scale Better Than Tokens', when BLT assigns longer patches to a predictable span, the component invoked less often on that span is
(A) the global latent transformer
(B) the token-level transformer
(C) the entropy-based patching module
(D) the local byte decoder
(E) the byte embedding layer",the global latent transformer,the token-level transformer,the entropy-based patching module,the local byte decoder,the byte embedding layer,"[""the local byte decoder"", ""the entropy-based patching module"", ""the token-level transformer"", ""the byte embedding layer""]","According to the paper 'Byte Latent Transformer: Patches Scale Better Than Tokens', when BLT assigns longer patches to a predictable span, the component invoked less often on that span is the global latent transformer",,,Multi-Fact Integration,"['Both training and inference efficiency improve due to dynamically selecting long patches when data is predictable', 'This model consumes the bulk of the flops during pre-training as well as inference, and thus, choosing when to invoke it allows us to control and vary the amount of compute expended for different portions of the input and output as a function of input/output complexity.']","['Both training and inference efficiency improve due to dynamically selecting long patches when data is predictable', 'This model consumes the bulk of the flops during pre-training as well as inference, and thus, choosing when to invoke it allows us to control and vary the amount of compute expended for different portions of the input and output as a function of input/output complexity.']","['Both training and inference efficiency improve due to dynamically selecting long patches when data is predictable', 'This model consumes the bulk of the flops during pre-training as well as inference, and thus, choosing when to invoke it allows us to control and vary the amount of compute expended for different portions of the input and output as a function of input/output complexity.']","If predictable regions get longer patches and the bulk of flops come from the model whose invocation is controlled by patching, that model must be run less often there.","When BLT assigns longer patches to a predictable span, which component is invoked less often on that span?",the global latent transformer,"Question: Which city is the capital of France?
(A) Paris
(B) Berlin
(C) Madrid
(D) Rome
(E) Lisbon
Answer: (A)

Question: Which planet is the largest in the Solar System?
(A) Earth
(B) Jupiter
(C) Saturn
(D) Venus
(E) Mars
Answer: (B)

Question: What is the chemical formula for water?
(A) CO2
(B) O2
(C) H2O
(D) NaCl
(E) CH4
Answer: (C)

Question: What process do plants use to convert sunlight into chemical energy?
(A) Respiration
(B) Fermentation
(C) Evaporation
(D) Photosynthesis
(E) Condensation
Answer: (D)

Question: What is the primary function of red blood cells?
(A) Transmit nerve signals
(B) Produce bile
(C) Filter lymph
(D) Digest proteins
(E) Carry oxygen
Answer: (E)

Question: According to the paper 'Byte Latent Transformer: Patches Scale Better Than Tokens', when BLT assigns longer patches to a predictable span, the component invoked less often on that span is
(A) the global latent transformer
(B) the token-level transformer
(C) the entropy-based patching module
(D) the local byte decoder
(E) the byte embedding layer"
"According to the paper 'Byte Latent Transformer: Patches Scale Better Than Tokens', before patch representations are pooled, an encoder byte can still use outside-the-patch context from",preceding bytes across boundaries,(D),"According to the paper 'Byte Latent Transformer: Patches Scale Better Than Tokens', before patch representations are pooled, an encoder byte can still use outside-the-patch context from
(A) following bytes across boundaries
(B) all bytes in neighboring patches within the same document
(C) both preceding and following bytes in adjacent patches
(D) preceding bytes across boundaries
(E) preceding bytes across document boundaries",following bytes across boundaries,all bytes in neighboring patches within the same document,both preceding and following bytes in adjacent patches,preceding bytes across boundaries,preceding bytes across document boundaries,"[""following bytes across boundaries"", ""preceding bytes across document boundaries"", ""both preceding and following bytes in adjacent patches"", ""all bytes in neighboring patches within the same document""]","According to the paper 'Byte Latent Transformer: Patches Scale Better Than Tokens', before patch representations are pooled, an encoder byte can still use outside-the-patch context from preceding bytes across boundaries",,,Multi-Fact Integration,"['The transformer layers use a \\textit{local block causal} attention mask; each byte attends to a fixed window of $w_{\\mathcal{E}}$ preceding bytes that in general can cross the dynamic patch boundaries but can not cross document boundaries.', 'We use a masking strategy specific to patching where each query $Q_j$ only attends to the keys and values that correspond to the bytes in patch $j$.']","['The transformer layers use a \\textit{local block causal} attention mask; each byte attends to a fixed window of $w_{\\mathcal{E}}$ preceding bytes that in general can cross the dynamic patch boundaries but can not cross document boundaries.', 'We use a masking strategy specific to patching where each query $Q_j$ only attends to the keys and values that correspond to the bytes in patch $j$.']","['The transformer layers use a \\textit{local block causal} attention mask; each byte attends to a fixed window of $w_{\\mathcal{E}}$ preceding bytes that in general can cross the dynamic patch boundaries but can not cross document boundaries.', 'We use a masking strategy specific to patching where each query $Q_j$ only attends to the keys and values that correspond to the bytes in patch $j$.']","Before patch pooling restricts attention to bytes inside one patch, the encoder's byte states can still incorporate nearby context from preceding bytes even when those bytes lie across a patch boundary.","Before patch representations are pooled, what outside-the-patch context can an encoder byte still use?",preceding bytes across boundaries,"Question: Which city is the capital of France?
(A) Paris
(B) Berlin
(C) Madrid
(D) Rome
(E) Lisbon
Answer: (A)

Question: Which planet is the largest in the Solar System?
(A) Earth
(B) Jupiter
(C) Saturn
(D) Venus
(E) Mars
Answer: (B)

Question: What is the chemical formula for water?
(A) CO2
(B) O2
(C) H2O
(D) NaCl
(E) CH4
Answer: (C)

Question: What process do plants use to convert sunlight into chemical energy?
(A) Respiration
(B) Fermentation
(C) Evaporation
(D) Photosynthesis
(E) Condensation
Answer: (D)

Question: What is the primary function of red blood cells?
(A) Transmit nerve signals
(B) Produce bile
(C) Filter lymph
(D) Digest proteins
(E) Carry oxygen
Answer: (E)

Question: According to the paper 'Byte Latent Transformer: Patches Scale Better Than Tokens', before patch representations are pooled, an encoder byte can still use outside-the-patch context from
(A) following bytes across boundaries
(B) all bytes in neighboring patches within the same document
(C) both preceding and following bytes in adjacent patches
(D) preceding bytes across boundaries
(E) preceding bytes across document boundaries"
"According to the paper 'Byte Latent Transformer: Patches Scale Better Than Tokens', in repetitive structured content, newline resets and the approximate monotonicity rule were meant to reduce entropy drift from changes in context length, resulting in",progressively larger patches,(A),"According to the paper 'Byte Latent Transformer: Patches Scale Better Than Tokens', in repetitive structured content, newline resets and the approximate monotonicity rule were meant to reduce entropy drift from changes in context length, resulting in
(A) progressively larger patches
(B) uniformly fixed patch sizes
(C) context-length entropy spikes
(D) erratically shifting patch boundaries
(E) progressively smaller patches",progressively larger patches,uniformly fixed patch sizes,context-length entropy spikes,erratically shifting patch boundaries,progressively smaller patches,"[""progressively smaller patches"", ""erratically shifting patch boundaries"", ""uniformly fixed patch sizes"", ""context-length entropy spikes""]","According to the paper 'Byte Latent Transformer: Patches Scale Better Than Tokens', in repetitive structured content, newline resets and the approximate monotonicity rule were meant to reduce entropy drift from changes in context length, resulting in progressively larger patches",,,Multi-Fact Integration,"['Empirically, we find that using entropy patching yields progressively larger patches in structured content like multiple choice tasks (see patching on an MMLU example in \\autoref{fig:mmlu_patching}) which are often very repetitive.', 'So for the large scale run of {\\textsc BLT}-Entropy with patch size 4.5, we reset the entropy context with new lines and use approximate monontonicity constraint as it suffers less from ""entropy drift"" from changes in context length.']","['Empirically, we find that using entropy patching yields progressively larger patches in structured content like multiple choice tasks (see patching on an MMLU example in \\autoref{fig:mmlu_patching}) which are often very repetitive.', 'So for the large scale run of {\\textsc BLT}-Entropy with patch size 4.5, we reset the entropy context with new lines and use approximate monontonicity constraint as it suffers less from ""entropy drift"" from changes in context length.']","['Empirically, we find that using entropy patching yields progressively larger patches in structured content like multiple choice tasks (see patching on an MMLU example in \\autoref{fig:mmlu_patching}) which are often very repetitive.', 'So for the large scale run of {\\textsc BLT}-Entropy with patch size 4.5, we reset the entropy context with new lines and use approximate monontonicity constraint as it suffers less from ""entropy drift"" from changes in context length.']","The two changes are introduced right after noting that repetitive structured content causes patches to keep growing, so they are meant to curb that growth pattern.","In repetitive structured content, what unwanted patching pattern were newline resets and the approximate monotonicity rule meant to reduce?",progressively larger patches,"Question: Which city is the capital of France?
(A) Paris
(B) Berlin
(C) Madrid
(D) Rome
(E) Lisbon
Answer: (A)

Question: Which planet is the largest in the Solar System?
(A) Earth
(B) Jupiter
(C) Saturn
(D) Venus
(E) Mars
Answer: (B)

Question: What is the chemical formula for water?
(A) CO2
(B) O2
(C) H2O
(D) NaCl
(E) CH4
Answer: (C)

Question: What process do plants use to convert sunlight into chemical energy?
(A) Respiration
(B) Fermentation
(C) Evaporation
(D) Photosynthesis
(E) Condensation
Answer: (D)

Question: What is the primary function of red blood cells?
(A) Transmit nerve signals
(B) Produce bile
(C) Filter lymph
(D) Digest proteins
(E) Carry oxygen
Answer: (E)

Question: According to the paper 'Byte Latent Transformer: Patches Scale Better Than Tokens', in repetitive structured content, newline resets and the approximate monotonicity rule were meant to reduce entropy drift from changes in context length, resulting in
(A) progressively larger patches
(B) uniformly fixed patch sizes
(C) context-length entropy spikes
(D) erratically shifting patch boundaries
(E) progressively smaller patches"
"According to the paper 'Byte Latent Transformer: Patches Scale Better Than Tokens', if sequence length were not reduced for models with larger patches, they would get an unfair advantage in the form of",larger contexts,(D),"According to the paper 'Byte Latent Transformer: Patches Scale Better Than Tokens', if sequence length were not reduced for models with larger patches, they would get an unfair advantage in the form of
(A) lower attention costs
(B) additional model capacity
(C) finer-grained token representations
(D) larger contexts
(E) more bytes per batch",lower attention costs,additional model capacity,finer-grained token representations,larger contexts,more bytes per batch,"[""more bytes per batch"", ""lower attention costs"", ""finer-grained token representations"", ""additional model capacity""]","According to the paper 'Byte Latent Transformer: Patches Scale Better Than Tokens', if sequence length were not reduced for models with larger patches, they would get an unfair advantage in the form of larger contexts",,,Reasoning Step,"['To maintain the same average context length and avoid giving larger patch sizes unfair advantage, we ensure that the number of bytes in each batch remains constant in expectation. This means that we reduce the sequence length of models with larger patch sizes.', 'All the models see the same number of bytes in each sequence during training and inference in expectation to prevent any confounding factors from being able to model larger contexts.']","['To maintain the same average context length and avoid giving larger patch sizes unfair advantage, we ensure that the number of bytes in each batch remains constant in expectation. This means that we reduce the sequence length of models with larger patch sizes.', 'All the models see the same number of bytes in each sequence during training and inference in expectation to prevent any confounding factors from being able to model larger contexts.']","['To maintain the same average context length and avoid giving larger patch sizes unfair advantage, we ensure that the number of bytes in each batch remains constant in expectation. This means that we reduce the sequence length of models with larger patch sizes.', 'All the models see the same number of bytes in each sequence during training and inference in expectation to prevent any confounding factors from being able to model larger contexts.']","If larger-patch models were not given shorter sequences, they would see more bytes and therefore a larger effective context.","If sequence length were not reduced for models with larger patches, what unfair advantage would they get?",larger contexts,"Question: Which city is the capital of France?
(A) Paris
(B) Berlin
(C) Madrid
(D) Rome
(E) Lisbon
Answer: (A)

Question: Which planet is the largest in the Solar System?
(A) Earth
(B) Jupiter
(C) Saturn
(D) Venus
(E) Mars
Answer: (B)

Question: What is the chemical formula for water?
(A) CO2
(B) O2
(C) H2O
(D) NaCl
(E) CH4
Answer: (C)

Question: What process do plants use to convert sunlight into chemical energy?
(A) Respiration
(B) Fermentation
(C) Evaporation
(D) Photosynthesis
(E) Condensation
Answer: (D)

Question: What is the primary function of red blood cells?
(A) Transmit nerve signals
(B) Produce bile
(C) Filter lymph
(D) Digest proteins
(E) Carry oxygen
Answer: (E)

Question: According to the paper 'Byte Latent Transformer: Patches Scale Better Than Tokens', if sequence length were not reduced for models with larger patches, they would get an unfair advantage in the form of
(A) lower attention costs
(B) additional model capacity
(C) finer-grained token representations
(D) larger contexts
(E) more bytes per batch"
