target,probe,fact,inference_type,text_sentences,question,answer
 Euclidean distance,"In the paper 'Controlling Text-to-Image Diffusion by Orthogonal Finetuning', the constrained variant COFT enforces $
orm{m{R}-m{I}}\le\epsilon$ so that the finetuned weights lie within a hypersphere of radius $\epsilon$ centered at the pretrained weights $m{M}^0$, which geometrically primarily bounds the $\ell_2$ norm $
orm{m{M}-m{M}^0}_2$, i.e. the","In the paper 'Controlling Text-to-Image Diffusion by Orthogonal Finetuning', the constrained variant COFT enforces $
orm{m{R}-m{I}}\le\epsilon$ so that the finetuned weights lie within a hypersphere of radius $\epsilon$ centered at the pretrained weights $m{M}^0$, which geometrically primarily bounds the $\ell_2$ norm $
orm{m{M}-m{M}^0}_2$, i.e. the Euclidean distance",Mathematical Understanding,"['Constrained Orthogonal Finetuning (COFT) which imposes an additional radius constraint to the hypersphere.', 'which constrains the finetuned model within the hypersphere of a fixed radius centered on the pretrained neurons.', 'Existing finetuning methods implicitly assume that a smaller Euclidean distance between the finetuned model and the pretrained model indicates better preservation of the pretrained ability.', 'The small learning rate implicitly encourages a small deviation from the pretrained model, and the standard finetuning essentially aims to train the model while implicitly minimizing \\| \\bm{M} - \\bm{M}^0\\| where \\bm{M} is the finetuned model weights and \\bm{M}^0 is the pretrained model weights.']","Geometrically, constraining the finetuned model within a fixed-radius hypersphere primarily bounds which quantity?",Euclidean distance
 block-diagonal orthogonality,"In the paper 'Controlling Text-to-Image Diffusion by Orthogonal Finetuning', the authors explain that OFT achieves parameter efficiency by exploiting a sparsity-inducing structure in its orthogonal parameterization, namely","In the paper 'Controlling Text-to-Image Diffusion by Orthogonal Finetuning', the authors explain that OFT achieves parameter efficiency by exploiting a sparsity-inducing structure in its orthogonal parameterization, namely block-diagonal orthogonality",Conceptual Synthesis,"['By adding a low-rank matrix, LoRA prevents the information in the pretrained weight matrix from shifting dramatically. In contrast, OFT controls the transform that applies to the pretrained weight matrix to be orthogonal (full-rank), which prevents the transform to destroy the pretraining information.', 'More interestingly, LoRA and OFT represent two distinct ways to be parameter-efficient. LoRA exploits the low-rank structure to reduce the number of trainable parameters, while OFT takes a different route by exploiting the sparsity structure (i.e., block-diagonal orthogonality).', 'To address this, we propose to represent \\bm{R} with a block-diagonal matrix with r blocks, leading to the following form:', 'For an r-block diagonal orthogonal matrix, the number of parameter is \\thickmuskip=2mu \\medmuskip=2mu d(d/r-1)/2, resulting in a complexity of \\thickmuskip=2mu \\medmuskip=2mu \\mathcal{O}(d^2/r).']",Which structural property does OFT exploit for parameter efficiency (two words)?,block-diagonal orthogonality
 $\mathcal{O}(d^2)$,"In the paper 'Controlling Text-to-Image Diffusion by Orthogonal Finetuning', if you remove the block-diagonal parameterization (set $r=1$), the parameter complexity of $\bm{R}$ becomes","In the paper 'Controlling Text-to-Image Diffusion by Orthogonal Finetuning', if you remove the block-diagonal parameterization (set $r=1$), the parameter complexity of $\bm{R}$ becomes $\mathcal{O}(d^2)$",Conceptual Synthesis,"['For an orthogonal matrix with size d×d, the number of parameters is d(d-1)/2, resulting in a complexity of O(d^2). For an r-block diagonal orthogonal matrix, the number of parameter is d(d/r-1)/2, resulting in a complexity of O(d^2/r).', 'When r=1, then the block-diagonal orthogonal matrix becomes a standard unconstrained one.']","If you remove the block-diagonal parameterization (set r=1), what is the parameter complexity of R?",O(d^2)
 deviation from pretrained behavior,"In the paper 'Controlling Text-to-Image Diffusion by Orthogonal Finetuning', the Constrained Orthogonal Finetuning (COFT) variant adds an explicit $\epsilon$-deviation constraint to keep the finetuned model within a small neighborhood of the pretrained model, thereby addressing the primary risk that plain OFT might still allow:","In the paper 'Controlling Text-to-Image Diffusion by Orthogonal Finetuning', the Constrained Orthogonal Finetuning (COFT) variant adds an explicit $\epsilon$-deviation constraint to keep the finetuned model within a small neighborhood of the pretrained model, thereby addressing the primary risk that plain OFT might still allow: deviation from pretrained behavior",Conceptual Synthesis,"['To improve finetuning stability, we further propose Constrained Orthogonal Finetuning (COFT) which imposes an additional radius constraint to the hypersphere.', 'we further propose an OFT variant -- Constrained Orthogonal Finetuning~(COFT) which constrains the finetuned model within the hypersphere of a fixed radius centered on the pretrained neurons.', 'To further improve stability, we propose a constrained variant which limits the angular deviation from the pretrained model.', 'COFT can be viewed as a combination of two explicit constraints: minimal hyperspherical energy difference and constrained deviation from the pretrained model.']",What primary risk does COFT address that plain OFT might still allow?,deviation from pretrained
 depth-wise convolution,"In the paper 'Controlling Text-to-Image Diffusion by Orthogonal Finetuning', the authors state that when the number of blocks equals the number of input channels, each block transforms a unique neuron channel, analogous to learning","In the paper 'Controlling Text-to-Image Diffusion by Orthogonal Finetuning', the authors state that when the number of blocks equals the number of input channels, each block transforms a unique neuron channel, analogous to learning depth-wise convolution",Conceptual Synthesis,"['Besides fully connected layers, OFT is also well suited for finetuning convolution layers, because the block-diagonal structure of R has interesting interpretations in convolution layers (unlike LoRA). When we use the same number of blocks as the number of input channels, each block only transforms a unique neuron channel, similar to learning depth-wise convolution kernels.']","When blocks equal input channels, OFT's block transforms are analogous to which convolution type (two words)?",depth-wise convolution
 matrix inverse,"In the paper 'Controlling Text-to-Image Diffusion by Orthogonal Finetuning', the authors note that Cayley parametrization requires a costly computational operation that limits scalability — the","In the paper 'Controlling Text-to-Image Diffusion by Orthogonal Finetuning', the authors note that Cayley parametrization requires a costly computational operation that limits scalability — the matrix inverse",Conceptual Synthesis,"['OFT guarantees the orthogonality via Cayley parametrization which involves a matrix inverse. It slightly limits the scalability of OFT.', 'Although we address this limitation using block diagonal parametrization, how to speed up this matrix inverse in a differentiable way remains a challenge.', 'Specifically, we construct the orthogonal matrix with \\thickmuskip=2mu \\medmuskip=2mu \\bm{R}=(\\bm{I}+\\bm{Q})(I-\\bm{Q})^{-1} where $\\bm{Q}$ is a skew-symmetric matrix satisfying \\thickmuskip=2mu \\medmuskip=2mu \\bm{Q}=-\\bm{Q}^\\top$.']",What specific computational operation in Cayley parametrization is identified as a scalability bottleneck?,matrix inverse
 bias,"In the paper 'Controlling Text-to-Image Diffusion by Orthogonal Finetuning', applying block sharing (making blocks identical) is described as primarily increasing the resulting models'","In the paper 'Controlling Text-to-Image Diffusion by Orthogonal Finetuning', applying block sharing (making blocks identical) is described as primarily increasing the resulting models' bias",Conceptual Synthesis,"['We can optionally share the block matrix to further reduce the number of parameters, i.e., \\bm{R}_i=\\bm{R}_j,\\forall i\\neq j. This reduces the parameter complexity to \\mathcal{O}(d^2/r^2).', 'The parameter efficiency of OFT is largely dependent on the block diagonal structure which inevitably introduces additional biases and limits the flexibility.', 'How to improve the parameter efficiency in a more effective and less biased way remains an important open problem.']",Applying block sharing (making blocks identical) primarily increases what in the resulting models?,bias
 radius constraint,"In the paper 'Controlling Text-to-Image Diffusion by Orthogonal Finetuning', the authors propose Constrained Orthogonal Finetuning (COFT), which improves finetuning stability by imposing an additional constraint that bounds the deviation of the Cayley-parameterized orthogonal matrix $\bm{R}$ from the identity via $\|\bm{R}-\bm{I}\|\leq\epsilon$, referred to as the","In the paper 'Controlling Text-to-Image Diffusion by Orthogonal Finetuning', the authors propose Constrained Orthogonal Finetuning (COFT), which improves finetuning stability by imposing an additional constraint that bounds the deviation of the Cayley-parameterized orthogonal matrix $\bm{R}$ from the identity via $\|\bm{R}-\bm{I}\|\leq\epsilon$, referred to as the radius constraint",Mathematical Understanding,"['To improve finetuning stability, we further propose Constrained Orthogonal Finetuning (COFT) which imposes an additional radius constraint to the hypersphere.', 'By jointly taking into consideration that smaller Euclidean distance between the finetuned model and the pretrained model implies better preservation of pretraining performance, we further propose an OFT variant -- Constrained Orthogonal Finetuning~(COFT) which constrains the finetuned model within the hypersphere of a fixed radius centered on the pretrained neurons.', 'which has an orthogonality constraint and an \x1b[1m\x1b[22m\x03b\x03f-deviation constraint to an identity matrix.', ""Therefore, we can move the constraint \\|\\bm{R}-\\bm{I}\\|\\leq\\epsilon inside the Cayley transform, and the equivalent constraint is \\|\\bm{Q}-\\bm{0}\\|\\leq\\epsilon' where \\bm{0} denotes an all-zero matrix and \\epsilon' is another error hyperparameter (different than \\epsilon).""]",What additional constraint does COFT introduce to improve finetuning stability?,radius constraint
 matrix $\bm{Q}$,"According to the paper 'Controlling Text-to-Image Diffusion by Orthogonal Finetuning', in COFT the Cayley parameter that is directly constrained to keep $\bm{R}$ near the identity $\bm{I}$ is the","According to the paper 'Controlling Text-to-Image Diffusion by Orthogonal Finetuning', in COFT the Cayley parameter that is directly constrained to keep $\bm{R}$ near the identity $\bm{I}$ is the matrix $\bm{Q}$",Conceptual Synthesis,"['[""We can move the constraint \\\\|\\\\bm{R}-\\\\bm{I}\\\\|\\\\leq\\\\epsilon inside the Cayley transform, and the equivalent constraint is \\\\|\\\\bm{Q}-\\\\bm{0}\\\\|\\\\leq\\\\epsilon\' where \\\\bm{0} denotes an all-zero matrix and \\\\epsilon\' is another error hyperparameter (different than \\\\epsilon)."", \'To achieve identity initialization for the orthogonal matrix \\\\bm{R}, we initialize \\\\bm{Q} as an all-zero matrix.\']', 'Specifically, we construct the orthogonal matrix with \\(\\bm{R}=(\\bm{I}+\\bm{Q})(I-\\bm{Q})^{-1}\\) where \\(\\bm{Q}\\) is a skew-symmetric matrix satisfying \\(\\bm{Q}=-\\bm{Q}^\\top\\).', 'The new constraint on the matrix \\(\\bm{Q}\\) can be easily enforced by projected gradient descent.']",Which Cayley parameter is directly constrained in COFT to keep R near identity?,matrix Q
 special orthogonal group,"According to the paper 'Controlling Text-to-Image Diffusion by Orthogonal Finetuning', the Cayley parameterization can only produce orthogonal matrices with $\det(\bm{R})=1$, which belong to the","According to the paper 'Controlling Text-to-Image Diffusion by Orthogonal Finetuning', the Cayley parameterization can only produce orthogonal matrices with $\det(\bm{R})=1$, which belong to the special orthogonal group",Conceptual Synthesis,"['Specifically, we construct the orthogonal matrix with \\bm{R}=(\\bm{I}+\\bm{Q})(I-\\bm{Q})^{-1} where \\bm{Q} is a skew-symmetric matrix satisfying \\bm{Q}=-\\bm{Q}^\\top.', 'Such an efficiency comes at a small price -- the Cayley parameterization can only produce orthogonal matrices with determinant 1 which belongs to the special orthogonal group.']",What subset of the orthogonal group does the Cayley parameterization cover?,special orthogonal group
