original_row_index,target,probe,fact,inference_type,source_fact(s),derivation,question,answer,source_facts,text_sentences
1, hyperspherical energy,"According to the paper 'Controlling Text-to-Image Diffusion by Orthogonal Finetuning', OFT should retain pretrained semantic generation ability during finetuning because it preserves the pairwise neuron relationship on the unit hypersphere, called","According to the paper 'Controlling Text-to-Image Diffusion by Orthogonal Finetuning', OFT should retain pretrained semantic generation ability during finetuning because it preserves the pairwise neuron relationship on the unit hypersphere, called hyperspherical energy",Synthesized Insight,"['OFT can provably preserve hyperspherical energy which characterizes the pairwise neuron relationship on the unit hypersphere.', 'We find that this property is crucial for preserving the semantic generation ability of text-to-image diffusion models.']","Since preserving hyperspherical energy is stated to be crucial for semantic generation ability and OFT preserves it, that preserved quantity is the reason OFT should better retain pretrained semantics.",What preserved quantity is the paper's main reason that OFT should retain pretrained semantic generation ability during finetuning?,hyperspherical energy,"['OFT can provably preserve hyperspherical energy which characterizes the pairwise neuron relationship on the unit hypersphere.', 'We find that this property is crucial for preserving the semantic generation ability of text-to-image diffusion models.']","['OFT can provably preserve hyperspherical energy which characterizes the pairwise neuron relationship on the unit hypersphere.', 'We find that this property is crucial for preserving the semantic generation ability of text-to-image diffusion models.']"
2, OFT,"According to the paper 'Controlling Text-to-Image Diffusion by Orthogonal Finetuning', under the assumption $r=r'=\alpha d$, the method whose trainable parameter count grows only linearly with neuron dimension $d$ is","According to the paper 'Controlling Text-to-Image Diffusion by Orthogonal Finetuning', under the assumption $r=r'=\alpha d$, the method whose trainable parameter count grows only linearly with neuron dimension $d$ is OFT",Multi-Fact Integration,"['""If we consider both $r$ and $r\'$ to be dependent on the neuron dimension $d$ (\\emph{e.g.}, $\\thickmuskip=2mu \\medmuskip=2mu r=r\'=\\alpha d$ where $\\thickmuskip=2mu \\medmuskip=2mu 0<\\alpha\\leq 1$ is some constant), then the parameter complexity of LoRA becomes $\\mathcal{O}(d^2+dn)$ and the parameter complexity of OFT becomes $\\mathcal{O}(d)$.""']","Under the paper's shared scaling assumption, only OFT has linear growth in d, so it is the more parameter-efficient method as d increases.","Under the paper's assumption $r=r'=\alpha d$, which method's trainable parameter count grows only linearly with neuron dimension $d$?",OFT,"['""If we consider both $r$ and $r\'$ to be dependent on the neuron dimension $d$ (\\emph{e.g.}, $\\thickmuskip=2mu \\medmuskip=2mu r=r\'=\\alpha d$ where $\\thickmuskip=2mu \\medmuskip=2mu 0<\\alpha\\leq 1$ is some constant), then the parameter complexity of LoRA becomes $\\mathcal{O}(d^2+dn)$ and the parameter complexity of OFT becomes $\\mathcal{O}(d)$.""']","['""If we consider both $r$ and $r\'$ to be dependent on the neuron dimension $d$ (\\emph{e.g.}, $\\thickmuskip=2mu \\medmuskip=2mu r=r\'=\\alpha d$ where $\\thickmuskip=2mu \\medmuskip=2mu 0<\\alpha\\leq 1$ is some constant), then the parameter complexity of LoRA becomes $\\mathcal{O}(d^2+dn)$ and the parameter complexity of OFT becomes $\\mathcal{O}(d)$.""']"
3, avoid destroying pretrained structure,"According to the paper 'Controlling Text-to-Image Diffusion by Orthogonal Finetuning', for finetuning diffusion models, preserving hyperspherical energy is safer than minimizing it because it helps","According to the paper 'Controlling Text-to-Image Diffusion by Orthogonal Finetuning', for finetuning diffusion models, preserving hyperspherical energy is safer than minimizing it because it helps avoid destroying pretrained structure",Synthesized Insight,"['""In contrast, OFT aims to preserve the same hyperspherical energy as the pretrained model so that the intrinsic pretrained structure will not be destroyed by finetuning.""', '""In the case of finetuning diffusion models, minimizing hyperspherical energy could destroy the original semantic structures.""']","If minimizing hyperspherical energy can destroy original semantics, then preserving it is safer because it protects the pretrained structure.","For finetuning diffusion models, why is preserving hyperspherical energy safer than minimizing it?",avoid destroying pretrained structure,"['""In contrast, OFT aims to preserve the same hyperspherical energy as the pretrained model so that the intrinsic pretrained structure will not be destroyed by finetuning.""', '""In the case of finetuning diffusion models, minimizing hyperspherical energy could destroy the original semantic structures.""']","['""In contrast, OFT aims to preserve the same hyperspherical energy as the pretrained model so that the intrinsic pretrained structure will not be destroyed by finetuning.""', '""In the case of finetuning diffusion models, minimizing hyperspherical energy could destroy the original semantic structures.""']"
4, the orthogonality constraint,"According to the paper 'Controlling Text-to-Image Diffusion by Orthogonal Finetuning', in the controllable-generation test, OFT without a certain constraint failed to generate any realistic image and achieved no control effect because it lacked the following:","According to the paper 'Controlling Text-to-Image Diffusion by Orthogonal Finetuning', in the controllable-generation test, OFT without a certain constraint failed to generate any realistic image and achieved no control effect because it lacked the following: the orthogonality constraint",Multi-Fact Integration,"['we find that orthogonal transformation is a sweet spot between flexibility and regularity.', 'In comparison, OFT without the orthogonality constraint fails to generate any realistic image and achieve no control effect.']","Since removing orthogonality destroys both realism and control, the missing regularizing ingredient responsible for OFT's usable behavior is the orthogonality constraint.","In the paper's controllable-generation test, what missing ingredient caused OFT without it to lose both realism and control?",the orthogonality constraint,"['we find that orthogonal transformation is a sweet spot between flexibility and regularity.', 'In comparison, OFT without the orthogonality constraint fails to generate any realistic image and achieve no control effect.']","['we find that orthogonal transformation is a sweet spot between flexibility and regularity.', 'In comparison, OFT without the orthogonality constraint fails to generate any realistic image and achieve no control effect.']"
8, OFT and COFT,"According to the paper 'Controlling Text-to-Image Diffusion by Orthogonal Finetuning', if a user cannot carefully tune the iteration count and may run many iterations, the safer choices are","According to the paper 'Controlling Text-to-Image Diffusion by Orthogonal Finetuning', if a user cannot carefully tune the iteration count and may run many iterations, the safer choices are OFT and COFT",Synthesized Insight,"['After 2000 iterations, DreamBooth starts to generate collapsed images, and LoRA fails to generate yellow shirt (and instead generates yellow fur). In contrast, both OFT and COFT are still able to achieve stable and consistent control over the generated image.', 'We note that the insensitivity to the number of finetuning iteration is quite important, since it can effectively alleviate the trouble of tuning the iteration number for different subjects. For both OFT and COFT, we can directly set a relatively large iteration number without carefully tuning it.']","Since DreamBooth and LoRA degrade at high iteration counts while OFT variants stay stable and are described as insensitive to iteration number, the safer methods under uncertain large iteration counts are OFT and COFT.","If a user cannot carefully tune iteration count and may run many iterations, which methods are the safer choices?",OFT and COFT,"['After 2000 iterations, DreamBooth starts to generate collapsed images, and LoRA fails to generate yellow shirt (and instead generates yellow fur). In contrast, both OFT and COFT are still able to achieve stable and consistent control over the generated image.', 'We note that the insensitivity to the number of finetuning iteration is quite important, since it can effectively alleviate the trouble of tuning the iteration number for different subjects. For both OFT and COFT, we can directly set a relatively large iteration number without carefully tuning it.']","['After 2000 iterations, DreamBooth starts to generate collapsed images, and LoRA fails to generate yellow shirt (and instead generates yellow fur). In contrast, both OFT and COFT are still able to achieve stable and consistent control over the generated image.', 'We note that the insensitivity to the number of finetuning iteration is quite important, since it can effectively alleviate the trouble of tuning the iteration number for different subjects. For both OFT and COFT, we can directly set a relatively large iteration number without carefully tuning it.']"
10, smaller $\epsilon$,"According to the paper 'Controlling Text-to-Image Diffusion by Orthogonal Finetuning', if a practitioner wants COFT to stay closer to the pretrained model rather than behave like OFT, $\epsilon$ should be set to","According to the paper 'Controlling Text-to-Image Diffusion by Orthogonal Finetuning', if a practitioner wants COFT to stay closer to the pretrained model rather than behave like OFT, $\epsilon$ should be set to smaller $\epsilon$",Reasoning Step,"['Figure~\\ref{fig:eps_coft} provides an example on how $\\epsilon$ affects the performance of COFT.', 'We can observe that $\\epsilon$ controls the flexibility of finetuning. With larger $\\epsilon$, the COFT-finetuned model resembles the OFT-finetuned model. With smaller $\\epsilon$, the COFT-finetuned model behaves increasingly similar to the pretrained text-to-image diffusion model.']","If smaller $\epsilon$ makes COFT behave more like the pretrained model, then choosing a smaller $\epsilon$ is the way to keep it closer to pretraining.","If a practitioner wants COFT to stay closer to the pretrained model rather than behave like OFT, how should $\epsilon$ be set?",smaller $\epsilon$,"['Figure~\\ref{fig:eps_coft} provides an example on how $\\epsilon$ affects the performance of COFT.', 'We can observe that $\\epsilon$ controls the flexibility of finetuning. With larger $\\epsilon$, the COFT-finetuned model resembles the OFT-finetuned model. With smaller $\\epsilon$, the COFT-finetuned model behaves increasingly similar to the pretrained text-to-image diffusion model.']","['Figure~\\ref{fig:eps_coft} provides an example on how $\\epsilon$ affects the performance of COFT.', 'We can observe that $\\epsilon$ controls the flexibility of finetuning. With larger $\\epsilon$, the COFT-finetuned model resembles the OFT-finetuned model. With smaller $\\epsilon$, the COFT-finetuned model behaves increasingly similar to the pretrained text-to-image diffusion model.']"
11, semantic generation ability,"According to the paper 'Controlling Text-to-Image Diffusion by Orthogonal Finetuning', if finetuning applies the same orthogonal transformation to all neurons in a layer, it is designed to preserve","According to the paper 'Controlling Text-to-Image Diffusion by Orthogonal Finetuning', if finetuning applies the same orthogonal transformation to all neurons in a layer, it is designed to preserve semantic generation ability",Multi-Fact Integration,"['""We find that this property is crucial for preserving the semantic generation ability of text-to-image diffusion models.""', '""the pairwise hyperspherical similarity is provably preserved if we apply the same orthogonal transformation for all neurons.""']","If an orthogonal layer-shared transform preserves pairwise hyperspherical similarity, and that preservation is stated to be crucial for semantics, then the preserved capability is the model's semantic generation ability.","If finetuning applies the same orthogonal transformation to all neurons in a layer, what pretrained capability is it designed to preserve?",semantic generation ability,"['""We find that this property is crucial for preserving the semantic generation ability of text-to-image diffusion models.""', '""the pairwise hyperspherical similarity is provably preserved if we apply the same orthogonal transformation for all neurons.""']","['""We find that this property is crucial for preserving the semantic generation ability of text-to-image diffusion models.""', '""the pairwise hyperspherical similarity is provably preserved if we apply the same orthogonal transformation for all neurons.""']"
12, sample efficiency,"According to the paper 'Controlling Text-to-Image Diffusion by Orthogonal Finetuning', since OFT can converge with only 5% of ADE20K and with fewer images and epochs overall, this demonstrates its training advantage of","According to the paper 'Controlling Text-to-Image Diffusion by Orthogonal Finetuning', since OFT can converge with only 5% of ADE20K and with fewer images and epochs overall, this demonstrates its training advantage of sample efficiency",Synthesized Insight,"['Moreover, OFT achieves better sample efficiency, as it converges well with a much smaller number of training images and epochs.', 'The right example in Figure~\\ref{fig:teaser} shows that OFT is much more data-efficient than ControlNet and LoRA, since OFT can converge well with only 5\\% of the ADE20K dataset.']",Converging with far fewer images and epochs is exactly the behavior described as better sample efficiency.,"Since OFT can converge with only 5% of ADE20K and with fewer images and epochs overall, what training advantage does this demonstrate?",sample efficiency,"['Moreover, OFT achieves better sample efficiency, as it converges well with a much smaller number of training images and epochs.', 'The right example in Figure~\\ref{fig:teaser} shows that OFT is much more data-efficient than ControlNet and LoRA, since OFT can converge well with only 5\\% of the ADE20K dataset.']","['Moreover, OFT achieves better sample efficiency, as it converges well with a much smaller number of training images and epochs.', 'The right example in Figure~\\ref{fig:teaser} shows that OFT is much more data-efficient than ControlNet and LoRA, since OFT can converge well with only 5\\% of the ADE20K dataset.']"
13, the pretrained model,"According to the paper 'Controlling Text-to-Image Diffusion by Orthogonal Finetuning', if COFT sets its deviation budget to \(\epsilon=0\), it reduces to","According to the paper 'Controlling Text-to-Image Diffusion by Orthogonal Finetuning', if COFT sets its deviation budget to \(\epsilon=0\), it reduces to the pretrained model",Reasoning Step,"['COFT uses the following forward pass: $\\bm{z}=\\bm{W}^\\top\\bm{x}=(\\bm{R}\\cdot\\bm{W}^0)^\\top\\bm{x},~~~\\text{s.t.}~\\bm{R}^\\top\\bm{R}=\\bm{R}\\bm{R}^\\top=\\bm{I},~\\norm{\\bm{R}-\\bm{I}}\\leq \\epsilon$', 'which has an orthogonality constraint and an $\\epsilon$-deviation constraint to an identity matrix.']","If $\epsilon=0$, the deviation constraint forces $\bm{R}=\bm{I}$, so the forward pass uses $\bm{W}^0$ exactly and COFT reduces to the original pretrained model.","If COFT sets its deviation budget to $\epsilon=0$, what model does it reduce to?",the pretrained model,"['COFT uses the following forward pass: $\\bm{z}=\\bm{W}^\\top\\bm{x}=(\\bm{R}\\cdot\\bm{W}^0)^\\top\\bm{x},~~~\\text{s.t.}~\\bm{R}^\\top\\bm{R}=\\bm{R}\\bm{R}^\\top=\\bm{I},~\\norm{\\bm{R}-\\bm{I}}\\leq \\epsilon$', 'which has an orthogonality constraint and an $\\epsilon$-deviation constraint to an identity matrix.']","['COFT uses the following forward pass: $\\bm{z}=\\bm{W}^\\top\\bm{x}=(\\bm{R}\\cdot\\bm{W}^0)^\\top\\bm{x},~~~\\text{s.t.}~\\bm{R}^\\top\\bm{R}=\\bm{R}\\bm{R}^\\top=\\bm{I},~\\norm{\\bm{R}-\\bm{I}}\\leq \\epsilon$', 'which has an orthogonality constraint and an $\\epsilon$-deviation constraint to an identity matrix.']"
14, a rotation or reflection,"According to the paper 'Controlling Text-to-Image Diffusion by Orthogonal Finetuning', OFT achieves zero hyperspherical-energy difference from the pretrained layer by making a layer’s weights undergo","According to the paper 'Controlling Text-to-Image Diffusion by Orthogonal Finetuning', OFT achieves zero hyperspherical-energy difference from the pretrained layer by making a layer’s weights undergo a rotation or reflection",Reasoning Step,"['""One can easily observe that the attainable minimum is zero for Eq.~\\eqref{eq:oft_principle}.""', '""The minimum can be achieved as long as $\\bm{W}$ and $\\bm{W}^0$ differ only up to a rotation or reflection, \\emph{i.e.}, $\\thickmuskip=2mu \\medmuskip=2mu \\bm{W}=\\bm{R}\\bm{W}^0$ in which $\\thickmuskip=2mu \\medmuskip=2mu \\bm{R}\\in\\mathbb{R}^{d\\times d}$ is an orthogonal matrix""']",The paper states that zero hyperspherical-energy difference is attained exactly when the finetuned weights are related to pretrained weights by an orthogonal rotation or reflection.,What kind of change to a layer's weights lets OFT achieve zero hyperspherical-energy difference from the pretrained layer?,a rotation or reflection,"['""One can easily observe that the attainable minimum is zero for Eq.~\\eqref{eq:oft_principle}.""', '""The minimum can be achieved as long as $\\bm{W}$ and $\\bm{W}^0$ differ only up to a rotation or reflection, \\emph{i.e.}, $\\thickmuskip=2mu \\medmuskip=2mu \\bm{W}=\\bm{R}\\bm{W}^0$ in which $\\thickmuskip=2mu \\medmuskip=2mu \\bm{R}\\in\\mathbb{R}^{d\\times d}$ is an orthogonal matrix""']","['""One can easily observe that the attainable minimum is zero for Eq.~\\eqref{eq:oft_principle}.""', '""The minimum can be achieved as long as $\\bm{W}$ and $\\bm{W}^0$ differ only up to a rotation or reflection, \\emph{i.e.}, $\\thickmuskip=2mu \\medmuskip=2mu \\bm{W}=\\bm{R}\\bm{W}^0$ in which $\\thickmuskip=2mu \\medmuskip=2mu \\bm{R}\\in\\mathbb{R}^{d\\times d}$ is an orthogonal matrix""']"
