step,probe_index,mcqa_accuracy,predicted_idx,predicted_label,correct_idx
0,0,1.0,2,C,2
0,1,1.0,0,A,0
0,2,0.0,2,C,3
0,3,0.0,0,A,2
0,4,1.0,4,E,4
0,5,1.0,3,D,3
0,6,0.0,2,C,3
0,7,0.0,1,B,0
0,8,0.0,1,B,0
4,0,1.0,2,C,2
4,1,1.0,0,A,0
4,2,0.0,2,C,3
4,3,0.0,0,A,2
4,4,1.0,4,E,4
4,5,1.0,3,D,3
4,6,0.0,2,C,3
4,7,0.0,1,B,0
4,8,0.0,1,B,0
8,0,1.0,2,C,2
8,1,1.0,0,A,0
8,2,0.0,2,C,3
8,3,0.0,0,A,2
8,4,1.0,4,E,4
8,5,1.0,3,D,3
8,6,0.0,2,C,3
8,7,0.0,1,B,0
8,8,0.0,1,B,0
12,0,1.0,2,C,2
12,1,0.0,1,B,0
12,2,0.0,2,C,3
12,3,0.0,0,A,2
12,4,1.0,4,E,4
12,5,0.0,0,A,3
12,6,0.0,2,C,3
12,7,0.0,1,B,0
12,8,0.0,1,B,0
16,0,1.0,2,C,2
16,1,0.0,1,B,0
16,2,0.0,2,C,3
16,3,0.0,0,A,2
16,4,1.0,4,E,4
16,5,0.0,0,A,3
16,6,0.0,2,C,3
16,7,0.0,1,B,0
16,8,0.0,1,B,0
20,0,1.0,2,C,2
20,1,0.0,1,B,0
20,2,0.0,2,C,3
20,3,0.0,0,A,2
20,4,1.0,4,E,4
20,5,0.0,0,A,3
20,6,0.0,2,C,3
20,7,0.0,1,B,0
20,8,0.0,1,B,0
24,0,1.0,2,C,2
24,1,0.0,1,B,0
24,2,0.0,2,C,3
24,3,0.0,0,A,2
24,4,1.0,4,E,4
24,5,0.0,0,A,3
24,6,0.0,2,C,3
24,7,0.0,1,B,0
24,8,0.0,1,B,0
28,0,1.0,2,C,2
28,1,0.0,1,B,0
28,2,0.0,2,C,3
28,3,0.0,0,A,2
28,4,1.0,4,E,4
28,5,0.0,0,A,3
28,6,0.0,2,C,3
28,7,0.0,1,B,0
28,8,0.0,1,B,0
32,0,0.0,1,B,2
32,1,0.0,1,B,0
32,2,0.0,2,C,3
32,3,0.0,0,A,2
32,4,1.0,4,E,4
32,5,0.0,0,A,3
32,6,0.0,2,C,3
32,7,0.0,1,B,0
32,8,0.0,1,B,0
36,0,0.0,1,B,2
36,1,0.0,1,B,0
36,2,0.0,2,C,3
36,3,0.0,0,A,2
36,4,1.0,4,E,4
36,5,0.0,0,A,3
36,6,0.0,2,C,3
36,7,0.0,1,B,0
36,8,0.0,1,B,0
40,0,0.0,1,B,2
40,1,0.0,1,B,0
40,2,0.0,2,C,3
40,3,0.0,0,A,2
40,4,1.0,4,E,4
40,5,0.0,0,A,3
40,6,0.0,2,C,3
40,7,0.0,1,B,0
40,8,0.0,1,B,0
44,0,0.0,1,B,2
44,1,0.0,1,B,0
44,2,0.0,2,C,3
44,3,0.0,0,A,2
44,4,1.0,4,E,4
44,5,0.0,0,A,3
44,6,0.0,2,C,3
44,7,0.0,1,B,0
44,8,0.0,1,B,0
48,0,0.0,1,B,2
48,1,0.0,1,B,0
48,2,0.0,2,C,3
48,3,0.0,0,A,2
48,4,1.0,4,E,4
48,5,0.0,0,A,3
48,6,0.0,2,C,3
48,7,0.0,1,B,0
48,8,0.0,1,B,0
52,0,0.0,1,B,2
52,1,0.0,1,B,0
52,2,0.0,2,C,3
52,3,0.0,0,A,2
52,4,1.0,4,E,4
52,5,0.0,0,A,3
52,6,0.0,2,C,3
52,7,0.0,1,B,0
52,8,0.0,1,B,0
56,0,0.0,1,B,2
56,1,0.0,1,B,0
56,2,0.0,2,C,3
56,3,0.0,0,A,2
56,4,1.0,4,E,4
56,5,0.0,0,A,3
56,6,0.0,2,C,3
56,7,0.0,1,B,0
56,8,0.0,1,B,0
60,0,0.0,1,B,2
60,1,0.0,1,B,0
60,2,0.0,2,C,3
60,3,0.0,0,A,2
