domain_group,document,source_rows,accepted_rows,fixed_rows,rejected_rows,final_rows,path,backup_path
arxiv,1_58,107,98,8,1,106,probes/arxiv/1_58/facts/probes_v15_mcqa.csv,probes/arxiv/1_58/facts/probes_v15_mcqa.pre_naturalness_repair.csv
arxiv,BOFT,207,186,20,1,206,probes/arxiv/BOFT/facts/probes_v15_mcqa.csv,probes/arxiv/BOFT/facts/probes_v15_mcqa.pre_naturalness_repair.csv
arxiv,ByteLatent,378,338,40,0,378,probes/arxiv/ByteLatent/facts/probes_v15_mcqa.csv,probes/arxiv/ByteLatent/facts/probes_v15_mcqa.pre_naturalness_repair.csv
arxiv,DPO,235,210,24,1,234,probes/arxiv/DPO/facts/probes_v15_mcqa.csv,probes/arxiv/DPO/facts/probes_v15_mcqa.pre_naturalness_repair.csv
arxiv,FeatLLM,212,198,13,1,211,probes/arxiv/FeatLLM/facts/probes_v15_mcqa.csv,probes/arxiv/FeatLLM/facts/probes_v15_mcqa.pre_naturalness_repair.csv
arxiv,GRPO,322,298,15,9,313,probes/arxiv/GRPO/facts/probes_v15_mcqa.csv,probes/arxiv/GRPO/facts/probes_v15_mcqa.pre_naturalness_repair.csv
arxiv,GSPO,124,109,12,3,121,probes/arxiv/GSPO/facts/probes_v15_mcqa.csv,probes/arxiv/GSPO/facts/probes_v15_mcqa.pre_naturalness_repair.csv
arxiv,LongRoPE,236,203,28,5,231,probes/arxiv/LongRoPE/facts/probes_v15_mcqa.csv,probes/arxiv/LongRoPE/facts/probes_v15_mcqa.pre_naturalness_repair.csv
arxiv,OFT,271,242,28,1,270,probes/arxiv/OFT/facts/probes_v15_mcqa.csv,probes/arxiv/OFT/facts/probes_v15_mcqa.pre_naturalness_repair.csv
arxiv,QLoRA,303,268,30,5,298,probes/arxiv/QLoRA/facts/probes_v15_mcqa.csv,probes/arxiv/QLoRA/facts/probes_v15_mcqa.pre_naturalness_repair.csv
arxiv,fa3,204,183,20,1,203,probes/arxiv/fa3/facts/probes_v15_mcqa.csv,probes/arxiv/fa3/facts/probes_v15_mcqa.pre_naturalness_repair.csv
arxiv,xLSTM,164,145,18,1,163,probes/arxiv/xLSTM/facts/probes_v15_mcqa.csv,probes/arxiv/xLSTM/facts/probes_v15_mcqa.pre_naturalness_repair.csv
legal,America_First_Legal_Foundation_v_Jamieson_Greer,49,46,3,0,49,probes/legal/America_First_Legal_Foundation_v_Jamieson_Greer/facts/probes_v15_mcqa.csv,probes/legal/America_First_Legal_Foundation_v_Jamieson_Greer/facts/probes_v15_mcqa.pre_naturalness_repair.csv
legal,Apex_Bank_v_Cc_Serve_Corp,56,52,4,0,56,probes/legal/Apex_Bank_v_Cc_Serve_Corp/facts/probes_v15_mcqa.csv,probes/legal/Apex_Bank_v_Cc_Serve_Corp/facts/probes_v15_mcqa.pre_naturalness_repair.csv
legal,Bruce_Cohen_v_Consilio_LLC,50,46,4,0,50,probes/legal/Bruce_Cohen_v_Consilio_LLC/facts/probes_v15_mcqa.csv,probes/legal/Bruce_Cohen_v_Consilio_LLC/facts/probes_v15_mcqa.pre_naturalness_repair.csv
legal,Finesse_Wireless_LLC_v_Att_Mobility_LLC,61,57,4,0,61,probes/legal/Finesse_Wireless_LLC_v_Att_Mobility_LLC/facts/probes_v15_mcqa.csv,probes/legal/Finesse_Wireless_LLC_v_Att_Mobility_LLC/facts/probes_v15_mcqa.pre_naturalness_repair.csv
legal,Foad_Farahi_v_FBI,62,59,3,0,62,probes/legal/Foad_Farahi_v_FBI/facts/probes_v15_mcqa.csv,probes/legal/Foad_Farahi_v_FBI/facts/probes_v15_mcqa.pre_naturalness_repair.csv
legal,Jimenez_v_Bondi,100,90,10,0,100,probes/legal/Jimenez_v_Bondi/facts/probes_v15_mcqa.csv,probes/legal/Jimenez_v_Bondi/facts/probes_v15_mcqa.pre_naturalness_repair.csv
legal,Pacito_v_Trump,41,37,4,0,41,probes/legal/Pacito_v_Trump/facts/probes_v15_mcqa.csv,probes/legal/Pacito_v_Trump/facts/probes_v15_mcqa.pre_naturalness_repair.csv
legal,Santos_v_Kimmel,37,32,5,0,37,probes/legal/Santos_v_Kimmel/facts/probes_v15_mcqa.csv,probes/legal/Santos_v_Kimmel/facts/probes_v15_mcqa.pre_naturalness_repair.csv
legal,United_States_v_Constantinescu,38,36,2,0,38,probes/legal/United_States_v_Constantinescu/facts/probes_v15_mcqa.csv,probes/legal/United_States_v_Constantinescu/facts/probes_v15_mcqa.pre_naturalness_repair.csv
