probe,target,correct_label,formatted_question,option_a,option_b,option_c,option_d,option_e,distractors,fact,raw_knowledge_statement,section,formatted_question_5shot,domain_group,document,v15_row_index,review_id,review_reason,issue_categories
"According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", on what kinds of devices does the use of 1.58-bit LLMs have the potential to greatly improve the performance of language models?",edge and mobile devices.,(E),"According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", on what kinds of devices does the use of 1.58-bit LLMs have the potential to greatly improve the performance of language models?
(A) specialized LPU hardware.
(B) long-context inputs.
(C) single-chip systems.
(D) cloud and data-center servers.
(E) edge and mobile devices.",specialized LPU hardware.,long-context inputs.,single-chip systems.,cloud and data-center servers.,edge and mobile devices.,"[""long-context inputs."", ""single-chip systems."", ""specialized LPU hardware."", ""cloud and data-center servers.""]","According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", the use of 1.58-bit LLMs has the potential to greatly improve the performance of language models on edge and mobile devices.",The use of 1.58-bit LLMs has the potential to greatly improve the performance of language models on edge and mobile devices.,Discussion and Future Work,"Question: Which city is the capital of France?
(A) Paris
(B) Berlin
(C) Madrid
(D) Rome
(E) Lisbon
Answer: (A)

Question: Which planet is the largest in the Solar System?
(A) Earth
(B) Jupiter
(C) Saturn
(D) Venus
(E) Mars
Answer: (B)

Question: What is the chemical formula for water?
(A) CO2
(B) O2
(C) H2O
(D) NaCl
(E) CH4
Answer: (C)

Question: What process do plants use to convert sunlight into chemical energy?
(A) Respiration
(B) Fermentation
(C) Evaporation
(D) Photosynthesis
(E) Condensation
Answer: (D)

Question: What is the primary function of red blood cells?
(A) Transmit nerve signals
(B) Produce bile
(C) Filter lymph
(D) Digest proteins
(E) Carry oxygen
Answer: (E)

Question: According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", on what kinds of devices does the use of 1.58-bit LLMs have the potential to greatly improve the performance of language models?
(A) specialized LPU hardware.
(B) long-context inputs.
(C) single-chip systems.
(D) cloud and data-center servers.
(E) edge and mobile devices.",arxiv,1_58,100,arxiv/1_58/100,"Stem asks for devices, but one option is an input/context rather than a device.",answer_type_mismatch
"Q: According to the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization"", in the butterfly factorization used to generate a $d$-dimensional dense matrix as a product of $\mathcal{O}(\log d)$ sparse matrices, each sparse matrix has how many non-zero entries?",$\mathcal{O}(d)$ non-zero entries.,(A),"Q: According to the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization"", in the butterfly factorization used to generate a $d$-dimensional dense matrix as a product of $\mathcal{O}(\log d)$ sparse matrices, each sparse matrix has how many non-zero entries?
(A) $\mathcal{O}(d)$ non-zero entries.
(B) $\mathcal{O}(d\log d)$ non-zero entries.
(C) $\mathcal{O}(d^2)$ non-zero entries.
(D) a low-rank structure with rank $r \ll d$.
(E) a fixed block-diagonal sparsity pattern.",$\mathcal{O}(d)$ non-zero entries.,$\mathcal{O}(d\log d)$ non-zero entries.,$\mathcal{O}(d^2)$ non-zero entries.,a low-rank structure with rank $r \ll d$.,a fixed block-diagonal sparsity pattern.,"[""$\\mathcal{O}(d\\log d)$ non-zero entries."", ""$\\mathcal{O}(d^2)$ non-zero entries."", ""a fixed block-diagonal sparsity pattern."", ""a low-rank structure with rank $r \\ll d$.""]","According to the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization"", in the butterfly factorization used to generate a $d$-dimensional dense matrix as a product of $\mathcal{O}(\log d)$ sparse matrices, each sparse matrix has $\mathcal{O}(d)$ non-zero entries.","With butterfly factorization, we are able to generate a $d$-dimensional dense matrix with a product of $\mathcal{O}(\log d)$ sparse matrices, each with $\mathcal{O}(d)$ non-zero entries.",Introduction,"Question: Which city is the capital of France?
(A) Paris
(B) Berlin
(C) Madrid
(D) Rome
(E) Lisbon
Answer: (A)

Question: Which planet is the largest in the Solar System?
(A) Earth
(B) Jupiter
(C) Saturn
(D) Venus
(E) Mars
Answer: (B)

Question: What is the chemical formula for water?
(A) CO2
(B) O2
(C) H2O
(D) NaCl
(E) CH4
Answer: (C)

Question: What process do plants use to convert sunlight into chemical energy?
(A) Respiration
(B) Fermentation
(C) Evaporation
(D) Photosynthesis
(E) Condensation
Answer: (D)

Question: What is the primary function of red blood cells?
(A) Transmit nerve signals
(B) Produce bile
(C) Filter lymph
(D) Digest proteins
(E) Carry oxygen
Answer: (E)

Question: Q: According to the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization"", in the butterfly factorization used to generate a $d$-dimensional dense matrix as a product of $\mathcal{O}(\log d)$ sparse matrices, each sparse matrix has how many non-zero entries?
(A) $\mathcal{O}(d)$ non-zero entries.
(B) $\mathcal{O}(d\log d)$ non-zero entries.
(C) $\mathcal{O}(d^2)$ non-zero entries.
(D) a low-rank structure with rank $r \ll d$.
(E) a fixed block-diagonal sparsity pattern.",arxiv,BOFT,53,arxiv/BOFT/53,"Stem has a leading Q: and asks for a count, but two options are matrix structures rather than counts.",formatting;answer_type_mismatch
"According to the paper ""Direct Preference Optimization: Your Language Model is Secretly a Reward Model"", in the single-turn dialogue setting using the Anthropic Helpful and Harmless dialogue dataset, how many dialogues does the dataset contain?",170k dialogues.,(C),"According to the paper ""Direct Preference Optimization: Your Language Model is Secretly a Reward Model"", in the single-turn dialogue setting using the Anthropic Helpful and Harmless dialogue dataset, how many dialogues does the dataset contain?
(A) 250k dialogues.
(B) 70k dialogues.
(C) 170k dialogues.
(D) 100k dialogues.
(E) three different open-ended text generation tasks.",250k dialogues.,70k dialogues.,170k dialogues.,100k dialogues.,three different open-ended text generation tasks.,"[""70k dialogues."", ""100k dialogues."", ""250k dialogues."", ""three different open-ended text generation tasks.""]","According to the paper ""Direct Preference Optimization: Your Language Model is Secretly a Reward Model"", in the single-turn dialogue setting using the Anthropic Helpful and Harmless dialogue dataset, the dataset contains 170k dialogues.","A policy must produce an engaging and helpful response $y$ to a user's query; we use the Anthropic Helpful and Harmless dialogue dataset \citep{bai2022training}, containing 170k dialogues between a human and an automated assistant.",Experiments,"Question: Which city is the capital of France?
(A) Paris
(B) Berlin
(C) Madrid
(D) Rome
(E) Lisbon
Answer: (A)

Question: Which planet is the largest in the Solar System?
(A) Earth
(B) Jupiter
(C) Saturn
(D) Venus
(E) Mars
Answer: (B)

Question: What is the chemical formula for water?
(A) CO2
(B) O2
(C) H2O
(D) NaCl
(E) CH4
Answer: (C)

Question: What process do plants use to convert sunlight into chemical energy?
(A) Respiration
(B) Fermentation
(C) Evaporation
(D) Photosynthesis
(E) Condensation
Answer: (D)

Question: What is the primary function of red blood cells?
(A) Transmit nerve signals
(B) Produce bile
(C) Filter lymph
(D) Digest proteins
(E) Carry oxygen
Answer: (E)

Question: According to the paper ""Direct Preference Optimization: Your Language Model is Secretly a Reward Model"", in the single-turn dialogue setting using the Anthropic Helpful and Harmless dialogue dataset, how many dialogues does the dataset contain?
(A) 250k dialogues.
(B) 70k dialogues.
(C) 170k dialogues.
(D) 100k dialogues.
(E) three different open-ended text generation tasks.",arxiv,DPO,144,arxiv/DPO/144,"The stem asks for a number of dialogues, but one option is a task-description phrase; making a clean five-option count question would require inventing a new distractor.",option_type_mismatch
"In the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", on how many different tabular datasets do the authors evaluate \textsf{FeatLLM} in low-shot regimes?",13 different tabular datasets.,(D),"In the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", on how many different tabular datasets do the authors evaluate \textsf{FeatLLM} in low-shot regimes?
(A) the OpenML-CC18 benchmark suite.
(B) 12 binary tabular datasets.
(C) a range of real-world tabular problems.
(D) 13 different tabular datasets.
(E) 15 tabular classification benchmarks.",the OpenML-CC18 benchmark suite.,12 binary tabular datasets.,a range of real-world tabular problems.,13 different tabular datasets.,15 tabular classification benchmarks.,"[""12 binary tabular datasets."", ""15 tabular classification benchmarks."", ""a range of real-world tabular problems."", ""the OpenML-CC18 benchmark suite.""]","In the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", the authors evaluate \textsf{FeatLLM} in low-shot regimes on 13 different tabular datasets.","We evaluate \textsf{FeatLLM} on 13 different tabular datasets in low-shot regimes, showing its strong and robust performance.",Introduction,"Question: Which city is the capital of France?
(A) Paris
(B) Berlin
(C) Madrid
(D) Rome
(E) Lisbon
Answer: (A)

Question: Which planet is the largest in the Solar System?
(A) Earth
(B) Jupiter
(C) Saturn
(D) Venus
(E) Mars
Answer: (B)

Question: What is the chemical formula for water?
(A) CO2
(B) O2
(C) H2O
(D) NaCl
(E) CH4
Answer: (C)

Question: What process do plants use to convert sunlight into chemical energy?
(A) Respiration
(B) Fermentation
(C) Evaporation
(D) Photosynthesis
(E) Condensation
Answer: (D)

Question: What is the primary function of red blood cells?
(A) Transmit nerve signals
(B) Produce bile
(C) Filter lymph
(D) Digest proteins
(E) Carry oxygen
Answer: (E)

Question: In the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", on how many different tabular datasets do the authors evaluate \textsf{FeatLLM} in low-shot regimes?
(A) the OpenML-CC18 benchmark suite.
(B) 12 binary tabular datasets.
(C) a range of real-world tabular problems.
(D) 13 different tabular datasets.
(E) 15 tabular classification benchmarks.",arxiv,FeatLLM,43,arxiv/FeatLLM/43,"The stem asks for a number of datasets, but two options are not counts; a clean five-option count question would require arbitrary new distractors.",option_type_mismatch
"According to the paper ""DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models"", how many math tokens does the DeepSeekMath Corpus comprise?",120B math tokens.,(A),"According to the paper ""DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models"", how many math tokens does the DeepSeekMath Corpus comprise?
(A) 120B math tokens.
(B) 54B math tokens.
(C) 120B Common Crawl web pages.
(D) 540B math and science tokens.
(E) OpenWebMath examples and curated negative web pages.",120B math tokens.,54B math tokens.,120B Common Crawl web pages.,540B math and science tokens.,OpenWebMath examples and curated negative web pages.,"[""54B math tokens."", ""120B Common Crawl web pages."", ""540B math and science tokens."", ""OpenWebMath examples and curated negative web pages.""]","According to the paper ""DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models"", the DeepSeekMath Corpus comprises 120B math tokens.","To achieve this, we create the DeepSeekMath Corpus, a large-scale high-quality pre-training corpus comprising 120B math tokens.",Introduction,"Question: Which city is the capital of France?
(A) Paris
(B) Berlin
(C) Madrid
(D) Rome
(E) Lisbon
Answer: (A)

Question: Which planet is the largest in the Solar System?
(A) Earth
(B) Jupiter
(C) Saturn
(D) Venus
(E) Mars
Answer: (B)

Question: What is the chemical formula for water?
(A) CO2
(B) O2
(C) H2O
(D) NaCl
(E) CH4
Answer: (C)

Question: What process do plants use to convert sunlight into chemical energy?
(A) Respiration
(B) Fermentation
(C) Evaporation
(D) Photosynthesis
(E) Condensation
Answer: (D)

Question: What is the primary function of red blood cells?
(A) Transmit nerve signals
(B) Produce bile
(C) Filter lymph
(D) Digest proteins
(E) Carry oxygen
Answer: (E)

Question: According to the paper ""DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models"", how many math tokens does the DeepSeekMath Corpus comprise?
(A) 120B math tokens.
(B) 54B math tokens.
(C) 120B Common Crawl web pages.
(D) 540B math and science tokens.
(E) OpenWebMath examples and curated negative web pages.",arxiv,GRPO,8,arxiv/GRPO/8,"The stem asks for a number of math tokens, but distractors include web pages and examples; repairing would require inventing new numeric distractors.",option_type_mismatch
"According to the paper ""DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models"", after four iterations of the data collection process for the mathematical web corpus, how many mathematical web pages did the authors end up with?",35.5M mathematical web pages.,(D),"According to the paper ""DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models"", after four iterations of the data collection process for the mathematical web corpus, how many mathematical web pages did the authors end up with?
(A) the top 40B tokens of recalled mathematical web pages.
(B) 120B tokens of mathematical web text.
(C) 40M mathematical web pages.
(D) 35.5M mathematical web pages.
(E) a benchmark-filtered corpus built from GSM8K- and MATH-style data.",the top 40B tokens of recalled mathematical web pages.,120B tokens of mathematical web text.,40M mathematical web pages.,35.5M mathematical web pages.,a benchmark-filtered corpus built from GSM8K- and MATH-style data.,"[""120B tokens of mathematical web text."", ""the top 40B tokens of recalled mathematical web pages."", ""40M mathematical web pages."", ""a benchmark-filtered corpus built from GSM8K- and MATH-style data.""]","According to the paper ""DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models"", after four iterations of the data collection process for the mathematical web corpus, the authors ended up with 35.5M mathematical web pages.","After four iterations of data collection, we end up with 35.5M mathematical web pages, totaling 120B tokens.",Math Pre-Training,"Question: Which city is the capital of France?
(A) Paris
(B) Berlin
(C) Madrid
(D) Rome
(E) Lisbon
Answer: (A)

Question: Which planet is the largest in the Solar System?
(A) Earth
(B) Jupiter
(C) Saturn
(D) Venus
(E) Mars
Answer: (B)

Question: What is the chemical formula for water?
(A) CO2
(B) O2
(C) H2O
(D) NaCl
(E) CH4
Answer: (C)

Question: What process do plants use to convert sunlight into chemical energy?
(A) Respiration
(B) Fermentation
(C) Evaporation
(D) Photosynthesis
(E) Condensation
Answer: (D)

Question: What is the primary function of red blood cells?
(A) Transmit nerve signals
(B) Produce bile
(C) Filter lymph
(D) Digest proteins
(E) Carry oxygen
Answer: (E)

Question: According to the paper ""DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models"", after four iterations of the data collection process for the mathematical web corpus, how many mathematical web pages did the authors end up with?
(A) the top 40B tokens of recalled mathematical web pages.
(B) 120B tokens of mathematical web text.
(C) 40M mathematical web pages.
(D) 35.5M mathematical web pages.
(E) a benchmark-filtered corpus built from GSM8K- and MATH-style data.",arxiv,GRPO,103,arxiv/GRPO/103,"The stem asks how many mathematical web pages were collected, but most distractors are token counts or corpus descriptions; clean repair would require arbitrary page-count distractors.",option_type_mismatch
"According to the paper ""DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models"", across how many benchmarks in English and Chinese do the authors evaluate DeepSeekMath-Base’s performance on mathematical problem solving using few-shot chain-of-thought prompting?",eight benchmarks.,(A),"According to the paper ""DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models"", across how many benchmarks in English and Chinese do the authors evaluate DeepSeekMath-Base’s performance on mathematical problem solving using few-shot chain-of-thought prompting?
(A) eight benchmarks.
(B) six benchmarks.
(C) GSM8K and MATH.
(D) two benchmarks.
(E) MMLU-STEM and Gaokao-MathQA.",eight benchmarks.,six benchmarks.,GSM8K and MATH.,two benchmarks.,MMLU-STEM and Gaokao-MathQA.,"[""two benchmarks."", ""six benchmarks."", ""MMLU-STEM and Gaokao-MathQA."", ""GSM8K and MATH.""]","According to the paper ""DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models"", the authors evaluate DeepSeekMath-Base’s performance on mathematical problem solving using few-shot chain-of-thought prompting across English and Chinese with eight benchmarks.","We evaluate DeepSeekMath-Base's performance of solving mathematical problems using few-shot chain-of-thought prompting \citep{cot}, across eight benchmarks in English and Chinese.",Math Pre-Training,"Question: Which city is the capital of France?
(A) Paris
(B) Berlin
(C) Madrid
(D) Rome
(E) Lisbon
Answer: (A)

Question: Which planet is the largest in the Solar System?
(A) Earth
(B) Jupiter
(C) Saturn
(D) Venus
(E) Mars
Answer: (B)

Question: What is the chemical formula for water?
(A) CO2
(B) O2
(C) H2O
(D) NaCl
(E) CH4
Answer: (C)

Question: What process do plants use to convert sunlight into chemical energy?
(A) Respiration
(B) Fermentation
(C) Evaporation
(D) Photosynthesis
(E) Condensation
Answer: (D)

Question: What is the primary function of red blood cells?
(A) Transmit nerve signals
(B) Produce bile
(C) Filter lymph
(D) Digest proteins
(E) Carry oxygen
Answer: (E)

Question: According to the paper ""DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models"", across how many benchmarks in English and Chinese do the authors evaluate DeepSeekMath-Base’s performance on mathematical problem solving using few-shot chain-of-thought prompting?
(A) eight benchmarks.
(B) six benchmarks.
(C) GSM8K and MATH.
(D) two benchmarks.
(E) MMLU-STEM and Gaokao-MathQA.",arxiv,GRPO,126,arxiv/GRPO/126,"The stem asks for a benchmark count, but two distractors are benchmark names rather than counts; clean repair would require arbitrary numeric distractors.",option_type_mismatch
"According to the paper ""DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models"", the constructed mathematical instruction-tuning dataset covers problems in which two languages?",English and Chinese.,(A),"According to the paper ""DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models"", the constructed mathematical instruction-tuning dataset covers problems in which two languages?
(A) English and Chinese.
(B) GSM8K and MATH
(C) algebra and geometry
(D) undergraduate and olympiad mathematics
(E) number theory and calculus",English and Chinese.,GSM8K and MATH,algebra and geometry,undergraduate and olympiad mathematics,number theory and calculus,"[""algebra and geometry"", ""GSM8K and MATH"", ""number theory and calculus"", ""undergraduate and olympiad mathematics""]","According to the paper ""DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models"", the constructed mathematical instruction-tuning dataset covers problems in English and Chinese.","We construct a mathematical instruction-tuning dataset covering English and Chinese problems from different mathematical fields and of varying complexity levels: problems are paired with solutions in chain-of-thought (CoT) \citep{cot}, program-of-thought (PoT) \citep{pot,pal}, and tool-integrated reasoning format \citep{tora}.",Supervised Fine-Tuning,"Question: Which city is the capital of France?
(A) Paris
(B) Berlin
(C) Madrid
(D) Rome
(E) Lisbon
Answer: (A)

Question: Which planet is the largest in the Solar System?
(A) Earth
(B) Jupiter
(C) Saturn
(D) Venus
(E) Mars
Answer: (B)

Question: What is the chemical formula for water?
(A) CO2
(B) O2
(C) H2O
(D) NaCl
(E) CH4
Answer: (C)

Question: What process do plants use to convert sunlight into chemical energy?
(A) Respiration
(B) Fermentation
(C) Evaporation
(D) Photosynthesis
(E) Condensation
Answer: (D)

Question: What is the primary function of red blood cells?
(A) Transmit nerve signals
(B) Produce bile
(C) Filter lymph
(D) Digest proteins
(E) Carry oxygen
Answer: (E)

Question: According to the paper ""DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models"", the constructed mathematical instruction-tuning dataset covers problems in which two languages?
(A) English and Chinese.
(B) GSM8K and MATH
(C) algebra and geometry
(D) undergraduate and olympiad mathematics
(E) number theory and calculus",arxiv,GRPO,144,arxiv/GRPO/144,"The stem asks for two languages, but most distractors are datasets or math fields; clean repair would require arbitrary language-pair distractors.",option_type_mismatch
"According to the paper ""DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models"", DeepSeekMath-RL 7B’s performance on GSM8K and MATH surpasses all open-source models in what parameter range?",7B to 70B range.,(C),"According to the paper ""DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models"", DeepSeekMath-RL 7B’s performance on GSM8K and MATH surpasses all open-source models in what parameter range?
(A) 13B to 70B range.
(B) 7B to 67B range.
(C) 7B to 70B range.
(D) chain-of-thought reasoning setting.
(E) English and Chinese benchmarks.",13B to 70B range.,7B to 67B range.,7B to 70B range.,chain-of-thought reasoning setting.,English and Chinese benchmarks.,"[""7B to 67B range."", ""13B to 70B range."", ""chain-of-thought reasoning setting."", ""English and Chinese benchmarks.""]","According to the paper ""DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models"", DeepSeekMath-RL 7B’s performance on GSM8K and MATH surpasses all open-source models in the 7B to 70B range.","This performance surpasses that of all open-source models in the 7B to 70B range, as well as the majority of closed-source models.",Reinforcement Learning,"Question: Which city is the capital of France?
(A) Paris
(B) Berlin
(C) Madrid
(D) Rome
(E) Lisbon
Answer: (A)

Question: Which planet is the largest in the Solar System?
(A) Earth
(B) Jupiter
(C) Saturn
(D) Venus
(E) Mars
Answer: (B)

Question: What is the chemical formula for water?
(A) CO2
(B) O2
(C) H2O
(D) NaCl
(E) CH4
Answer: (C)

Question: What process do plants use to convert sunlight into chemical energy?
(A) Respiration
(B) Fermentation
(C) Evaporation
(D) Photosynthesis
(E) Condensation
Answer: (D)

Question: What is the primary function of red blood cells?
(A) Transmit nerve signals
(B) Produce bile
(C) Filter lymph
(D) Digest proteins
(E) Carry oxygen
Answer: (E)

Question: According to the paper ""DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models"", DeepSeekMath-RL 7B’s performance on GSM8K and MATH surpasses all open-source models in what parameter range?
(A) 13B to 70B range.
(B) 7B to 67B range.
(C) 7B to 70B range.
(D) chain-of-thought reasoning setting.
(E) English and Chinese benchmarks.",arxiv,GRPO,212,arxiv/GRPO/212,"Stem asks for a parameter range, but some options are settings or benchmark groups rather than ranges.",option_type_mismatch
"According to the paper ""DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models"", what model does PPO/GRPO use to initialize the policy model before reinforcing it with outputs sampled from the real-time policy model?",the SFT model,(E),"According to the paper ""DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models"", what model does PPO/GRPO use to initialize the policy model before reinforcing it with outputs sampled from the real-time policy model?
(A) human-selected SFT data
(B) the real-time policy model
(C) a neural reward model
(D) the pretrained model
(E) the SFT model",human-selected SFT data,the real-time policy model,a neural reward model,the pretrained model,the SFT model,"[""the pretrained model"", ""a neural reward model"", ""the real-time policy model"", ""human-selected SFT data""]","According to the paper ""DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models"", PPO/GRPO initialize the policy model before reinforcing it with outputs sampled from the real-time policy model using the SFT model",\item \textbf{PPO/GRPO}: PPO/GRPO initializes the policy model using the SFT model and reinforces it with the outputs sampled from the real-time policy model.,Discussion,"Question: Which city is the capital of France?
(A) Paris
(B) Berlin
(C) Madrid
(D) Rome
(E) Lisbon
Answer: (A)

Question: Which planet is the largest in the Solar System?
(A) Earth
(B) Jupiter
(C) Saturn
(D) Venus
(E) Mars
Answer: (B)

Question: What is the chemical formula for water?
(A) CO2
(B) O2
(C) H2O
(D) NaCl
(E) CH4
Answer: (C)

Question: What process do plants use to convert sunlight into chemical energy?
(A) Respiration
(B) Fermentation
(C) Evaporation
(D) Photosynthesis
(E) Condensation
Answer: (D)

Question: What is the primary function of red blood cells?
(A) Transmit nerve signals
(B) Produce bile
(C) Filter lymph
(D) Digest proteins
(E) Carry oxygen
Answer: (E)

Question: According to the paper ""DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models"", what model does PPO/GRPO use to initialize the policy model before reinforcing it with outputs sampled from the real-time policy model?
(A) human-selected SFT data
(B) the real-time policy model
(C) a neural reward model
(D) the pretrained model
(E) the SFT model",arxiv,GRPO,247,arxiv/GRPO/247,"Stem asks for a model, but one option is a data source rather than a model.",option_type_mismatch
