target,probe,fact,question,text_sentences,prior_knowledge,question_explanation,inference_explanation,answer
 recall,"According to the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', the authors decontaminate the training corpus by removing any text segment containing an exact $10$-gram match to evaluation benchmarks. If this exact-match filter were tightened from $10$-grams to $20$-grams, which primary retrieval metric would most likely decrease?","According to the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', the authors decontaminate the training corpus by removing any text segment containing an exact $10$-gram match to evaluation benchmarks. If this exact-match filter were tightened from $10$-grams to $20$-grams, which primary retrieval metric would most likely decrease? recall","If the exact-match filter were increased from 10-grams to 20-grams, what primary retrieval metric would likely drop?",['any text segment containing a 10-gram string that matches exactly with any sub-string from the evaluation benchmarks is removed from our math training corpus.'],Effects of stricter matching criteria on precision and recall in information retrieval.,It asks which metric worsens when increasing n-gram length in exact matching.,"Stricter (longer) n-grams reduce matches to true contamination, lowering recall.",recall
 on-policy adaptation,"In the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', the authors explain that, compared to offline RFT (Rejection Sampling Fine-Tuning), GRPO performs on-policy updates by sampling outputs from the real-time policy and using instruction-tuning data, thereby strengthening the model's capability for","In the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', the authors explain that, compared to offline RFT (Rejection Sampling Fine-Tuning), GRPO performs on-policy updates by sampling outputs from the real-time policy and using instruction-tuning data, thereby strengthening the model's capability for on-policy adaptation","Compared to offline RFT, which capability is strengthened by GRPO’s on-policy updates using instruction data?","['We also conduct extensive experiments, e.g., online v.s. offline training, outcome v.s. process supervision, single-turn v.s. iterative reinforcement learning, and so on to deeply investigate the essential elements of this paradigm.', 'GRPO obtains a substantial improvement over the strong DeepSeekMath-Instruct']",Difference between on-policy and offline learning; benefits of on-policy adaptation.,It asks what is improved by on-policy RL relative to offline fine-tuning.,"On-policy methods adapt the policy to its current behavior distribution, improving on-policy adaptation.",on-policy adaptation
 template memorization,"According to the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', the authors apply URL-based deduplication and near-deduplication to Common Crawl during data collection, and during pretraining on web math pages this near-deduplication primarily mitigates the overfitting risk of","According to the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', the authors apply URL-based deduplication and near-deduplication to Common Crawl during data collection, and during pretraining on web math pages this near-deduplication primarily mitigates the overfitting risk of template memorization",What overfitting risk does near-deduplication primarily mitigate when pretraining on web math pages?,"['To reduce the size of the original Common Crawl, we employ URL-based deduplication and near-deduplication techniques']",Duplicate content can cause models to memorize templates rather than learn generalizable patterns.,It asks which specific overfitting issue deduplication addresses.,Removing near-duplicates reduces repeated patterns that encourage template memorization.,template memorization
 a control variate,"In the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', under the described GRPO scheme that replaces PPO's critic with a baseline estimated from group scores (i.e., using the group mean $\bar r = \frac{1}{G}\sum_{i=1}^G r_i$ to form advantages $\hat A_{i,t}=r_i-\bar r$ or the normalized variant $\hat A_{i,t}=\frac{r_i-{\rm mean}(\mathbf{r})}{{\rm std}(\mathbf{r})}$), the baseline's role in variance reduction corresponds to a classical technique known as","In the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', under the described GRPO scheme that replaces PPO's critic with a baseline estimated from group scores (i.e., using the group mean $\bar r = \frac{1}{G}\sum_{i=1}^G r_i$ to form advantages $\hat A_{i,t}=r_i-\bar r$ or the normalized variant $\hat A_{i,t}=\frac{r_i-{\rm mean}(\mathbf{r})}{{\rm std}(\mathbf{r})}$), the baseline's role in variance reduction corresponds to a classical technique known as a control variate","Under the described GRPO scheme that replaces PPO’s critic with a baseline estimated from group scores, in variance-reduction terms, what classical technique is this baseline acting as?","['Furthermore, we introduce the Group Relative Policy Optimization (GRPO), a variant reinforcement learning (RL) algorithm of Proximal Policy Optimization (PPO) \\citep{schulman2017proximal}.', 'GRPO foregoes the critic model, instead estimating the baseline from group scores, significantly reducing training resources compared to Proximal Policy Optimization (PPO).']","Policy gradient methods, role of baselines in variance reduction, and the concept of control variates in Monte Carlo estimation.",It asks you to map GRPO’s group-based baseline to a known statistical variance-reduction tool.,A baseline subtracted from returns to reduce variance without altering expectation is functionally a control variate.,control variate
 diminish,"According to the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', if GRPO makes single-sample reasoning more reliable, then the marginal benefit of using $64$-sample self-consistency should","According to the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', if GRPO makes single-sample reasoning more reliable, then the marginal benefit of using $64$-sample self-consistency should diminish","If GRPO makes single-sample reasoning more reliable, what should happen to the marginal benefit of 64-sample self-consistency?","['Self-consistency over 64 samples from DeepSeekMath~7B achieves 60.9\\% on MATH.', 'GRPO obtains a substantial improvement over the strong DeepSeekMath-Instruct']",Self-consistency reduces variance by ensembling; better single-sample reliability reduces ensemble gains.,It asks how improved single-sample quality affects the benefit of sampling many outputs.,Ensembling helps less when individual samples are already accurate; benefits diminish.,diminish
 paraphrase leakage,"In the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', to avoid benchmark contamination the authors applied exact $10$-gram filtering during decontamination; despite this, the most plausible remaining contamination risk is","In the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', to avoid benchmark contamination the authors applied exact $10$-gram filtering during decontamination; despite this, the most plausible remaining contamination risk is paraphrase leakage","Despite exact 10-gram filtering during decontamination, what specific contamination risk remains most plausible?","['To avoid benchmark contamination, we follow \\cite{deepseek-coder} to filter out web pages containing questions or answers from English mathematical benchmarks such as GSM8K \\citep{gsm8k} and MATH \\citep{MATH} and Chinese benchmarks such as CMATH \\citep{wei2023cmath} and AGIEval \\citep{agieval}.', 'The filtering criteria are as follows: any text segment containing a 10-gram string that matches exactly with any sub-string from the evaluation benchmarks is removed from our math training corpus.']","N-gram matching limitations, paraphrase detection challenges, and data leakage modes.",It asks what leakage type is not caught by exact n-gram matching.,Exact n-gram filters miss rephrasings; paraphrases can slip through and still leak benchmark content.,paraphrase leakage
 GPU memory,"In the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', when optimizing PPO for $7\mathrm{B}$-scale models, the primary hardware resource bottleneck — one that GRPO alleviates by removing the critic — is","In the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', when optimizing PPO for $7\mathrm{B}$-scale models, the primary hardware resource bottleneck — one that GRPO alleviates by removing the critic — is GPU memory","When optimizing PPO for 7B-scale models, which hardware resource becomes the primary bottleneck that GRPO alleviates by removing the critic?","['we introduce Group Relative Policy Optimization (GRPO), a variant of Proximal Policy Optimization (PPO), that enhances mathematical reasoning abilities while concurrently optimizing the memory usage of PPO.', 'GRPO foregoes the critic model, instead estimating the baseline from group scores, significantly reducing training resources.']","Large-scale RL training setup, typical GPU memory constraints for actor–critic methods, and PPO resource usage.",It seeks the specific hardware resource that gets relieved by eliminating the critic network.,"In large-scale training, actor–critic doubles model memory footprint; removing the critic primarily saves GPU memory.",GPU memory
 the high-precision regime,"According to the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', given a fixed pretraining budget and the constraint that only top-scoring pages (as ranked by the fastText classifier) are preserved for pretraining, the classifier operating regime that should be preferred to maximize downstream quality is","According to the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', given a fixed pretraining budget and the constraint that only top-scoring pages (as ranked by the fastText classifier) are preserved for pretraining, the classifier operating regime that should be preferred to maximize downstream quality is the high-precision regime","Given a fixed pretraining budget and that only top-scoring pages are preserved, which classifier operating regime should be preferred to maximize downstream quality: high precision or high recall?","['To filter out low-quality mathematical content, we rank the collected pages according to their scores predicted by the fastText model, and only preserve the top-ranking ones.']",Precision–recall tradeoffs in retrieval; budget-constrained data selection.,It asks which side of the precision–recall tradeoff is preferable under top-k selection.,Keeping only the highest-scoring pages benefits more from precision than recall when downstream quality is the goal.,high precision
 a code-oriented prior,"In the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', in the unified-view framing, initializing from DeepSeek-Coder serves, in a Bayesian analogy over policies, as","In the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', in the unified-view framing, initializing from DeepSeek-Coder serves, in a Bayesian analogy over policies, as a code-oriented prior","In the unified-view framing, initializing from DeepSeek-Coder plays the role of what in a Bayesian analogy over policies?","['DeepSeekMath-Base is initialized with DeepSeek-Coder-Base-v1.5 7B', 'we find that all these methods are conceptualized as either direct or simplified RL techniques.']",Bayesian interpretation of RL with priors over policies or parameters.,It asks how to interpret the initialization under a Bayesian lens.,Initialization encodes prior beliefs; starting from a code-trained model yields a code-oriented prior.,code-oriented prior
 the maximization of expected reward $\mathbb{E}[R,"According to the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', the authors present a unified paradigm showing that methods such as RFT, DPO, PPO, and GRPO can all be interpreted as approximating the optimization of a common objective, namely","According to the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', the authors present a unified paradigm showing that methods such as RFT, DPO, PPO, and GRPO can all be interpreted as approximating the optimization of a common objective, namely the maximization of expected reward $\mathbb{E}[R","Under the paper’s unified paradigm, what common objective do RFT, DPO, PPO, and GRPO ultimately approximate optimizing?","['We also provide a unified paradigm to understand different methods, such as Rejection Sampling Fine-Tuning (RFT) \\citep{yuan2023scaling}, Direct Preference Optimization (DPO) \\citep{dpo}, PPO and GRPO.', 'Based on such a unified paradigm, we find that all these methods are conceptualized as either direct or simplified RL techniques.']",RL objective as maximizing expected reward; preference-learning viewed as RL surrogate.,It asks for the shared target optimized across these methods.,"If they are all RL or RL-like, the core objective is expected reward maximization.",expected reward maximization
