target,probe,fact,question,text_sentences,inference_type,answer
 KL divergence regularizer,"In the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', rather than incorporating it into the per-token reward $r_{t} = r_{\varphi}(q, o_{\le t}) - \beta \log\frac{\pi_{\theta}(o_{t}\mid q, o_{<t})}{\pi_{\text{ref}}(o_{t}\mid q, o_{<t})}$, GRPO regularizes the policy by adding a divergence term between $\pi_{\theta}$ and $\pi_{\text{ref}}$ directly to the optimization objective — in other words, it adds the","In the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', rather than incorporating it into the per-token reward $r_{t} = r_{\varphi}(q, o_{\le t}) - \beta \log\frac{\pi_{\theta}(o_{t}\mid q, o_{<t})}{\pi_{\text{ref}}(o_{t}\mid q, o_{<t})}$, GRPO regularizes the policy by adding a divergence term between $\pi_{\theta}$ and $\pi_{\text{ref}}$ directly to the optimization objective — in other words, it adds the KL divergence regularizer",What regularizer does GRPO add directly to the optimization objective instead of incorporating it into the per-token reward?,"['Also note that, instead of adding KL penalty in the reward, GRPO regularizes by directly adding the KL divergence between the trained policy and the reference policy to the loss, avoiding complicating the calculation of  \\hat{A}_{i,t}.', 'And different from the KL penalty term used in (\\ref{eq:PPO-reward}), we estimate the KL divergence with the following unbiased estimator \\citep{kl_approx}:']",Conceptual Synthesis,KL divergence regularizer
 gradient coefficient,"According to the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', the unified-paradigm objective is written as

$\nabla_{\theta}\mathcal{J}_{\mathcal{A}}(\theta) = \mathbb{E}_{(q,o)\sim \mathcal{D}}\left[\frac{1}{|o|}\sum_{t=1}^{|o|} GC_{\mathcal{A}}(q,o,t,\pi_{rf})\; \nabla_{\theta}\log\pi_{\theta}\left(o_t\mid q,o_{<t}\right)\right].$

In this equation, which component determines how the reward signal is converted into the magnitude of per-token parameter updates?","According to the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', the unified-paradigm objective is written as

$\nabla_{\theta}\mathcal{J}_{\mathcal{A}}(\theta) = \mathbb{E}_{(q,o)\sim \mathcal{D}}\left[\frac{1}{|o|}\sum_{t=1}^{|o|} GC_{\mathcal{A}}(q,o,t,\pi_{rf})\; \nabla_{\theta}\log\pi_{\theta}\left(o_t\mid q,o_{<t}\right)\right].$

In this equation, which component determines how the reward signal is converted into the magnitude of per-token parameter updates? gradient coefficient","In the unified paradigm equation, which component determines how the reward signal is converted into the magnitude of per-token parameter updates?","['There exist three key components: 1) Data Source \\mathcal{D}, which determines the training data; 2) Reward Function \\pi_{{rf}}, which is the source of the training reward signal; 3) Algorithm \\mathcal{A}: which processes the training data and the reward signal to the gradient coefficient GC that determines the magnitude of the penalty or reinforcement for the data.', 'Generally, the gradient with respect to the parameter \\theta of a training method can be written as: \\nabla_{\\theta}\\mathcal{J}_{\\mathcal{A}}(\\theta) = \\mathbb{E}[\\underbrace{(q,o) \\sim \\mathcal{D}}_{Data Source}]\\left( \\frac{1}{|o|} \\sum_{t=1}^{|o|}  \\underbrace{GC_{{\\mathcal{A}}}(q, o, t, \\pi_{{rf}})}_{Gradient Coefficient}  \\nabla_{\\theta}\\log \\pi_{\\theta}(o_t | q, o_{<t})\\right).']",Mathematical Understanding,gradient coefficient
 group-average baseline,"In the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', the authors state that GRPO does not train a separate value function to serve as the baseline for advantage estimation; instead it explicitly uses a","In the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', the authors state that GRPO does not train a separate value function to serve as the baseline for advantage estimation; instead it explicitly uses a group-average baseline","In GRPO, what explicitly replaces training a separate value function as the baseline for advantage estimation?","['we propose Group Relative Policy Optimization (GRPO), which obviates the need for additional value function approximation as in PPO, and instead uses the average reward of multiple sampled outputs, produced in response to the same question, as the baseline.']",Conceptual Synthesis,group-average baseline
 reduced memory consumption,"In the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', when comparing GRPO to PPO the authors emphasize a practical efficiency advantage of GRPO:","In the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', when comparing GRPO to PPO the authors emphasize a practical efficiency advantage of GRPO: reduced memory consumption",What practical efficiency advantage of GRPO over PPO do the authors emphasize in the paper summary?,"['As the value function employed in PPO is typically another model of comparable size as the policy model, it brings a substantial memory and computational burden.', 'We introduce Group Relative Policy Optimization (GRPO), a variant of Proximal Policy Optimization (PPO), which can notably improve mathematical reasoning capabilities with less memory consumption.']",Conceptual Synthesis,reduced memory consumption
 step-level cumulative rewards,"According to the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', process supervision in GRPO provides finer-grained training signals than outcome supervision because it assigns a normalized reward at the end of each reasoning step and computes the token-level advantage as the sum of normalized future step rewards, i.e. $\hat{A}_{i,t} = \sum_{\text{index}(j) \ge t} \widetilde{r}_i^{\text{index}(j)}$, namely","According to the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', process supervision in GRPO provides finer-grained training signals than outcome supervision because it assigns a normalized reward at the end of each reasoning step and computes the token-level advantage as the sum of normalized future step rewards, i.e. $\hat{A}_{i,t} = \sum_{\text{index}(j) \ge t} \widetilde{r}_i^{\text{index}(j)}$, namely step-level cumulative rewards",Why does process supervision provide finer-grained training signals compared to outcome supervision in GRPO?,"['process supervision, which provides a reward at the end of each reasoning step.', 'the process supervision calculates the advantage of each token as the sum of the normalized rewards from the following steps, i.e., \\hat{A}_{i, t} = \\sum_{index(j) \\ge t} \\widetilde{r}_i^{index(j)}']",Causal Mechanism,step-level cumulative rewards
" a larger, more diverse corpus","In the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', the authors contrast training on the DeepSeekMath Corpus with training on smaller baseline corpora that quickly plateau, and identify the likely cause of the more lasting improvements and steeper learning curve as","In the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', the authors contrast training on the DeepSeekMath Corpus with training on smaller baseline corpora that quickly plateau, and identify the likely cause of the more lasting improvements and steeper learning curve as a larger, more diverse corpus",The paper contrasts DeepSeekMath Corpus training with smaller baseline corpora that quickly plateau. Which dataset property do the authors identify as the likely cause of the more lasting improvements and steeper learning curve?,"['The DeepSeekMath Corpus is several times larger than existing mathematical corpora.', 'DeepSeek-LLM 1.3B, when trained on the DeepSeekMath Corpus, shows a steeper learning curve along with more lasting improvements.', 'In contrast, the baseline corpora are much smaller, and have already been repeated multiple rounds during training, with the resulting model performance quickly reaching a plateau.']",Conceptual Synthesis,larger diverse corpus
 two-stage code-then-math,"According to the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', the schedule that produced the best non-tool math performance for the small model was","According to the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', the schedule that produced the best non-tool math performance for the small model was two-stage code-then-math","Which two-stage schedule produced the best non-tool math performance for the small model, according to the authors' synthesis of results?","['Code training benefits program-aided mathematical reasoning, both under the two-stage training and one-stage training settings.', 'Under the two-stage training setting, code training alone already significantly enhances the ability to solve GSM8K and MATH problems using Python. Math training in the second stage yields further improvements.', 'However, combining code tokens and math tokens for one-stage training compromises mathematical reasoning without tool use. One conjecture is that DeepSeek-LLM 1.3B, due to its limited scale, lacks the capacity to fully assimilate both code and mathematical data simultaneously.']",Analogous Understanding,two-stage code-then-math
 quality over size,"In the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', the authors report that DeepSeekMath-Base $7\mathrm{B}$ achieves comparable performance to Minerva $540\mathrm{B}$ on competition-level mathematical benchmarks despite having far fewer parameters, and they present this result as supporting a general principle about how to improve mathematical reasoning in LLMs:","In the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', the authors report that DeepSeekMath-Base $7\mathrm{B}$ achieves comparable performance to Minerva $540\mathrm{B}$ on competition-level mathematical benchmarks despite having far fewer parameters, and they present this result as supporting a general principle about how to improve mathematical reasoning in LLMs: quality over size","Given that DeepSeekMath-Base 7B achieves comparable performance with Minerva 540B despite far fewer parameters, what general principle about improving mathematical reasoning in LLMs does the paper support?","['DeepSeekMath-Base 7B achieves comparable performance with Minerva 540B, indicating the number of parameters is not the only key factor in mathematical reasoning capability.', 'A smaller model pre-trained on high-quality data could achieve strong performance as well.']",Conceptual Synthesis - Core Insight,quality over size
 arXiv papers,"In the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', the authors report that in their experiments investigating which common pretraining sources improve mathematical reasoning, one widely used source was surprisingly ineffective for improving mathematical reasoning:","In the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', the authors report that in their experiments investigating which common pretraining sources improve mathematical reasoning, one widely used source was surprisingly ineffective for improving mathematical reasoning: arXiv papers",Which common pretraining source did the authors find to be surprisingly ineffective for improving mathematical reasoning in their experiments?,"['Perhaps counter-intuitively, according to our experiments, arXiv papers seem ineffective in improving mathematical reasoning.', 'It seems that arXiv papers are ineffective in improving mathematical reasoning.']",Reading Between the Lines,arXiv papers
 collected fraction indicates relevance,"According to the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', when the pipeline labels a domain as math-related because over $10\%$ of its pages were collected in the first iteration, it implicitly assumes that the","According to the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', when the pipeline labels a domain as math-related because over $10\%$ of its pages were collected in the first iteration, it implicitly assumes that the collected fraction indicates relevance","When identifying math-related domains, the pipeline classifies domains as math-related if over 10% of their pages were collected in the first iteration. What implicit assumption underlies using this 10% threshold to label a domain as math-related?","['For each domain, we calculate the percentage of web pages that are collected in the first iteration.', 'Domains where over 10% of the web pages have been collected are classified as math-related (e.g., mathoverflow.net).']",Reading Between the Lines - Identifying Implicit Assumptions,collected fraction indicates relevance
