,question_id,prediction,ground_truth,n_icl
0,DPO/chapter_15/q11,B,D,0
1,GRPO/chapter_14/q19,B,D,0
2,QLoRA/chapter_12/q1,B,B,0
3,QLoRA/chapter_12/q15,D,D,0
4,GRPO/chapter_14/q2,C,C,0
5,GRPO/chapter_14/q8,B,A,0
6,DPO/chapter_15/q18,B,C,0
7,OFT/chapter_13/q2,C,C,0
8,BOFT/chapter_12/q10,C,C,0
9,OFT/chapter_13/q4,B,A,0
10,GRPO/chapter_14/q18,B,C,0
11,BOFT/chapter_12/q12,B,C,0
12,1_58/chapter_14/q15,B,D,0
13,BOFT/chapter_12/q11,D,C,0
14,GRPO/chapter_14/q5,B,B,0
15,1_58/chapter_14/q16,C,A,0
16,1_58/chapter_14/q12,C,A,0
17,DPO/chapter_15/q17,C,B,0
18,GRPO/chapter_14/q9,B,B,0
19,OFT/chapter_13/q9,A,B,0
20,QLoRA/chapter_12/q18,C,C,0
21,BOFT/chapter_12/q19,D,D,0
22,1_58/chapter_14/q4,A,A,0
23,OFT/chapter_13/q0,B,A,0
24,QLoRA/chapter_12/q10,C,C,0
25,OFT/chapter_13/q14,C,C,0
26,BOFT/chapter_12/q2,C,C,0
27,BOFT/chapter_12/q16,D,D,0
28,GRPO/chapter_14/q10,B,C,0
29,DPO/chapter_15/q0,B,A,0
30,DPO/chapter_15/q20,B,D,0
31,BOFT/chapter_12/q8,B,B,0
32,QLoRA/chapter_12/q9,B,B,0
33,QLoRA/chapter_12/q13,B,B,0
34,1_58/chapter_14/q2,B,C,0
35,OFT/chapter_13/q5,C,B,0
36,1_58/chapter_14/q9,B,B,0
37,QLoRA/chapter_12/q2,C,C,0
38,OFT/chapter_13/q12,D,A,0
39,BOFT/chapter_12/q4,B,A,0
40,DPO/chapter_15/q3,D,D,0
41,BOFT/chapter_12/q0,B,A,0
42,GRPO/chapter_14/q11,C,D,0
43,GRPO/chapter_14/q15,B,D,0
44,1_58/chapter_14/q3,D,D,0
45,OFT/chapter_13/q10,C,C,0
46,OFT/chapter_13/q17,C,B,0
47,OFT/chapter_13/q3,C,D,0
48,DPO/chapter_15/q4,A,A,0
49,BOFT/chapter_12/q1,D,B,0
50,DPO/chapter_15/q9,B,B,0
51,1_58/chapter_14/q11,D,D,0
52,GRPO/chapter_14/q13,B,B,0
53,QLoRA/chapter_12/q12,A,A,0
54,OFT/chapter_13/q1,B,B,0
55,QLoRA/chapter_12/q17,B,B,0
56,1_58/chapter_14/q13,B,B,0
57,1_58/chapter_14/q0,B,A,0
58,DPO/chapter_15/q14,C,C,0
59,DPO/chapter_15/q5,B,B,0
60,QLoRA/chapter_12/q19,C,D,0
61,1_58/chapter_14/q6,C,C,0
62,1_58/chapter_14/q18,B,C,0
63,BOFT/chapter_12/q7,B,B,0
64,DPO/chapter_15/q8,B,A,0
65,1_58/chapter_14/q5,B,B,0
66,QLoRA/chapter_12/q5,B,B,0
67,1_58/chapter_14/q19,B,D,0
68,GRPO/chapter_14/q1,B,B,0
69,GRPO/chapter_14/q3,D,D,0
70,1_58/chapter_14/q17,C,B,0
71,BOFT/chapter_12/q13,C,C,0
72,BOFT/chapter_12/q6,B,B,0
73,DPO/chapter_15/q13,B,B,0
74,DPO/chapter_15/q1,B,B,0
75,GRPO/chapter_14/q12,D,A,0
76,BOFT/chapter_12/q17,C,D,0
77,GRPO/chapter_14/q0,B,A,0
78,BOFT/chapter_12/q5,B,B,0
79,OFT/chapter_13/q16,B,A,0
80,QLoRA/chapter_12/q7,D,D,0
81,GRPO/chapter_14/q7,D,D,0
82,BOFT/chapter_12/q9,B,B,0
83,DPO/chapter_15/q19,B,C,0
84,1_58/chapter_14/q7,D,D,0
85,1_58/chapter_14/q14,C,C,0
86,OFT/chapter_13/q15,B,D,0
87,DPO/chapter_15/q7,D,D,0
88,OFT/chapter_13/q6,C,C,0
89,QLoRA/chapter_12/q4,A,A,0
90,QLoRA/chapter_12/q11,D,D,0
91,OFT/chapter_13/q13,B,B,0
92,GRPO/chapter_14/q4,B,A,0
93,BOFT/chapter_12/q18,D,D,0
94,OFT/chapter_13/q19,B,D,0
95,QLoRA/chapter_12/q16,D,A,0
96,OFT/chapter_13/q8,D,A,0
97,QLoRA/chapter_12/q0,C,A,0
98,DPO/chapter_15/q10,B,C,0
99,1_58/chapter_14/q10,C,C,0
100,QLoRA/chapter_12/q3,D,D,0
101,OFT/chapter_13/q18,C,C,0
102,OFT/chapter_13/q11,B,D,0
103,DPO/chapter_15/q16,B,A,0
104,DPO/chapter_15/q15,C,D,0
105,QLoRA/chapter_12/q8,D,A,0
106,QLoRA/chapter_12/q6,B,C,0
107,BOFT/chapter_12/q14,C,C,0
108,BOFT/chapter_12/q15,D,D,0
109,DPO/chapter_15/q12,B,A,0
110,BOFT/chapter_12/q3,B,D,0
111,QLoRA/chapter_12/q14,C,C,0
112,GRPO/chapter_14/q14,C,C,0
113,GRPO/chapter_14/q16,A,A,0
114,GRPO/chapter_14/q6,C,C,0
115,OFT/chapter_13/q7,B,D,0
116,DPO/chapter_15/q6,C,C,0
117,DPO/chapter_15/q2,B,C,0
118,1_58/chapter_14/q8,C,A,0
119,GRPO/chapter_14/q17,B,B,0
120,1_58/chapter_14/q1,B,B,0
121,GRPO/chapter_14/q8,B,A,5
122,DPO/chapter_15/q18,B,C,5
123,OFT/chapter_13/q2,A,C,5
124,BOFT/chapter_12/q10,C,C,5
125,OFT/chapter_13/q4,B,A,5
126,GRPO/chapter_14/q18,B,C,5
127,BOFT/chapter_12/q12,C,C,5
128,1_58/chapter_14/q15,B,D,5
129,BOFT/chapter_12/q11,D,C,5
130,GRPO/chapter_14/q5,B,B,5
131,1_58/chapter_14/q16,C,A,5
132,1_58/chapter_14/q12,C,A,5
133,DPO/chapter_15/q17,C,B,5
134,GRPO/chapter_14/q9,B,B,5
135,OFT/chapter_13/q9,A,B,5
136,QLoRA/chapter_12/q18,C,C,5
137,BOFT/chapter_12/q19,D,D,5
138,1_58/chapter_14/q4,A,A,5
139,OFT/chapter_13/q0,B,A,5
140,QLoRA/chapter_12/q10,C,C,5
