step,probe_index,mcqa_accuracy,predicted_idx,predicted_label,correct_idx
0,0,0.0,1,B,2
0,1,0.0,1,B,2
0,2,1.0,1,B,1
0,3,1.0,4,E,4
4,0,0.0,1,B,2
4,1,0.0,1,B,2
4,2,1.0,1,B,1
4,3,1.0,4,E,4
8,0,0.0,1,B,2
8,1,0.0,1,B,2
8,2,1.0,1,B,1
8,3,1.0,4,E,4
12,0,0.0,1,B,2
12,1,0.0,1,B,2
12,2,1.0,1,B,1
12,3,1.0,4,E,4
16,0,0.0,1,B,2
16,1,0.0,1,B,2
16,2,1.0,1,B,1
16,3,1.0,4,E,4
20,0,0.0,1,B,2
20,1,0.0,1,B,2
20,2,1.0,1,B,1
20,3,1.0,4,E,4
24,0,0.0,1,B,2
24,1,0.0,1,B,2
24,2,1.0,1,B,1
24,3,1.0,4,E,4
28,0,0.0,1,B,2
28,1,0.0,1,B,2
28,2,1.0,1,B,1
28,3,1.0,4,E,4
32,0,0.0,1,B,2
32,1,0.0,1,B,2
32,2,1.0,1,B,1
32,3,1.0,4,E,4
36,0,0.0,1,B,2
36,1,0.0,1,B,2
36,2,1.0,1,B,1
36,3,1.0,4,E,4
40,0,0.0,1,B,2
40,1,0.0,1,B,2
40,2,1.0,1,B,1
40,3,1.0,4,E,4
44,0,0.0,1,B,2
44,1,0.0,1,B,2
44,2,1.0,1,B,1
44,3,1.0,4,E,4
48,0,0.0,1,B,2
48,1,0.0,1,B,2
48,2,1.0,1,B,1
48,3,1.0,4,E,4
52,0,0.0,1,B,2
52,1,0.0,1,B,2
52,2,1.0,1,B,1
52,3,1.0,4,E,4
56,0,0.0,1,B,2
56,1,0.0,1,B,2
56,2,1.0,1,B,1
56,3,1.0,4,E,4
60,0,0.0,1,B,2
60,1,0.0,1,B,2
60,2,1.0,1,B,1
60,3,1.0,4,E,4
64,0,0.0,1,B,2
64,1,0.0,1,B,2
64,2,1.0,1,B,1
64,3,1.0,4,E,4
68,0,0.0,1,B,2
68,1,0.0,1,B,2
68,2,1.0,1,B,1
68,3,1.0,4,E,4
72,0,0.0,1,B,2
72,1,0.0,1,B,2
72,2,1.0,1,B,1
72,3,1.0,4,E,4
76,0,0.0,1,B,2
76,1,0.0,1,B,2
76,2,1.0,1,B,1
76,3,1.0,4,E,4
80,0,0.0,1,B,2
80,1,0.0,1,B,2
80,2,1.0,1,B,1
80,3,1.0,4,E,4
84,0,0.0,1,B,2
84,1,0.0,1,B,2
84,2,1.0,1,B,1
84,3,1.0,4,E,4
88,0,0.0,1,B,2
88,1,0.0,1,B,2
88,2,1.0,1,B,1
88,3,1.0,4,E,4
92,0,0.0,1,B,2
92,1,0.0,1,B,2
92,2,1.0,1,B,1
92,3,1.0,4,E,4
96,0,0.0,1,B,2
96,1,0.0,1,B,2
96,2,1.0,1,B,1
96,3,1.0,4,E,4
100,0,0.0,1,B,2
100,1,0.0,1,B,2
100,2,1.0,1,B,1
100,3,1.0,4,E,4
104,0,0.0,1,B,2
104,1,0.0,1,B,2
104,2,1.0,1,B,1
104,3,1.0,4,E,4
108,0,0.0,1,B,2
108,1,0.0,1,B,2
108,2,1.0,1,B,1
108,3,1.0,4,E,4
112,0,0.0,1,B,2
112,1,0.0,1,B,2
112,2,1.0,1,B,1
112,3,1.0,4,E,4
116,0,0.0,1,B,2
116,1,0.0,1,B,2
116,2,1.0,1,B,1
116,3,1.0,4,E,4
120,0,0.0,1,B,2
120,1,0.0,1,B,2
120,2,1.0,1,B,1
120,3,1.0,4,E,4
