probe,target,correct_label,formatted_question,option_a,option_b,option_c,option_d,option_e,distractors,fact,raw_knowledge_statement,section
"According to the paper ""Controlling Text-to-Image Diffusion by Orthogonal Finetuning"", OFT can provably preserve hyperspherical energy, which characterizes the pairwise neuron relationship on",the unit hypersphere.,(E),"According to the paper ""Controlling Text-to-Image Diffusion by Orthogonal Finetuning"", OFT can provably preserve hyperspherical energy, which characterizes the pairwise neuron relationship on
(A) the normalized parameter space.
(B) the constrained hypersphere.
(C) the text-prompt embedding space.
(D) the latent feature manifold.
(E) the unit hypersphere.",the normalized parameter space.,the constrained hypersphere.,the text-prompt embedding space.,the latent feature manifold.,the unit hypersphere.,"[""the constrained hypersphere."", ""the latent feature manifold."", ""the text-prompt embedding space."", ""the normalized parameter space.""]","According to the paper ""Controlling Text-to-Image Diffusion by Orthogonal Finetuning"", OFT can provably preserve hyperspherical energy, which characterizes the pairwise neuron relationship on the unit hypersphere.","Unlike existing methods, OFT can provably preserve hyperspherical energy which characterizes the pairwise neuron relationship on the unit hypersphere.",Title/Abstract
"According to the paper ""Controlling Text-to-Image Diffusion by Orthogonal Finetuning"", the finetuning text-to-image task discussed by the authors that aims to generate subject-specific images from a few images of a subject and a text prompt is",subject-driven generation.,(A),"According to the paper ""Controlling Text-to-Image Diffusion by Orthogonal Finetuning"", the finetuning text-to-image task discussed by the authors that aims to generate subject-specific images from a few images of a subject and a text prompt is
(A) subject-driven generation.
(B) controllable generation.
(C) class-conditional generation.
(D) text-guided image editing.
(E) image inpainting.",subject-driven generation.,controllable generation.,class-conditional generation.,text-guided image editing.,image inpainting.,"[""controllable generation."", ""text-guided image editing."", ""class-conditional generation."", ""image inpainting.""]","According to the paper ""Controlling Text-to-Image Diffusion by Orthogonal Finetuning"", the finetuning text-to-image task discussed by the authors that aims to generate subject-specific images from a few images of a subject and a text prompt is subject-driven generation.","Specifically, we consider two important finetuning text-to-image tasks: subject-driven generation where the goal is to generate subject-specific images given a few images of a subject and a text prompt, and controllable generation where the goal is to enable the model to take in additional control signals.",Title/Abstract
"In the paper ""Controlling Text-to-Image Diffusion by Orthogonal Finetuning"", the authors further propose a method to improve finetuning stability by imposing an additional radius constraint on the hypersphere,",Constrained Orthogonal Finetuning (COFT).,(B),"In the paper ""Controlling Text-to-Image Diffusion by Orthogonal Finetuning"", the authors further propose a method to improve finetuning stability by imposing an additional radius constraint on the hypersphere,
(A) Orthogonal Finetuning (OFT).
(B) Constrained Orthogonal Finetuning (COFT).
(C) Textual Inversion.
(D) Low-Rank Adaptation (LoRA).
(E) DreamBooth finetuning.",Orthogonal Finetuning (OFT).,Constrained Orthogonal Finetuning (COFT).,Textual Inversion.,Low-Rank Adaptation (LoRA).,DreamBooth finetuning.,"[""Orthogonal Finetuning (OFT)."", ""Low-Rank Adaptation (LoRA)."", ""DreamBooth finetuning."", ""Textual Inversion.""]","In the paper ""Controlling Text-to-Image Diffusion by Orthogonal Finetuning"", the authors further propose a method to improve finetuning stability by imposing an additional radius constraint on the hypersphere, Constrained Orthogonal Finetuning (COFT).","To improve finetuning stability, we further propose Constrained Orthogonal Finetuning (COFT) which imposes an additional radius constraint to the hypersphere.",Title/Abstract
"According to the paper ""Controlling Text-to-Image Diffusion by Orthogonal Finetuning"", both subject-driven generation and controllable generation essentially boil down to effectively finetuning without losing pretraining generative performance in",text-to-image diffusion models.,(E),"According to the paper ""Controlling Text-to-Image Diffusion by Orthogonal Finetuning"", both subject-driven generation and controllable generation essentially boil down to effectively finetuning without losing pretraining generative performance in
(A) generative adversarial network architectures.
(B) text-to-image generation tasks.
(C) autoregressive text-to-image transformer models.
(D) text-guided control for high-fidelity image generation.
(E) text-to-image diffusion models.",generative adversarial network architectures.,text-to-image generation tasks.,autoregressive text-to-image transformer models.,text-guided control for high-fidelity image generation.,text-to-image diffusion models.,"[""text-to-image generation tasks."", ""text-guided control for high-fidelity image generation."", ""autoregressive text-to-image transformer models."", ""generative adversarial network architectures.""]","According to the paper ""Controlling Text-to-Image Diffusion by Orthogonal Finetuning"", both subject-driven generation and controllable generation essentially boil down to effectively finetuning without losing pretraining generative performance in text-to-image diffusion models.",Both tasks essentially boil down to how to effectively finetune text-to-image diffusion models without losing the pretraining generative performance.,Introduction
"According to the paper ""Controlling Text-to-Image Diffusion by Orthogonal Finetuning"", in the controllable generation task, the item provided together with the text prompt to guide image generation is",an additional control signal.,(C),"According to the paper ""Controlling Text-to-Image Diffusion by Orthogonal Finetuning"", in the controllable generation task, the item provided together with the text prompt to guide image generation is
(A) the same subject in a different context.
(B) just a few images of a subject.
(C) an additional control signal.
(D) a latent noise code.
(E) a class-conditioning label.",the same subject in a different context.,just a few images of a subject.,an additional control signal.,a latent noise code.,a class-conditioning label.,"[""just a few images of a subject."", ""the same subject in a different context."", ""a class-conditioning label."", ""a latent noise code.""]","According to the paper ""Controlling Text-to-Image Diffusion by Orthogonal Finetuning"", in the controllable generation task, the item provided together with the text prompt to guide image generation is an additional control signal.","\item \textbf{Controllable generation}~\cite{zhang2023adding,mou2023t2i}: Given an additional control signal (\emph{e.g.}, canny edges, segmentation maps), the task is to generate images following such a control signal and a text prompt.",Introduction
"According to the paper ""Controlling Text-to-Image Diffusion by Orthogonal Finetuning"", the first desideratum the authors summarize for an effective finetuning method for text-to-image diffusion models is",training efficiency.,(E),"According to the paper ""Controlling Text-to-Image Diffusion by Orthogonal Finetuning"", the first desideratum the authors summarize for an effective finetuning method for text-to-image diffusion models is
(A) inference efficiency.
(B) fine-grained controllability.
(C) generalizability preservation.
(D) sample efficiency.
(E) training efficiency.",inference efficiency.,fine-grained controllability.,generalizability preservation.,sample efficiency.,training efficiency.,"[""generalizability preservation."", ""inference efficiency."", ""sample efficiency."", ""fine-grained controllability.""]","According to the paper ""Controlling Text-to-Image Diffusion by Orthogonal Finetuning"", the first desideratum the authors summarize for an effective finetuning method for text-to-image diffusion models is training efficiency.","We summarize the desiderata for an effective finetuning method as: (1) \emph{training efficiency}: having fewer trainable parameters and number of training epochs, and (2) \emph{generalizability preservation}: preserving the high-fidelity and diverse generative performance.",Introduction
"According to the paper ""Controlling Text-to-Image Diffusion by Orthogonal Finetuning"", the authors say that preserving hyperspherical energy during Orthogonal Finetuning is crucial for preserving",the semantic generation ability.,(E),"According to the paper ""Controlling Text-to-Image Diffusion by Orthogonal Finetuning"", the authors say that preserving hyperspherical energy during Orthogonal Finetuning is crucial for preserving
(A) the photorealistic image quality of the outputs.
(B) the diversity of generated samples.
(C) the pairwise neuron relationship on the unit hypersphere.
(D) the finetuning stability of the adapted model.
(E) the semantic generation ability.",the photorealistic image quality of the outputs.,the diversity of generated samples.,the pairwise neuron relationship on the unit hypersphere.,the finetuning stability of the adapted model.,the semantic generation ability.,"[""the pairwise neuron relationship on the unit hypersphere."", ""the finetuning stability of the adapted model."", ""the photorealistic image quality of the outputs."", ""the diversity of generated samples.""]","According to the paper ""Controlling Text-to-Image Diffusion by Orthogonal Finetuning"", the authors say that preserving hyperspherical energy during Orthogonal Finetuning is crucial for preserving the semantic generation ability.",We find that this property is crucial for preserving the semantic generation ability of text-to-image diffusion models.,Title/Abstract
"According to the paper ""Controlling Text-to-Image Diffusion by Orthogonal Finetuning"", the thing that should be preserved when effectively finetuning text-to-image diffusion models for both subject-driven generation and controllable generation with additional control signals is",the pretraining generative performance.,(C),"According to the paper ""Controlling Text-to-Image Diffusion by Orthogonal Finetuning"", the thing that should be preserved when effectively finetuning text-to-image diffusion models for both subject-driven generation and controllable generation with additional control signals is
(A) the training efficiency of the finetuning method.
(B) the pretrained text-image alignment.
(C) the pretraining generative performance.
(D) the fidelity of the additional control signal.
(E) the learned subject identity embedding.",the training efficiency of the finetuning method.,the pretrained text-image alignment.,the pretraining generative performance.,the fidelity of the additional control signal.,the learned subject identity embedding.,"[""the training efficiency of the finetuning method."", ""the fidelity of the additional control signal."", ""the learned subject identity embedding."", ""the pretrained text-image alignment.""]","According to the paper ""Controlling Text-to-Image Diffusion by Orthogonal Finetuning"", the thing that should be preserved when effectively finetuning text-to-image diffusion models for both subject-driven generation and controllable generation with additional control signals is the pretraining generative performance.",Both tasks essentially boil down to how to effectively finetune text-to-image diffusion models without losing the pretraining generative performance.,Introduction
"In the paper ""Controlling Text-to-Image Diffusion by Orthogonal Finetuning"", two examples of the additional control signal used in the controllable generation task are","canny edges, segmentation maps",(A),"In the paper ""Controlling Text-to-Image Diffusion by Orthogonal Finetuning"", two examples of the additional control signal used in the controllable generation task are
(A) canny edges, segmentation maps
(B) subject images, text prompts
(C) bounding boxes, sketch outlines
(D) depth maps, human pose keypoints
(E) class labels, reference images","canny edges, segmentation maps","subject images, text prompts","bounding boxes, sketch outlines","depth maps, human pose keypoints","class labels, reference images","[""depth maps, human pose keypoints"", ""bounding boxes, sketch outlines"", ""subject images, text prompts"", ""class labels, reference images""]","In the paper ""Controlling Text-to-Image Diffusion by Orthogonal Finetuning"", two examples of the additional control signal used in the controllable generation task are canny edges, segmentation maps","\item \textbf{Controllable generation}~\cite{zhang2023adding,mou2023t2i}: Given an additional control signal (\emph{e.g.}, canny edges, segmentation maps), the task is to generate images following such a control signal and a text prompt.",Introduction
"According to the paper ""Controlling Text-to-Image Diffusion by Orthogonal Finetuning"", in the subject-driven generation finetuning task, the additional input provided along with a few images of a subject is",a text prompt.,(C),"According to the paper ""Controlling Text-to-Image Diffusion by Orthogonal Finetuning"", in the subject-driven generation finetuning task, the additional input provided along with a few images of a subject is
(A) a class label.
(B) an additional control signal.
(C) a text prompt.
(D) a style reference image.
(E) a segmentation mask.",a class label.,an additional control signal.,a text prompt.,a style reference image.,a segmentation mask.,"[""an additional control signal."", ""a class label."", ""a segmentation mask."", ""a style reference image.""]","According to the paper ""Controlling Text-to-Image Diffusion by Orthogonal Finetuning"", in the subject-driven generation finetuning task, the additional input provided along with a few images of a subject is a text prompt.","Specifically, we consider two important finetuning text-to-image tasks: subject-driven generation where the goal is to generate subject-specific images given a few images of a subject and a text prompt, and controllable generation where the goal is to enable the model to take in additional control signals.",Title/Abstract
