review_id,domain_group,document,v15_row_index,question_stem,target,correct_label,option_a,option_b,option_c,option_d,option_e,distractors,formatted_question,fact,raw_knowledge_statement,section,v14_cloze_probe,v14_formatted_question
medical/Management_of_atypical_complicated_abdominal_masses_in_the_s/12,medical,Management_of_atypical_complicated_abdominal_masses_in_the_s,12,"According to the case report ""Management of atypical complicated abdominal masses in the second trimester of pregnancy"", the patient underwent laparotomy at 21 weeks plus 6 days for two large abdominal masses. During surgery, the caudal mass, which originated from the uterine torus, was not removed. What was the reason for leaving this caudal mass in situ?",minimise obstetric risk.,(A),minimise obstetric risk.,reduce the risk of malignant dissemination.,enable cultural and cytological analysis.,prevent haemodynamic instability.,preserve fetal cardiac activity.,"[""preserve fetal cardiac activity."", ""enable cultural and cytological analysis."", ""prevent haemodynamic instability."", ""reduce the risk of malignant dissemination.""]","According to the case report ""Management of atypical complicated abdominal masses in the second trimester of pregnancy"", the patient underwent laparotomy at 21 weeks plus 6 days for two large abdominal masses. During surgery, the caudal mass, which originated from the uterine torus, was not removed. What was the reason for leaving this caudal mass in situ?
(A) minimise obstetric risk.
(B) reduce the risk of malignant dissemination.
(C) enable cultural and cytological analysis.
(D) prevent haemodynamic instability.
(E) preserve fetal cardiac activity.","According to the case report ""Management of atypical complicated abdominal masses in the second trimester of pregnancy"", the patient underwent laparotomy at 21 weeks plus 6 days for two large abdominal masses, and the caudal mass originating from the uterine torus was left in situ to minimise obstetric risk.","The caudal mass, originating from the uterine torus, was left in situ to minimise obstetric risk.",Treatment,"According to the case report ""Management of atypical complicated abdominal masses in the second trimester of pregnancy"", the patient underwent laparotomy at 21 weeks plus 6 days for two large abdominal masses, and the caudal mass originating from the uterine torus was left in situ to","According to the case report ""Management of atypical complicated abdominal masses in the second trimester of pregnancy"", the patient underwent laparotomy at 21 weeks plus 6 days for two large abdominal masses, and the caudal mass originating from the uterine torus was left in situ to
(A) minimise obstetric risk.
(B) reduce the risk of malignant dissemination.
(C) enable cultural and cytological analysis.
(D) prevent haemodynamic instability.
(E) preserve fetal cardiac activity."
medical/Management_of_atypical_complicated_abdominal_masses_in_the_s/15,medical,Management_of_atypical_complicated_abdominal_masses_in_the_s,15,"According to the case report ""Management of atypical complicated abdominal masses in the second trimester of pregnancy"", serum CA-125 is described as having two normal pregnancy peaks. One of these peaks has a median value of 23 U/mL. During which stage of pregnancy does this peak occur?",first trimester.,(C),postpartum period.,second trimester of pregnancy.,first trimester.,perimenopausal period.,third trimester of pregnancy.,"[""second trimester of pregnancy."", ""third trimester of pregnancy."", ""postpartum period."", ""perimenopausal period.""]","According to the case report ""Management of atypical complicated abdominal masses in the second trimester of pregnancy"", serum CA-125 is described as having two normal pregnancy peaks. One of these peaks has a median value of 23 U/mL. During which stage of pregnancy does this peak occur?
(A) postpartum period.
(B) second trimester of pregnancy.
(C) first trimester.
(D) perimenopausal period.
(E) third trimester of pregnancy.","According to the case report ""Management of atypical complicated abdominal masses in the second trimester of pregnancy"", serum CA-125 is described as having two normal pregnancy peaks, and the peak with a median value of 23 U/mL occurs during the first trimester.","During the pregnancy, the serum CA-125 usually reaches two peaks, one in the first trimester (median 23 U/mL, p<0.00001) and the other one in the third trimester of pregnancy (median 21 U/mL, p<0.001) compared with those in the second trimester (median 14.0 U/mL); on the contrary, the present case showed a value of 41.8 U/mL, higher than the median value during the second trimester.",Discussion,"According to the case report ""Management of atypical complicated abdominal masses in the second trimester of pregnancy"", serum CA-125 is described as having two normal pregnancy peaks, and the peak with a median value of 23 U/mL occurs during the","According to the case report ""Management of atypical complicated abdominal masses in the second trimester of pregnancy"", serum CA-125 is described as having two normal pregnancy peaks, and the peak with a median value of 23 U/mL occurs during the
(A) postpartum period.
(B) second trimester of pregnancy.
(C) first trimester.
(D) perimenopausal period.
(E) third trimester of pregnancy."
medical/Management_of_atypical_complicated_abdominal_masses_in_the_s/28,medical,Management_of_atypical_complicated_abdominal_masses_in_the_s,28,"According to the case report ""Management of atypical complicated abdominal masses in the second trimester of pregnancy"", a pregnant woman at 21 weeks' gestational age was admitted to the emergency room for severe abdominal pain and mild dyspnoea. During the multidisciplinary evaluation, her oxygen saturation and thoracic examination were normal. What was her median blood pressure in the emergency room?",100/60 mm Hg,(A),100/60 mm Hg,90/60 mm Hg,120/80 mm Hg,110/70 mm Hg,97/74 mm Hg,"[""110/70\u2009mm\u2009Hg"", ""120/80\u2009mm\u2009Hg"", ""90/60\u2009mm\u2009Hg"", ""97/74\u2009mm\u2009Hg""]","According to the case report ""Management of atypical complicated abdominal masses in the second trimester of pregnancy"", a pregnant woman at 21 weeks' gestational age was admitted to the emergency room for severe abdominal pain and mild dyspnoea. During the multidisciplinary evaluation, her oxygen saturation and thoracic examination were normal. What was her median blood pressure in the emergency room?
(A) 100/60 mm Hg
(B) 90/60 mm Hg
(C) 120/80 mm Hg
(D) 110/70 mm Hg
(E) 97/74 mm Hg","According to the case report ""Management of atypical complicated abdominal masses in the second trimester of pregnancy"", a pregnant woman at 21 weeks' gestational age was admitted to the emergency room for severe abdominal pain and mild dyspnoea, and during the multidisciplinary evaluation her oxygen saturation and thoracic examination were normal; her median blood pressure in the emergency room was 100/60 mm Hg","First, she was admitted to the emergency room for a thorough multidisciplinary evaluation: she had normal oxygen saturation (median value 97%), a physical examination of the thorax revealed a normal heart rate (median value 74 bpm) and blood pressure (median value 100/60 mm Hg).",Case presentation,"According to the case report ""Management of atypical complicated abdominal masses in the second trimester of pregnancy"", a pregnant woman at 21 weeks' gestational age was admitted to the emergency room for severe abdominal pain and mild dyspnoea, and during the multidisciplinary evaluation her oxygen saturation and thoracic examination were normal; her median blood pressure in the emergency room was","According to the case report ""Management of atypical complicated abdominal masses in the second trimester of pregnancy"", a pregnant woman at 21 weeks' gestational age was admitted to the emergency room for severe abdominal pain and mild dyspnoea, and during the multidisciplinary evaluation her oxygen saturation and thoracic examination were normal; her median blood pressure in the emergency room was
(A) 100/60 mm Hg
(B) 90/60 mm Hg
(C) 120/80 mm Hg
(D) 110/70 mm Hg
(E) 97/74 mm Hg"
medical/Management_of_atypical_complicated_abdominal_masses_in_the_s/32,medical,Management_of_atypical_complicated_abdominal_masses_in_the_s,32,"In the case report ""Management of atypical complicated abdominal masses in the second trimester of pregnancy"", what did the ultrasound imaging show in terms of how many masses were present and what type they were?","two large, unilocular cystic masses",(B),"a single large, complex cystic adnexal mass","two large, unilocular cystic masses","two large, solid adnexal masses",bilateral ovarian masses with septations and papillary projections,"two large, multilocular cystic masses","[""two large, multilocular cystic masses"", ""two large, solid adnexal masses"", ""a single large, complex cystic adnexal mass"", ""bilateral ovarian masses with septations and papillary projections""]","In the case report ""Management of atypical complicated abdominal masses in the second trimester of pregnancy"", what did the ultrasound imaging show in terms of how many masses were present and what type they were?
(A) a single large, complex cystic adnexal mass
(B) two large, unilocular cystic masses
(C) two large, solid adnexal masses
(D) bilateral ovarian masses with septations and papillary projections
(E) two large, multilocular cystic masses","In the case report ""Management of atypical complicated abdominal masses in the second trimester of pregnancy"", the ultrasound imaging showed two large, unilocular cystic masses","Ultrasound imaging demonstrated two large, unilocular cystic masses with regular margins and peripheral vascularisation.",Investigations,"In the case report ""Management of atypical complicated abdominal masses in the second trimester of pregnancy"", the ultrasound imaging showed","In the case report ""Management of atypical complicated abdominal masses in the second trimester of pregnancy"", the ultrasound imaging showed
(A) a single large, complex cystic adnexal mass
(B) two large, unilocular cystic masses
(C) two large, solid adnexal masses
(D) bilateral ovarian masses with septations and papillary projections
(E) two large, multilocular cystic masses"
medical/Management_of_atypical_complicated_abdominal_masses_in_the_s/42,medical,Management_of_atypical_complicated_abdominal_masses_in_the_s,42,"According to the case report ""Management of atypical complicated abdominal masses in the second trimester of pregnancy"", MRI at 21 weeks of gestation showed two rounded, unilocular adnexal cysts. On MRI, what type of uterine lesion did the caudal mass seem adherent to?",posterior intramural-subserosal myoma,(A),posterior intramural-subserosal myoma,broad-ligament paratubal cyst,posterior submucosal leiomyoma,decidualised ovarian endometrioma,sigmoid mesenteric cyst,"[""posterior submucosal leiomyoma"", ""decidualised ovarian endometrioma"", ""broad-ligament paratubal cyst"", ""sigmoid mesenteric cyst""]","According to the case report ""Management of atypical complicated abdominal masses in the second trimester of pregnancy"", MRI at 21 weeks of gestation showed two rounded, unilocular adnexal cysts. On MRI, what type of uterine lesion did the caudal mass seem adherent to?
(A) posterior intramural-subserosal myoma
(B) broad-ligament paratubal cyst
(C) posterior submucosal leiomyoma
(D) decidualised ovarian endometrioma
(E) sigmoid mesenteric cyst","According to the case report ""Management of atypical complicated abdominal masses in the second trimester of pregnancy"", MRI at 21 weeks of gestation showed two rounded, unilocular adnexal cysts, and the caudal mass seemed adherent to a posterior intramural-subserosal myoma","MRI showed two rounded, unilocular adnexal cysts with hypertrophied vessels and inhomogeneous fluid content (see figure 1): the caudal mass seemed adherent to a posterior intramural-subserosal myoma of the uterus with cystic degeneration of 58×71 mm.",Differential diagnosis,"According to the case report ""Management of atypical complicated abdominal masses in the second trimester of pregnancy"", MRI at 21 weeks of gestation showed two rounded, unilocular adnexal cysts, and the caudal mass seemed adherent to a","According to the case report ""Management of atypical complicated abdominal masses in the second trimester of pregnancy"", MRI at 21 weeks of gestation showed two rounded, unilocular adnexal cysts, and the caudal mass seemed adherent to a
(A) posterior intramural-subserosal myoma
(B) broad-ligament paratubal cyst
(C) posterior submucosal leiomyoma
(D) decidualised ovarian endometrioma
(E) sigmoid mesenteric cyst"
medical/Management_of_atypical_complicated_abdominal_masses_in_the_s/47,medical,Management_of_atypical_complicated_abdominal_masses_in_the_s,47,"In the case report ""Management of atypical complicated abdominal masses in the second trimester of pregnancy"", a pregnant patient underwent ultrasound and MRI for two abdominal cystic masses. Based on the sonographic and MRI features, the slight elevation of CA-125 was interpreted as favoring what diagnosis for the upper cyst?",endometrioma for the upper cyst,(D),mucinous cystadenoma for the upper cyst,cystic degenerating leiomyoma for the caudal mass,hydrosalpinx for the upper cyst,endometrioma for the upper cyst,decidualised leiomyoma for the upper cyst,"[""cystic degenerating leiomyoma for the caudal mass"", ""decidualised leiomyoma for the upper cyst"", ""mucinous cystadenoma for the upper cyst"", ""hydrosalpinx for the upper cyst""]","In the case report ""Management of atypical complicated abdominal masses in the second trimester of pregnancy"", a pregnant patient underwent ultrasound and MRI for two abdominal cystic masses. Based on the sonographic and MRI features, the slight elevation of CA-125 was interpreted as favoring what diagnosis for the upper cyst?
(A) mucinous cystadenoma for the upper cyst
(B) cystic degenerating leiomyoma for the caudal mass
(C) hydrosalpinx for the upper cyst
(D) endometrioma for the upper cyst
(E) decidualised leiomyoma for the upper cyst","In the case report ""Management of atypical complicated abdominal masses in the second trimester of pregnancy"", a pregnant patient underwent ultrasound and MRI for two abdominal cystic masses, and based on the sonographic and MRI features, the slight elevation of CA-125 favoured endometrioma for the upper cyst","Based on sonographic and MRI features, differential diagnoses included decidualised endometriomas and cystic degenerating leiomyomas: the slight elevation of CA-125 favoured endometrioma for the upper cyst, but the continuity with uterine tissue suggested myomatous origin for the caudal mass.",Differential diagnosis,"In the case report ""Management of atypical complicated abdominal masses in the second trimester of pregnancy"", a pregnant patient underwent ultrasound and MRI for two abdominal cystic masses, and based on the sonographic and MRI features, the slight elevation of CA-125 favoured","In the case report ""Management of atypical complicated abdominal masses in the second trimester of pregnancy"", a pregnant patient underwent ultrasound and MRI for two abdominal cystic masses, and based on the sonographic and MRI features, the slight elevation of CA-125 favoured
(A) mucinous cystadenoma for the upper cyst
(B) cystic degenerating leiomyoma for the caudal mass
(C) hydrosalpinx for the upper cyst
(D) endometrioma for the upper cyst
(E) decidualised leiomyoma for the upper cyst"
medical/Management_of_atypical_complicated_abdominal_masses_in_the_s/67,medical,Management_of_atypical_complicated_abdominal_masses_in_the_s,67,"According to the case report ""Management of atypical complicated abdominal masses in the second trimester of pregnancy"", the discussion notes that myomas can often be misdiagnosed as adnexal masses. In that context, what is the reported incidence of adnexal masses during pregnancy?","1–6%, respectively",(C),"5–8%, respectively","0.2–0.5%, respectively","1–6%, respectively","1–4%, respectively","2–10%, respectively","[""0.2\u20130.5%, respectively"", ""1\u20134%, respectively"", ""2\u201310%, respectively"", ""5\u20138%, respectively""]","According to the case report ""Management of atypical complicated abdominal masses in the second trimester of pregnancy"", the discussion notes that myomas can often be misdiagnosed as adnexal masses. In that context, what is the reported incidence of adnexal masses during pregnancy?
(A) 5–8%, respectively
(B) 0.2–0.5%, respectively
(C) 1–6%, respectively
(D) 1–4%, respectively
(E) 2–10%, respectively","According to the case report ""Management of atypical complicated abdominal masses in the second trimester of pregnancy"", the discussion notes that myomas can often be misdiagnosed as adnexal masses, and the reported incidences during pregnancy are 0.3–10.1% and 1–6%, respectively","Myomas can often be misdiagnosed as adnexal masses: the incidence during pregnancy is 0.3–10.1% and 1–6%, respectively .13",Discussion,"According to the case report ""Management of atypical complicated abdominal masses in the second trimester of pregnancy"", the discussion notes that myomas can often be misdiagnosed as adnexal masses, and the reported incidences during pregnancy are 0.3–10.1% and","According to the case report ""Management of atypical complicated abdominal masses in the second trimester of pregnancy"", the discussion notes that myomas can often be misdiagnosed as adnexal masses, and the reported incidences during pregnancy are 0.3–10.1% and
(A) 5–8%, respectively
(B) 0.2–0.5%, respectively
(C) 1–6%, respectively
(D) 1–4%, respectively
(E) 2–10%, respectively"
medical/Management_of_atypical_complicated_abdominal_masses_in_the_s/72,medical,Management_of_atypical_complicated_abdominal_masses_in_the_s,72,"According to the case report ""Management of atypical complicated abdominal masses in the second trimester of pregnancy"", the multidisciplinary team reviewed a pregnant patient with pelvic masses and no definitive management guidelines available. What intervention did they consider might be associated with a decreased risk of preterm delivery?",elective surgery,(C),serial surveillance,emergency surgery,elective surgery,expectant management,tocolytic therapy,"[""expectant management"", ""emergency surgery"", ""serial surveillance"", ""tocolytic therapy""]","According to the case report ""Management of atypical complicated abdominal masses in the second trimester of pregnancy"", the multidisciplinary team reviewed a pregnant patient with pelvic masses and no definitive management guidelines available. What intervention did they consider might be associated with a decreased risk of preterm delivery?
(A) serial surveillance
(B) emergency surgery
(C) elective surgery
(D) expectant management
(E) tocolytic therapy","According to the case report ""Management of atypical complicated abdominal masses in the second trimester of pregnancy"", the multidisciplinary team reviewed a pregnant patient with pelvic masses and no definitive management guidelines available, and the intervention they considered might be associated with a decreased risk of preterm delivery was elective surgery","In the absence of definitive management guidelines for pelvic masses in pregnancy, the multidisciplinary team considered that elective surgery could be associated with a decreased risk of preterm delivery.",Discussion,"According to the case report ""Management of atypical complicated abdominal masses in the second trimester of pregnancy"", the multidisciplinary team reviewed a pregnant patient with pelvic masses and no definitive management guidelines available, and the intervention they considered might be associated with a decreased risk of preterm delivery was","According to the case report ""Management of atypical complicated abdominal masses in the second trimester of pregnancy"", the multidisciplinary team reviewed a pregnant patient with pelvic masses and no definitive management guidelines available, and the intervention they considered might be associated with a decreased risk of preterm delivery was
(A) serial surveillance
(B) emergency surgery
(C) elective surgery
(D) expectant management
(E) tocolytic therapy"
medical/Management_of_atypical_complicated_abdominal_masses_in_the_s/73,medical,Management_of_atypical_complicated_abdominal_masses_in_the_s,73,"According to the case report ""Management of atypical complicated abdominal masses in the second trimester of pregnancy"", during the second-trimester evaluation of this patient with huge vascularised abdominal masses, worsening pain and dyspnoea, and concern for possible complications, what CA-125 value was noted among the oncological markers and contributed to the clinical decision?",CA-125=41.8 U/mL,(A),CA-125=41.8 U/mL,CA-125=35.0 U/mL,CA-125=14.0 U/mL,CA-125=23.0 U/mL,CA-125=19.0 U/mL,"[""CA-125=35.0\u2009U/mL"", ""CA-125=14.0\u2009U/mL"", ""CA-125=23.0\u2009U/mL"", ""CA-125=19.0\u2009U/mL""]","According to the case report ""Management of atypical complicated abdominal masses in the second trimester of pregnancy"", during the second-trimester evaluation of this patient with huge vascularised abdominal masses, worsening pain and dyspnoea, and concern for possible complications, what CA-125 value was noted among the oncological markers and contributed to the clinical decision?
(A) CA-125=41.8 U/mL
(B) CA-125=35.0 U/mL
(C) CA-125=14.0 U/mL
(D) CA-125=23.0 U/mL
(E) CA-125=19.0 U/mL","According to the case report ""Management of atypical complicated abdominal masses in the second trimester of pregnancy"", during the second-trimester evaluation of this patient with huge vascularised abdominal masses, worsening pain and dyspnoea, and concern for possible complications, the CA-125 value noted among the oncological markers was CA-125=41.8 U/mL","The key elements that oriented the clinical decision were the presence of huge and vascularised masses with mixed (solid and cystic) components with an actual risk of complication (rupture/torsion/infection), the clinical condition (worsening pain and dyspnoea), possible mass’ growth with a higher chance to go through hypoxia, necrosis and degeneration, the slight positivity of oncological markers (CA-125=41.8 U/mL), and the space limit to guarantee further uterine physiological enlargement.",Discussion,"According to the case report ""Management of atypical complicated abdominal masses in the second trimester of pregnancy"", during the second-trimester evaluation of this patient with huge vascularised abdominal masses, worsening pain and dyspnoea, and concern for possible complications, the CA-125 value noted among the oncological markers was","According to the case report ""Management of atypical complicated abdominal masses in the second trimester of pregnancy"", during the second-trimester evaluation of this patient with huge vascularised abdominal masses, worsening pain and dyspnoea, and concern for possible complications, the CA-125 value noted among the oncological markers was
(A) CA-125=41.8 U/mL
(B) CA-125=35.0 U/mL
(C) CA-125=14.0 U/mL
(D) CA-125=23.0 U/mL
(E) CA-125=19.0 U/mL"
medical/Management_of_atypical_complicated_abdominal_masses_in_the_s/74,medical,Management_of_atypical_complicated_abdominal_masses_in_the_s,74,"In the case report ""Management of atypical complicated abdominal masses in the second trimester of pregnancy"", the clinical decision to proceed with surgery was influenced by several factors, including the patient’s symptoms. Which symptoms in her clinical condition were specifically noted as part of the decision-making context?",worsening pain and dyspnoea,(A),worsening pain and dyspnoea,pelvic pressure and constipation,nausea and low-grade fever,vaginal bleeding and uterine contractions,progressive abdominal distension and urinary frequency,"[""progressive abdominal distension and urinary frequency"", ""nausea and low-grade fever"", ""vaginal bleeding and uterine contractions"", ""pelvic pressure and constipation""]","In the case report ""Management of atypical complicated abdominal masses in the second trimester of pregnancy"", the clinical decision to proceed with surgery was influenced by several factors, including the patient’s symptoms. Which symptoms in her clinical condition were specifically noted as part of the decision-making context?
(A) worsening pain and dyspnoea
(B) pelvic pressure and constipation
(C) nausea and low-grade fever
(D) vaginal bleeding and uterine contractions
(E) progressive abdominal distension and urinary frequency","In the case report ""Management of atypical complicated abdominal masses in the second trimester of pregnancy"", the clinical decision to proceed with surgery was influenced by several factors, including the patient’s symptoms, namely worsening pain and dyspnoea","The key elements that oriented the clinical decision were the presence of huge and vascularised masses with mixed (solid and cystic) components with an actual risk of complication (rupture/torsion/infection), the clinical condition (worsening pain and dyspnoea), possible mass’ growth with a higher chance to go through hypoxia, necrosis and degeneration, the slight positivity of oncological markers (CA-125=41.8 U/mL), and the space limit to guarantee further uterine physiological enlargement.",Discussion,"In the case report ""Management of atypical complicated abdominal masses in the second trimester of pregnancy"", the clinical decision to proceed with surgery was influenced by several factors, including the patient’s symptoms, namely","In the case report ""Management of atypical complicated abdominal masses in the second trimester of pregnancy"", the clinical decision to proceed with surgery was influenced by several factors, including the patient’s symptoms, namely
(A) worsening pain and dyspnoea
(B) pelvic pressure and constipation
(C) nausea and low-grade fever
(D) vaginal bleeding and uterine contractions
(E) progressive abdominal distension and urinary frequency"
