review_id,decision,issue_categories,review_reason,fixed_question_stem,fixed_option_a,fixed_option_b,fixed_option_c,fixed_option_d,fixed_option_e,fixed_correct_label
medical/Acute_neurological_Behets_disease_complicated_by_a_syndrome/73,fix,stem_wording;answer_type_mismatch,"Stem asks for a marker, but most options are clinical criteria; broaden the stem to a required item.","According to the case report ""Acute neurological Behçet's disease complicated by a syndrome of inappropriate secretion of antidiuretic hormone"", which item do the international Behçet’s disease criteria not require, as they rely mainly on clinical features?",ocular lesions,recurrent oral ulceration,mucocutaneous findings,HLA-B51,genital ulceration,(D)
medical/Autoimmune_heparininduced_thrombocytopenia_following_cardiac/17,fix,stem_wording;answer_type_mismatch,"Stem asks for a dose, but options mix doses, drugs, and no-heparin strategy.","In the case report ""Autoimmune heparin-induced thrombocytopenia following cardiac surgery"", after the patient had not held apixaban and the cardiologist used a transradial artery approach, what intraprocedural anticoagulation strategy was used during diagnostic heart catheterisation?",a weight-based bolus of bivalirudin,no intraprocedural heparin at all,the usual 5000 U of UFH,only 2000 U of enoxaparin,only 2000 U of UFH,(E)
medical/Autoimmune_heparininduced_thrombocytopenia_following_cardiac/54,fix,wording_format,Platelet-count unit is malformed as ×109/L rather than x 10^9/L.,"In the case report ""Autoimmune heparin-induced thrombocytopenia following cardiac surgery"", the patient received high-dose intravenous immunoglobulin after surgery for autoimmune HIT. What was his platelet count immediately before intravenous Ig was started on postoperative day 7 (POD7)?",150 x 10^9/L,30 x 10^9/L,13 x 10^9/L,54 x 10^9/L,24 x 10^9/L,(C)
medical/Autoimmune_heparininduced_thrombocytopenia_following_cardiac/71,fix,answer_type_mismatch,Some distractors are clinical findings rather than IV.3 platelet-activation findings.,"In the case report ""Autoimmune heparin-induced thrombocytopenia following cardiac surgery"", the authors described an unusually severe subtype of autoimmune HIT based on a laboratory platelet activation study. What specific finding in the presence of monoclonal antibody IV.3 provided serological evidence for this subtype?",complete inhibition of platelet activation in vitro in the presence of IV.3,only partial inhibition of platelet activation in vitro in the presence of IV.3,no inhibition of platelet activation in vitro in the presence of IV.3,enhanced platelet activation in vitro after IV.3 was added,inhibition to less than 20% serotonin release in the presence of IV.3,(B)
medical/Autoimmune_heparininduced_thrombocytopenia_following_cardiac/75,fix,answer_type_mismatch,"Stem asks for an SRA reaction profile, but some options are not SRA profiles.","According to the case report ""Autoimmune heparin-induced thrombocytopenia following cardiac surgery"", the patient had serial serotonin-release assay (SRA) testing during prolonged platelet count recovery. What reaction profile did the last SRA sample show, indicating waning autoimmune HIT antibodies?",a heparin-dependent SRA reaction profile,an SRA reactivity profile more characteristic of autoimmune HIT,a heparin-independent SRA reaction profile characteristic of ongoing autoimmune HIT,a negative SRA reaction profile with no serotonin release,a persistently indeterminate SRA reaction profile,(A)
medical/Central_hypoventilation_and_choking_episodes_revealing_Chiar/51,fix,answer_type_mismatch,"Stem asks how many flexible laryngoscopies, but distractors name other procedures.","According to the case report ""Central hypoventilation and choking episodes revealing Chiari malformation type I"", the woman in her early 40s underwent extensive evaluation over the years for recurrent choking episodes affecting solids and liquids. How many flexible laryngoscopies had she undergone during that workup?",one flexible laryngoscopy,two flexible laryngoscopies,four flexible laryngoscopies,three flexible laryngoscopies,five flexible laryngoscopies,(D)
medical/Central_hypoventilation_and_choking_episodes_revealing_Chiar/55,fix,answer_type_mismatch,"Stem asks for a trigger, but several options are effects or associated features rather than triggers.","In the case report ""Central hypoventilation and choking episodes revealing Chiari malformation type I"", the woman in her early 40s had marked allodynia at the vertex in the setting of chronic occipital and vertex headaches. What trigger for her vertex discomfort was specifically reported?",light touch from a pillow on the vertex,coughing or other Valsalva manoeuvres,brushing over the vertex,even the weight of her hair,bright light exposure,(D)
medical/Central_hypoventilation_and_choking_episodes_revealing_Chiar/91,fix,stem_wording;answer_type_mismatch,"Correct option is awkwardly phrased, and distractors are not consistently pattern types.","According to the case report ""Central hypoventilation and choking episodes revealing Chiari malformation type I"", a prospective evaluation using validated swallowing assessments was discussed in the context of the patient's oropharyngeal dysphagia. In those swallowing assessment findings, what type of swallowing pattern predominated?",mechanical patterns,reflux-associated patterns,thin-liquid aspiration patterns,neurogenic patterns,obstructive sleep apnoea-related patterns,(D)
medical/Dermatomyositis_masquerading_as_angioedema_a_crucial_differe/28,fix,option_granularity,Option D includes an adult age range although the question asks only for the childhood peak age range.,"According to the case report ""Dermatomyositis masquerading as angioedema: a crucial differential not to overlook"", dermatomyositis is described as having a bimodal distribution. What age range marks the peak onset in children?",aged 2–10 years,aged 12–18 years,aged 6 months–5 years,aged 10–19 years,aged 5–14 years,(E)
medical/Dermatomyositis_masquerading_as_angioedema_a_crucial_differe/67,fix,option_type_mismatch,Several distractors describe other discharge outcomes rather than degrees of cervical swelling improvement.,"In the case report ""Dermatomyositis masquerading as angioedema: a crucial differential not to overlook"", the patient was hospitalized and treated for 3 weeks for dermatomyositis with severe cervical soft tissue swelling and hip flexor weakness. At the time of discharge, what degree of improvement had occurred in the cervical soft tissue swelling?","marked improvement, but not complete resolution",no improvement,mild improvement,moderate improvement,complete resolution,(A)
medical/From_dog_bite_to_dialysis_complementmediated_haemolytic_urae/52,fix,option_type_mismatch,Most distractors are general clinical states rather than urinary-output changes.,"In the case report ""From dog bite to dialysis: complement-mediated haemolytic uraemic syndrome"", the patient’s condition worsened after she was transferred to the ICU and her renal function rapidly declined. What change occurred in her urinary output at that point?",normal urinary output,completely anuric,intermittently polyuric,mildly oliguric,profoundly oliguric,(B)
