review_id,domain_group,document,v15_row_index,question_stem,target,correct_label,option_a,option_b,option_c,option_d,option_e,distractors,formatted_question,fact,raw_knowledge_statement,section,v14_cloze_probe,v14_formatted_question
arxiv/QLoRA/73,arxiv,QLoRA,73,"According to the paper ""QLoRA: Efficient Finetuning of Quantized LLMs"", Paged Optimizers are introduced to prevent memory spikes during which process from causing out-of-memory errors that make finetuning on a single machine difficult for large models?",gradient checkpointing,(C),4-bit NormalFloat quantization,Double Quantization,gradient checkpointing,mixed-precision training,gradient accumulation,"[""4-bit NormalFloat quantization"", ""Double Quantization"", ""mixed-precision training"", ""gradient accumulation""]","According to the paper ""QLoRA: Efficient Finetuning of Quantized LLMs"", Paged Optimizers are introduced to prevent memory spikes during which process from causing out-of-memory errors that make finetuning on a single machine difficult for large models?
(A) 4-bit NormalFloat quantization
(B) Double Quantization
(C) gradient checkpointing
(D) mixed-precision training
(E) gradient accumulation","According to the paper ""QLoRA: Efficient Finetuning of Quantized LLMs"", Paged Optimizers are introduced to prevent memory spikes during the training technique called gradient checkpointing","Additionally, we introduce Paged Optimizers, to prevent memory spikes during gradient checkpointing from causing out-of-memory errors that have traditionally made finetuning on a single machine difficult for large models.",\textsc{QLoRA,"According to the paper ""QLoRA: Efficient Finetuning of Quantized LLMs"", Paged Optimizers are introduced to prevent memory spikes during the training technique called","According to the paper ""QLoRA: Efficient Finetuning of Quantized LLMs"", Paged Optimizers are introduced to prevent memory spikes during the training technique called
(A) 4-bit NormalFloat quantization
(B) Double Quantization
(C) gradient checkpointing
(D) mixed-precision training
(E) gradient accumulation"
arxiv/QLoRA/92,arxiv,QLoRA,92,"According to the paper ""QLoRA: Efficient Finetuning of Quantized LLMs"", what are the quantized quantization constants produced by the second step of Double Quantization?",$c_2^{\text{FP8}}$.,(C),$c_2^{\text{FP32}}$,$c_2^{\text{INT8}}$,$c_2^{\text{FP8}}$.,$c_1^{\text{FP8}}$,$c_1^{\text{FP32}}$,"[""$c_1^{\\text{FP32}}$"", ""$c_2^{\\text{FP32}}$"", ""$c_1^{\\text{FP8}}$"", ""$c_2^{\\text{INT8}}$""]","According to the paper ""QLoRA: Efficient Finetuning of Quantized LLMs"", what are the quantized quantization constants produced by the second step of Double Quantization?
(A) $c_2^{\text{FP32}}$
(B) $c_2^{\text{INT8}}$
(C) $c_2^{\text{FP8}}$.
(D) $c_1^{\text{FP8}}$
(E) $c_1^{\text{FP32}}$","According to the paper ""QLoRA: Efficient Finetuning of Quantized LLMs"", the quantized quantization constants produced by the second step of Double Quantization are $c_2^{\text{FP8}}$.",This second step yields the quantized quantization constants $c_2^{\text{FP8}}$ and the second level of quantization constants $c_1^{\text{FP32}}$.,\textsc{QLoRA,"According to the paper ""QLoRA: Efficient Finetuning of Quantized LLMs"", the quantized quantization constants produced by the second step of Double Quantization are","According to the paper ""QLoRA: Efficient Finetuning of Quantized LLMs"", the quantized quantization constants produced by the second step of Double Quantization are
(A) $c_2^{\text{FP32}}$
(B) $c_2^{\text{INT8}}$
(C) $c_2^{\text{FP8}}$.
(D) $c_1^{\text{FP8}}$
(E) $c_1^{\text{FP32}}$"
arxiv/QLoRA/161,arxiv,QLoRA,161,"According to the paper ""QLoRA: Efficient Finetuning of Quantized LLMs"", what is the base model of the Open Assistant chatbot system that was finetuned with Reinforcement Learning from Human Feedback on the OASST1 dataset?",LLaMA 33B model.,(C),LLaMA 65B model.,OPT 30B model.,LLaMA 33B model.,LLaMA 13B model.,Falcon 40B model.,"[""LLaMA 13B model."", ""LLaMA 65B model."", ""OPT 30B model."", ""Falcon 40B model.""]","According to the paper ""QLoRA: Efficient Finetuning of Quantized LLMs"", what is the base model of the Open Assistant chatbot system that was finetuned with Reinforcement Learning from Human Feedback on the OASST1 dataset?
(A) LLaMA 65B model.
(B) OPT 30B model.
(C) LLaMA 33B model.
(D) LLaMA 13B model.
(E) Falcon 40B model.","According to the paper ""QLoRA: Efficient Finetuning of Quantized LLMs"", the base model of the Open Assistant chatbot system that was finetuned with Reinforcement Learning from Human Feedback on the OASST1 dataset is the LLaMA 33B model.",The Open Assistant model is a LLaMA 33B model finetuned with Reinforcement Learning from Human Feedback (RLHF) on the same OASST1 dataset that we experiment with.,Pushing the Chatbot State-of-the-art with QLoRA,"According to the paper ""QLoRA: Efficient Finetuning of Quantized LLMs"", the base model of the Open Assistant chatbot system that was finetuned with Reinforcement Learning from Human Feedback on the OASST1 dataset is the","According to the paper ""QLoRA: Efficient Finetuning of Quantized LLMs"", the base model of the Open Assistant chatbot system that was finetuned with Reinforcement Learning from Human Feedback on the OASST1 dataset is the
(A) LLaMA 65B model.
(B) OPT 30B model.
(C) LLaMA 33B model.
(D) LLaMA 13B model.
(E) Falcon 40B model."
arxiv/QLoRA/164,arxiv,QLoRA,164,"According to the paper ""QLoRA: Efficient Finetuning of Quantized LLMs"", what does the MMLU benchmark abbreviation expand to in the evaluation of performance on a range of language understanding tasks?",Massively Multitask Language Understanding.,(C),Multiple-Choice Multitask Language Understanding.,Massively Multi-Domain Language Understanding.,Massively Multitask Language Understanding.,Multimodal Multitask Language Understanding.,Multi-Task Machine Learning Understanding.,"[""Multiple-Choice Multitask Language Understanding."", ""Multimodal Multitask Language Understanding."", ""Massively Multi-Domain Language Understanding."", ""Multi-Task Machine Learning Understanding.""]","According to the paper ""QLoRA: Efficient Finetuning of Quantized LLMs"", what does the MMLU benchmark abbreviation expand to in the evaluation of performance on a range of language understanding tasks?
(A) Multiple-Choice Multitask Language Understanding.
(B) Massively Multi-Domain Language Understanding.
(C) Massively Multitask Language Understanding.
(D) Multimodal Multitask Language Understanding.
(E) Multi-Task Machine Learning Understanding.","According to the paper ""QLoRA: Efficient Finetuning of Quantized LLMs"", the MMLU benchmark abbreviation in the evaluation of performance on a range of language understanding tasks expands to Massively Multitask Language Understanding.","Following common practice, we use the MMLU (Massively Multitask Language Understanding) benchmark \citep{hendrycksmeasuring} to measure performance on a range of language understanding tasks.",Pushing the Chatbot State-of-the-art with QLoRA,"According to the paper ""QLoRA: Efficient Finetuning of Quantized LLMs"", the MMLU benchmark abbreviation in the evaluation of performance on a range of language understanding tasks expands to","According to the paper ""QLoRA: Efficient Finetuning of Quantized LLMs"", the MMLU benchmark abbreviation in the evaluation of performance on a range of language understanding tasks expands to
(A) Multiple-Choice Multitask Language Understanding.
(B) Massively Multi-Domain Language Understanding.
(C) Massively Multitask Language Understanding.
(D) Multimodal Multitask Language Understanding.
(E) Multi-Task Machine Learning Understanding."
arxiv/QLoRA/177,arxiv,QLoRA,177,"In the paper ""QLoRA: Efficient Finetuning of Quantized LLMs"", how many prompts are in the Vicuna prompts dataset that the authors use without modifications for evaluation?",80 prompts.,(B),57 tasks.,80 prompts.,70 prompts.,953 unique user queries.,100 prompts.,"[""953 unique user queries."", ""57 tasks."", ""100 prompts."", ""70 prompts.""]","In the paper ""QLoRA: Efficient Finetuning of Quantized LLMs"", how many prompts are in the Vicuna prompts dataset that the authors use without modifications for evaluation?
(A) 57 tasks.
(B) 80 prompts.
(C) 70 prompts.
(D) 953 unique user queries.
(E) 100 prompts.","In the paper ""QLoRA: Efficient Finetuning of Quantized LLMs"", the Vicuna prompts dataset that the authors use without modifications for evaluation contains 80 prompts.","We use the Vicuna prompts, a set of 80 prompts from a diverse set of categories, without modifications.",Pushing the Chatbot State-of-the-art with QLoRA,"In the paper ""QLoRA: Efficient Finetuning of Quantized LLMs"", the Vicuna prompts dataset that the authors use without modifications for evaluation contains","In the paper ""QLoRA: Efficient Finetuning of Quantized LLMs"", the Vicuna prompts dataset that the authors use without modifications for evaluation contains
(A) 57 tasks.
(B) 80 prompts.
(C) 70 prompts.
(D) 953 unique user queries.
(E) 100 prompts."
arxiv/QLoRA/236,arxiv,QLoRA,236,"According to the paper ""QLoRA: Efficient Finetuning of Quantized LLMs"", in the HotPotQA example where Guanaco responds to the user asking, “In what year was the singer who popularized I'll Keep the Lovelight Burning' born?",Al Jolson.,(C),Bing Crosby.,Jimmy Kennedy.,Al Jolson.,Carroll Gibbons.,Hugh Williams.,"[""Carroll Gibbons."", ""Jimmy Kennedy."", ""Hugh Williams."", ""Bing Crosby.""]","According to the paper ""QLoRA: Efficient Finetuning of Quantized LLMs"", in the HotPotQA example where Guanaco responds to the user asking, “In what year was the singer who popularized I'll Keep the Lovelight Burning' born?
(A) Bing Crosby.
(B) Jimmy Kennedy.
(C) Al Jolson.
(D) Carroll Gibbons.
(E) Hugh Williams.","According to the paper ""QLoRA: Efficient Finetuning of Quantized LLMs"", in the HotPotQA example where Guanaco responds to the user asking, “In what year was the singer who popularized `I'll Keep the Lovelight Burning' born?”, the person Guanaco says is credited with popularizing the song `I'll Keep the Lovelight Burning' is Al Jolson.","\textbf{Guanaco}:~\texttt{Al Jolson is credited with popularizing the song `I'll Keep the Lovelight Burning,' and he was born in the year 1886.}",Qualitative Analysis,"According to the paper ""QLoRA: Efficient Finetuning of Quantized LLMs"", in the HotPotQA example where Guanaco responds to the user asking, “In what year was the singer who popularized `I'll Keep the Lovelight Burning' born?”, the person Guanaco says is credited with popularizing the song `I'll Keep the Lovelight Burning' is","According to the paper ""QLoRA: Efficient Finetuning of Quantized LLMs"", in the HotPotQA example where Guanaco responds to the user asking, “In what year was the singer who popularized `I'll Keep the Lovelight Burning' born?”, the person Guanaco says is credited with popularizing the song `I'll Keep the Lovelight Burning' is
(A) Bing Crosby.
(B) Jimmy Kennedy.
(C) Al Jolson.
(D) Carroll Gibbons.
(E) Hugh Williams."
arxiv/QLoRA/242,arxiv,QLoRA,242,"According to the paper ""QLoRA: Efficient Finetuning of Quantized LLMs"", when the authors manually compared generations on the Vicuna benchmark, which two systems did they compare?",ChatGPT and {Guanaco} 65B,(A),ChatGPT and {Guanaco} 65B,ChatGPT and GPT-4,Vicuna and Guanaco 65B,ChatGPT and Alpaca 65B,GPT-4 and LLaMA 65B,"[""ChatGPT and GPT-4"", ""Vicuna and Guanaco 65B"", ""ChatGPT and Alpaca 65B"", ""GPT-4 and LLaMA 65B""]","According to the paper ""QLoRA: Efficient Finetuning of Quantized LLMs"", when the authors manually compared generations on the Vicuna benchmark, which two systems did they compare?
(A) ChatGPT and {Guanaco} 65B
(B) ChatGPT and GPT-4
(C) Vicuna and Guanaco 65B
(D) ChatGPT and Alpaca 65B
(E) GPT-4 and LLaMA 65B","According to the paper ""QLoRA: Efficient Finetuning of Quantized LLMs"", when the authors manually compared generations on the Vicuna benchmark, the two systems they compared were ChatGPT and {Guanaco} 65B","When manually comparing generations from ChatGPT and {Guanaco} 65B on the Vicuna benchmark, we find that subjective preferences start to play an important role as the authors of this paper disagreed on the many preferred responses.",Qualitative Analysis,"According to the paper ""QLoRA: Efficient Finetuning of Quantized LLMs"", when the authors manually compared generations on the Vicuna benchmark, the two systems they compared were","According to the paper ""QLoRA: Efficient Finetuning of Quantized LLMs"", when the authors manually compared generations on the Vicuna benchmark, the two systems they compared were
(A) ChatGPT and {Guanaco} 65B
(B) ChatGPT and GPT-4
(C) Vicuna and Guanaco 65B
(D) ChatGPT and Alpaca 65B
(E) GPT-4 and LLaMA 65B"
arxiv/QLoRA/264,arxiv,QLoRA,264,"According to the paper ""QLoRA: Efficient Finetuning of Quantized LLMs"", what is the name of the authors' best model that is finetuned on multi-turn chat interactions from the Open Assistant dataset?",Guanaco.,(C),Koala.,Vicuna.,Guanaco.,Alpaca.,Dolly.,"[""Vicuna."", ""Alpaca."", ""Koala."", ""Dolly.""]","According to the paper ""QLoRA: Efficient Finetuning of Quantized LLMs"", what is the name of the authors' best model that is finetuned on multi-turn chat interactions from the Open Assistant dataset?
(A) Koala.
(B) Vicuna.
(C) Guanaco.
(D) Alpaca.
(E) Dolly.","According to the paper ""QLoRA: Efficient Finetuning of Quantized LLMs"", the name of the authors' best model that is finetuned on multi-turn chat interactions from the Open Assistant dataset is Guanaco.","We do not use reinforcement learning, but our best model, Guanaco, is finetuned on multi-turn chat interactions from the Open Assistant dataset which was designed to be used for RLHF training~\citep{kopf2023openassistant}.",Related Work,"According to the paper ""QLoRA: Efficient Finetuning of Quantized LLMs"", the name of the authors' best model that is finetuned on multi-turn chat interactions from the Open Assistant dataset is","According to the paper ""QLoRA: Efficient Finetuning of Quantized LLMs"", the name of the authors' best model that is finetuned on multi-turn chat interactions from the Open Assistant dataset is
(A) Koala.
(B) Vicuna.
(C) Guanaco.
(D) Alpaca.
(E) Dolly."
arxiv/QLoRA/274,arxiv,QLoRA,274,"- Question: According to the paper ""QLoRA: Efficient Finetuning of Quantized LLMs"", after evaluating Guanaco-65B’s likelihood of generating socially biased sequences of tokens compared with other models, which dataset do the authors say seems to reduce the bias of the LLaMA base model when used for finetuning?",OASST1 dataset,(E),Alpaca dataset,Chip2 dataset,FLAN v2 dataset,ShareGPT dataset,OASST1 dataset,"[""FLAN v2 dataset"", ""Chip2 dataset"", ""Alpaca dataset"", ""ShareGPT dataset""]","- Question: According to the paper ""QLoRA: Efficient Finetuning of Quantized LLMs"", after evaluating Guanaco-65B’s likelihood of generating socially biased sequences of tokens compared with other models, which dataset do the authors say seems to reduce the bias of the LLaMA base model when used for finetuning?
(A) Alpaca dataset
(B) Chip2 dataset
(C) FLAN v2 dataset
(D) ShareGPT dataset
(E) OASST1 dataset","According to the paper ""QLoRA: Efficient Finetuning of Quantized LLMs"", after evaluating Guanaco-65B’s likelihood of generating socially biased sequences of tokens compared with other models, the dataset that seems to reduce the bias of the LLaMA base model when used for finetuning is OASST1 dataset","As such, it seems that finetuning on the OASST1 dataset reduces the bias of the LLaMA base model.",Limitations and Discussion,"According to the paper ""QLoRA: Efficient Finetuning of Quantized LLMs"", after evaluating Guanaco-65B’s likelihood of generating socially biased sequences of tokens compared with other models, the dataset that seems to reduce the bias of the LLaMA base model when used for finetuning is","According to the paper ""QLoRA: Efficient Finetuning of Quantized LLMs"", after evaluating Guanaco-65B’s likelihood of generating socially biased sequences of tokens compared with other models, the dataset that seems to reduce the bias of the LLaMA base model when used for finetuning is
(A) Alpaca dataset
(B) Chip2 dataset
(C) FLAN v2 dataset
(D) ShareGPT dataset
(E) OASST1 dataset"
arxiv/QLoRA/287,arxiv,QLoRA,287,"According to the paper ""QLoRA: Efficient Finetuning of Quantized LLMs"", when discussing the evaluation of instruction finetuning models, which benchmark is mentioned as one of the benchmarks the authors did not evaluate on, alongside RAFT and HELM?",BigBench,(E),the OA benchmark,MMLU,SuperGLUE,the Vicuna benchmark,BigBench,"[""MMLU"", ""the Vicuna benchmark"", ""the OA benchmark"", ""SuperGLUE""]","According to the paper ""QLoRA: Efficient Finetuning of Quantized LLMs"", when discussing the evaluation of instruction finetuning models, which benchmark is mentioned as one of the benchmarks the authors did not evaluate on, alongside RAFT and HELM?
(A) the OA benchmark
(B) MMLU
(C) SuperGLUE
(D) the Vicuna benchmark
(E) BigBench","According to the paper ""QLoRA: Efficient Finetuning of Quantized LLMs"", when discussing the evaluation of instruction finetuning models, the benchmark mentioned as one of the benchmarks the authors did not evaluate on, alongside RAFT and HELM, is BigBench","While we provide evaluations on MMLU, the Vicuna benchmark, and the OA benchmark, we did not evaluate on other benchmarks such as BigBench, RAFT, and HELM, and it is not ensured that our evaluations generalize to these benchmarks.",Limitations and Discussion,"According to the paper ""QLoRA: Efficient Finetuning of Quantized LLMs"", when discussing the evaluation of instruction finetuning models, the benchmark mentioned as one of the benchmarks the authors did not evaluate on, alongside RAFT and HELM, is","According to the paper ""QLoRA: Efficient Finetuning of Quantized LLMs"", when discussing the evaluation of instruction finetuning models, the benchmark mentioned as one of the benchmarks the authors did not evaluate on, alongside RAFT and HELM, is
(A) the OA benchmark
(B) MMLU
(C) SuperGLUE
(D) the Vicuna benchmark
(E) BigBench"
