domain_group,document,accept,fix,reject,reviewed_rows
arxiv,1_58,9,0,1,10
arxiv,BOFT,7,2,1,10
arxiv,ByteLatent,10,0,0,10
arxiv,DPO,8,2,0,10
arxiv,FeatLLM,10,0,0,10
arxiv,GRPO,7,3,0,10
arxiv,GSPO,8,2,0,10
arxiv,LongRoPE,8,2,0,10
arxiv,OFT,6,3,1,10
arxiv,QLoRA,7,3,0,10
arxiv,fa3,7,2,1,10
arxiv,xLSTM,8,2,0,10
legal,America_First_Legal_Foundation_v_Jamieson_Greer,9,1,0,10
legal,Apex_Bank_v_Cc_Serve_Corp,9,1,0,10
legal,Bruce_Cohen_v_Consilio_LLC,10,0,0,10
legal,Finesse_Wireless_LLC_v_Att_Mobility_LLC,9,1,0,10
legal,Foad_Farahi_v_FBI,8,2,0,10
legal,Jimenez_v_Bondi,5,5,0,10
legal,Pacito_v_Trump,8,2,0,10
legal,Santos_v_Kimmel,9,1,0,10
legal,United_States_v_Constantinescu,10,0,0,10
legal,United_States_v_Jaison_Coleman,9,1,0,10
legal,United_States_v_Justin_Cutbank,8,2,0,10
legal,Williams_v_GoAuto_Insurance,8,2,0,10
medical,Acute_neurological_Behets_disease_complicated_by_a_syndrome,9,1,0,10
medical,Autoimmune_heparininduced_thrombocytopenia_following_cardiac,6,4,0,10
medical,Central_hypoventilation_and_choking_episodes_revealing_Chiar,7,3,0,10
medical,Dermatomyositis_masquerading_as_angioedema_a_crucial_differe,8,2,0,10
medical,From_dog_bite_to_dialysis_complementmediated_haemolytic_urae,8,2,0,10
medical,Immunemediated_necrotising_myopathy_following_semaglutide_tr,0,10,0,10
medical,Management_of_atypical_complicated_abdominal_masses_in_the_s,9,1,0,10
medical,Monoallelic_PARN_mutation_presenting_as_pancytopenia_hepatic,10,0,0,10
medical,Multiphasic_anaphylaxis_in_the_emergency_and_intensive_care,9,1,0,10
medical,Nontype_1_and_nontype_2_diabetes_in_a_young_man_due_to_novel,8,1,1,10
medical,Pancreatopleural_fistula_in_childhood,6,4,0,10
medical,TAVinTAVinTAV_after_treated_endocarditis_procedural_strategy,6,3,1,10
