probe,target,correct_label,formatted_question,option_a,option_b,option_c,option_d,option_e,distractors,fact,raw_knowledge_statement,section
"According to the opinion in ""Apex Bank v. CC Serve Corp."", under the sixth DuPont factor addressing the number and nature of similar marks in use on similar goods, evidence of third-party use of similar marks on similar goods may entitle a mark to",only a narrow scope of protection.,(C),"According to the opinion in ""Apex Bank v. CC Serve Corp."", under the sixth DuPont factor addressing the number and nature of similar marks in use on similar goods, evidence of third-party use of similar marks on similar goods may entitle a mark to
(A) greater weight under the second DuPont factor.
(B) exclusive nationwide priority over similar banking services.
(C) only a narrow scope of protection.
(D) a broad scope of protection.
(E) registration on the Principal Register without proof of secondary meaning.",greater weight under the second DuPont factor.,exclusive nationwide priority over similar banking services.,only a narrow scope of protection.,a broad scope of protection.,registration on the Principal Register without proof of secondary meaning.,"[""a broad scope of protection."", ""greater weight under the second DuPont factor."", ""registration on the Principal Register without proof of secondary meaning."", ""exclusive nationwide priority over similar banking services.""]","According to the opinion in ""Apex Bank v. CC Serve Corp."", under the sixth DuPont factor addressing the number and nature of similar marks in use on similar goods, evidence of third-party use of similar marks on similar goods may entitle a mark to only a narrow scope of protection.",“Evidence of third-party use of similar marks on similar goods is relevant to show that a mark is relatively weak and entitled to only a narrow scope of protection.”,III
"According to the opinion in ""Apex Bank v. CC Serve Corp."", when the reviewing court reviews the Board’s findings of fact, it requires",substantial evidence.,(E),"According to the opinion in ""Apex Bank v. CC Serve Corp."", when the reviewing court reviews the Board’s findings of fact, it requires
(A) clear error
(B) abuse of discretion
(C) a preponderance of the evidence
(D) de novo review
(E) substantial evidence.",clear error,abuse of discretion,a preponderance of the evidence,de novo review,substantial evidence.,"[""de novo review"", ""clear error"", ""abuse of discretion"", ""a preponderance of the evidence""]","According to the opinion in ""Apex Bank v. CC Serve Corp."", when the reviewing court reviews the Board’s findings of fact, it requires substantial evidence.","We review the [B]oard’s legal conclusions de novo, and its findings of fact for substantial evidence.” M2 Software, Inc. v. M2 Commc’ns, Inc., 450 F.3d 1378, 1382 (Fed. Cir. 2006) (internal citation omitted).",II
"According to the opinion in ""Apex Bank v. CC Serve Corp."", in a trademark opposition under Section 2(d) of the Lanham Act, likelihood of confusion is a question of law based on findings under",the DuPont factors.,(E),"According to the opinion in ""Apex Bank v. CC Serve Corp."", in a trademark opposition under Section 2(d) of the Lanham Act, likelihood of confusion is a question of law based on findings under
(A) the Polaroid factors.
(B) the Sleekcraft factors.
(C) the Abercrombie spectrum of distinctiveness.
(D) the substantial-evidence standard.
(E) the DuPont factors.",the Polaroid factors.,the Sleekcraft factors.,the Abercrombie spectrum of distinctiveness.,the substantial-evidence standard.,the DuPont factors.,"[""the Polaroid factors."", ""the Sleekcraft factors."", ""the substantial-evidence standard."", ""the Abercrombie spectrum of distinctiveness.""]","According to the opinion in ""Apex Bank v. CC Serve Corp."", in a trademark opposition under Section 2(d) of the Lanham Act, likelihood of confusion is a question of law based on findings under the DuPont factors.","Likelihood of confusion is a question of law, based on findings of relevant underlying facts, namely findings under the DuPont factors.” M2 Software, 450 F.3d at 1381.",II
"According to the opinion in ""Apex Bank v. CC Serve Corp."", where CC Serve opposed Apex’s ASPIRE BANK mark applications before the Board, the Board sustained that opposition under","Section 2(d) of the Lanham Act, 15 U.S.C. § 1052(d)",(E),"According to the opinion in ""Apex Bank v. CC Serve Corp."", where CC Serve opposed Apex’s ASPIRE BANK mark applications before the Board, the Board sustained that opposition under
(A) Section 13 of the Lanham Act, 15 U.S.C. § 1063
(B) Section 43(a) of the Lanham Act, 15 U.S.C. § 1125(a)
(C) 28 U.S.C. § 1295(a)(4)(B)
(D) Section 2(e)(1) of the Lanham Act, 15 U.S.C. § 1052(e)(1)
(E) Section 2(d) of the Lanham Act, 15 U.S.C. § 1052(d)","Section 13 of the Lanham Act, 15 U.S.C. § 1063","Section 43(a) of the Lanham Act, 15 U.S.C. § 1125(a)",28 U.S.C. § 1295(a)(4)(B),"Section 2(e)(1) of the Lanham Act, 15 U.S.C. § 1052(e)(1)","Section 2(d) of the Lanham Act, 15 U.S.C. § 1052(d)","[""Section 13 of the Lanham Act, 15 U.S.C. \u00a7 1063"", ""Section 2(e)(1) of the Lanham Act, 15 U.S.C. \u00a7 1052(e)(1)"", ""Section 43(a) of the Lanham Act, 15 U.S.C. \u00a7 1125(a)"", ""28 U.S.C. \u00a7 1295(a)(4)(B)""]","According to the opinion in ""Apex Bank v. CC Serve Corp."", where CC Serve opposed Apex’s ASPIRE BANK mark applications before the Board, the Board sustained that opposition under Section 2(d) of the Lanham Act, 15 U.S.C. § 1052(d)","The Board sustained the opposition under Section 2(d) of the Lanham Act, 15 U.S.C. § 1052(d), concluding that consumer confusion between the marks was likely.",I
"According to the opinion in ""Apex Bank v. CC Serve Corp."", after the United States Court of Appeals for the Federal Circuit concluded that the Trademark Trial and Appeal Board erred in its analysis of two likelihood-of-confusion factors in refusing registration of Apex Bank’s marks, the court’s disposition was to","affirm-in-part, vacate-in-part, and remand.",(A),"According to the opinion in ""Apex Bank v. CC Serve Corp."", after the United States Court of Appeals for the Federal Circuit concluded that the Trademark Trial and Appeal Board erred in its analysis of two likelihood-of-confusion factors in refusing registration of Apex Bank’s marks, the court’s disposition was to
(A) affirm-in-part, vacate-in-part, and remand.
(B) dismiss the appeal for lack of jurisdiction.
(C) vacate the Board’s decision and remand with instructions to register Apex Bank’s marks.
(D) reverse-in-part and render judgment for Apex Bank.
(E) affirm the Board’s refusal of registration in full.","affirm-in-part, vacate-in-part, and remand.",dismiss the appeal for lack of jurisdiction.,vacate the Board’s decision and remand with instructions to register Apex Bank’s marks.,reverse-in-part and render judgment for Apex Bank.,affirm the Board’s refusal of registration in full.,"[""affirm the Board\u2019s refusal of registration in full."", ""vacate the Board\u2019s decision and remand with instructions to register Apex Bank\u2019s marks."", ""reverse-in-part and render judgment for Apex Bank."", ""dismiss the appeal for lack of jurisdiction.""]","According to the opinion in ""Apex Bank v. CC Serve Corp."", after the United States Court of Appeals for the Federal Circuit concluded that the Trademark Trial and Appeal Board erred in its analysis of two likelihood-of-confusion factors in refusing registration of Apex Bank’s marks, the court’s disposition was to affirm-in-part, vacate-in-part, and remand.","Because the Board erred in its analysis of two of the factors of the likelihood-of-confusion analysis, we affirm-in-part, vacate-in-part, and remand.",Header
"According to the opinion in ""Apex Bank v. CC Serve Corp."", the Board evaluated the second DuPont factor, which concerns the similarity of the parties’ services, and that factor weighed heavily in favor of finding",likelihood of confusion.,(B),"According to the opinion in ""Apex Bank v. CC Serve Corp."", the Board evaluated the second DuPont factor, which concerns the similarity of the parties’ services, and that factor weighed heavily in favor of finding
(A) dilution by blurring.
(B) likelihood of confusion.
(C) no likelihood of confusion.
(D) priority of use.
(E) the services were not directly competitive.",dilution by blurring.,likelihood of confusion.,no likelihood of confusion.,priority of use.,the services were not directly competitive.,"[""no likelihood of confusion."", ""the services were not directly competitive."", ""priority of use."", ""dilution by blurring.""]","According to the opinion in ""Apex Bank v. CC Serve Corp."", the Board evaluated the second DuPont factor, which concerns the similarity of the parties’ services, and that factor weighed heavily in favor of finding likelihood of confusion.","The Board concluded that because of the high degree of similarity between the parties’ services, the second APEX BANK v. CC SERVE CORP. 5 factor weighed heavily in favor of finding likelihood of confusion.",III
"In the case ""Apex Bank v. CC Serve Corp."", after CC Serve opposed Apex’s trademark applications before the United States Patent and Trademark Office in February 2020, the opinion stated that CC Serve alleged a likelihood of confusion with its standard character mark",ASPIRE.,(E),"In the case ""Apex Bank v. CC Serve Corp."", after CC Serve opposed Apex’s trademark applications before the United States Patent and Trademark Office in February 2020, the opinion stated that CC Serve alleged a likelihood of confusion with its standard character mark
(A) ASPIRE CARD.
(B) ASPIRE BANK.
(C) INSPIRE.
(D) VISA.
(E) ASPIRE.",ASPIRE CARD.,ASPIRE BANK.,INSPIRE.,VISA.,ASPIRE.,"[""ASPIRE BANK."", ""ASPIRE CARD."", ""INSPIRE."", ""VISA.""]","In the case ""Apex Bank v. CC Serve Corp."", after CC Serve opposed Apex’s trademark applications before the United States Patent and Trademark Office in February 2020, the opinion stated that CC Serve alleged a likelihood of confusion with its standard character mark ASPIRE.","CC Serve initiated an opposition to Apex’s marks in February 2020, alleging a likelihood of confusion with CC Serve’s standard character mark, ASPIRE.",I
"According to the opinion in ""Apex Bank v. CC Serve Corp."", the opinion's discussion of the first DuPont factor evaluates marks in their entireties by considering four qualities:","appearance, sound, connotation and commercial impression.",(D),"According to the opinion in ""Apex Bank v. CC Serve Corp."", the opinion's discussion of the first DuPont factor evaluates marks in their entireties by considering four qualities:
(A) appearance, sound, strength of the mark, and purchaser sophistication.
(B) distinctiveness, priority, secondary meaning and functionality.
(C) trade dress, price, classes of consumers, and conditions of sale.
(D) appearance, sound, connotation and commercial impression.
(E) appearance, sound, similarity of the services, and channels of trade.","appearance, sound, strength of the mark, and purchaser sophistication.","distinctiveness, priority, secondary meaning and functionality.","trade dress, price, classes of consumers, and conditions of sale.","appearance, sound, connotation and commercial impression.","appearance, sound, similarity of the services, and channels of trade.","[""appearance, sound, similarity of the services, and channels of trade."", ""distinctiveness, priority, secondary meaning and functionality."", ""appearance, sound, strength of the mark, and purchaser sophistication."", ""trade dress, price, classes of consumers, and conditions of sale.""]","According to the opinion in ""Apex Bank v. CC Serve Corp."", the opinion's discussion of the first DuPont factor evaluates marks in their entireties by considering four qualities: appearance, sound, connotation and commercial impression.","The first DuPont factor considers the “similarity or dissimilarity of the marks in their entireties as to appearance, sound, connotation and commercial impression.” DuPont, 476 F.2d at 1361.",III
"According to the opinion in ""Apex Bank v. CC Serve Corp."", when the Board analyzed the sixth DuPont factor concerning similar marks in use on similar goods or services, it limited the universe of marks it considered to those relating to",credit card services.,(D),"According to the opinion in ""Apex Bank v. CC Serve Corp."", when the Board analyzed the sixth DuPont factor concerning similar marks in use on similar goods or services, it limited the universe of marks it considered to those relating to
(A) general banking services.
(B) other banking and financing services.
(C) public-facing trademark registrations.
(D) credit card services.
(E) identical goods or services.",general banking services.,other banking and financing services.,public-facing trademark registrations.,credit card services.,identical goods or services.,"[""other banking and financing services."", ""identical goods or services."", ""general banking services."", ""public-facing trademark registrations.""]","According to the opinion in ""Apex Bank v. CC Serve Corp."", when the Board analyzed the sixth DuPont factor concerning similar marks in use on similar goods or services, it limited the universe of marks it considered to those relating to credit card services.","When analyzing the sixth Dupont factor, however, the Board restricted the universe of marks it considered to only those relating to credit card services and APEX BANK v. CC SERVE CORP. 7 excluded marks related to other banking and financing services.",III
"In the case ""Apex Bank v. CC Serve Corp."", the opinion describes CC Serve's Registration No. 2126948 for the word mark ASPIRE, used in connection with credit card services, as having an effective priority date of","October 17, 1996.",(B),"In the case ""Apex Bank v. CC Serve Corp."", the opinion describes CC Serve's Registration No. 2126948 for the word mark ASPIRE, used in connection with credit card services, as having an effective priority date of
(A) October 17, 1997.
(B) October 17, 1996.
(C) October 17, 1998.
(D) October 17, 1995.
(E) January 6, 1998.","October 17, 1997.","October 17, 1996.","October 17, 1998.","October 17, 1995.","January 6, 1998.","[""October 17, 1998."", ""October 17, 1997."", ""January 6, 1998."", ""October 17, 1995.""]","In the case ""Apex Bank v. CC Serve Corp."", the opinion describes CC Serve's Registration No. 2126948 for the word mark ASPIRE, used in connection with credit card services, as having an effective priority date of October 17, 1996.","The ASPIRE mark registration was issued in 1998 and has an effective priority date of October 17, 1996.",I
