row_index,decision,reason,original_text,proposed_fact,proposed_probe,proposed_target
2,fix,redundant report wording,"----- Row 2 -----
section: I. Background
subsection: No Subsection
raw_knowledge_statement: The police also received a call from a house a half mile from D.F.’s residence reporting that a man was in the garage and refused to leave.
contextualized_question: In the case ""United States v. Justin Lyle Cutbank,"" after D.F. called the police, officers also received a separate report from a house about a half mile away. What did the caller report about where the man was and what he was refusing to do?
fact: In United States v. Justin Lyle Cutbank, after D.F. called the police, officers also received a separate report from a house about a half mile away that the caller reported the man was in the garage and refused to leave.
probe: In United States v. Justin Lyle Cutbank, after D.F. called the police, officers also received a separate report from a house about a half mile away that the caller reported the man was
target:  in the garage and refused to leave.","In United States v. Justin Lyle Cutbank, after D.F. called the police, officers also received a separate report from a house about a half mile away that a man was in the garage and refused to leave.","In United States v. Justin Lyle Cutbank, after D.F. called the police, officers also received a separate report from a house about a half mile away that a man was",in the garage and refused to leave.
19,fix,clumsy “at her face” construction,"----- Row 19 -----
section: I. Background
subsection: No Subsection
raw_knowledge_statement: During the night of November 19-20, 2020, after drinking and using methamphetamine, Cutbank awakened his girlfriend, D.F., pointed a gun at her face, and directed her into a closet, making paranoid accusations about “listening devices” in the home and people outside waiting to harm him.
contextualized_question: In the case ""United States v. Justin Lyle Cutbank,"" what did Cutbank direct his girlfriend, D.F., to do after he pointed a gun at her face during the night of November 19-20, 2020?
fact: In United States v. Justin Lyle Cutbank, after Cutbank pointed a gun at his girlfriend, D.F., at her face during the night of November 19-20, 2020, he directed her into a closet
probe: In United States v. Justin Lyle Cutbank, after Cutbank pointed a gun at his girlfriend, D.F., at her face during the night of November 19-20, 2020, he directed her
target:  into a closet","In United States v. Justin Lyle Cutbank, after Cutbank pointed a gun at his girlfriend D.F.’s face during the night of November 19-20, 2020, he directed her into a closet.","In United States v. Justin Lyle Cutbank, after Cutbank pointed a gun at his girlfriend D.F.’s face during the night of November 19-20, 2020, he directed her",into a closet.
22,fix,too vague about who “others” were,"----- Row 22 -----
section: I. Background
subsection: No Subsection
raw_knowledge_statement: At some point, Cutbank ordered D.F. to rouse others sleeping in the house, including her two teenage sons and her housemate, C.F.
contextualized_question: In the case ""United States v. Justin Lyle Cutbank,"" during the events of November 19-20, 2020, whom did Cutbank order D.F. to wake up in the house?
fact: In United States v. Justin Lyle Cutbank, during the events of November 19-20, 2020, Cutbank ordered D.F. to rouse others sleeping in the house.
probe: In United States v. Justin Lyle Cutbank, during the events of November 19-20, 2020, Cutbank ordered D.F. to rouse
target:  others sleeping in the house","In United States v. Justin Lyle Cutbank, during the events of November 19-20, 2020, Cutbank ordered D.F. to rouse others sleeping in the house, including her two teenage sons and her housemate, C.F.","In United States v. Justin Lyle Cutbank, during the events of November 19-20, 2020, Cutbank ordered D.F. to rouse others sleeping in the house, including","her two teenage sons and her housemate, C.F."
23,fix,distance phrase lacks reference point,"----- Row 23 -----
section: I. Background
subsection: No Subsection
raw_knowledge_statement: The police also received a call from a house a half mile from D.F.’s residence reporting that a man was in the garage and refused to leave.
contextualized_question: In the case ""United States v. Justin Lyle Cutbank,"" police received a separate call from another house after D.F. contacted them. According to the opinion, how far was that house from D.F.'s residence?
fact: In United States v. Justin Lyle Cutbank, after D.F. contacted the police, they received a separate call from another house located a half mile
probe: In United States v. Justin Lyle Cutbank, after D.F. contacted the police, they received a separate call from another house located
target:  a half mile","In United States v. Justin Lyle Cutbank, after D.F. contacted the police, they received a separate call from another house about a half mile from D.F.’s residence.","In United States v. Justin Lyle Cutbank, after D.F. contacted the police, they received a separate call from another house about",a half mile from D.F.’s residence.
24,fix,awkward “grabbing his gun” phrasing,"----- Row 24 -----
section: I. Background
subsection: No Subsection
raw_knowledge_statement: Cutbank resisted when officers attempted to detain him, biting an officer in the face and neck and grabbing his gun.
contextualized_question: In the case ""United States v. Justin Lyle Cutbank"", police found Cutbank at another house after he fled D.F.'s residence. According to the opinion, when officers attempted to detain him there and he resisted, what did he grab from an officer?
fact: In United States v. Justin Lyle Cutbank, after police found Cutbank at another house following his flight from D.F.'s residence, the opinion states that when officers attempted to detain him and he resisted, he was grabbing his gun
probe: In United States v. Justin Lyle Cutbank, after police found Cutbank at another house following his flight from D.F.'s residence, the opinion states that when officers attempted to detain him and he resisted, he was grabbing
target:  his gun","In United States v. Justin Lyle Cutbank, after police found Cutbank at another house following his flight from D.F.’s residence, the opinion states that when officers attempted to detain him and he resisted, he grabbed an officer’s gun.","In United States v. Justin Lyle Cutbank, after police found Cutbank at another house following his flight from D.F.’s residence, the opinion states that when officers attempted to detain him and he resisted, he grabbed",an officer’s gun.
26,fix,target was an entire sentence instead of a clean span,"----- Row 26 -----
section: I. Background
subsection: No Subsection
raw_knowledge_statement: Officers searching the path Cutbank likely would have taken between D.F.’s home and the garage found D.F.’s cell phone, a butcher-style knife, and a Marlin .22 caliber rifle with a sawed-off barrel and stock. DNA on the gun matched Cutbank. At trial, D.F. and C.F. identified the weapon as one they saw Cutbank with before that night.
contextualized_question: In the case ""United States v. Justin Lyle Cutbank"", officers searching the path between D.F.’s home and the garage found a Marlin .22 caliber rifle with a sawed-off barrel and stock. According to the opinion, who identified that weapon at trial as one they had seen Cutbank with before that night?
fact: In United States v. Justin Lyle Cutbank, after officers searching the path between D.F.’s home and the garage found a Marlin .22 caliber rifle with a sawed-off barrel and stock, the opinion states: At trial, D.F. and C.F. identified the weapon as one they saw Cutbank with before that night.
probe: In United States v. Justin Lyle Cutbank, after officers searching the path between D.F.’s home and the garage found a Marlin .22 caliber rifle with a sawed-off barrel and stock, the opinion states:
target:  At trial, D.F. and C.F. identified the weapon as one they saw Cutbank with before that night.","In United States v. Justin Lyle Cutbank, at trial, D.F. and C.F. identified the Marlin .22 caliber rifle as a weapon they had seen Cutbank with before that night.","In United States v. Justin Lyle Cutbank, at trial, the witnesses who identified the Marlin .22 caliber rifle as a weapon they had seen Cutbank with before that night were",D.F. and C.F.
36,fix,generic declarant phrasing is awkward,"----- Row 36 -----
section: II. The Evidentiary and Procedural Issues
subsection: B
raw_knowledge_statement: Before trial, Cutbank also requested that the jury be instructed, to avoid hearsay and Confrontation Clause issues, that it could not consider D.F.’s statements to police as substantive evidence of Cutbank’s actions until D.F. herself testified to the events.
contextualized_question: In the case ""United States v. Justin Lyle Cutbank,"" before trial Cutbank asked for a jury instruction to avoid hearsay and Confrontation Clause issues. According to that request, until who testified to the events could the jury not treat D.F.'s statements to police as substantive evidence of Cutbank's actions?
fact: In United States v. Justin Lyle Cutbank, before trial Cutbank asked for a jury instruction to avoid hearsay and Confrontation Clause issues, requesting that until the declarant testified to the events, the jury could not treat the declarant's statements to police as substantive evidence of Cutbank's actions, and that declarant was D.F. herself
probe: In United States v. Justin Lyle Cutbank, before trial Cutbank asked for a jury instruction to avoid hearsay and Confrontation Clause issues, requesting that until the declarant testified to the events, the jury could not treat the declarant's statements to police as substantive evidence of Cutbank's actions, and that declarant was
target:  D.F. herself","In United States v. Justin Lyle Cutbank, before trial Cutbank asked for a jury instruction that the jury could not treat D.F.’s statements to police as substantive evidence of his actions until D.F. herself testified to the events.","In United States v. Justin Lyle Cutbank, before trial Cutbank asked for a jury instruction that the jury could not treat D.F.’s statements to police as substantive evidence of his actions until",D.F. herself testified to the events.
46,fix,target too vague and row drifted from actual pretrial ruling,"----- Row 46 -----
section: II. The Evidentiary and Procedural Issues
subsection: C
raw_knowledge_statement: On appeal, Cutback cites no authority refuting the court’s pretrial ruling that this was intrinsic evidence relevant to proving the possession charge and demonstrating continuous possession of the firearm before the incident.
contextualized_question: In the case ""United States v. Justin Lyle Cutbank,"" what did Cutbank fail to cite any authority refuting on appeal regarding testimony that he had possessed the sawed-off rifle before the incident?
fact: In United States v. Justin Lyle Cutbank, Cutbank failed to cite any authority on appeal refuting what he challenged regarding testimony that he had possessed the sawed-off rifle before the incident: the court’s pretrial ruling
probe: In United States v. Justin Lyle Cutbank, Cutbank failed to cite any authority on appeal refuting what he challenged regarding testimony that he had possessed the sawed-off rifle before the incident:
target:  the court’s pretrial ruling","In United States v. Justin Lyle Cutbank, on appeal Cutbank cited no authority refuting the district court’s pretrial ruling that testimony about his prior possession of the sawed-off rifle was intrinsic evidence relevant to proving the possession charge and demonstrating continuous possession of the firearm before the incident.","In United States v. Justin Lyle Cutbank, on appeal Cutbank cited no authority refuting the district court’s pretrial ruling that testimony about his prior possession of the sawed-off rifle was",intrinsic evidence relevant to proving the possession charge and demonstrating continuous possession of the firearm before the incident.
49,fix,awkward bracketed quote fragment,"----- Row 49 -----
section: II. The Evidentiary and Procedural Issues
subsection: D
raw_knowledge_statement: During cross examination regarding prior inconsistent statements regarding the gun, including that she did not remember seeing the gun on the night in question, D.F. testified that some statements were because she was “not familiar with guns” and “did not like guns . . . [a]s [her] sister was killed by a gun.”
contextualized_question: In the case ""United States v. Justin Lyle Cutbank"", during cross-examination about D.F.'s prior inconsistent statements concerning the gun, what reason did D.F. give for saying that she did not like guns?
fact: In United States v. Justin Lyle Cutbank, during cross-examination about D.F.'s prior inconsistent statements concerning the gun, D.F. said that she did not like guns because [a]s [her] sister was killed by a gun.
probe: In United States v. Justin Lyle Cutbank, during cross-examination about D.F.'s prior inconsistent statements concerning the gun, D.F. said that she did not like guns because
target:  [a]s [her] sister was killed by a gun.","In United States v. Justin Lyle Cutbank, during cross-examination about D.F.’s prior inconsistent statements concerning the gun, D.F. said she did not like guns because her sister had been killed by a gun.","In United States v. Justin Lyle Cutbank, during cross-examination about D.F.’s prior inconsistent statements concerning the gun, D.F. said she did not like guns because",her sister had been killed by a gun.
63,fix,fact fragment ended with stray punctuation,"----- Row 63 -----
section: III. The Sentencing Issue
subsection: No Subsection
raw_knowledge_statement: The PSR calculated a Criminal History Category of VI, resulting in an advisory guidelines sentencing range of 292 to 365 months imprisonment.
contextualized_question: In the case ""United States v. Justin Lyle Cutbank,"" what Criminal History Category did the Presentence Investigation Report calculate for Cutbank when determining the advisory guidelines sentencing range?
fact: In ""United States v. Justin Lyle Cutbank,"" the Presentence Investigation Report calculated Cutbank's Criminal History Category of VI,
probe: In ""United States v. Justin Lyle Cutbank,"" the Presentence Investigation Report calculated Cutbank's Criminal History Category of
target:  VI,","In United States v. Justin Lyle Cutbank, the Presentence Investigation Report calculated Cutbank’s Criminal History Category as VI.","In United States v. Justin Lyle Cutbank, the Presentence Investigation Report calculated Cutbank’s Criminal History Category as",VI
