row_1based,decision,issue_type,reason,old_target,new_target,old_probe,new_probe,old_fact,new_fact
1,keep,,"Retained: source-framed or readily contextualized, answerable, meaningful, and supported by the case report.", parietal stroke., parietal stroke.,"According to the case report ""Autoimmune heparin-induced thrombocytopenia following cardiac surgery"", an elderly man who underwent cardiac surgery with heparin anticoagulation and whose platelet count fell to 50×10^9/L on postoperative day 5 had brain imaging that showed","According to the case report ""Autoimmune heparin-induced thrombocytopenia following cardiac surgery"", an elderly man who underwent cardiac surgery with heparin anticoagulation and whose platelet count fell to 50×10^9/L on postoperative day 5 had brain imaging that showed","According to the case report ""Autoimmune heparin-induced thrombocytopenia following cardiac surgery"", an elderly man who underwent cardiac surgery with heparin anticoagulation and whose platelet count fell to 50×10^9/L on postoperative day 5 had brain imaging that showed parietal stroke.","According to the case report ""Autoimmune heparin-induced thrombocytopenia following cardiac surgery"", an elderly man who underwent cardiac surgery with heparin anticoagulation and whose platelet count fell to 50×10^9/L on postoperative day 5 had brain imaging that showed parietal stroke."
2,keep,,"Retained: source-framed or readily contextualized, answerable, meaningful, and supported by the case report.", ~15, ~15,"According to the case report ""Autoimmune heparin-induced thrombocytopenia following cardiac surgery"", heparin-induced thrombocytopenia (HIT) is described as having a strong association with thrombosis after cardiac surgery, with a reported relative risk for thrombosis of","According to the case report ""Autoimmune heparin-induced thrombocytopenia following cardiac surgery"", heparin-induced thrombocytopenia (HIT) is described as having a strong association with thrombosis after cardiac surgery, with a reported relative risk for thrombosis of","According to the case report ""Autoimmune heparin-induced thrombocytopenia following cardiac surgery"", heparin-induced thrombocytopenia (HIT) is described as having a strong association with thrombosis after cardiac surgery, with a reported relative risk for thrombosis of ~15","According to the case report ""Autoimmune heparin-induced thrombocytopenia following cardiac surgery"", heparin-induced thrombocytopenia (HIT) is described as having a strong association with thrombosis after cardiac surgery, with a reported relative risk for thrombosis of ~15"
3,keep,,"Retained: source-framed or readily contextualized, answerable, meaningful, and supported by the case report.", Fc receptor blockade., Fc receptor blockade.,"In the case report ""Autoimmune heparin-induced thrombocytopenia following cardiac surgery"", laboratory testing of the patient’s autoimmune HIT showed an atypical platelet activation pattern, with strong serotonin release at multiple heparin concentrations and only partial inhibition by a platelet monoclonal antibody, documenting partial resistance to","In the case report ""Autoimmune heparin-induced thrombocytopenia following cardiac surgery"", laboratory testing of the patient’s autoimmune HIT showed an atypical platelet activation pattern, with strong serotonin release at multiple heparin concentrations and only partial inhibition by a platelet monoclonal antibody, documenting partial resistance to","In the case report ""Autoimmune heparin-induced thrombocytopenia following cardiac surgery"", laboratory testing of the patient’s autoimmune HIT showed an atypical platelet activation pattern, with strong serotonin release at multiple heparin concentrations and only partial inhibition by a platelet monoclonal antibody, documenting partial resistance to Fc receptor blockade.","In the case report ""Autoimmune heparin-induced thrombocytopenia following cardiac surgery"", laboratory testing of the patient’s autoimmune HIT showed an atypical platelet activation pattern, with strong serotonin release at multiple heparin concentrations and only partial inhibition by a platelet monoclonal antibody, documenting partial resistance to Fc receptor blockade."
4,keep,,"Retained: source-framed or readily contextualized, answerable, meaningful, and supported by the case report.", preoperative exposure to UFH., preoperative exposure to UFH.,"According to the case report ""Autoimmune heparin-induced thrombocytopenia following cardiac surgery"", the explanation identified for the patient's unusually early onset of autoimmune heparin-induced thrombocytopenia (aHIT) in the early postoperative period after cardiac surgery was","According to the case report ""Autoimmune heparin-induced thrombocytopenia following cardiac surgery"", the explanation identified for the patient's unusually early onset of autoimmune heparin-induced thrombocytopenia (aHIT) in the early postoperative period after cardiac surgery was","According to the case report ""Autoimmune heparin-induced thrombocytopenia following cardiac surgery"", the explanation identified for the patient's unusually early onset of autoimmune heparin-induced thrombocytopenia (aHIT) in the early postoperative period after cardiac surgery was preoperative exposure to UFH.","According to the case report ""Autoimmune heparin-induced thrombocytopenia following cardiac surgery"", the explanation identified for the patient's unusually early onset of autoimmune heparin-induced thrombocytopenia (aHIT) in the early postoperative period after cardiac surgery was preoperative exposure to UFH."
5,keep,,"Retained: source-framed or readily contextualized, answerable, meaningful, and supported by the case report.", 45 000 U of UFH., 45 000 U of UFH.,"In the case report ""Autoimmune heparin-induced thrombocytopenia following cardiac surgery"", the patient underwent heart surgery using cardiopulmonary bypass (CPB), and anticoagulation during the operation was achieved with","In the case report ""Autoimmune heparin-induced thrombocytopenia following cardiac surgery"", the patient underwent heart surgery using cardiopulmonary bypass (CPB), and anticoagulation during the operation was achieved with","In the case report ""Autoimmune heparin-induced thrombocytopenia following cardiac surgery"", the patient underwent heart surgery using cardiopulmonary bypass (CPB), and anticoagulation during the operation was achieved with 45 000 U of UFH.","In the case report ""Autoimmune heparin-induced thrombocytopenia following cardiac surgery"", the patient underwent heart surgery using cardiopulmonary bypass (CPB), and anticoagulation during the operation was achieved with 45 000 U of UFH."
6,keep,,"Retained: source-framed or readily contextualized, answerable, meaningful, and supported by the case report.", excellent haemodynamics., excellent haemodynamics.,"In the case report ""Autoimmune heparin-induced thrombocytopenia following cardiac surgery"", after cardiac surgery using cardiopulmonary bypass and an uneventful operation, the patient's haemodynamics when he came off pump were described as","In the case report ""Autoimmune heparin-induced thrombocytopenia following cardiac surgery"", after cardiac surgery using cardiopulmonary bypass and an uneventful operation, the patient's haemodynamics when he came off pump were described as","In the case report ""Autoimmune heparin-induced thrombocytopenia following cardiac surgery"", after cardiac surgery using cardiopulmonary bypass and an uneventful operation, the patient's haemodynamics when he came off pump were described as excellent haemodynamics.","In the case report ""Autoimmune heparin-induced thrombocytopenia following cardiac surgery"", after cardiac surgery using cardiopulmonary bypass and an uneventful operation, the patient's haemodynamics when he came off pump were described as excellent haemodynamics."
7,repair,source_framing_issue,Probe used generic case-report framing without the required case-report title; repaired by adding the full title., thrombocytopenia., thrombocytopenia.,"In this case report, the peripheral blood film reviewed on postoperative day 7 (POD7) showed the presence of","In the case report ""Autoimmune heparin-induced thrombocytopenia following cardiac surgery"", the peripheral blood film reviewed on postoperative day 7 (POD7) showed the presence of","In the case report ""Autoimmune heparin-induced thrombocytopenia following cardiac surgery"", the peripheral blood film reviewed on postoperative day 7 (POD7) showed the presence of thrombocytopenia.","In the case report ""Autoimmune heparin-induced thrombocytopenia following cardiac surgery"", the peripheral blood film reviewed on postoperative day 7 (POD7) showed the presence of thrombocytopenia."
8,keep,,"Retained: source-framed or readily contextualized, answerable, meaningful, and supported by the case report.", UFH administered at preoperative heart catheterisation., UFH administered at preoperative heart catheterisation.,"In the case report ""Autoimmune heparin-induced thrombocytopenia following cardiac surgery"", an elderly man developed postoperative thrombocytopenia and thrombotic stroke, and HIT was considered the most probable diagnosis, with the likely trigger for this diagnosis being","In the case report ""Autoimmune heparin-induced thrombocytopenia following cardiac surgery"", an elderly man developed postoperative thrombocytopenia and thrombotic stroke, and HIT was considered the most probable diagnosis, with the likely trigger for this diagnosis being","In the case report ""Autoimmune heparin-induced thrombocytopenia following cardiac surgery"", an elderly man developed postoperative thrombocytopenia and thrombotic stroke, and HIT was considered the most probable diagnosis, with the likely trigger for this diagnosis being UFH administered at preoperative heart catheterisation.","In the case report ""Autoimmune heparin-induced thrombocytopenia following cardiac surgery"", an elderly man developed postoperative thrombocytopenia and thrombotic stroke, and HIT was considered the most probable diagnosis, with the likely trigger for this diagnosis being UFH administered at preoperative heart catheterisation."
9,keep,,"Retained: source-framed or readily contextualized, answerable, meaningful, and supported by the case report.", argatroban, argatroban,"In the case report ""Autoimmune heparin-induced thrombocytopenia following cardiac surgery"", after stopping prophylactic fondaparinux in the setting of the patient's thrombotic stroke and unusually severe thrombocytopenia, the treating haematologist preferred","In the case report ""Autoimmune heparin-induced thrombocytopenia following cardiac surgery"", after stopping prophylactic fondaparinux in the setting of the patient's thrombotic stroke and unusually severe thrombocytopenia, the treating haematologist preferred","In the case report ""Autoimmune heparin-induced thrombocytopenia following cardiac surgery"", after stopping prophylactic fondaparinux in the setting of the patient's thrombotic stroke and unusually severe thrombocytopenia, the treating haematologist preferred argatroban","In the case report ""Autoimmune heparin-induced thrombocytopenia following cardiac surgery"", after stopping prophylactic fondaparinux in the setting of the patient's thrombotic stroke and unusually severe thrombocytopenia, the treating haematologist preferred argatroban"
10,keep,,"Retained: source-framed or readily contextualized, answerable, meaningful, and supported by the case report.", 54×109/L, 54×109/L,"In the case report ""Autoimmune heparin-induced thrombocytopenia following cardiac surgery"", after the patient received high-dose intravenous immunoglobulin following a postoperative platelet nadir of 13×10⁹/L on POD7, the interim peak platelet count reached by POD14 was","In the case report ""Autoimmune heparin-induced thrombocytopenia following cardiac surgery"", after the patient received high-dose intravenous immunoglobulin following a postoperative platelet nadir of 13×10⁹/L on POD7, the interim peak platelet count reached by POD14 was","In the case report ""Autoimmune heparin-induced thrombocytopenia following cardiac surgery"", after the patient received high-dose intravenous immunoglobulin following a postoperative platelet nadir of 13×10⁹/L on POD7, the interim peak platelet count reached by POD14 was 54×109/L","In the case report ""Autoimmune heparin-induced thrombocytopenia following cardiac surgery"", after the patient received high-dose intravenous immunoglobulin following a postoperative platelet nadir of 13×10⁹/L on POD7, the interim peak platelet count reached by POD14 was 54×109/L"
