row_1based,decision,issue_type,reason,old_target,new_target,old_probe,new_probe,old_fact,new_fact
1,repair,source_framing_issue,Added required medical case-report source framing while preserving the same source-backed HNF1A-MODY answer., hepatocyte nuclear factor 1-alpha (HNF1A)-MODY, hepatocyte nuclear factor 1-alpha (HNF1A)-MODY.,The patient was described as having,"According to the case report ""Non-type 1 and non-type 2 diabetes in a young man due to novel mutation in HNF1A"", the patient was described as having",The patient was described as having hepatocyte nuclear factor 1-alpha (HNF1A)-MODY,"According to the case report ""Non-type 1 and non-type 2 diabetes in a young man due to novel mutation in HNF1A"", the patient was described as having hepatocyte nuclear factor 1-alpha (HNF1A)-MODY."
2,keep,,"Retained: the cloze is source-framed or contextually clear, meaningful, and source-backed under the v13 rubric.", hyperglycaemia, hyperglycaemia,"In the case report ""Non-type 1 and non-type 2 diabetes in a young man due to novel mutation in HNF1A"", the patient presented without diabetic ketoacidosis but had glycosuria. The metabolic abnormality present alongside the glycosuria was","In the case report ""Non-type 1 and non-type 2 diabetes in a young man due to novel mutation in HNF1A"", the patient presented without diabetic ketoacidosis but had glycosuria. The metabolic abnormality present alongside the glycosuria was","In the case report ""Non-type 1 and non-type 2 diabetes in a young man due to novel mutation in HNF1A"", the patient presented without diabetic ketoacidosis but had glycosuria. The metabolic abnormality present alongside the glycosuria was hyperglycaemia","In the case report ""Non-type 1 and non-type 2 diabetes in a young man due to novel mutation in HNF1A"", the patient presented without diabetic ketoacidosis but had glycosuria. The metabolic abnormality present alongside the glycosuria was hyperglycaemia"
3,keep,,"Retained: the cloze is source-framed or contextually clear, meaningful, and source-backed under the v13 rubric.", diabetic ketoacidosis., diabetic ketoacidosis.,"According to the case report ""Non-type 1 and non-type 2 diabetes in a young man due to novel mutation in HNF1A"", the patient presented with hyperglycaemia and glycosuria in the absence of","According to the case report ""Non-type 1 and non-type 2 diabetes in a young man due to novel mutation in HNF1A"", the patient presented with hyperglycaemia and glycosuria in the absence of","According to the case report ""Non-type 1 and non-type 2 diabetes in a young man due to novel mutation in HNF1A"", the patient presented with hyperglycaemia and glycosuria in the absence of diabetic ketoacidosis.","According to the case report ""Non-type 1 and non-type 2 diabetes in a young man due to novel mutation in HNF1A"", the patient presented with hyperglycaemia and glycosuria in the absence of diabetic ketoacidosis."
4,keep,,"Retained: the cloze is source-framed or contextually clear, meaningful, and source-backed under the v13 rubric.", pancreatic β-cells., pancreatic β-cells.,"According to the case report ""Non-type 1 and non-type 2 diabetes in a young man due to novel mutation in HNF1A"", the background section defines maturity-onset diabetes of the young (MODY) as a group of dominantly inherited, non-autoimmune diabetes disorders with a primary defect in the development and function of","According to the case report ""Non-type 1 and non-type 2 diabetes in a young man due to novel mutation in HNF1A"", the background section defines maturity-onset diabetes of the young (MODY) as a group of dominantly inherited, non-autoimmune diabetes disorders with a primary defect in the development and function of","According to the case report ""Non-type 1 and non-type 2 diabetes in a young man due to novel mutation in HNF1A"", the background section defines maturity-onset diabetes of the young (MODY) as a group of dominantly inherited, non-autoimmune diabetes disorders with a primary defect in the development and function of pancreatic β-cells.","According to the case report ""Non-type 1 and non-type 2 diabetes in a young man due to novel mutation in HNF1A"", the background section defines maturity-onset diabetes of the young (MODY) as a group of dominantly inherited, non-autoimmune diabetes disorders with a primary defect in the development and function of pancreatic β-cells."
5,keep,,"Retained: the cloze is source-framed or contextually clear, meaningful, and source-backed under the v13 rubric.", underestimated., underestimated.,"According to the case report ""Non-type 1 and non-type 2 diabetes in a young man due to novel mutation in HNF1A"", the background section notes that in various ethnic and racial groups, MODY prevalence rates may be","According to the case report ""Non-type 1 and non-type 2 diabetes in a young man due to novel mutation in HNF1A"", the background section notes that in various ethnic and racial groups, MODY prevalence rates may be","According to the case report ""Non-type 1 and non-type 2 diabetes in a young man due to novel mutation in HNF1A"", the background section notes that in various ethnic and racial groups, MODY prevalence rates may be underestimated.","According to the case report ""Non-type 1 and non-type 2 diabetes in a young man due to novel mutation in HNF1A"", the background section notes that in various ethnic and racial groups, MODY prevalence rates may be underestimated."
6,keep,,"Retained: the cloze is source-framed or contextually clear, meaningful, and source-backed under the v13 rubric.", different therapeutic strategies., different therapeutic strategies.,"According to the case report ""Non-type 1 and non-type 2 diabetes in a young man due to novel mutation in HNF1A"", the background discussion notes that relevant mutations in more than 15 genes have been linked to the MODY-monogenic phenotype, and the different MODY-linked genes each correspond to","According to the case report ""Non-type 1 and non-type 2 diabetes in a young man due to novel mutation in HNF1A"", the background discussion notes that relevant mutations in more than 15 genes have been linked to the MODY-monogenic phenotype, and the different MODY-linked genes each correspond to","According to the case report ""Non-type 1 and non-type 2 diabetes in a young man due to novel mutation in HNF1A"", the background discussion notes that relevant mutations in more than 15 genes have been linked to the MODY-monogenic phenotype, and the different MODY-linked genes each correspond to different therapeutic strategies.","According to the case report ""Non-type 1 and non-type 2 diabetes in a young man due to novel mutation in HNF1A"", the background discussion notes that relevant mutations in more than 15 genes have been linked to the MODY-monogenic phenotype, and the different MODY-linked genes each correspond to different therapeutic strategies."
7,keep,,"Retained: the cloze is source-framed or contextually clear, meaningful, and source-backed under the v13 rubric.", insulin resistance., insulin resistance.,"According to the case report ""Non-type 1 and non-type 2 diabetes in a young man due to novel mutation in HNF1A"", the background discussion notes that in HNF1A-MODY, blood glucose elevation is often found incidentally during routine testing in early adolescence, typically without any clinical indications of","According to the case report ""Non-type 1 and non-type 2 diabetes in a young man due to novel mutation in HNF1A"", the background discussion notes that in HNF1A-MODY, blood glucose elevation is often found incidentally during routine testing in early adolescence, typically without any clinical indications of","According to the case report ""Non-type 1 and non-type 2 diabetes in a young man due to novel mutation in HNF1A"", the background discussion notes that in HNF1A-MODY, blood glucose elevation is often found incidentally during routine testing in early adolescence, typically without any clinical indications of insulin resistance.","According to the case report ""Non-type 1 and non-type 2 diabetes in a young man due to novel mutation in HNF1A"", the background discussion notes that in HNF1A-MODY, blood glucose elevation is often found incidentally during routine testing in early adolescence, typically without any clinical indications of insulin resistance."
8,keep,,"Retained: the cloze is source-framed or contextually clear, meaningful, and source-backed under the v13 rubric.", compromised glucose transport in renal tubules., compromised glucose transport in renal tubules.,"According to the case report ""Non-type 1 and non-type 2 diabetes in a young man due to novel mutation in HNF1A"", the background discussion notes that glycosuria may be detected because of a reduced renal threshold for glucose reabsorption caused by","According to the case report ""Non-type 1 and non-type 2 diabetes in a young man due to novel mutation in HNF1A"", the background discussion notes that glycosuria may be detected because of a reduced renal threshold for glucose reabsorption caused by","According to the case report ""Non-type 1 and non-type 2 diabetes in a young man due to novel mutation in HNF1A"", the background discussion notes that glycosuria may be detected because of a reduced renal threshold for glucose reabsorption caused by compromised glucose transport in renal tubules.","According to the case report ""Non-type 1 and non-type 2 diabetes in a young man due to novel mutation in HNF1A"", the background discussion notes that glycosuria may be detected because of a reduced renal threshold for glucose reabsorption caused by compromised glucose transport in renal tubules."
9,keep,,"Retained: the cloze is source-framed or contextually clear, meaningful, and source-backed under the v13 rubric.", overlapping clinical features., overlapping clinical features.,"According to the case report ""Non-type 1 and non-type 2 diabetes in a young man due to novel mutation in HNF1A"", distinguishing MODY from type 1 diabetes and type 2 diabetes remains a diagnostic dilemma because of","According to the case report ""Non-type 1 and non-type 2 diabetes in a young man due to novel mutation in HNF1A"", distinguishing MODY from type 1 diabetes and type 2 diabetes remains a diagnostic dilemma because of","According to the case report ""Non-type 1 and non-type 2 diabetes in a young man due to novel mutation in HNF1A"", distinguishing MODY from type 1 diabetes and type 2 diabetes remains a diagnostic dilemma because of overlapping clinical features.","According to the case report ""Non-type 1 and non-type 2 diabetes in a young man due to novel mutation in HNF1A"", distinguishing MODY from type 1 diabetes and type 2 diabetes remains a diagnostic dilemma because of overlapping clinical features."
10,keep,,"Retained: the cloze is source-framed or contextually clear, meaningful, and source-backed under the v13 rubric.", annual health examination., annual health examination.,"According to the case report ""Non-type 1 and non-type 2 diabetes in a young man due to novel mutation in HNF1A"", a young adult was referred for evaluation after hyperglycaemia and glycosuria were found during","According to the case report ""Non-type 1 and non-type 2 diabetes in a young man due to novel mutation in HNF1A"", a young adult was referred for evaluation after hyperglycaemia and glycosuria were found during","According to the case report ""Non-type 1 and non-type 2 diabetes in a young man due to novel mutation in HNF1A"", a young adult was referred for evaluation after hyperglycaemia and glycosuria were found during annual health examination.","According to the case report ""Non-type 1 and non-type 2 diabetes in a young man due to novel mutation in HNF1A"", a young adult was referred for evaluation after hyperglycaemia and glycosuria were found during annual health examination."
