target,probe,fact,inference_type,source_fact(s),derivation,question,answer,source_facts,text_sentences
 similar goods and services,"In the opinion 'Apex Bank v. CC Serve Corp.', under the court’s discussion of the sixth factor, non-identical third-party evidence could still matter to proving weakness if it involved","In the opinion 'Apex Bank v. CC Serve Corp.', under the court’s discussion of the sixth factor, non-identical third-party evidence could still matter to proving weakness if it involved similar goods and services",Reasoning Step,"['The Board concluded that there were nine Aspire-formative marks for credit card services, but that only nine uses did not rise to the level of “considerable” or “ubiquitous” use found to demonstrate weakness.', 'We have held that the sixth DuPont factor does not require identical goods—only similar ones.']","Because identical goods are unnecessary under the sixth factor, additional third-party uses on similar services could still be relevant to weakness even if they are not credit card services.",What kind of non-identical third-party evidence did the court say could still matter to proving weakness under the sixth factor?,similar goods and services,"['The Board concluded that there were nine Aspire-formative marks for credit card services, but that only nine uses did not rise to the level of “considerable” or “ubiquitous” use found to demonstrate weakness.', 'We have held that the sixth DuPont factor does not require identical goods—only similar ones.']","['The Board concluded that there were nine Aspire-formative marks for credit card services, but that only nine uses did not rise to the level of “considerable” or “ubiquitous” use found to demonstrate weakness.', 'We have held that the sixth DuPont factor does not require identical goods—only similar ones.']"
 lack of commercial strength,"According to the opinion 'Apex Bank v. CC Serve Corp.', if remand shows the field is crowded with similar Aspire marks, the opinion says that this tends to show CC Serve’s mark has a","According to the opinion 'Apex Bank v. CC Serve Corp.', if remand shows the field is crowded with similar Aspire marks, the opinion says that this tends to show CC Serve’s mark has a lack of commercial strength",Reasoning Step,"['When a field is crowded with similar marks, the theory is that customers will be more adept at distinguishing marks from each other and are less likely to be confused by similar marks.', 'Evidence that consumers have been educated to distinguish between marks in this way tends to indicate a lack of commercial strength.']","If remand reveals many similar Aspire marks in the field, the opinion says that would indicate the mark lacks commercial strength.","If remand shows the field is crowded with similar Aspire marks, what does the opinion say that tends to show about CC Serve’s mark?",lack of commercial strength,"['When a field is crowded with similar marks, the theory is that customers will be more adept at distinguishing marks from each other and are less likely to be confused by similar marks.', 'Evidence that consumers have been educated to distinguish between marks in this way tends to indicate a lack of commercial strength.']","['When a field is crowded with similar marks, the theory is that customers will be more adept at distinguishing marks from each other and are less likely to be confused by similar marks.', 'Evidence that consumers have been educated to distinguish between marks in this way tends to indicate a lack of commercial strength.']"
 services are highly similar,"According to the opinion 'Apex Bank v. CC Serve Corp.', on remand, when the Board reconsiders factors six and one, the service-related premise settled for the Board is that the parties'","According to the opinion 'Apex Bank v. CC Serve Corp.', on remand, when the Board reconsiders factors six and one, the service-related premise settled for the Board is that the parties' services are highly similar",Multi-Fact Integration,"['We affirm the Board’s analysis as to the second DuPont factor because the Board did not err in its legal analysis and substantial evidence supports the Board’s finding that the parties’ services are highly similar.', 'But we vacate the Board’s findings with respect to DuPont factors six and one and remand for the Board to consider the number and nature of similar marks used on similar goods and the appearance, sound, connotation, and commercial impression of the marks in light of its finding that the parties’ services are highly similar.']","Because the remand expressly proceeds in light of an affirmed finding, that service-similarity determination is fixed rather than reopened.",What service-related premise is settled for the Board when it reconsiders factors six and one on remand?,services are highly similar,"['We affirm the Board’s analysis as to the second DuPont factor because the Board did not err in its legal analysis and substantial evidence supports the Board’s finding that the parties’ services are highly similar.', 'But we vacate the Board’s findings with respect to DuPont factors six and one and remand for the Board to consider the number and nature of similar marks used on similar goods and the appearance, sound, connotation, and commercial impression of the marks in light of its finding that the parties’ services are highly similar.']","['We affirm the Board’s analysis as to the second DuPont factor because the Board did not err in its legal analysis and substantial evidence supports the Board’s finding that the parties’ services are highly similar.', 'But we vacate the Board’s findings with respect to DuPont factors six and one and remand for the Board to consider the number and nature of similar marks used on similar goods and the appearance, sound, connotation, and commercial impression of the marks in light of its finding that the parties’ services are highly similar.']"
 its definition of similarity,"According to the opinion 'Apex Bank v. CC Serve Corp.', the aspect that was too narrow and caused it to disregard many third-party Aspire marks outside credit card services was","According to the opinion 'Apex Bank v. CC Serve Corp.', the aspect that was too narrow and caused it to disregard many third-party Aspire marks outside credit card services was its definition of similarity",Synthesized Insight,"['The Board concluded that because of the overlap between Apex and CC Serve’s services, the properly defined relevant public is “consumers of ‘credit card services.’” J.A. 47.', 'The Board focused solely on the marks identified for credit card services and deemed the marks using Aspire for other services to be “essentially irrelevant.” J.A. 47.', 'Here, we find the Board’s definition of similarity to be too narrow.']","By defining the relevant scope around only credit card services, the Board treated broader similar-service Aspire marks as irrelevant; the court identified that narrow similarity definition as the flaw.",What was too narrow in the Board’s approach that caused it to disregard many third-party Aspire marks outside credit card services?,its definition of similarity,"['The Board concluded that because of the overlap between Apex and CC Serve’s services, the properly defined relevant public is “consumers of ‘credit card services.’” J.A. 47.', 'The Board focused solely on the marks identified for credit card services and deemed the marks using Aspire for other services to be “essentially irrelevant.” J.A. 47.', 'Here, we find the Board’s definition of similarity to be too narrow.']","['The Board concluded that because of the overlap between Apex and CC Serve’s services, the properly defined relevant public is “consumers of ‘credit card services.’” J.A. 47.', 'The Board focused solely on the marks identified for credit card services and deemed the marks using Aspire for other services to be “essentially irrelevant.” J.A. 47.', 'Here, we find the Board’s definition of similarity to be too narrow.']"
 commercial strength or weakness,"According to the opinion 'Apex Bank v. CC Serve Corp.', on remand, the feature of the ASPIRE mark that could change and thereby alter the first-factor analysis was its","According to the opinion 'Apex Bank v. CC Serve Corp.', on remand, the feature of the ASPIRE mark that could change and thereby alter the first-factor analysis was its commercial strength or weakness",Reasoning Step,"['The Board found that “[CC Serve] has not shown that its mark has any particular commercial strength, but [Apex] has not shown that [CC Serve]’s mark is commercially or conceptually weak such that it is entitled to a narrow scope of protection,” and determined that CC Serve’s mark is entitled to the “normal scope of protection accorded inherently distinctive marks.” J.A. 51.', 'Because commercial impression informs the analysis under the first DuPont factor, we must similarly vacate the Board’s analysis here because reconsideration of the sixth DuPont factor may result in a different determination of the mark’s commercial strength or weakness and affect the overall commercial impression.']",The court vacated factor one because a new strength-or-weakness determination under factor six could alter the premise supporting the prior commercial-impression analysis.,What feature of the ASPIRE mark could change on remand and thereby alter the first-factor analysis?,commercial strength or weakness,"['The Board found that “[CC Serve] has not shown that its mark has any particular commercial strength, but [Apex] has not shown that [CC Serve]’s mark is commercially or conceptually weak such that it is entitled to a narrow scope of protection,” and determined that CC Serve’s mark is entitled to the “normal scope of protection accorded inherently distinctive marks.” J.A. 51.', 'Because commercial impression informs the analysis under the first DuPont factor, we must similarly vacate the Board’s analysis here because reconsideration of the sixth DuPont factor may result in a different determination of the mark’s commercial strength or weakness and affect the overall commercial impression.']","['The Board found that “[CC Serve] has not shown that its mark has any particular commercial strength, but [Apex] has not shown that [CC Serve]’s mark is commercially or conceptually weak such that it is entitled to a narrow scope of protection,” and determined that CC Serve’s mark is entitled to the “normal scope of protection accorded inherently distinctive marks.” J.A. 51.', 'Because commercial impression informs the analysis under the first DuPont factor, we must similarly vacate the Board’s analysis here because reconsideration of the sixth DuPont factor may result in a different determination of the mark’s commercial strength or weakness and affect the overall commercial impression.']"
 more adept at distinguishing marks,"According to the opinion 'Apex Bank v. CC Serve Corp.', if remand reveals a crowded field of Aspire-formative financial-service marks, that evidence would support a finding that consumers are","According to the opinion 'Apex Bank v. CC Serve Corp.', if remand reveals a crowded field of Aspire-formative financial-service marks, that evidence would support a finding that consumers are more adept at distinguishing marks",Reasoning Step,"['When a field is crowded with similar marks, the theory is that customers will be more adept at distinguishing marks from each other and are less likely to be confused by similar marks.', 'Apex contends that the Board erred in limiting the relevant public to consumers of credit card services and that the Board should have considered the 42 other third-party marks that use Aspire and Aspire-formative marks.']","If those additional Aspire-formative marks are considered and show a crowded field, the opinion states that consumers would better distinguish the marks.","If remand reveals a crowded field of Aspire-formative financial-service marks, what consumer response would that evidence support?",more adept at distinguishing marks,"['When a field is crowded with similar marks, the theory is that customers will be more adept at distinguishing marks from each other and are less likely to be confused by similar marks.', 'Apex contends that the Board erred in limiting the relevant public to consumers of credit card services and that the Board should have considered the 42 other third-party marks that use Aspire and Aspire-formative marks.']","['When a field is crowded with similar marks, the theory is that customers will be more adept at distinguishing marks from each other and are less likely to be confused by similar marks.', 'Apex contends that the Board erred in limiting the relevant public to consumers of credit card services and that the Board should have considered the 42 other third-party marks that use Aspire and Aspire-formative marks.']"
 sixth DuPont factor,"According to the opinion 'Apex Bank v. CC Serve Corp.', reconsideration of which factor could change the commercial-impression analysis under the first DuPont factor was the factor concerning the mark's commercial strength or weakness, the","According to the opinion 'Apex Bank v. CC Serve Corp.', reconsideration of which factor could change the commercial-impression analysis under the first DuPont factor was the factor concerning the mark's commercial strength or weakness, the sixth DuPont factor",Reasoning Step,"['The first DuPont factor considers the “similarity or dissimilarity of the marks in their entireties as to appearance, sound, connotation and commercial impression.”', 'Because commercial impression informs the analysis under the first DuPont factor, we must similarly vacate the Board’s analysis here because reconsideration of the sixth DuPont factor may result in a different determination of the mark’s commercial strength or weakness and affect the overall commercial impression.']",The court linked any change in commercial strength or weakness under factor six to the first factor’s commercial-impression analysis.,Which factor’s reconsideration could change the commercial-impression analysis under the first DuPont factor?,sixth DuPont factor,"['The first DuPont factor considers the “similarity or dissimilarity of the marks in their entireties as to appearance, sound, connotation and commercial impression.”', 'Because commercial impression informs the analysis under the first DuPont factor, we must similarly vacate the Board’s analysis here because reconsideration of the sixth DuPont factor may result in a different determination of the mark’s commercial strength or weakness and affect the overall commercial impression.']","['The first DuPont factor considers the “similarity or dissimilarity of the marks in their entireties as to appearance, sound, connotation and commercial impression.”', 'Because commercial impression informs the analysis under the first DuPont factor, we must similarly vacate the Board’s analysis here because reconsideration of the sixth DuPont factor may result in a different determination of the mark’s commercial strength or weakness and affect the overall commercial impression.']"
 banking and financing services,"According to the opinion 'Apex Bank v. CC Serve Corp.', on remand, the court required consideration of what additional category of third-party Aspire marks, besides those tied only to credit card services, must be considered:","According to the opinion 'Apex Bank v. CC Serve Corp.', on remand, the court required consideration of what additional category of third-party Aspire marks, besides those tied only to credit card services, must be considered: banking and financing services",Multi-Fact Integration,"['The Board focused solely on the marks identified for credit card services and deemed the marks using Aspire for other services to be “essentially irrelevant.” J.A. 47.', 'We have held that the sixth DuPont factor does not require identical goods—only similar ones.', 'When the Board has already made a factual finding that the services are highly similar—in fact, partially legally identical—in its analysis of the second DuPont factor, J.A. 27–28, the Board should retain the same scope in its consideration of similarity under the other factors.', 'We thus vacate the Board’s finding with respect to the sixth DuPont factor and remand for reconsideration of the appropriate scope of third-party marks eligible for consideration in view of the Board’s factual finding that the parties’ services are highly similar.']","Since the same broader similarity scope must carry over from factor two to factor six, third-party Aspire marks tied to banking and financing services cannot be excluded as irrelevant.","On remand, what additional category of third-party Aspire marks must be considered besides those tied only to credit card services?",banking and financing services,"['The Board focused solely on the marks identified for credit card services and deemed the marks using Aspire for other services to be “essentially irrelevant.” J.A. 47.', 'We have held that the sixth DuPont factor does not require identical goods—only similar ones.', 'When the Board has already made a factual finding that the services are highly similar—in fact, partially legally identical—in its analysis of the second DuPont factor, J.A. 27–28, the Board should retain the same scope in its consideration of similarity under the other factors.', 'We thus vacate the Board’s finding with respect to the sixth DuPont factor and remand for reconsideration of the appropriate scope of third-party marks eligible for consideration in view of the Board’s factual finding that the parties’ services are highly similar.']","['The Board focused solely on the marks identified for credit card services and deemed the marks using Aspire for other services to be “essentially irrelevant.” J.A. 47.', 'We have held that the sixth DuPont factor does not require identical goods—only similar ones.', 'When the Board has already made a factual finding that the services are highly similar—in fact, partially legally identical—in its analysis of the second DuPont factor, J.A. 27–28, the Board should retain the same scope in its consideration of similarity under the other factors.', 'We thus vacate the Board’s finding with respect to the sixth DuPont factor and remand for reconsideration of the appropriate scope of third-party marks eligible for consideration in view of the Board’s factual finding that the parties’ services are highly similar.']"
 narrow scope of protection,"According to the opinion 'Apex Bank v. CC Serve Corp.', if the broader third-party-mark evidence on remand shows ASPIRE is relatively weak, then under the court’s stated rule ASPIRE will receive a","According to the opinion 'Apex Bank v. CC Serve Corp.', if the broader third-party-mark evidence on remand shows ASPIRE is relatively weak, then under the court’s stated rule ASPIRE will receive a narrow scope of protection",Synthesized Insight,"['“Evidence of third-party use of similar marks on similar goods is relevant to show that a mark is relatively weak and entitled to only a narrow scope of protection.”', 'We thus vacate the Board’s finding with respect to the sixth DuPont factor and remand for reconsideration of the appropriate scope of third-party marks eligible for consideration in view of the Board’s factual finding that the parties’ services are highly similar.']","If the remand expands the third-party-use evidence and that evidence shows weakness, the stated rule says the mark’s protection should correspondingly narrow.","If the broader third-party-mark evidence on remand shows ASPIRE is relatively weak, what protection consequence follows under the court’s stated rule?",narrow scope of protection,"['“Evidence of third-party use of similar marks on similar goods is relevant to show that a mark is relatively weak and entitled to only a narrow scope of protection.”', 'We thus vacate the Board’s finding with respect to the sixth DuPont factor and remand for reconsideration of the appropriate scope of third-party marks eligible for consideration in view of the Board’s factual finding that the parties’ services are highly similar.']","['“Evidence of third-party use of similar marks on similar goods is relevant to show that a mark is relatively weak and entitled to only a narrow scope of protection.”', 'We thus vacate the Board’s finding with respect to the sixth DuPont factor and remand for reconsideration of the appropriate scope of third-party marks eligible for consideration in view of the Board’s factual finding that the parties’ services are highly similar.']"
 a more stringent legal standard,"According to the opinion 'Apex Bank v. CC Serve Corp.', under the sixth DuPont factor, the Board improperly imposed a similarity threshold that amounted to","According to the opinion 'Apex Bank v. CC Serve Corp.', under the sixth DuPont factor, the Board improperly imposed a similarity threshold that amounted to a more stringent legal standard",Synthesized Insight,"['We see no reason to impose a different and more stringent legal standard for similarity under the sixth DuPont factor.', 'The Board focused solely on the marks identified for credit card services and deemed the marks using Aspire for other services to be “essentially irrelevant.” J.A. 47.']","By limiting factor six to credit-card-only marks, the Board effectively used a narrower similarity requirement than the court said the law allows.",What kind of similarity threshold did the Board improperly impose under the sixth DuPont factor?,a more stringent legal standard,"['We see no reason to impose a different and more stringent legal standard for similarity under the sixth DuPont factor.', 'The Board focused solely on the marks identified for credit card services and deemed the marks using Aspire for other services to be “essentially irrelevant.” J.A. 47.']","['We see no reason to impose a different and more stringent legal standard for similarity under the sixth DuPont factor.', 'The Board focused solely on the marks identified for credit card services and deemed the marks using Aspire for other services to be “essentially irrelevant.” J.A. 47.']"
