probe,target,correct_label,formatted_question,option_a,option_b,option_c,option_d,option_e,distractors,fact,raw_knowledge_statement,section,formatted_question_5shot
"In the case ""Foad Farahi v. Federal Bureau of Investigation,"" the FBI moved for summary judgment after reviewing records responsive to Farahi’s FOIA request. According to the opinion, David Hardy submitted a declaration in support of that motion. What FBI section was Hardy the Section Chief of?",Record/Information Dissemination Section (RIDS).,(D),"In the case ""Foad Farahi v. Federal Bureau of Investigation,"" the FBI moved for summary judgment after reviewing records responsive to Farahi’s FOIA request. According to the opinion, David Hardy submitted a declaration in support of that motion. What FBI section was Hardy the Section Chief of?
(A) Records Management Section (RMS).
(B) Freedom of Information/Privacy Act Section (FOIPA).
(C) Counterterrorism Analysis Section (CTAS).
(D) Record/Information Dissemination Section (RIDS).
(E) National Security Law Section (NSLS).",Records Management Section (RMS).,Freedom of Information/Privacy Act Section (FOIPA).,Counterterrorism Analysis Section (CTAS).,Record/Information Dissemination Section (RIDS).,National Security Law Section (NSLS).,"[""Records Management Section (RMS)."", ""Counterterrorism Analysis Section (CTAS)."", ""Freedom of Information/Privacy Act Section (FOIPA)."", ""National Security Law Section (NSLS).""]","In the case ""Foad Farahi v. Federal Bureau of Investigation"", after the FBI moved for summary judgment following its review of records responsive to Farahi’s FOIA request, David Hardy submitted a declaration in support of that motion, and he was the Section Chief of Record/Information Dissemination Section (RIDS).","In support, it submitted a declaration from David Hardy, the Section Chief of its Record/Information Dissemination Section (RIDS).",II,"Question: Which city is the capital of France?
(A) Paris
(B) Berlin
(C) Madrid
(D) Rome
(E) Lisbon
Answer: (A)

Question: Which planet is the largest in the Solar System?
(A) Earth
(B) Jupiter
(C) Saturn
(D) Venus
(E) Mars
Answer: (B)

Question: What is the chemical formula for water?
(A) CO2
(B) O2
(C) H2O
(D) NaCl
(E) CH4
Answer: (C)

Question: What process do plants use to convert sunlight into chemical energy?
(A) Respiration
(B) Fermentation
(C) Evaporation
(D) Photosynthesis
(E) Condensation
Answer: (D)

Question: What is the primary function of red blood cells?
(A) Transmit nerve signals
(B) Produce bile
(C) Filter lymph
(D) Digest proteins
(E) Carry oxygen
Answer: (E)

Question: In the case ""Foad Farahi v. Federal Bureau of Investigation,"" the FBI moved for summary judgment after reviewing records responsive to Farahi’s FOIA request. According to the opinion, David Hardy submitted a declaration in support of that motion. What FBI section was Hardy the Section Chief of?
(A) Records Management Section (RMS).
(B) Freedom of Information/Privacy Act Section (FOIPA).
(C) Counterterrorism Analysis Section (CTAS).
(D) Record/Information Dissemination Section (RIDS).
(E) National Security Law Section (NSLS)."
"According to the opinion in ""Foad Farahi v. Federal Bureau of Investigation,"" what purposes must records be compiled for in order to fall within Freedom of Information Act Exemption 7(A)?",law enforcement purposes.,(D),"According to the opinion in ""Foad Farahi v. Federal Bureau of Investigation,"" what purposes must records be compiled for in order to fall within Freedom of Information Act Exemption 7(A)?
(A) administrative oversight purposes.
(B) national security purposes.
(C) pending or reasonably anticipated enforcement proceedings.
(D) law enforcement purposes.
(E) civil discovery purposes.",administrative oversight purposes.,national security purposes.,pending or reasonably anticipated enforcement proceedings.,law enforcement purposes.,civil discovery purposes.,"[""pending or reasonably anticipated enforcement proceedings."", ""national security purposes."", ""administrative oversight purposes."", ""civil discovery purposes.""]","According to the opinion in ""Foad Farahi v. Federal Bureau of Investigation"", records must be compiled to qualify for Freedom of Information Act Exemption 7(A) for law enforcement purposes.",Exemption 7(A) covers records “compiled for law enforcement purposes” if their disclosure “could reasonably be expected to interfere with enforcement proceedings.” Id. § 552(b)(7)(A).,I,"Question: Which city is the capital of France?
(A) Paris
(B) Berlin
(C) Madrid
(D) Rome
(E) Lisbon
Answer: (A)

Question: Which planet is the largest in the Solar System?
(A) Earth
(B) Jupiter
(C) Saturn
(D) Venus
(E) Mars
Answer: (B)

Question: What is the chemical formula for water?
(A) CO2
(B) O2
(C) H2O
(D) NaCl
(E) CH4
Answer: (C)

Question: What process do plants use to convert sunlight into chemical energy?
(A) Respiration
(B) Fermentation
(C) Evaporation
(D) Photosynthesis
(E) Condensation
Answer: (D)

Question: What is the primary function of red blood cells?
(A) Transmit nerve signals
(B) Produce bile
(C) Filter lymph
(D) Digest proteins
(E) Carry oxygen
Answer: (E)

Question: According to the opinion in ""Foad Farahi v. Federal Bureau of Investigation,"" what purposes must records be compiled for in order to fall within Freedom of Information Act Exemption 7(A)?
(A) administrative oversight purposes.
(B) national security purposes.
(C) pending or reasonably anticipated enforcement proceedings.
(D) law enforcement purposes.
(E) civil discovery purposes."
"In the case ""Foad Farahi v. Federal Bureau of Investigation"", what kind of proceedings did the FBI have to show disclosure of the withheld records could reasonably be expected to interfere with in order to carry its burden under FOIA?",enforcement proceedings.,(E),"In the case ""Foad Farahi v. Federal Bureau of Investigation"", what kind of proceedings did the FBI have to show disclosure of the withheld records could reasonably be expected to interfere with in order to carry its burden under FOIA?
(A) national security operations.
(B) ongoing criminal investigations.
(C) law enforcement purposes.
(D) inter-agency deliberative processes.
(E) enforcement proceedings.",national security operations.,ongoing criminal investigations.,law enforcement purposes.,inter-agency deliberative processes.,enforcement proceedings.,"[""ongoing criminal investigations."", ""national security operations."", ""inter-agency deliberative processes."", ""law enforcement purposes.""]","In the case ""Foad Farahi v. Federal Bureau of Investigation"", to carry its burden under FOIA, the FBI had to show that disclosure of the withheld records could reasonably be expected to interfere with enforcement proceedings.","To carry that burden, the FBI here must show that the withheld records were compiled for law enforcement purposes and that their disclosure could reasonably be expected to interfere with enforcement proceedings that are pending or reasonably anticipated.",III,"Question: Which city is the capital of France?
(A) Paris
(B) Berlin
(C) Madrid
(D) Rome
(E) Lisbon
Answer: (A)

Question: Which planet is the largest in the Solar System?
(A) Earth
(B) Jupiter
(C) Saturn
(D) Venus
(E) Mars
Answer: (B)

Question: What is the chemical formula for water?
(A) CO2
(B) O2
(C) H2O
(D) NaCl
(E) CH4
Answer: (C)

Question: What process do plants use to convert sunlight into chemical energy?
(A) Respiration
(B) Fermentation
(C) Evaporation
(D) Photosynthesis
(E) Condensation
Answer: (D)

Question: What is the primary function of red blood cells?
(A) Transmit nerve signals
(B) Produce bile
(C) Filter lymph
(D) Digest proteins
(E) Carry oxygen
Answer: (E)

Question: In the case ""Foad Farahi v. Federal Bureau of Investigation"", what kind of proceedings did the FBI have to show disclosure of the withheld records could reasonably be expected to interfere with in order to carry its burden under FOIA?
(A) national security operations.
(B) ongoing criminal investigations.
(C) law enforcement purposes.
(D) inter-agency deliberative processes.
(E) enforcement proceedings."
"According to the opinion in ""Foad Farahi v. Federal Bureau of Investigation,"" the FBI publicly alleged in Farahi's immigration proceedings that he supported charities that financed terrorism. Which charities were identified?",the Holy Land Foundation and the Global Relief Foundation.,(C),"According to the opinion in ""Foad Farahi v. Federal Bureau of Investigation,"" the FBI publicly alleged in Farahi's immigration proceedings that he supported charities that financed terrorism. Which charities were identified?
(A) the Islamic African Relief Agency and KindHearts for Charitable Humanitarian Development.
(B) the Egyptian Muslim Brotherhood and the Benevolence International Foundation.
(C) the Holy Land Foundation and the Global Relief Foundation.
(D) the Rabita Trust and the Revival of Islamic Heritage Society.
(E) the Benevolence International Foundation and the Al-Haramain Islamic Foundation.",the Islamic African Relief Agency and KindHearts for Charitable Humanitarian Development.,the Egyptian Muslim Brotherhood and the Benevolence International Foundation.,the Holy Land Foundation and the Global Relief Foundation.,the Rabita Trust and the Revival of Islamic Heritage Society.,the Benevolence International Foundation and the Al-Haramain Islamic Foundation.,"[""the Benevolence International Foundation and the Al-Haramain Islamic Foundation."", ""the Islamic African Relief Agency and KindHearts for Charitable Humanitarian Development."", ""the Egyptian Muslim Brotherhood and the Benevolence International Foundation."", ""the Rabita Trust and the Revival of Islamic Heritage Society.""]","According to the opinion in ""Foad Farahi v. Federal Bureau of Investigation"", the FBI publicly alleged in Farahi's immigration proceedings that he supported charities that financed terrorism, and the charities identified were the Holy Land Foundation and the Global Relief Foundation.","And he supported “charities that financed terrorism,” including the Holy Land Foundation and the Global Relief Foundation.",IV,"Question: Which city is the capital of France?
(A) Paris
(B) Berlin
(C) Madrid
(D) Rome
(E) Lisbon
Answer: (A)

Question: Which planet is the largest in the Solar System?
(A) Earth
(B) Jupiter
(C) Saturn
(D) Venus
(E) Mars
Answer: (B)

Question: What is the chemical formula for water?
(A) CO2
(B) O2
(C) H2O
(D) NaCl
(E) CH4
Answer: (C)

Question: What process do plants use to convert sunlight into chemical energy?
(A) Respiration
(B) Fermentation
(C) Evaporation
(D) Photosynthesis
(E) Condensation
Answer: (D)

Question: What is the primary function of red blood cells?
(A) Transmit nerve signals
(B) Produce bile
(C) Filter lymph
(D) Digest proteins
(E) Carry oxygen
Answer: (E)

Question: According to the opinion in ""Foad Farahi v. Federal Bureau of Investigation,"" the FBI publicly alleged in Farahi's immigration proceedings that he supported charities that financed terrorism. Which charities were identified?
(A) the Islamic African Relief Agency and KindHearts for Charitable Humanitarian Development.
(B) the Egyptian Muslim Brotherhood and the Benevolence International Foundation.
(C) the Holy Land Foundation and the Global Relief Foundation.
(D) the Rabita Trust and the Revival of Islamic Heritage Society.
(E) the Benevolence International Foundation and the Al-Haramain Islamic Foundation."
"In the case ""Foad Farahi v. Federal Bureau of Investigation,"" the court discussed FOIA Exemption 7(A)'s requirement that enforcement proceedings be ongoing in a particular sense. According to Farahi, the passage of time cast doubt on whether those enforcement proceedings remained what?",pending or reasonably anticipated.,(C),"In the case ""Foad Farahi v. Federal Bureau of Investigation,"" the court discussed FOIA Exemption 7(A)'s requirement that enforcement proceedings be ongoing in a particular sense. According to Farahi, the passage of time cast doubt on whether those enforcement proceedings remained what?
(A) active or under seal
(B) final or appealable
(C) pending or reasonably anticipated.
(D) ongoing or exempt from disclosure
(E) ripe or justiciable",active or under seal,final or appealable,pending or reasonably anticipated.,ongoing or exempt from disclosure,ripe or justiciable,"[""ongoing or exempt from disclosure"", ""active or under seal"", ""ripe or justiciable"", ""final or appealable""]","In the case ""Foad Farahi v. Federal Bureau of Investigation"", Farahi argued that the passage of time cast doubt on whether the enforcement proceedings remained pending or reasonably anticipated.",Farahi argues that the passage of time casts doubt on whether enforcement proceedings remained pending or reasonably anticipated.,IV,"Question: Which city is the capital of France?
(A) Paris
(B) Berlin
(C) Madrid
(D) Rome
(E) Lisbon
Answer: (A)

Question: Which planet is the largest in the Solar System?
(A) Earth
(B) Jupiter
(C) Saturn
(D) Venus
(E) Mars
Answer: (B)

Question: What is the chemical formula for water?
(A) CO2
(B) O2
(C) H2O
(D) NaCl
(E) CH4
Answer: (C)

Question: What process do plants use to convert sunlight into chemical energy?
(A) Respiration
(B) Fermentation
(C) Evaporation
(D) Photosynthesis
(E) Condensation
Answer: (D)

Question: What is the primary function of red blood cells?
(A) Transmit nerve signals
(B) Produce bile
(C) Filter lymph
(D) Digest proteins
(E) Carry oxygen
Answer: (E)

Question: In the case ""Foad Farahi v. Federal Bureau of Investigation,"" the court discussed FOIA Exemption 7(A)'s requirement that enforcement proceedings be ongoing in a particular sense. According to Farahi, the passage of time cast doubt on whether those enforcement proceedings remained what?
(A) active or under seal
(B) final or appealable
(C) pending or reasonably anticipated.
(D) ongoing or exempt from disclosure
(E) ripe or justiciable"
"In the case ""Foad Farahi v. Federal Bureau of Investigation,"" what statute does the opinion identify as requiring federal agencies to release records to members of the public upon request, unless a statutory exemption applies?",The Freedom of Information Act,(B),"In the case ""Foad Farahi v. Federal Bureau of Investigation,"" what statute does the opinion identify as requiring federal agencies to release records to members of the public upon request, unless a statutory exemption applies?
(A) The Federal Records Act
(B) The Freedom of Information Act
(C) The Administrative Procedure Act
(D) The Government in the Sunshine Act
(E) The Privacy Act of 1974",The Federal Records Act,The Freedom of Information Act,The Administrative Procedure Act,The Government in the Sunshine Act,The Privacy Act of 1974,"[""The Privacy Act of 1974"", ""The Administrative Procedure Act"", ""The Federal Records Act"", ""The Government in the Sunshine Act""]","In the case ""Foad Farahi v. Federal Bureau of Investigation"", the opinion identified the statute requiring federal agencies to release records to members of the public upon request unless a statutory exemption applies as The Freedom of Information Act","The Freedom of Information Act requires federal agencies to release records to members of the public upon request, unless an enumerated statutory exemption applies. U.S.C. § 552(a)(3), (b).",I,"Question: Which city is the capital of France?
(A) Paris
(B) Berlin
(C) Madrid
(D) Rome
(E) Lisbon
Answer: (A)

Question: Which planet is the largest in the Solar System?
(A) Earth
(B) Jupiter
(C) Saturn
(D) Venus
(E) Mars
Answer: (B)

Question: What is the chemical formula for water?
(A) CO2
(B) O2
(C) H2O
(D) NaCl
(E) CH4
Answer: (C)

Question: What process do plants use to convert sunlight into chemical energy?
(A) Respiration
(B) Fermentation
(C) Evaporation
(D) Photosynthesis
(E) Condensation
Answer: (D)

Question: What is the primary function of red blood cells?
(A) Transmit nerve signals
(B) Produce bile
(C) Filter lymph
(D) Digest proteins
(E) Carry oxygen
Answer: (E)

Question: In the case ""Foad Farahi v. Federal Bureau of Investigation,"" what statute does the opinion identify as requiring federal agencies to release records to members of the public upon request, unless a statutory exemption applies?
(A) The Federal Records Act
(B) The Freedom of Information Act
(C) The Administrative Procedure Act
(D) The Government in the Sunshine Act
(E) The Privacy Act of 1974"
"In the case ""Foad Farahi v. Federal Bureau of Investigation,"" decided by the United States Court of Appeals for the District of Columbia Circuit, the court concluded that releasing the requested FBI records could interfere with pending or reasonably anticipated enforcement proceedings. Before reaching that conclusion, what did the court require the FBI to update?",potentially stale declarations that it had submitted,(E),"In the case ""Foad Farahi v. Federal Bureau of Investigation,"" decided by the United States Court of Appeals for the District of Columbia Circuit, the court concluded that releasing the requested FBI records could interfere with pending or reasonably anticipated enforcement proceedings. Before reaching that conclusion, what did the court require the FBI to update?
(A) the segregability analysis accompanying its exemption claims
(B) its Glomar response as to whether responsive records existed
(C) the administrative record supporting the agency's final decision
(D) its Vaughn index describing the withheld records
(E) potentially stale declarations that it had submitted",the segregability analysis accompanying its exemption claims,its Glomar response as to whether responsive records existed,the administrative record supporting the agency's final decision,its Vaughn index describing the withheld records,potentially stale declarations that it had submitted,"[""its Vaughn index describing the withheld records"", ""the segregability analysis accompanying its exemption claims"", ""the administrative record supporting the agency's final decision"", ""its Glomar response as to whether responsive records existed""]","In the case ""Foad Farahi v. Federal Bureau of Investigation"", decided by the United States Court of Appeals for the District of Columbia Circuit, before concluding that releasing the requested FBI records could interfere with pending or reasonably anticipated enforcement proceedings, the court required the FBI to update potentially stale declarations that it had submitted","After requiring the FBI to update potentially stale declarations that it had submitted, the court concluded that release of the requested records could interfere with enforcement proceedings that were pending or reasonably anticipated.",Header,"Question: Which city is the capital of France?
(A) Paris
(B) Berlin
(C) Madrid
(D) Rome
(E) Lisbon
Answer: (A)

Question: Which planet is the largest in the Solar System?
(A) Earth
(B) Jupiter
(C) Saturn
(D) Venus
(E) Mars
Answer: (B)

Question: What is the chemical formula for water?
(A) CO2
(B) O2
(C) H2O
(D) NaCl
(E) CH4
Answer: (C)

Question: What process do plants use to convert sunlight into chemical energy?
(A) Respiration
(B) Fermentation
(C) Evaporation
(D) Photosynthesis
(E) Condensation
Answer: (D)

Question: What is the primary function of red blood cells?
(A) Transmit nerve signals
(B) Produce bile
(C) Filter lymph
(D) Digest proteins
(E) Carry oxygen
Answer: (E)

Question: In the case ""Foad Farahi v. Federal Bureau of Investigation,"" decided by the United States Court of Appeals for the District of Columbia Circuit, the court concluded that releasing the requested FBI records could interfere with pending or reasonably anticipated enforcement proceedings. Before reaching that conclusion, what did the court require the FBI to update?
(A) the segregability analysis accompanying its exemption claims
(B) its Glomar response as to whether responsive records existed
(C) the administrative record supporting the agency's final decision
(D) its Vaughn index describing the withheld records
(E) potentially stale declarations that it had submitted"
"According to the opinion in ""Foad Farahi v. Federal Bureau of Investigation,"" when the court addressed whether Farahi’s file was compiled for law enforcement purposes under FOIA Exemption 7(A), which party did the court say had carried its burden on that point?",the FBI.,(C),"According to the opinion in ""Foad Farahi v. Federal Bureau of Investigation,"" when the court addressed whether Farahi’s file was compiled for law enforcement purposes under FOIA Exemption 7(A), which party did the court say had carried its burden on that point?
(A) the Department of State
(B) the district court
(C) the FBI.
(D) the Department of Justice
(E) Farahi himself",the Department of State,the district court,the FBI.,the Department of Justice,Farahi himself,"[""Farahi himself"", ""the Department of State"", ""the Department of Justice"", ""the district court""]","According to the opinion in ""Foad Farahi v. Federal Bureau of Investigation"", when the court addressed whether Farahi’s file was compiled for law-enforcement purposes under FOIA Exemption 7(A), it held that the party that had carried its burden on that point was the FBI.",We have no doubt that the FBI carried its burden to show that Farahi’s file was compiled for lawenforcement purposes.,IV,"Question: Which city is the capital of France?
(A) Paris
(B) Berlin
(C) Madrid
(D) Rome
(E) Lisbon
Answer: (A)

Question: Which planet is the largest in the Solar System?
(A) Earth
(B) Jupiter
(C) Saturn
(D) Venus
(E) Mars
Answer: (B)

Question: What is the chemical formula for water?
(A) CO2
(B) O2
(C) H2O
(D) NaCl
(E) CH4
Answer: (C)

Question: What process do plants use to convert sunlight into chemical energy?
(A) Respiration
(B) Fermentation
(C) Evaporation
(D) Photosynthesis
(E) Condensation
Answer: (D)

Question: What is the primary function of red blood cells?
(A) Transmit nerve signals
(B) Produce bile
(C) Filter lymph
(D) Digest proteins
(E) Carry oxygen
Answer: (E)

Question: According to the opinion in ""Foad Farahi v. Federal Bureau of Investigation,"" when the court addressed whether Farahi’s file was compiled for law enforcement purposes under FOIA Exemption 7(A), which party did the court say had carried its burden on that point?
(A) the Department of State
(B) the district court
(C) the FBI.
(D) the Department of Justice
(E) Farahi himself"
"According to the opinion in ""Foad Farahi v. Federal Bureau of Investigation,"" what does 5 U.S.C. § 552(b) require an agency to provide from a record after deleting the portions that are exempt under FOIA?",any reasonably segregable portion of a record.,(D),"According to the opinion in ""Foad Farahi v. Federal Bureau of Investigation,"" what does 5 U.S.C. § 552(b) require an agency to provide from a record after deleting the portions that are exempt under FOIA?
(A) all final agency actions for judicial review.
(B) records compiled for law enforcement purposes.
(C) a detailed Vaughn index for each withholding.
(D) any reasonably segregable portion of a record.
(E) records to members of the public upon request.",all final agency actions for judicial review.,records compiled for law enforcement purposes.,a detailed Vaughn index for each withholding.,any reasonably segregable portion of a record.,records to members of the public upon request.,"[""records compiled for law enforcement purposes."", ""records to members of the public upon request."", ""a detailed Vaughn index for each withholding."", ""all final agency actions for judicial review.""]","According to the opinion in ""Foad Farahi v. Federal Bureau of Investigation"", 5 U.S.C. § 552(b) requires an agency to provide any reasonably segregable portion of a record.","When withholding information under a FOIA exemption, agencies must take “reasonable steps” to “segregate and release nonexempt information.” U.S.C. § 552(a)(8)(A)(ii); see also id. § 552(b) (“Any reasonably segregable portion of a record shall be provided to any person requesting such record after deletion of the portions which are exempt.”).",I,"Question: Which city is the capital of France?
(A) Paris
(B) Berlin
(C) Madrid
(D) Rome
(E) Lisbon
Answer: (A)

Question: Which planet is the largest in the Solar System?
(A) Earth
(B) Jupiter
(C) Saturn
(D) Venus
(E) Mars
Answer: (B)

Question: What is the chemical formula for water?
(A) CO2
(B) O2
(C) H2O
(D) NaCl
(E) CH4
Answer: (C)

Question: What process do plants use to convert sunlight into chemical energy?
(A) Respiration
(B) Fermentation
(C) Evaporation
(D) Photosynthesis
(E) Condensation
Answer: (D)

Question: What is the primary function of red blood cells?
(A) Transmit nerve signals
(B) Produce bile
(C) Filter lymph
(D) Digest proteins
(E) Carry oxygen
Answer: (E)

Question: According to the opinion in ""Foad Farahi v. Federal Bureau of Investigation,"" what does 5 U.S.C. § 552(b) require an agency to provide from a record after deleting the portions that are exempt under FOIA?
(A) all final agency actions for judicial review.
(B) records compiled for law enforcement purposes.
(C) a detailed Vaughn index for each withholding.
(D) any reasonably segregable portion of a record.
(E) records to members of the public upon request."
"In the case ""Foad Farahi v. Federal Bureau of Investigation,"" why did the Department of Homeland Security place Foad Farahi in removal proceedings in 2002?",a visa overstay.,(B),"In the case ""Foad Farahi v. Federal Bureau of Investigation,"" why did the Department of Homeland Security place Foad Farahi in removal proceedings in 2002?
(A) a denied asylum application.
(B) a visa overstay.
(C) a criminal conviction for an aggravated felony.
(D) marriage fraud in an immigration petition.
(E) an unlawful entry without inspection.",a denied asylum application.,a visa overstay.,a criminal conviction for an aggravated felony.,marriage fraud in an immigration petition.,an unlawful entry without inspection.,"[""an unlawful entry without inspection."", ""a denied asylum application."", ""a criminal conviction for an aggravated felony."", ""marriage fraud in an immigration petition.""]","In the case ""Foad Farahi v. Federal Bureau of Investigation"", the Department of Homeland Security placed Foad Farahi in removal proceedings in 2002 due to a visa overstay.","In 2002, the Department of Homeland Security placed him in removal proceedings due to a visa overstay.",II,"Question: Which city is the capital of France?
(A) Paris
(B) Berlin
(C) Madrid
(D) Rome
(E) Lisbon
Answer: (A)

Question: Which planet is the largest in the Solar System?
(A) Earth
(B) Jupiter
(C) Saturn
(D) Venus
(E) Mars
Answer: (B)

Question: What is the chemical formula for water?
(A) CO2
(B) O2
(C) H2O
(D) NaCl
(E) CH4
Answer: (C)

Question: What process do plants use to convert sunlight into chemical energy?
(A) Respiration
(B) Fermentation
(C) Evaporation
(D) Photosynthesis
(E) Condensation
Answer: (D)

Question: What is the primary function of red blood cells?
(A) Transmit nerve signals
(B) Produce bile
(C) Filter lymph
(D) Digest proteins
(E) Carry oxygen
Answer: (E)

Question: In the case ""Foad Farahi v. Federal Bureau of Investigation,"" why did the Department of Homeland Security place Foad Farahi in removal proceedings in 2002?
(A) a denied asylum application.
(B) a visa overstay.
(C) a criminal conviction for an aggravated felony.
(D) marriage fraud in an immigration petition.
(E) an unlawful entry without inspection."
