row_1based,decision,issue_type,reason,old_target,new_target,old_probe,new_probe,old_fact,new_fact
1,repair,source_framing_issue,Normalized the probe to explicit legal opinion framing without changing the source-supported target., an hourly licensed attorney document reviewer., an hourly licensed attorney document reviewer.,"In Bruce Charles Cohen v. Consilio, LLC, Cohen began working for Consilio in 2018 as a document reviewer, namely","According to the opinion in ""Bruce Charles Cohen v. Consilio, LLC"", Cohen began working for Consilio in 2018 as a document reviewer, namely","In Bruce Charles Cohen v. Consilio, LLC, Cohen began working for Consilio in 2018 as a document reviewer, namely an hourly licensed attorney document reviewer.","According to the opinion in ""Bruce Charles Cohen v. Consilio, LLC"", Cohen began working for Consilio in 2018 as a document reviewer, namely an hourly licensed attorney document reviewer."
2,repair,source_framing_issue,Normalized the probe to explicit legal opinion framing without changing the source-supported target., any further discovery or litigation., any further discovery or litigation.,"In Bruce Charles Cohen v. Consilio, LLC, after Consilio made payments and the parties agreed on the next procedural step, they stipulated that the Court should hear and decide Defendants’ summary judgment motion before","According to the opinion in ""Bruce Charles Cohen v. Consilio, LLC"", after Consilio made payments and the parties agreed on the next procedural step, they stipulated that the Court should hear and decide Defendants’ summary judgment motion before","In Bruce Charles Cohen v. Consilio, LLC, after Consilio made payments and the parties agreed on the next procedural step, they stipulated that the Court should hear and decide Defendants’ summary judgment motion before any further discovery or litigation.","According to the opinion in ""Bruce Charles Cohen v. Consilio, LLC"", after Consilio made payments and the parties agreed on the next procedural step, they stipulated that the Court should hear and decide Defendants’ summary judgment motion before any further discovery or litigation."
3,repair,source_framing_issue,Normalized the probe to explicit legal opinion framing without changing the source-supported target., average daily wage penalties., average daily wage penalties.,"In Bruce Charles Cohen v. Consilio, LLC, when the court first addressed Cohen’s MPWA claim, the parties disputed whether Cohen could seek relief under Minnesota Statutes §§ 181.171 and 181.101 in the form of","According to the opinion in ""Bruce Charles Cohen v. Consilio, LLC"", when the court first addressed Cohen’s MPWA claim, the parties disputed whether Cohen could seek relief under Minnesota Statutes §§ 181.171 and 181.101 in the form of","In Bruce Charles Cohen v. Consilio, LLC, when the court first addressed Cohen’s MPWA claim, the parties disputed whether Cohen could seek relief under Minnesota Statutes §§ 181.171 and 181.101 in the form of average daily wage penalties.","According to the opinion in ""Bruce Charles Cohen v. Consilio, LLC"", when the court first addressed Cohen’s MPWA claim, the parties disputed whether Cohen could seek relief under Minnesota Statutes §§ 181.171 and 181.101 in the form of average daily wage penalties."
4,repair,source_framing_issue,Normalized the probe to explicit legal opinion framing without changing the source-supported target., the district court did not err., the district court did not err.,"In Bruce Charles Cohen v. Consilio, LLC, after concluding in its review of the district court's summary judgment ruling that only the Commissioner may seek daily average wage penalties under Minn. Stat. § 181.101, the court said that","According to the opinion in ""Bruce Charles Cohen v. Consilio, LLC"", after concluding in its review of the district court's summary judgment ruling that only the Commissioner may seek daily average wage penalties under Minn. Stat. § 181.101, the court said that","In Bruce Charles Cohen v. Consilio, LLC, after concluding in its review of the district court's summary judgment ruling that only the Commissioner may seek daily average wage penalties under Minn. Stat. § 181.101, the court said that the district court did not err.","According to the opinion in ""Bruce Charles Cohen v. Consilio, LLC"", after concluding in its review of the district court's summary judgment ruling that only the Commissioner may seek daily average wage penalties under Minn. Stat. § 181.101, the court said that the district court did not err."
5,repair,source_framing_issue,Normalized the probe to explicit legal opinion framing without changing the source-supported target., moot., moot.,"In Bruce Charles Cohen v. Consilio, LLC, the Eighth Circuit considered whether Cohen’s remaining MFLSA claim for civil penalties would still present a live controversy after he had already been paid all overtime wages and liquidated damages, and if Consilio’s violative overtime policy is no longer in place and it is absolutely clear that the wrongful conduct will not recur, Cohen’s MFLSA claim may be","According to the opinion in ""Bruce Charles Cohen v. Consilio, LLC"", the Eighth Circuit considered whether Cohen’s remaining MFLSA claim for civil penalties would still present a live controversy after he had already been paid all overtime wages and liquidated damages, and if Consilio’s violative overtime policy is no longer in place and it is absolutely clear that the wrongful conduct will not recur, Cohen’s MFLSA claim may be","In Bruce Charles Cohen v. Consilio, LLC, the Eighth Circuit considered whether Cohen’s remaining MFLSA claim for civil penalties would still present a live controversy after he had already been paid all overtime wages and liquidated damages, and if Consilio’s violative overtime policy is no longer in place and it is absolutely clear that the wrongful conduct will not recur, Cohen’s MFLSA claim may be moot.","According to the opinion in ""Bruce Charles Cohen v. Consilio, LLC"", the Eighth Circuit considered whether Cohen’s remaining MFLSA claim for civil penalties would still present a live controversy after he had already been paid all overtime wages and liquidated damages, and if Consilio’s violative overtime policy is no longer in place and it is absolutely clear that the wrongful conduct will not recur, Cohen’s MFLSA claim may be moot."
6,repair,source_framing_issue,Normalized the probe to explicit legal opinion framing without changing the source-supported target., jurisdiction., jurisdiction.,"According to the opinion in ""Bruce Charles Cohen v. Consilio, LLC,"" when discussing whether Cohen’s MFLSA claim for civil penalties might be moot, the court said federal courts are not ""license[d] to retain"" cases in which one or both parties plainly lack a continuing interest. The court was referring to","According to the opinion in ""Bruce Charles Cohen v. Consilio, LLC"", when discussing whether Cohen’s MFLSA claim for civil penalties might be moot, the court said federal courts are not ""license[d] to retain"" cases in which one or both parties plainly lack a continuing interest. The court was referring to","According to the opinion in ""Bruce Charles Cohen v. Consilio, LLC,"" when discussing whether Cohen’s MFLSA claim for civil penalties might be moot, the court said federal courts are not ""license[d] to retain"" cases in which one or both parties plainly lack a continuing interest. The court was referring to jurisdiction.","According to the opinion in ""Bruce Charles Cohen v. Consilio, LLC"", when discussing whether Cohen’s MFLSA claim for civil penalties might be moot, the court said federal courts are not ""license[d] to retain"" cases in which one or both parties plainly lack a continuing interest. The court was referring to jurisdiction."
7,repair,source_framing_issue|target_source_repair,"Normalized legal opinion framing and repaired the target to an exact source span; the source says the court would vacate summary judgment as to Cohen’s MFLSA claim, not ""that MFLSA claim.""",vacated the district court’s grant of summary judgment as to that MFLSA claim., vacate the district court’s grant of summary judgment as to Cohen’s MFLSA claim,"In Bruce Charles Cohen v. Consilio, LLC, after raising a jurisdictional concern about whether Cohen’s MFLSA claim for statutory penalties might be moot, the appellate court","According to the opinion in ""Bruce Charles Cohen v. Consilio, LLC"", after raising a jurisdictional concern about whether Cohen’s MFLSA claim for statutory penalties might be moot, the appellate court decided to","In Bruce Charles Cohen v. Consilio, LLC, after raising a jurisdictional concern about whether Cohen’s MFLSA claim for statutory penalties might be moot, the appellate court vacated the district court’s grant of summary judgment as to that MFLSA claim.","According to the opinion in ""Bruce Charles Cohen v. Consilio, LLC"", after raising a jurisdictional concern about whether Cohen’s MFLSA claim for statutory penalties might be moot, the appellate court decided to vacate the district court’s grant of summary judgment as to Cohen’s MFLSA claim"
8,repair,source_framing_issue,Normalized the probe to explicit legal opinion framing without changing the source-supported target., to determine its jurisdiction., to determine its jurisdiction.,"In Bruce Charles Cohen v. Consilio, LLC, after vacating the district court’s grant of summary judgment on Cohen’s MFLSA claim because of concerns about mootness and standing, the appellate court remanded the case to the district court","According to the opinion in ""Bruce Charles Cohen v. Consilio, LLC"", after vacating the district court’s grant of summary judgment on Cohen’s MFLSA claim because of concerns about mootness and standing, the appellate court remanded the case to the district court","In Bruce Charles Cohen v. Consilio, LLC, after vacating the district court’s grant of summary judgment on Cohen’s MFLSA claim because of concerns about mootness and standing, the appellate court remanded the case to the district court to determine its jurisdiction.","According to the opinion in ""Bruce Charles Cohen v. Consilio, LLC"", after vacating the district court’s grant of summary judgment on Cohen’s MFLSA claim because of concerns about mootness and standing, the appellate court remanded the case to the district court to determine its jurisdiction."
9,repair,source_framing_issue,Normalized the probe to explicit legal opinion framing without changing the source-supported target., the district court’s order dismissing this claim., the district court’s order dismissing this claim.,"In Bruce Charles Cohen v. Consilio, LLC, after concluding that Cohen offered no meaningful argument in support of reversal of his MWTA claim, the court said it would not disturb","According to the opinion in ""Bruce Charles Cohen v. Consilio, LLC"", after concluding that Cohen offered no meaningful argument in support of reversal of his MWTA claim, the court said it would not disturb","In Bruce Charles Cohen v. Consilio, LLC, after concluding that Cohen offered no meaningful argument in support of reversal of his MWTA claim, the court said it would not disturb the district court’s order dismissing this claim.","According to the opinion in ""Bruce Charles Cohen v. Consilio, LLC"", after concluding that Cohen offered no meaningful argument in support of reversal of his MWTA claim, the court said it would not disturb the district court’s order dismissing this claim."
10,repair,source_framing_issue,Normalized the probe to explicit legal opinion framing without changing the source-supported target., its illegal overtime policy., its illegal overtime policy.,"In Bruce Charles Cohen v. Consilio, LLC, on Cohen’s claim for injunctive relief, Cohen argued that Consilio should be required to rescind","According to the opinion in ""Bruce Charles Cohen v. Consilio, LLC"", on Cohen’s claim for injunctive relief, Cohen argued that Consilio should be required to rescind","In Bruce Charles Cohen v. Consilio, LLC, on Cohen’s claim for injunctive relief, Cohen argued that Consilio should be required to rescind its illegal overtime policy.","According to the opinion in ""Bruce Charles Cohen v. Consilio, LLC"", on Cohen’s claim for injunctive relief, Cohen argued that Consilio should be required to rescind its illegal overtime policy."
