row_1based,decision,issue_type,reason,old_target,new_target,old_probe,new_probe,old_fact,new_fact
1,keep,,Target found in source under allowed normalizations., challenging and unseen reasoning problems., challenging and unseen reasoning problems.,"According to the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", Large Language Models (LLMs) are described as having a remarkable ability to tackle","According to the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", Large Language Models (LLMs) are described as having a remarkable ability to tackle","According to the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", Large Language Models (LLMs) are described as having a remarkable ability to tackle challenging and unseen reasoning problems.","According to the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", Large Language Models (LLMs) are described as having a remarkable ability to tackle challenging and unseen reasoning problems."
3,keep,,Target found in source under allowed normalizations., class likelihood., class likelihood.,"According to the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", the generated features help infer, with a simple downstream machine learning model such as linear regression in the proposed \textsf{FeatLLM} framework,","According to the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", the generated features help infer, with a simple downstream machine learning model such as linear regression in the proposed \textsf{FeatLLM} framework,","According to the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", the generated features help infer, with a simple downstream machine learning model such as linear regression in the proposed \textsf{FeatLLM} framework, class likelihood.","According to the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", the generated features help infer, with a simple downstream machine learning model such as linear regression in the proposed \textsf{FeatLLM} framework, class likelihood."
4,keep,,Target found in source under allowed normalizations., linear regression., linear regression.,"According to the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", the simple downstream machine learning model given as an example for inferring class likelihood from the generated features is","According to the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", the simple downstream machine learning model given as an example for inferring class likelihood from the generated features is","According to the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", the simple downstream machine learning model given as an example for inferring class likelihood from the generated features is linear regression.","According to the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", the simple downstream machine learning model given as an example for inferring class likelihood from the generated features is linear regression."
5,keep,,Target found in source under allowed normalizations., high performance few-shot learning., high performance few-shot learning.,"According to the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", when the generated features are used to infer class likelihood with a simple downstream machine learning model such as linear regression, the result is","According to the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", when the generated features are used to infer class likelihood with a simple downstream machine learning model such as linear regression, the result is","According to the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", when the generated features are used to infer class likelihood with a simple downstream machine learning model such as linear regression, the result is high performance few-shot learning.","According to the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", when the generated features are used to infer class likelihood with a simple downstream machine learning model such as linear regression, the result is high performance few-shot learning."
6,keep,,Target found in source under allowed normalizations., this simple predictive model with the discovered features., this simple predictive model with the discovered features.,"According to the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", at inference time, after the features have been discovered, the proposed `\textsf{FeatLLM}` framework uses","According to the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", at inference time, after the features have been discovered, the proposed `\textsf{FeatLLM}` framework uses","According to the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", at inference time, after the features have been discovered, the proposed `\textsf{FeatLLM}` framework uses this simple predictive model with the discovered features.","According to the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", at inference time, after the features have been discovered, the proposed `\textsf{FeatLLM}` framework uses this simple predictive model with the discovered features."
7,repair,target_source_repair,Repaired target to an exact source span preserving the same fact.,a simple predictive model with the discovered features.,this simple predictive model with the discovered features at inference time.,"According to the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", at inference time, the proposed FeatLLM framework uses","According to the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", the proposed \textsf{FeatLLM} framework only uses","According to the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", at inference time, the proposed FeatLLM framework uses a simple predictive model with the discovered features.","According to the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", the proposed \textsf{FeatLLM} framework only uses this simple predictive model with the discovered features at inference time."
8,keep,,Target found in source under allowed normalizations., send queries to the LLM, send queries to the LLM,"According to the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", compared to existing LLM-based approaches, \textsf{FeatLLM} eliminates the need to do the following for each sample at inference time:","According to the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", compared to existing LLM-based approaches, \textsf{FeatLLM} eliminates the need to do the following for each sample at inference time:","According to the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", compared to existing LLM-based approaches, \textsf{FeatLLM} eliminates the need to do the following for each sample at inference time: send queries to the LLM","According to the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", compared to existing LLM-based approaches, \textsf{FeatLLM} eliminates the need to do the following for each sample at inference time: send queries to the LLM"
9,keep,,Target found in source under allowed normalizations., inference time., inference time.,"According to the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", \textsf{FeatLLM} eliminates the need to send queries to the LLM for each sample at","According to the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", \textsf{FeatLLM} eliminates the need to send queries to the LLM for each sample at","According to the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", \textsf{FeatLLM} eliminates the need to send queries to the LLM for each sample at inference time.","According to the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", \textsf{FeatLLM} eliminates the need to send queries to the LLM for each sample at inference time."
10,keep,,Target found in source under allowed normalizations., API-level access., API-level access.,"According to the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", the proposed \textsf{FeatLLM} framework merely requires","According to the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", the proposed \textsf{FeatLLM} framework merely requires","According to the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", the proposed \textsf{FeatLLM} framework merely requires API-level access.","According to the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", the proposed \textsf{FeatLLM} framework merely requires API-level access."
11,keep,,Target found in source under allowed normalizations., prompt size limitations., prompt size limitations.,"In the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", the proposed \textsf{FeatLLM} framework overcomes","In the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", the proposed \textsf{FeatLLM} framework overcomes","In the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", the proposed \textsf{FeatLLM} framework overcomes prompt size limitations.","In the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", the proposed \textsf{FeatLLM} framework overcomes prompt size limitations."
12,keep,,Target found in source under allowed normalizations., high-quality rules., high-quality rules.,"According to the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", across numerous tabular datasets from a wide range of domains, \textsf{FeatLLM} generates","According to the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", across numerous tabular datasets from a wide range of domains, \textsf{FeatLLM} generates","According to the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", across numerous tabular datasets from a wide range of domains, \textsf{FeatLLM} generates high-quality rules.","According to the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", across numerous tabular datasets from a wide range of domains, \textsf{FeatLLM} generates high-quality rules."
13,keep,,Target found in source under allowed normalizations., 10\%., 10\%.,"In the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", across numerous tabular datasets from a wide range of domains, \textsf{FeatLLM} outperforms alternatives such as TabLLM and STUNT by an average of","In the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", across numerous tabular datasets from a wide range of domains, \textsf{FeatLLM} outperforms alternatives such as TabLLM and STUNT by an average of","In the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", across numerous tabular datasets from a wide range of domains, \textsf{FeatLLM} outperforms alternatives such as TabLLM and STUNT by an average of 10\%.","In the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", across numerous tabular datasets from a wide range of domains, \textsf{FeatLLM} outperforms alternatives such as TabLLM and STUNT by an average of 10\%."
14,keep,,Target found in source under allowed normalizations., TabLLM and STUNT., TabLLM and STUNT.,"In the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", across numerous tabular datasets from a wide range of domains, the alternatives specifically mentioned as being outperformed by \textsf{FeatLLM} are","In the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", across numerous tabular datasets from a wide range of domains, the alternatives specifically mentioned as being outperformed by \textsf{FeatLLM} are","In the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", across numerous tabular datasets from a wide range of domains, the alternatives specifically mentioned as being outperformed by \textsf{FeatLLM} are TabLLM and STUNT.","In the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", across numerous tabular datasets from a wide range of domains, the alternatives specifically mentioned as being outperformed by \textsf{FeatLLM} are TabLLM and STUNT."
15,keep,,Target found in source under allowed normalizations., suitable responses., suitable responses.,"According to the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", Large Language Models (LLMs) have shown impressive abilities to generate, for previously unseen tasks without requiring task-specific fine-tuning,","According to the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", Large Language Models (LLMs) have shown impressive abilities to generate, for previously unseen tasks without requiring task-specific fine-tuning,","According to the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", Large Language Models (LLMs) have shown impressive abilities to generate suitable responses for previously unseen tasks without requiring task-specific fine-tuning.","According to the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", Large Language Models (LLMs) have shown impressive abilities to generate suitable responses for previously unseen tasks without requiring task-specific fine-tuning."
16,keep,,Target found in source under allowed normalizations., task-specific fine-tuning., task-specific fine-tuning.,"In the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", the authors say Large Language Models can generate suitable responses for previously unseen tasks without requiring","In the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", the authors say Large Language Models can generate suitable responses for previously unseen tasks without requiring","In the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", the authors say Large Language Models can generate suitable responses for previously unseen tasks without requiring task-specific fine-tuning.","In the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", the authors say Large Language Models can generate suitable responses for previously unseen tasks without requiring task-specific fine-tuning."
17,keep,,Target found in source under allowed normalizations., expert domain knowledge., expert domain knowledge.,"According to the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", the rich prior knowledge of LLMs can substitute what is often required in many areas:","According to the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", the rich prior knowledge of LLMs can substitute what is often required in many areas:","According to the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", the rich prior knowledge of LLMs can substitute what is often required in many areas: expert domain knowledge.","According to the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", the rich prior knowledge of LLMs can substitute what is often required in many areas: expert domain knowledge."
18,keep,,Target found in source under allowed normalizations., dialogue analysis., dialogue analysis.,"According to the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", the rich prior knowledge of LLMs plays a crucial role in the automation of the application involving conversation known as","According to the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", the rich prior knowledge of LLMs plays a crucial role in the automation of the application involving conversation known as","According to the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", the rich prior knowledge of LLMs plays a crucial role in the automation of the application involving conversation known as dialogue analysis.","According to the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", the rich prior knowledge of LLMs plays a crucial role in the automation of the application involving conversation known as dialogue analysis."
19,keep,,Target found in source under allowed normalizations., program repair, program repair,"According to the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", besides dialogue analysis, the other application mentioned as being automated with the help of LLMs' prior knowledge is","According to the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", besides dialogue analysis, the other application mentioned as being automated with the help of LLMs' prior knowledge is","According to the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", besides dialogue analysis, the other application mentioned as being automated with the help of LLMs' prior knowledge is program repair","According to the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", besides dialogue analysis, the other application mentioned as being automated with the help of LLMs' prior knowledge is program repair"
