step,probe_index,mcqa_accuracy,predicted_idx,predicted_label,correct_idx
0,0,1.0,1,B,1
0,1,0.0,0,A,4
0,2,0.0,2,C,3
0,3,0.0,1,B,4
0,4,1.0,0,A,0
0,5,0.0,2,C,3
0,6,0.0,2,C,4
0,7,0.0,0,A,4
0,8,0.0,4,E,1
0,9,0.0,0,A,3
0,10,0.0,0,A,3
0,11,0.0,1,B,2
0,12,0.0,0,A,2
0,13,0.0,4,E,0
0,14,0.0,2,C,1
0,15,0.0,1,B,3
0,16,0.0,0,A,3
0,17,0.0,2,C,1
0,18,0.0,2,C,1
0,19,1.0,4,E,4
0,20,0.0,0,A,4
0,21,1.0,3,D,3
0,22,1.0,3,D,3
0,23,0.0,4,E,3
0,24,1.0,0,A,0
0,25,0.0,0,A,2
0,26,0.0,4,E,1
0,27,1.0,0,A,0
0,28,0.0,0,A,3
0,29,0.0,1,B,0
0,30,0.0,2,C,1
0,31,0.0,2,C,4
0,32,1.0,4,E,4
0,33,0.0,0,A,3
0,34,0.0,0,A,2
0,35,0.0,4,E,2
0,36,1.0,0,A,0
0,37,0.0,4,E,2
0,38,1.0,3,D,3
0,39,0.0,4,E,2
0,40,0.0,0,A,2
0,41,0.0,0,A,1
0,42,0.0,1,B,3
0,43,0.0,4,E,1
0,44,0.0,3,D,4
0,45,0.0,0,A,3
0,46,1.0,0,A,0
0,47,0.0,1,B,0
0,48,1.0,2,C,2
0,49,0.0,1,B,0
0,50,0.0,4,E,1
0,51,0.0,0,A,1
0,52,1.0,2,C,2
0,53,0.0,1,B,4
0,54,1.0,1,B,1
0,55,0.0,2,C,0
0,56,0.0,1,B,4
0,57,1.0,0,A,0
0,58,0.0,0,A,3
0,59,0.0,4,E,1
0,60,0.0,2,C,0
0,61,0.0,0,A,2
0,62,0.0,1,B,4
0,63,0.0,1,B,3
0,64,1.0,2,C,2
0,65,0.0,3,D,1
0,66,1.0,2,C,2
0,67,0.0,2,C,4
0,68,0.0,0,A,2
0,69,0.0,3,D,2
0,70,1.0,4,E,4
0,71,0.0,2,C,0
0,72,0.0,1,B,0
0,73,1.0,0,A,0
0,74,0.0,0,A,3
0,75,0.0,1,B,0
0,76,0.0,1,B,4
0,77,0.0,1,B,3
0,78,0.0,2,C,3
0,79,0.0,4,E,1
0,80,0.0,0,A,3
0,81,1.0,0,A,0
0,82,0.0,0,A,2
0,83,0.0,3,D,1
0,84,1.0,2,C,2
0,85,0.0,0,A,1
0,86,1.0,4,E,4
0,87,0.0,3,D,4
0,88,0.0,1,B,2
0,89,0.0,2,C,0
0,90,1.0,1,B,1
0,91,0.0,0,A,3
0,92,0.0,0,A,2
0,93,0.0,0,A,2
0,94,1.0,3,D,3
0,95,1.0,0,A,0
0,96,0.0,0,A,1
0,97,0.0,0,A,3
0,98,1.0,0,A,0
0,99,1.0,0,A,0
0,100,0.0,1,B,2
0,101,0.0,1,B,4
0,102,0.0,2,C,0
0,103,0.0,2,C,1
0,104,0.0,2,C,0
0,105,1.0,1,B,1
0,106,0.0,1,B,2
0,107,0.0,1,B,2
0,108,0.0,2,C,1
0,109,0.0,1,B,4
0,110,1.0,0,A,0
0,111,0.0,1,B,2
0,112,0.0,0,A,4
0,113,1.0,3,D,3
0,114,1.0,3,D,3
0,115,0.0,2,C,0
