source_file,row_index,accepted,attempts,note,old_token_jaccard,new_token_jaccard,old_char_ratio,new_char_ratio,old_longest_common_token_run,new_longest_common_token_run,original_probe,rewritten_probe,original_fact,rewritten_fact
/vast/projects/myatskar/design-documents/joseph/fine-tuning-or-retrieval/probes/legal/Finesse_Wireless_LLC_v_Att_Mobility_LLC/facts/probes_v14.csv,0,False,3,absolute lexical overlap still too high (new token Jaccard 0.500 > 0.250 or new LCS 5 > 6; jaccard drop -0.047),0.452830,0.500000,0.043321,0.148000,5,5,"In the case ""Finesse Wireless LLC v. AT&T Mobility LLC,"" the appeal to the United States Court of Appeals for the Federal Circuit concerned the Eastern District of Texas’s denial of JMOL of noninfringement, and the asserted claims at issue were contained in U.S. Patent Nos.","In the appeal from the Eastern District of Texas, AT&T Mobility LLC and Nokia of America Corporation challenged the district court’s refusal to grant JMOL on noninfringement for claims asserted under U.S. Patent Nos.","In the case ""Finesse Wireless LLC v. AT&T Mobility LLC,"" the appeal to the United States Court of Appeals for the Federal Circuit concerned the Eastern District of Texas’s denial of JMOL of noninfringement, and the asserted claims at issue were contained in U.S. Patent Nos. 7,346,134 and 9,548,775.","In the appeal from the Eastern District of Texas, AT&T Mobility LLC and Nokia of America Corporation challenged the district court’s refusal to grant JMOL on noninfringement for claims asserted under U.S. Patent Nos. 7,346,134 and 9,548,775."
/vast/projects/myatskar/design-documents/joseph/fine-tuning-or-retrieval/probes/legal/Finesse_Wireless_LLC_v_Att_Mobility_LLC/facts/probes_v14.csv,1,False,3,absolute lexical overlap still too high (new token Jaccard 0.318 > 0.250 or new LCS 5 > 6; jaccard drop 0.210),0.527778,0.318182,0.363095,0.325843,6,5,"According to the opinion in ""Finesse Wireless LLC v. AT&T Mobility LLC,"" after the jury found all asserted claims of the ’134 and ’775 patents valid and infringed, it awarded lump-sum damages for","In the opinion for ""Finesse Wireless LLC v. AT&T Mobility LLC,"" once the jury concluded that every asserted claim under the ’134 and ’775 patents was both valid and infringed, it imposed a lump-sum damages award for","According to the opinion in ""Finesse Wireless LLC v. AT&T Mobility LLC,"" after the jury found all asserted claims of the ’134 and ’775 patents valid and infringed, it awarded lump-sum damages for the remaining life of the ’134 and ’775 patents.","In the opinion for ""Finesse Wireless LLC v. AT&T Mobility LLC,"" once the jury concluded that every asserted claim under the ’134 and ’775 patents was both valid and infringed, it imposed a lump-sum damages award for the remaining life of the ’134 and ’775 patents."
/vast/projects/myatskar/design-documents/joseph/fine-tuning-or-retrieval/probes/legal/Finesse_Wireless_LLC_v_Att_Mobility_LLC/facts/probes_v14.csv,2,True,1,accepted,0.333333,0.151515,0.338583,0.340249,6,3,"In the opinion in ""Finesse Wireless LLC v. AT&T Mobility LLC,"" the regional circuit law that applies when reviewing the district court’s denial of JMOL is","In the ""Finesse Wireless LLC v. AT&T Mobility LLC"" opinion, the standard used to assess the district court’s refusal to grant JMOL comes from","In the opinion in ""Finesse Wireless LLC v. AT&T Mobility LLC,"" the regional circuit law that applies when reviewing the district court’s denial of JMOL is the Fifth Circuit.","In the ""Finesse Wireless LLC v. AT&T Mobility LLC"" opinion, the standard used to assess the district court’s refusal to grant JMOL comes from the Fifth Circuit."
/vast/projects/myatskar/design-documents/joseph/fine-tuning-or-retrieval/probes/legal/Finesse_Wireless_LLC_v_Att_Mobility_LLC/facts/probes_v14.csv,3,True,1,accepted,0.292683,0.214286,0.185915,0.220896,4,2,"According to the opinion in ""Finesse Wireless LLC v. AT&T Mobility LLC,"" under the standard of review for the jury’s finding of infringement, a factual finding is upheld if it is supported by","As the opinion in ""Finesse Wireless LLC v. AT&T Mobility LLC"" explains, when reviewing the jury’s infringement finding, a factual determination is sustained if it rests on","According to the opinion in ""Finesse Wireless LLC v. AT&T Mobility LLC,"" under the standard of review for the jury’s finding of infringement, a factual finding is upheld if it is supported by substantial evidence.","As the opinion in ""Finesse Wireless LLC v. AT&T Mobility LLC"" explains, when reviewing the jury’s infringement finding, a factual determination is sustained if it rests on substantial evidence."
/vast/projects/myatskar/design-documents/joseph/fine-tuning-or-retrieval/probes/legal/Finesse_Wireless_LLC_v_Att_Mobility_LLC/facts/probes_v14.csv,4,True,1,accepted,0.189189,0.200000,0.437908,0.508834,5,5,"In the case ""Finesse Wireless LLC v. AT&T Mobility LLC,"" the opinion concluded that, because it was generated downstream of the RF ADC after sampling occurred, the claimed ""interference generating signals"" could not be","In ""Finesse Wireless LLC v. AT&T Mobility LLC,"" the court reasoned that, since it arose after the RF ADC had already sampled the signal, the claimed ""interference generating signals"" could not be","In the case ""Finesse Wireless LLC v. AT&T Mobility LLC,"" the opinion concluded that, because it was generated downstream of the RF ADC after sampling occurred, the claimed ""interference generating signals"" could not be the modeled PIM path.","In ""Finesse Wireless LLC v. AT&T Mobility LLC,"" the court reasoned that, since it arose after the RF ADC had already sampled the signal, the claimed ""interference generating signals"" could not be the modeled PIM path."
/vast/projects/myatskar/design-documents/joseph/fine-tuning-or-retrieval/probes/legal/Finesse_Wireless_LLC_v_Att_Mobility_LLC/facts/probes_v14.csv,5,True,1,accepted,0.222222,0.211538,0.357143,0.276215,3,2,"In the case ""Finesse Wireless LLC v. AT&T Mobility LLC,"" during cross-examination about whether the RF ADC could sample the modeled PIM path, Dr. Jonathan Wells changed course and said there were two signals on the red path, and he pointed to","In the litigation ""Finesse Wireless LLC v. AT&T Mobility LLC,"" when questioned about whether the RF ADC could capture the modeled PIM path, Dr. Jonathan Wells shifted his position and stated that the red path carried two signals, identifying","In the case ""Finesse Wireless LLC v. AT&T Mobility LLC,"" during cross-examination about whether the RF ADC could sample the modeled PIM path, Dr. Jonathan Wells changed course and said there were two signals on the red path, and he pointed to the x1 and the x2.","In the litigation ""Finesse Wireless LLC v. AT&T Mobility LLC,"" when questioned about whether the RF ADC could capture the modeled PIM path, Dr. Jonathan Wells shifted his position and stated that the red path carried two signals, identifying the x1 and the x2."
/vast/projects/myatskar/design-documents/joseph/fine-tuning-or-retrieval/probes/legal/Finesse_Wireless_LLC_v_Att_Mobility_LLC/facts/probes_v14.csv,6,True,1,accepted,0.173077,0.230769,0.255220,0.385621,5,6,"In the case ""Finesse Wireless LLC v. AT&T Mobility LLC,"" the Federal Circuit discussed Dr. Jonathan Wells’s infringement testimony concerning the ’134 patent’s requirement that sampled received signals include both “signals of interest” and another category of signals, and Dr. Wells failed to map x1 or x2 onto","In its discussion of Dr. Jonathan Wells’s infringement testimony on the ’134 patent, the Federal Circuit noted that he never assigned x1 or x2 to either the “signals of interest” or","In the case ""Finesse Wireless LLC v. AT&T Mobility LLC,"" the Federal Circuit discussed Dr. Jonathan Wells’s infringement testimony concerning the ’134 patent’s requirement that sampled received signals include both “signals of interest” and another category of signals, and Dr. Wells failed to map x1 or x2 onto interference generating signals.","In its discussion of Dr. Jonathan Wells’s infringement testimony on the ’134 patent, the Federal Circuit noted that he never assigned x1 or x2 to either the “signals of interest” or interference generating signals."
/vast/projects/myatskar/design-documents/joseph/fine-tuning-or-retrieval/probes/legal/Finesse_Wireless_LLC_v_Att_Mobility_LLC/facts/probes_v14.csv,7,True,1,accepted,0.326923,0.240741,0.025696,0.026906,9,3,"In the case ""Finesse Wireless LLC v. AT&T Mobility LLC,"" during the infringement dispute over the ’134 patent, the court acknowledged that the only thing Dr. Wells expressly mapped to the claimed ""interference generating signals"" was","In the Finesse Wireless LLC v. AT&T Mobility LLC infringement dispute over the ’134 patent, the court recognized that the sole item Dr. Wells expressly tied to the claimed “interference generating signals” was","In the case ""Finesse Wireless LLC v. AT&T Mobility LLC,"" during the infringement dispute over the ’134 patent, the court acknowledged that the only thing Dr. Wells expressly mapped to the claimed ""interference generating signals"" was modeled PIM path.","In the Finesse Wireless LLC v. AT&T Mobility LLC infringement dispute over the ’134 patent, the court recognized that the sole item Dr. Wells expressly tied to the claimed “interference generating signals” was modeled PIM path."
/vast/projects/myatskar/design-documents/joseph/fine-tuning-or-retrieval/probes/legal/Finesse_Wireless_LLC_v_Att_Mobility_LLC/facts/probes_v14.csv,8,True,2,accepted,0.400000,0.209677,0.128162,0.079840,8,5,"In the case ""Finesse Wireless LLC v. AT&T Mobility LLC,"" at the JMOL stage, the district court addressed Dr. Wells’s testimony that two signals were entering the RF ADC and that those signals were the signals of interest and the interference generating signals; according to the district court, Dr. Wells was clearly referring to","In Finesse Wireless LLC v. AT&T Mobility LLC, the JMOL ruling described Dr. Wells’s testimony as identifying two incoming RF ADC signals—the ones of interest and the interference-producing ones—and said he was plainly talking about","In the case ""Finesse Wireless LLC v. AT&T Mobility LLC,"" at the JMOL stage, the district court addressed Dr. Wells’s testimony that two signals were entering the RF ADC and that those signals were the signals of interest and the interference generating signals; according to the district court, Dr. Wells was clearly referring to x1 and x2.","In Finesse Wireless LLC v. AT&T Mobility LLC, the JMOL ruling described Dr. Wells’s testimony as identifying two incoming RF ADC signals—the ones of interest and the interference-producing ones—and said he was plainly talking about x1 and x2."
/vast/projects/myatskar/design-documents/joseph/fine-tuning-or-retrieval/probes/legal/Finesse_Wireless_LLC_v_Att_Mobility_LLC/facts/probes_v14.csv,9,False,3,absolute lexical overlap still too high (new token Jaccard 0.256 > 0.250 or new LCS 7 > 6; jaccard drop 0.144),0.400000,0.255814,0.626374,0.585492,18,7,"In the case ""Finesse Wireless LLC v. AT&T Mobility LLC,"" the court reversed the district court’s denial of JMOL of noninfringement for the asserted claims of the ’134 patent because","In Finesse Wireless LLC v. AT&T Mobility LLC, the appellate court set aside the district court’s refusal to grant JMOL of noninfringement as to the asserted claims of the ’134 patent on the ground that","In the case ""Finesse Wireless LLC v. AT&T Mobility LLC,"" the court reversed the district court’s denial of JMOL of noninfringement for the asserted claims of the ’134 patent because the jury’s infringement verdict is not supported by substantial evidence.","In Finesse Wireless LLC v. AT&T Mobility LLC, the appellate court set aside the district court’s refusal to grant JMOL of noninfringement as to the asserted claims of the ’134 patent on the ground that the jury’s infringement verdict is not supported by substantial evidence."
