target,probe,fact,question,text_sentences,prior_knowledge,question_explanation,inference_explanation,answer
 data efficiency,"In the paper 'Chain-of-Thought Prompting Elicits Reasoning in Large Language Models', because prompting a PaLM 540B with just eight chain-of-thought exemplars achieves state-of-the-art results and even surpasses finetuned GPT-3 with a verifier, the concise property that best summarizes the practical benefit of this approach with respect to labeled supervision requirements is","In the paper 'Chain-of-Thought Prompting Elicits Reasoning in Large Language Models', because prompting a PaLM 540B with just eight chain-of-thought exemplars achieves state-of-the-art results and even surpasses finetuned GPT-3 with a verifier, the concise property that best summarizes the practical benefit of this approach with respect to labeled supervision requirements is data efficiency","Because prompting a PaLM 540B with just eight chain-of-thought exemplars achieves state-of-the-art results and even surpasses finetuned GPT-3 with a verifier, what concise property best summarizes the practical benefit of this approach with respect to labeled supervision requirements?","['In particular, we show how such reasoning abilities emerge naturally in sufficiently large language models via a simple method called \\textit{chain-of-thought prompting}, where a few chain of thought demonstrations are provided as exemplars in prompting.', 'For instance, prompting a PaLM 540B with just eight chain-of-thought exemplars achieves state-of-the-art accuracy on the GSM8K benchmark of math word problems, surpassing even finetuned GPT-3 with a verifier.']",Understanding of data-efficiency concepts: the difference between methods that require large labeled datasets (finetuning) versus methods that achieve strong performance with few labeled examples (few-shot or exemplar-based approaches).,The question asks which concise advantage—related to how much labeled data is needed—best captures why using a few exemplars is practically useful compared to large-scale finetuning.,"The paper reports that only eight exemplars were enough to beat a finetuned competitor. That indicates the method achieves strong performance with very little labeled supervision, i.e., it is data-efficient.",data efficiency
 limited improvement,"According to the paper 'Chain-of-Thought Prompting Elicits Reasoning in Large Language Models', if you apply chain-of-thought prompting to very small models without changing architecture or training, the short-term outcome you should predict is","According to the paper 'Chain-of-Thought Prompting Elicits Reasoning in Large Language Models', if you apply chain-of-thought prompting to very small models without changing architecture or training, the short-term outcome you should predict is limited improvement",What short-term outcome should you predict if you apply chain-of-thought prompting to very small models without changing architecture or training?,"['Through experiments on arithmetic, symbolic, and commonsense reasoning, we find that chain-of-thought reasoning is an emergent property of model scale that allows sufficiently large language models to perform reasoning tasks that otherwise have flat scaling curves.']",Knowledge that emergent abilities appear only beyond certain model sizes and that small models often lack the capacity for such emergent behavior.,"Simply: will tiny models gain the same reasoning boost from chain-of-thought prompts as large models, in the short term, if nothing else is changed?","Because the authors label the ability 'emergent' and tie it to being 'sufficiently large', the implied short-term prediction is that very small models will see limited or minimal improvement from chain-of-thought prompting alone.",limited improvement
 self-explanation,"In the paper 'Chain-of-Thought Prompting Elicits Reasoning in Large Language Models', generating intermediate natural-language reasoning steps (chain-of-thought) most closely emulates the human cognitive strategy of","In the paper 'Chain-of-Thought Prompting Elicits Reasoning in Large Language Models', generating intermediate natural-language reasoning steps (chain-of-thought) most closely emulates the human cognitive strategy of self-explanation",Which human cognitive strategy does generating intermediate natural-language reasoning steps (chain-of-thought) most closely emulate?,"['First, techniques for arithmetic reasoning can benefit from generating natural language rationales that lead to the final answer.', 'A \\emph{chain of thought} is a series of intermediate natural language reasoning steps that lead to the final output, and we refer to this approach as \\textit{chain-of-thought prompting}.']",Familiarity with cognitive strategies like self-explanation (verbalizing one's reasoning to oneself to understand or solve problems).,The model writes out its reasoning in words. Which human strategy is that most like?,"Humans use self-explanation by articulating intermediate reasoning to reach conclusions; chain-of-thought has the model produce those same intermediate articulations, so it mirrors self-explanation.",self-explanation
 representational capacity,"According to the paper 'Chain-of-Thought Prompting Elicits Reasoning in Large Language Models', the implicit quality the paper assumes is present in sufficiently large models, enabling chain-of-thought capabilities to emerge, is","According to the paper 'Chain-of-Thought Prompting Elicits Reasoning in Large Language Models', the implicit quality the paper assumes is present in sufficiently large models, enabling chain-of-thought capabilities to emerge, is representational capacity",Which implicit quality of sufficiently large models does the paper assume is present so that chain-of-thought capabilities can emerge?,"['Through experiments on arithmetic, symbolic, and commonsense reasoning, we find that chain-of-thought reasoning is an emergent property of model scale that allows sufficiently large language models to perform reasoning tasks that otherwise have flat scaling curves.']","Familiarity with neural network capacity concepts (representational capacity, parameterization, ability to encode complex functions) and the idea that some abilities require enough capacity to be represented.",Put simply: what hidden ability or resource must a large model have for chain-of-thought to become possible?,"If a capability only appears at large sizes, it implies the model needed enough representational resources to encode the computations for chain-of-thought reasoning. Thus the implicit assumption is sufficient representational capacity.",representational capacity
 multi-step reasoning tasks,"In the paper 'Chain-of-Thought Prompting Elicits Reasoning in Large Language Models', given that chain-of-thought helped arithmetic, symbolic, and commonsense reasoning, the broader class of tasks to which this technique should most naturally generalize is","In the paper 'Chain-of-Thought Prompting Elicits Reasoning in Large Language Models', given that chain-of-thought helped arithmetic, symbolic, and commonsense reasoning, the broader class of tasks to which this technique should most naturally generalize is multi-step reasoning tasks","Given that chain-of-thought helped arithmetic, symbolic, and commonsense reasoning, to which broader class of tasks should this technique most naturally generalize?","['We have explored chain-of-thought prompting as a simple and broadly applicable method for enhancing reasoning in language models.', 'Through experiments on arithmetic, symbolic, and commonsense reasoning, we find that chain-of-thought reasoning is an emergent property of model scale that allows sufficiently large language models to perform reasoning tasks that otherwise have flat scaling curves.']","Understanding of task taxonomies in NLP/AI, especially the distinction between single-step classification-like tasks and tasks requiring multiple sequential inference steps.",In everyday terms: the authors show chain-of-thought helps several examples — what common property do those examples share that suggests other tasks that also have that property will benefit?,"Arithmetic, symbolic manipulation, and commonsense reasoning all typically require executing several intermediate steps; therefore chain-of-thought is most likely to generalize to other multi-step reasoning tasks that benefit from explicit intermediate steps.",multi-step reasoning tasks
 compositionality,"In the paper 'Chain-of-Thought Prompting Elicits Reasoning in Large Language Models', the abstract property of reasoning tasks—such as arithmetic, commonsense, and symbolic reasoning—that makes chain-of-thought prompting especially effective compared to standard prompting is","In the paper 'Chain-of-Thought Prompting Elicits Reasoning in Large Language Models', the abstract property of reasoning tasks—such as arithmetic, commonsense, and symbolic reasoning—that makes chain-of-thought prompting especially effective compared to standard prompting is compositionality","What abstract property of reasoning tasks (like arithmetic, commonsense, symbolic reasoning) makes chain-of-thought prompting especially effective compared to standard prompting?","['However, scaling up model size alone has not proved sufficient for achieving high performance on challenging tasks such as arithmetic, commonsense, and symbolic reasoning \\citep{rae2021scaling}.', 'First, techniques for arithmetic reasoning can benefit from generating natural language rationales that lead to the final answer.', 'A \\emph{chain of thought} is a series of intermediate natural language reasoning steps that lead to the final output, and we refer to this approach as \\textit{chain-of-thought prompting}.']",Understanding of compositionality: many complex tasks require composing simpler operations or steps to form a solution.,What general structural feature of these tasks causes them to benefit from explicit intermediate steps?,"These problems require combining multiple sub-operations sequentially; chain-of-thought explicitly constructs and composes those steps, so the underlying helpful property is compositionality.",compositionality
 an informative prior,"According to the paper 'Chain-of-Thought Prompting Elicits Reasoning in Large Language Models', in Bayesian terms, presenting a few chain-of-thought demonstrations as exemplars in the prompt most closely corresponds to imposing on the model's outputs","According to the paper 'Chain-of-Thought Prompting Elicits Reasoning in Large Language Models', in Bayesian terms, presenting a few chain-of-thought demonstrations as exemplars in the prompt most closely corresponds to imposing on the model's outputs an informative prior","In Bayesian terms, presenting a few chain-of-thought demonstrations as exemplars in the prompt most closely corresponds to imposing what kind of probabilistic bias on the model's outputs?","['In particular, we show how such reasoning abilities emerge naturally in sufficiently large language models via a simple method called \\textit{chain-of-thought prompting}, where a few chain of thought demonstrations are provided as exemplars in prompting.']","Bayesian inference concepts: priors (preference/bias before seeing new data), likelihood/evidence, and how conditioning or constraints can bias a model's posterior behavior.","Is giving exemplars more like setting a prior belief about how answers should be produced, or like supplying additional evidence/likelihood? Name the closest Bayesian analogue.","Exemplars in the prompt steer the model's outputs without changing model parameters, biasing its default behavior toward certain reasoning traces. This is analogous to imposing an informative prior over outputs or traces rather than changing the likelihood function.",informative prior
 a scratchpad,"In the paper 'Chain-of-Thought Prompting Elicits Reasoning in Large Language Models', chain-of-thought prompting at inference time effectively provides an operational mechanism to hold intermediate calculations or partial reasoning, namely","In the paper 'Chain-of-Thought Prompting Elicits Reasoning in Large Language Models', chain-of-thought prompting at inference time effectively provides an operational mechanism to hold intermediate calculations or partial reasoning, namely a scratchpad",What operational mechanism does chain-of-thought prompting effectively provide at inference time to hold intermediate calculations or partial reasoning?,"['Specifically, we explore the ability of language models to perform few-shot prompting for reasoning tasks, given a prompt that consists of triples: $\\langle$input, \\emph{chain of thought}, output$\\rangle$.', 'A \\emph{chain of thought} is a series of intermediate natural language reasoning steps that lead to the final output, and we refer to this approach as \\textit{chain-of-thought prompting}.']",Familiarity with the notion of a 'scratchpad' or working memory: a temporary workspace for intermediate computations.,The prompt contains intermediate text the model uses. What is the short name for that temporary workspace concept?,"The explicit intermediate tokens serve as a workspace where partial results are recorded and reused across steps, which is functionally a scratchpad.",scratchpad
 divide-and-conquer,"According to the paper 'Chain-of-Thought Prompting Elicits Reasoning in Large Language Models', because chain-of-thought prompting decomposes a problem into intermediate reasoning steps, the classic algorithmic strategy from computer science it most closely mirrors is","According to the paper 'Chain-of-Thought Prompting Elicits Reasoning in Large Language Models', because chain-of-thought prompting decomposes a problem into intermediate reasoning steps, the classic algorithmic strategy from computer science it most closely mirrors is divide-and-conquer","Which classic algorithmic strategy from computer science does chain-of-thought prompting most closely mirror, given that it decomposes a problem into intermediate reasoning steps?","['First, techniques for arithmetic reasoning can benefit from generating natural language rationales that lead to the final answer.', 'Specifically, we explore the ability of language models to perform few-shot prompting for reasoning tasks, given a prompt that consists of triples: $\\langle$input, \\emph{chain of thought}, output$\\rangle$.', 'A \\emph{chain of thought} is a series of intermediate natural language reasoning steps that lead to the final output, and we refer to this approach as \\textit{chain-of-thought prompting}.']","Familiarity with the divide-and-conquer paradigm: breaking problems into subproblems, solving each, and combining results.",The prompt supplies step-by-step intermediate solutions. Which well-known algorithmic idea does that reflect?,"Chain-of-thought produces intermediate sub-results that are combined into a final answer. That structure is isomorphic to divide-and-conquer, where a problem is broken into and solved via subproblems and their solutions are composed.",divide-and-conquer
 a phase transition,"According to the paper 'Chain-of-Thought Prompting Elicits Reasoning in Large Language Models', given the authors' claim that such reasoning abilities 'emerge naturally in sufficiently large language models,' the concise technical term from the study of scaling and complex systems for new capabilities appearing after crossing a size threshold is","According to the paper 'Chain-of-Thought Prompting Elicits Reasoning in Large Language Models', given the authors' claim that such reasoning abilities 'emerge naturally in sufficiently large language models,' the concise technical term from the study of scaling and complex systems for new capabilities appearing after crossing a size threshold is a phase transition",The authors state that such reasoning abilities 'emerge naturally in sufficiently large language models.' Which concise technical term from the study of scaling and complex systems best characterizes the phenomenon where new capabilities appear after crossing a size threshold?,"['In particular, we show how such reasoning abilities emerge naturally in sufficiently large language models via a simple method called \\textit{chain-of-thought prompting}, where a few chain of thought demonstrations are provided as exemplars in prompting.']","Familiarity with scaling laws and complex systems concepts such as emergence and phase transitions, where qualitative changes appear after a parameter (e.g., size) crosses a threshold.",The question asks you to name the technical concept that describes a sudden appearance of new behavior once a system becomes large enough.,"The authors say the capability 'emerge[s]...in sufficiently large' models, implying a threshold-like effect: nothing before the threshold, something after. In complexity and scaling discussions this is typically described as a phase transition (an emergent capability appearing past a critical scale).",phase transition
