target,probe,fact,question,answer,prior_knowledge,text_sentences,question_explanation,inference_explanation
 implementation complexity,"From an adoption standpoint, the simplicity and broad applicability of chain-of-thought prompting minimize the barrier of","From an adoption standpoint, the simplicity and broad applicability of chain-of-thought prompting minimize the barrier of implementation complexity","From an adoption standpoint, what barrier is minimized by chain-of-thought prompting being simple and broadly applicable?",implementation complexity,"Recognizing that simpler, broadly applicable methods are easier to adopt and integrate because they require less engineering and customization.",['We have explored chain-of-thought prompting as a simple and broadly applicable method for enhancing reasoning in language models.'],This asks which practical hurdle is reduced because the method is easy to use in many situations.,"If a method is simple and broadly applicable, then the main barrier—how hard it is to implement—becomes smaller, i.e., lower implementation complexity."
 process transparency,"Beyond accuracy, the governance-related property of model behavior most directly strengthened by chains of thought is","Beyond accuracy, the governance-related property of model behavior most directly strengthened by chains of thought is process transparency","Beyond accuracy, what governance-related property of model behavior is most directly strengthened by chains of thought?",Process transparency,"Knowing that transparency/interpretability in AI means making internal decision processes more understandable to humans, aiding oversight and debugging.","[""Second, a chain of thought provides an interpretable window into the behavior of the model, suggesting how it might have arrived at a particular answer and providing opportunities to debug where the reasoning path went wrong (although fully characterizing a model's computations that support an answer remains an open question).""]",It asks what quality related to making the model’s process visible is improved by chains of thought.,"Since chains of thought give an interpretable glimpse into reasoning and support debugging, they enhance the transparency of the model’s process."
 error localization,"When answers are wrong, chains of thought most directly support the specific diagnostic activity of","When answers are wrong, chains of thought most directly support the specific diagnostic activity of error localization",What specific diagnostic activity do chains of thought most directly support when answers are wrong?,Error localization,Knowing that debugging often involves pinpointing where a process failed rather than fully modeling every internal computation.,"[""Second, a chain of thought provides an interpretable window into the behavior of the model, suggesting how it might have arrived at a particular answer and providing opportunities to debug where the reasoning path went wrong (although fully characterizing a model's computations that support an answer remains an open question).""]",It asks what kind of debugging you can do using the visible reasoning steps.,"Since the steps reveal where the reasoning path went wrong, they enable localizing the specific point of error."
 increasing model scale,"For reasoning tasks that otherwise exhibit flat scaling curves, practitioners seeking to realize the benefits of chain-of-thought prompting should prioritize","For reasoning tasks that otherwise exhibit flat scaling curves, practitioners seeking to realize the benefits of chain-of-thought prompting should prioritize increasing model scale","For reasoning tasks that otherwise have flat scaling curves, what single strategy should practitioners prioritize to realize the benefits of chain-of-thought prompting?",increase model scale,Understanding that a 'scaling curve' relates model size to performance; that an 'emergent property' appears only beyond a certain scale; and that prompting strategies leverage existing model capacities rather than changing training data.,"['Through experiments on arithmetic, symbolic, and commonsense reasoning, we find that chain-of-thought reasoning is an emergent property of model scale that allows sufficiently large language models to perform reasoning tasks that otherwise have flat scaling curves.']",This asks what practical lever to pull to make chain-of-thought actually help on tasks that don't improve with size under normal conditions.,"Because the ability emerges only in sufficiently large models and specifically counteracts otherwise flat scaling, the actionable way to unlock the benefit is to make the model larger."
 procedural reasoning bottleneck,"In the illustrated case where the model succeeds only after reasoning step-by-step, the bottleneck chiefly addressed is the","In the illustrated case where the model succeeds only after reasoning step-by-step, the bottleneck chiefly addressed is the procedural reasoning bottleneck","In the illustrated case where the model succeeds only after reasoning step-by-step, which bottleneck is chiefly addressed?",Procedural reasoning,Knowing the distinction between stored knowledge and the procedural ability to manipulate information step-by-step to reach a conclusion.,"['\\cref{fig:pull-figure} shows an example of a model producing a chain of thought to solve a math word problem that it would have otherwise gotten incorrect.', 'First, chain of thought, in principle, allows models to decompose multi-step problems into intermediate steps, which means that additional computation can be allocated to problems that require more reasoning steps.']",It asks whether the improvement comes from knowing more facts or from better step-by-step problem solving.,"The success arises when the model performs intermediate steps; thus the bottleneck is the procedure of reasoning, not missing facts."
 only limited gains,"When applying chain-of-thought prompting to models that are not sufficiently large, one should expect","When applying chain-of-thought prompting to models that are not sufficiently large, one should expect only limited gains",What outcome should be expected when applying chain-of-thought prompting to models that are not sufficiently large?,limited gains,"Understanding that if a capability is emergent at scale, smaller models typically do not exhibit it; and that 'flat scaling curves' mean performance doesn't improve with size under standard conditions.","['Through experiments on arithmetic, symbolic, and commonsense reasoning, we find that chain-of-thought reasoning is an emergent property of model scale that allows sufficiently large language models to perform reasoning tasks that otherwise have flat scaling curves.']",This asks what to expect if you try the technique on smaller models.,"Since the benefit emerges only in sufficiently large models, smaller ones are unlikely to show strong improvements, implying only limited gains."
 step-by-step reasoning,"Across arithmetic, symbolic, and commonsense problems, the mode of reasoning that chain-of-thought prompting most directly cultivates is","Across arithmetic, symbolic, and commonsense problems, the mode of reasoning that chain-of-thought prompting most directly cultivates is step-by-step reasoning","Across arithmetic, symbolic, and commonsense problems, what mode of reasoning does chain-of-thought prompting most directly cultivate?",step-by-step reasoning,"Knowing that 'chain-of-thought' denotes decomposing reasoning into intermediate steps; and that arithmetic, symbolic, and commonsense problems are typically solved via multi-step reasoning.","['We have explored chain-of-thought prompting as a simple and broadly applicable method for enhancing reasoning in language models.', 'Through experiments on arithmetic, symbolic, and commonsense reasoning, we find that chain-of-thought reasoning is an emergent property of model scale that allows sufficiently large language models to perform reasoning tasks that otherwise have flat scaling curves.']",This asks what kind of thinking process is being encouraged when the model uses chain-of-thought on these tasks.,"The term 'chain-of-thought' implies reasoning through linked steps; given the tasks listed, the helpful process is reasoning step by step."
 a synergistic scaling effect,"Given the reported pattern that standard prompting improves with model size and that chain-of-thought adds the largest improvements at the biggest scale, the relationship between capacity and chain-of-thought prompting is","Given the reported pattern that standard prompting improves with model size and that chain-of-thought adds the largest improvements at the biggest scale, the relationship between capacity and chain-of-thought prompting is a synergistic scaling effect","Based on the reported pattern that standard prompting improves with model size and that chain-of-thought adds the largest improvements at the biggest scale, what kind of relationship between capacity and chain-of-thought prompting is implied?",synergistic scaling effect,"Understanding of model scaling effects, interaction (synergy) between algorithmic techniques and capacity, and how in-context prompting interacts with model expressivity.","['For all tasks, scaling up model size improved the performance of standard prompting; chain-of-thought prompting led to further gains, with improvements appearing to be largest for PaLM 540B.']","It asks you to infer how model size and chain-of-thought prompting combine—do they merely add, or do they reinforce each other as models get bigger?","Because gains from chain-of-thought are reported to be largest at the biggest scale, the effect of chain-of-thought strengthens with capacity, indicating a synergistic, not merely additive, relationship."
 Conditional computation,The described allocation of extra steps resembles the established ML paradigm of input-dependent compute known as,The described allocation of extra steps resembles the established ML paradigm of input-dependent compute known as conditional computation,Which established ML paradigm of input-dependent compute does the described allocation of extra steps resemble?,Conditional computation,"Understanding that in machine learning, conditional or adaptive computation refers to using more computational steps only when inputs are hard, saving compute on easy cases.","['First, chain of thought, in principle, allows models to decompose multi-step problems into intermediate steps, which means that additional computation can be allocated to problems that require more reasoning steps.']",It asks you to name the known approach where a system spends more effort only on harder problems.,"Because the text says the method allocates more computation to harder instances, it matches the idea of conditional computation."
 a scale-dependent capability,The observation that chain-of-thought is an emergent property of model scale suggests that reasoning ability depends on model size as,The observation that chain-of-thought is an emergent property of model scale suggests that reasoning ability depends on model size as a scale-dependent capability,What does the observation that chain-of-thought is an emergent property of model scale suggest about the dependence of reasoning ability on model size?,scale-dependent capability,"Knowing that an 'emergent property' appears only when a system reaches a certain scale, indicating dependency on size.","['Through experiments on arithmetic, symbolic, and commonsense reasoning, we find that chain-of-thought reasoning is an emergent property of model scale that allows sufficiently large language models to perform reasoning tasks that otherwise have flat scaling curves.']",This asks for the general relationship between model size and the model’s reasoning ability implied by the text.,"Calling the ability 'emergent' from model scale indicates that reasoning via chain-of-thought depends on being large enough—in other words, it’s scale-dependent."
 Large capacity,The prerequisite property of a model implied as necessary to readily elicit chains of thought via few-shot exemplars is,The prerequisite property of a model implied as necessary to readily elicit chains of thought via few-shot exemplars is large capacity,What prerequisite property of a model is implied as necessary to readily elicit chains of thought via few-shot exemplars?,Large capacity,"Recognizing that larger models (higher capacity/scale) can express more complex behaviors when prompted, whereas small models may not.","['We will show that sufficiently large language models can generate chains of thought if demonstrations of chain-of-thought reasoning are provided in the exemplars for few-shot prompting.', 'Finally, chain-of-thought reasoning can be readily elicited in sufficiently large off-the-shelf language models simply by including examples of chain of thought sequences into the exemplars of few-shot prompting.']",It asks what kind of model attribute is needed for the prompting method to work as described.,"Because the text emphasizes that sufficiently large models exhibit the behavior, the needed property is large capacity."
 stepwise decomposition,"The unifying mechanism that likely explains chain-of-thoughts effectiveness across arithmetic, commonsense, and symbolic tasks is","The unifying mechanism that likely explains chain-of-thoughts effectiveness across arithmetic, commonsense, and symbolic tasks is stepwise decomposition","What unifying mechanism likely explains chain-of-thought’s effectiveness across arithmetic, commonsense, and symbolic tasks?",Stepwise decomposition,Knowing that breaking complex tasks into smaller steps can generalize across domains because it structures problem solving.,"['First, chain of thought, in principle, allows models to decompose multi-step problems into intermediate steps, which means that additional computation can be allocated to problems that require more reasoning steps.', 'Third, chain-of-thought reasoning can be used for tasks such as math word problems, commonsense reasoning, and symbolic manipulation, and is potentially applicable (at least in principle) to any task that humans can solve via language.', 'In empirical experiments, we will observe the utility of chain-of-thought prompting for arithmetic reasoning (\\cref{sec:arithmetic-reasoning}), commonsense reasoning (\\cref{sec:commonsense-reasoning}), and symbolic reasoning (\\cref{sec:symbolic-reasoning}).']",It asks what shared method underlies success on very different types of problems.,"Since the approach decomposes problems into intermediate steps and works across domains, the common driver is stepwise decomposition."
 multi-hop reasoning,"Given that StrategyQA requires multi-hop strategies and showed the clearest state-of-the-art gains with chain-of-thought prompting, the task characteristic most likely underlying where chain-of-thought helps the most is","Given that StrategyQA requires multi-hop strategies and showed the clearest state-of-the-art gains with chain-of-thought prompting, the task characteristic most likely underlying where chain-of-thought helps the most is multi-hop reasoning","Considering that StrategyQA requires multi-hop strategies and achieved the clearest state-of-the-art gains with chain-of-thought prompting, which task characteristic most likely underlies where chain-of-thought helps the most?",multi-hop reasoning,Knowing that chain-of-thought excels at decomposing multi-step reasoning problems and that multi-hop reasoning requires sequential inference.,"['StrategyQA \\citep{geva-etal-2021-aristotle} requires models to infer a multi-hop strategy to answer questions.', 'With chain-of-thought prompting, PaLM 540B achieved strong performance relative to baselines, outperforming the prior state of the art on StrategyQA (75.6\\% vs 69.4\\%).', 'These results demonstrate that chain-of-thought prompting can also improve performance on tasks requiring a range of commonsense reasoning abilities (though note that gain was minimal on CSQA).']",It asks you to identify the task feature that explains why chain-of-thought helped most on StrategyQA.,"Since StrategyQA is defined by multi-hop reasoning and saw the standout SOTA improvement, the critical driver of chain-of-thought’s benefit is multi-hop reasoning."
