source,domain,v14_row_index,v13_row_index,reason,old_v13_probe,old_v13_target,v14_probe,v14_target,paraphrased_probe
arxiv,1_58,25,25,cloze_changed,"According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", during inference, an expense in addition to computation is", transferring model parameters from DRAM to the memory of an on-chip accelerator.,"According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", during inference, an expense in addition to computation is transferring model parameters from DRAM to", the memory of an on-chip accelerator.,"The paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"" states that, during inference, a cost beyond computation involves moving model parameters from DRAM to"
arxiv,BOFT,18,18,cloze_changed,"According to the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization"", broad progress in the field requires", the ability to adapt such models without retraining them from scratch.,"According to the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization"", broad progress in the field requires the ability to", adapt such models without retraining them from scratch.,"The paper ""Parameter-Efficient Orthogonal Finetuning via Factorization"" states that significant advancement in the field depends on the capability to"
arxiv,BOFT,107,107,cloze_changed,"According to the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization"", OFT reparameterizes the new weight matrix when finetuning the pretrained weight matrix as", the product of a learnable orthogonal matrix and the frozen pretrained weight matrix,"According to the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization"", OFT reparameterizes the new weight matrix when finetuning the pretrained weight matrix as the product of", a learnable orthogonal matrix and the frozen pretrained weight matrix,"As stated in the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization"", OFT expresses the new weight matrix during finetuning of the pretrained weight matrix as the multiplication of"
arxiv,BOFT,188,188,cloze_changed,"According to the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization"", for butterfly components $\tilde{\bm{B}}^b(d,k)$ with $k>2$, the non-zero pattern relative to $\tilde{\bm{B}}^b(d,2)$ is"," the block-wise permutation of the non-zero pattern of $\tilde{\bm{B}}^b(d,2)$","According to the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization"", for butterfly components $\tilde{\bm{B}}^b(d,k)$ with $k>2$, the non-zero pattern relative to $\tilde{\bm{B}}^b(d,2)$ is the block-wise permutation of"," the non-zero pattern of $\tilde{\bm{B}}^b(d,2)$","As stated in the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization"", for butterfly components \(\tilde{\bm{B}}^b(d,k)\) where \(k>2\), the non-zero pattern in relation to \(\tilde{\bm{B}}^b(d,2)\) corresponds to the block-wise permutation of"
arxiv,BOFT,220,220,cloze_changed,"According to the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization"", although the butterfly structure along with permutations can perfectly recover many classic fast linear transforms such as the fast Fourier transform and Hadamard transform, it is still unknown", how well our orthogonal butterfly matrix can approximate a general orthogonal matrix,"According to the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization"", although the butterfly structure along with permutations can perfectly recover many classic fast linear transforms such as the fast Fourier transform and Hadamard transform, it is still unknown how well our orthogonal butterfly matrix can approximate", a general orthogonal matrix,"As stated in the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization"", even though the butterfly structure combined with permutations can exactly reproduce numerous well-known fast linear transforms like the fast Fourier transform and Hadamard transform, the degree to which our orthogonal butterfly matrix can approximate"
arxiv,BOFT,270,270,cloze_changed,"According to the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization"", what remains unknown about the butterfly network in the authors' information transmission framework is", whether the butterfly network is the most efficient way to transmit information,"According to the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization"", what remains unknown about the butterfly network in the authors' information transmission framework is whether the butterfly network is", the most efficient way to transmit information,"As stated in the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization"", it is still uncertain in the authors' information transmission framework if the butterfly network is"
arxiv,BOFT,276,276,cloze_changed,"According to the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization"", finetuning methods usually start with the exact pretrained model such that the finetuned model", will not deviate too much from the pretrained one.,"According to the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization"", finetuning methods usually start with the exact pretrained model such that the finetuned model will not", deviate too much from the pretrained one.,"The paper ""Parameter-Efficient Orthogonal Finetuning via Factorization"" states that finetuning approaches typically begin with the precise pretrained model so that the finetuned model does not"
arxiv,ByteLatent,42,42,cloze_changed,"According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", the computational cost of processing data for both token-based and patch-based models is primarily determined by", the number of steps executed by the main Transformer,"According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", the computational cost of processing data for both token-based and patch-based models is primarily determined by the number of", steps executed by the main Transformer,"The paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"" states that the main factor influencing the computational cost of processing data in both token-based and patch-based models is the number of"
arxiv,ByteLatent,75,75,cloze_changed,"According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", compared with tokenization-based models, BLT crucially redefines", the trade off between the vocabulary size and compute.,"According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", compared with tokenization-based models, BLT crucially redefines the trade off between", the vocabulary size and compute.,"As stated in the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", in comparison to models that rely on tokenization, BLT fundamentally changes the balance between"
arxiv,ByteLatent,76,76,cloze_changed,"According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", BLT’s crucial improvement over tokenization-based models is said to redefine", the trade off between the vocabulary size and compute.,"According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", BLT’s crucial improvement over tokenization-based models is said to redefine the trade off between", the vocabulary size and compute.,"As stated in the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", the key enhancement of BLT compared to tokenization-based models is claimed to reshape the balance between"
arxiv,ByteLatent,89,89,cloze_changed,"According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", in the discussion of incremental patching for byte sequences, BPE is not considered an incremental patching scheme, given the property $f_p(\pmb{x}_{<i}) = f_p(\pmb{x})_{<i}$, because", the same prefix can be tokenized differently depending on the continuation sequence,"According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", in the discussion of incremental patching for byte sequences, BPE is not considered an incremental patching scheme, given the property $f_p(\pmb{x}_{<i}) = f_p(\pmb{x})_{<i}$, because the same prefix can be tokenized differently depending on", the continuation sequence,"As stated in the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", when discussing incremental patching for byte sequences, BPE does not qualify as an incremental patching scheme due to the property $f_p(\pmb{x}_{<i}) = f_p(\pmb{x})_{<i}$, since the identical prefix may be tokenized differently based on"
arxiv,ByteLatent,139,139,cloze_changed,"According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", the cross-attention layer in the decoder is applied before the transformer layer in order", to first create byte representations from the patch representations,"According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", the cross-attention layer in the decoder is applied before the transformer layer in order to first create byte representations from", the patch representations,"As stated in the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", the decoder applies the cross-attention layer prior to the transformer layer to initially generate byte representations from"
arxiv,ByteLatent,178,178,cloze_changed,"According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", the authors pad and possibly truncate byte sequences to 12k and 24k bytes respectively for the Llama 2 and BLT-1T datasets during training", to avoid memory spikes from sequences with unusually large patches,"According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", the authors pad and possibly truncate byte sequences to 12k and 24k bytes respectively for the Llama 2 and BLT-1T datasets during training to avoid memory spikes from", sequences with unusually large patches,"As stated in the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", the authors pad and sometimes truncate byte sequences to 12k and 24k bytes respectively for the Llama 2 and BLT-1T datasets during training to prevent memory spikes caused by"
arxiv,ByteLatent,197,197,cloze_changed,"According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", whether attention uses a different context length, $m$, when computing attention FLOPs is determined by", whether a module is applied on the byte or patch sequence.,"According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", whether attention uses a different context length, $m$, when computing attention FLOPs is determined by whether a module is applied on", the byte or patch sequence.,"As stated in the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", the choice of context length, $m$, used by attention in computing attention FLOPs depends on whether the module operates on"
arxiv,ByteLatent,236,236,cloze_changed,"According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", Llama 3 determines the ratio used for the bpe models as", the optimal ratio of model parameters to training data,"According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", Llama 3 determines the ratio used for the bpe models as the optimal", ratio of model parameters to training data,"As stated in the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", Llama 3 identifies the ratio applied for the bpe models as the optimal"
arxiv,ByteLatent,295,295,cloze_changed,"In the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", at the crossover point for larger flop-class models where {\textsc{BLT}} improves over token-based models, this shifts", from 3x down to 2.5x the compute optimal budget.,"In the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", at the crossover point for larger flop-class models where {\textsc{BLT}} improves over token-based models, this shifts from 3x down to", 2.5x the compute optimal budget.,"According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", at the point where larger flop-class models see {	extsc{BLT}} outperforming token-based models, this changes from 3x to"
arxiv,ByteLatent,349,349,cloze_changed,"According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", the authors ensure that all models see the same number of bytes in each sequence during training and inference in expectation in order", to prevent any confounding factors from being able to model larger contexts.,"According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", the authors ensure that all models see the same number of bytes in each sequence during training and inference in expectation in order to prevent any confounding factors from being able to", model larger contexts.,"The paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"" states that the authors make certain all models encounter an identical byte count per sequence on average during both training and inference so as to avoid any confounding variables that could"
arxiv,ByteLatent,360,360,cloze_changed,"According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", the encoder cross-attention query initialization at the given encoder layer uses", pooling of the encoder hidden representation of the patch bytes,"According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", the encoder cross-attention query initialization at the given encoder layer uses pooling of", the encoder hidden representation of the patch bytes,"As stated in the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", the initialization of the encoder cross-attention query at the specified encoder layer utilizes pooling of"
arxiv,ByteLatent,413,413,cloze_changed,"According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", many patching-based approaches demonstrated initial successes at", a small scale of model size and number of training bytes.,"According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", many patching-based approaches demonstrated initial successes at a small scale of", model size and number of training bytes.,"The paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"" reports that numerous patching-based methods showed early achievements at a limited"
arxiv,ByteLatent,461,461,cloze_changed,"According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", tokenization has previously been essential because", directly training llms on bytes is prohibitively costly at scale due to long sequence lengths.,"According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", tokenization has previously been essential because directly training llms on bytes is prohibitively costly at scale due to", long sequence lengths.,"The paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"" explains that tokenization was necessary before since training llms directly on bytes becomes impractical at scale owing to"
arxiv,ByteLatent,463,463,cloze_changed,"According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", the idea central to the authors' architecture is", the idea that models should dynamically allocate compute where it is needed,"According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", the idea central to the authors' architecture is the idea that", models should dynamically allocate compute where it is needed,"As stated in the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", the core concept of the authors' architecture is that"
arxiv,ByteLatent,466,466,cloze_changed,"According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", the global model, whose invocation can be chosen to control the amount of compute expended for different portions of the input and output, consumes during pre-training and inference", the bulk of the flops during pre-training as well as inference.,"According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", the global model, whose invocation can be chosen to control the amount of compute expended for different portions of the input and output, consumes during pre-training and inference the bulk of", the flops during pre-training as well as inference.,"As stated in the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", the global model, which can be selectively invoked to regulate the computational effort used on various segments of the input and output, accounts for the majority of"
