source,domain,v14_rows,carried_over,fresh_paraphrased,output_path
arxiv,1_58,137,136,1,probes/arxiv/1_58/facts/probes_v14_paraphrased.csv
arxiv,BOFT,278,272,6,probes/arxiv/BOFT/facts/probes_v14_paraphrased.csv
arxiv,ByteLatent,479,461,18,probes/arxiv/ByteLatent/facts/probes_v14_paraphrased.csv
arxiv,DPO,316,309,7,probes/arxiv/DPO/facts/probes_v14_paraphrased.csv
arxiv,FeatLLM,304,292,12,probes/arxiv/FeatLLM/facts/probes_v14_paraphrased.csv
arxiv,GRPO,398,390,8,probes/arxiv/GRPO/facts/probes_v14_paraphrased.csv
arxiv,GSPO,162,157,5,probes/arxiv/GSPO/facts/probes_v14_paraphrased.csv
arxiv,LongRoPE,387,380,7,probes/arxiv/LongRoPE/facts/probes_v14_paraphrased.csv
arxiv,OFT,374,369,5,probes/arxiv/OFT/facts/probes_v14_paraphrased.csv
arxiv,QLoRA,406,397,9,probes/arxiv/QLoRA/facts/probes_v14_paraphrased.csv
arxiv,fa3,278,272,6,probes/arxiv/fa3/facts/probes_v14_paraphrased.csv
arxiv,xLSTM,263,255,8,probes/arxiv/xLSTM/facts/probes_v14_paraphrased.csv
legal,America_First_Legal_Foundation_v_Jamieson_Greer,78,70,8,probes/legal/America_First_Legal_Foundation_v_Jamieson_Greer/facts/probes_v14_paraphrased.csv
legal,Apex_Bank_v_Cc_Serve_Corp,74,63,11,probes/legal/Apex_Bank_v_Cc_Serve_Corp/facts/probes_v14_paraphrased.csv
legal,Bruce_Cohen_v_Consilio_LLC,81,64,17,probes/legal/Bruce_Cohen_v_Consilio_LLC/facts/probes_v14_paraphrased.csv
legal,Finesse_Wireless_LLC_v_Att_Mobility_LLC,103,91,12,probes/legal/Finesse_Wireless_LLC_v_Att_Mobility_LLC/facts/probes_v14_paraphrased.csv
legal,Foad_Farahi_v_FBI,98,91,7,probes/legal/Foad_Farahi_v_FBI/facts/probes_v14_paraphrased.csv
legal,Jimenez_v_Bondi,164,150,14,probes/legal/Jimenez_v_Bondi/facts/probes_v14_paraphrased.csv
legal,Pacito_v_Trump,67,59,8,probes/legal/Pacito_v_Trump/facts/probes_v14_paraphrased.csv
legal,Santos_v_Kimmel,61,56,5,probes/legal/Santos_v_Kimmel/facts/probes_v14_paraphrased.csv
legal,United_States_v_Constantinescu,67,62,5,probes/legal/United_States_v_Constantinescu/facts/probes_v14_paraphrased.csv
legal,United_States_v_Jaison_Coleman,75,71,4,probes/legal/United_States_v_Jaison_Coleman/facts/probes_v14_paraphrased.csv
legal,United_States_v_Justin_Cutbank,82,69,13,probes/legal/United_States_v_Justin_Cutbank/facts/probes_v14_paraphrased.csv
legal,Williams_v_GoAuto_Insurance,83,73,10,probes/legal/Williams_v_GoAuto_Insurance/facts/probes_v14_paraphrased.csv
medical,Acute_neurological_Behets_disease_complicated_by_a_syndrome,149,144,5,probes/medical/Acute_neurological_Behets_disease_complicated_by_a_syndrome/facts/probes_v14_paraphrased.csv
medical,Autoimmune_heparininduced_thrombocytopenia_following_cardiac,99,91,8,probes/medical/Autoimmune_heparininduced_thrombocytopenia_following_cardiac/facts/probes_v14_paraphrased.csv
medical,Central_hypoventilation_and_choking_episodes_revealing_Chiar,145,135,10,probes/medical/Central_hypoventilation_and_choking_episodes_revealing_Chiar/facts/probes_v14_paraphrased.csv
medical,Dermatomyositis_masquerading_as_angioedema_a_crucial_differe,136,129,7,probes/medical/Dermatomyositis_masquerading_as_angioedema_a_crucial_differe/facts/probes_v14_paraphrased.csv
medical,From_dog_bite_to_dialysis_complementmediated_haemolytic_urae,137,137,0,probes/medical/From_dog_bite_to_dialysis_complementmediated_haemolytic_urae/facts/probes_v14_paraphrased.csv
medical,Immunemediated_necrotising_myopathy_following_semaglutide_tr,97,88,9,probes/medical/Immunemediated_necrotising_myopathy_following_semaglutide_tr/facts/probes_v14_paraphrased.csv
medical,Management_of_atypical_complicated_abdominal_masses_in_the_s,127,116,11,probes/medical/Management_of_atypical_complicated_abdominal_masses_in_the_s/facts/probes_v14_paraphrased.csv
medical,Monoallelic_PARN_mutation_presenting_as_pancytopenia_hepatic,149,144,5,probes/medical/Monoallelic_PARN_mutation_presenting_as_pancytopenia_hepatic/facts/probes_v14_paraphrased.csv
medical,Multiphasic_anaphylaxis_in_the_emergency_and_intensive_care,146,130,16,probes/medical/Multiphasic_anaphylaxis_in_the_emergency_and_intensive_care/facts/probes_v14_paraphrased.csv
medical,Nontype_1_and_nontype_2_diabetes_in_a_young_man_due_to_novel,130,121,9,probes/medical/Nontype_1_and_nontype_2_diabetes_in_a_young_man_due_to_novel/facts/probes_v14_paraphrased.csv
medical,Pancreatopleural_fistula_in_childhood,161,149,12,probes/medical/Pancreatopleural_fistula_in_childhood/facts/probes_v14_paraphrased.csv
medical,TAVinTAVinTAV_after_treated_endocarditis_procedural_strategy,144,138,6,probes/medical/TAVinTAVinTAV_after_treated_endocarditis_procedural_strategy/facts/probes_v14_paraphrased.csv
