domain,broader_row_index_0based,decision,issue_type,review_reason
America_First_Legal_Foundation_v_Jamieson_Greer,0,keep,none,Exactly one supported answer; distractors are plausible legal consequences; target is generic but works in this framed standing question. prefilter_valid=no; rejection as too generic looks overstrict.
America_First_Legal_Foundation_v_Jamieson_Greer,1,drop,unrepairable_leakage,"Stem says standing bears on subject-matter jurisdiction and the correct option is dismissal for lack of subject-matter jurisdiction, so the answer is effectively leaked/tautological. prefilter_valid=yes."
Finesse_Wireless_LLC_v_Att_Mobility_LLC,0,keep,none,"Exactly one supported answer; options distinguish met, unmet, genuine dispute, and specific wrong mapping theories. Weakly binary but still usable as a legal outcome MCQA. prefilter_valid=no; binary-answer rejection looks too strict."
Finesse_Wireless_LLC_v_Att_Mobility_LLC,1,keep,none,Exactly one supported answer follows from JMOL reversal plus the stated standard; distractors are plausible opposite/substantial-evidence outcomes. Not leaked by visible stem alone. prefilter_valid=no; tautology rejection looks overstrict.
Jimenez_v_Bondi,0,keep,none,"Exactly one supported answer; although rebuttable presumption is generic, the options are plausible asylum/removal presumptions and only one matches the past-persecution rule. prefilter_valid=no; rejection as too generic/arbitrary looks overstrict."
Pacito_v_Trump,0,keep,none,"Exactly one supported answer; stay-order distractors are plausible but wrong after vacatur of earlier stays. Original prefilter rejection partly valid for cloze phrasing, but not valid enough for MCQA drop."
Pacito_v_Trump,1,drop,stem_leakage,"Stem says termination of refugee services, which nearly restates ending resettlement services; answer is tautological. Original prefilter rejection valid."
Pacito_v_Trump,2,drop,stem_leakage,"Stem quotes/apparently supplies after their admission, making admission into the United States too directly implied; option A also creates a close entry/admission contrast. Original prefilter rejection valid."
Santos_v_Kimmel,0,drop,near_binary_stem,"Nonparty plus no express declaration collapses the item to enforce/cannot-enforce; four distractors are variants of enforceability, so option space is weak. Original prefilter rejection valid."
Santos_v_Kimmel,1,keep,none,"One correct court-test conclusion; distractors are plausible fourth-factor theories but wrong because no competing substitute means no cognizable market harm. Original prefilter rejection only partly valid for cloze, not for this MCQA."
United_States_v_Constantinescu,0,keep,none,"Money is short but legally meaningful here; exactly one option matches the indictment/property-interest reasoning, and distractors are plausible but wrong. Original prefilter rejection not valid for MCQA."
United_States_v_Justin_Cutbank,0,drop,unrepairable_leakage,"Prefilter valid: yes. Stem gives both levels and the greater-offense-level rule, so option C is a tautological arithmetic/legal-rule selection; options B/E are near-duplicate lower-level distractors."
United_States_v_Justin_Cutbank,1,keep,none,"Prefilter valid: no. Source facts support that the record showed actual consideration of § 3553(a); exactly one option fits, and the distractors are plausible legal alternatives rather than accidental correct answers."
United_States_v_Justin_Cutbank,2,drop,unrepairable_leakage,"Prefilter valid: yes. Stem says the conviction would still stand, which directly entails no reversal; the option space collapses to reversal/no-reversal."
United_States_v_Justin_Cutbank,3,drop,unsupported_by_source|unrepairable_ambiguity,"Prefilter valid: yes. Violence and firearms is not cleanly supported as the common theme from the cited offense-conduct facts, and several distractors are also plausible aggravating themes."
Williams_v_GoAuto_Insurance,0,keep,none,"Prefilter valid: no. The item applies the opinion receipt definition to electronic delivery; exactly one option is source-supported, with plausible but wrong alternatives."
Williams_v_GoAuto_Insurance,1,drop,unrepairable_leakage,Prefilter valid: yes. Automatic midnight trigger plus function of fixing effectively leaks exact cancellation time; the real option space is the two statutory functions.
Williams_v_GoAuto_Insurance,2,drop,unrepairable_weak_options,Prefilter valid: yes. Required certification omitted under strict adherence makes ineffectiveness obvious without source memory; options reduce mostly to effective vs ineffective.
Williams_v_GoAuto_Insurance,3,drop,unrepairable_leakage,"Prefilter valid: yes. Stem states the company itself is the certifying actor, which gives away that no named employee is required; distractors are all variants of the same required-employee idea."
