row_index,keep,drop_reason,review_notes,replacement_probe,replacement_target,duplicate_of
0,False,duplicate,Same MoE single-chip inference as row 6; weaker because the answer is the stated condition rather than the vanished overhead,,,6.0
1,True,keep,Combines three size/cost comparisons to infer that larger 1.58-bit models are affordable at a fixed inference cost,,,
2,False,recall_not_composition,Target is directly stated in the BitNet b1.58 description; the answer relies on one source sentence,,,
3,False,recall_not_composition,Direct lookup of the 30B-versus-7B comparison bullet rather than a compositional inference,,,
4,True,keep,Combines compute and DRAM-transfer arguments to identify the two inference burdens reduced by BitNet b1.58,,,
5,True,keep,Links the memory-limited batch-size procedure to the throughput gain mechanism Cloze shape repaired so the probe is declarative and completes by appending the target.,"In the paper 'The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits', the bottleneck that had to be relaxed for BitNet b1.58 70B to support much larger batch sizes and achieve higher throughput was the", GPU memory limit,
6,True,keep,Uses the single-chip counterfactual to identify which MoE overhead would disappear,,,
7,False,insufficient_source_support,"The paper states 16-to-8-bit activations double context length and mentions possible 4-bit compression, but does not support a quadrupling claim",,,
8,False,recall_not_composition,The answer nn.Linear is directly stated as the component whose percentage grows with model size,,,
9,False,recall_not_composition,The target KV caches comes directly from the local sentence naming the long-sequence memory problem,,,
10,True,keep,Counterfactual correctly applies the paper's statement that the added zero enables feature filtering,,,
11,False,bad_target,Target is an awkward phrase and the row mostly restates the sentence about nn.Linear time cost growing with scale,,,
12,True,keep,"Combines the compute-cost source, BitNet integer-addition matrix multiplication, and power-limited speed implication",,,
13,False,recall_not_composition,The doubled context length answer is directly stated in the source sentence,,,
14,True,keep,Uses the controlled 100B-token/same-configuration setup to exclude more training tokens as the explanation,,,
15,False,recall_not_composition,The target phrase strong generalization capabilities is directly stated as the paper's interpretation of the 2T-token result,,,
16,False,recall_not_composition,The target is a direct lookup from the activation quantization sentence,,,
17,False,recall_not_composition,The integration claim is stated explicitly by the following sentence; no additional reasoning is required,,,
18,False,recall_not_composition,Direct lookup of the specific 3.9B model result,,,
19,False,recall_not_composition,The embedding answer is directly stated in the memory trend explanation,,,
20,False,recall_not_composition,"The paper directly labels the metric improvement as a Pareto improvement, so the target can be recalled locally",,,
21,False,recall_not_composition,The near-multiplication-free computation paradigm is directly stated as the retained benefit,,,
22,True,keep,Applies the absmean quantization rule to infer that weights below half gamma round to 0,,,
23,False,recall_not_composition,The enabling reductions are directly named as reduced memory and energy consumption,,,
24,False,duplicate,"Same throughput/batch-size mechanism as row 5, with a more direct target",,,5.0
25,False,bad_target,Target is generic and the row simply restates that BitNet can be efficiently executed on edge/mobile devices,,,
