v13_row_0based,v13_row_1based,decision,issue_type,filter_reason,review_reason,probe,target,fact,raw_knowledge_statement,section
0,1,keep_rejected,tautological_stem|weak_distractor_space,"Unsuitable under criterion 1 because the target is essentially just a restatement of the probe text ('models ... generating photorealistic images from text prompts'), making it tautological rather than a discriminative MCQA answer.",Visible stem makes the completion too easy or too weakly distractible.,"According to the paper ""Controlling Text-to-Image Diffusion by Orthogonal Finetuning"", the models said to have impressive capabilities in generating photorealistic images from text prompts are",Large text-to-image diffusion models,"According to the paper ""Controlling Text-to-Image Diffusion by Orthogonal Finetuning"", the models said to have impressive capabilities in generating photorealistic images from text prompts are Large text-to-image diffusion models",Large text-to-image diffusion models have impressive capabilities in generating photorealistic images from text prompts.,Title/Abstract
1,2,keep_rejected,tautological_stem|weak_distractor_space,"It fails criterion 1 because the paper title in the probe already essentially gives away the target ('Text-to-Image Diffusion'), making the completion 'text-to-image diffusion models' nearly tautological rather than a meaningful multiple-choice test.",Visible stem makes the completion too easy or too weakly distractible.,"According to the paper ""Controlling Text-to-Image Diffusion by Orthogonal Finetuning"", Orthogonal Finetuning (OFT) is introduced as a principled finetuning method for adapting models to downstream tasks for",text-to-image diffusion models.,"According to the paper ""Controlling Text-to-Image Diffusion by Orthogonal Finetuning"", Orthogonal Finetuning (OFT) is introduced as a principled finetuning method for adapting models to downstream tasks for text-to-image diffusion models.","To tackle this challenge, we introduce a principled finetuning method -- Orthogonal Finetuning~(OFT), for adapting text-to-image diffusion models to downstream tasks.",Title/Abstract
5,6,keep_rejected,weak_distractor_space,"It fails criterion 2 because the key answer phrase is effectively exposed in the probe itself via the paper title ('Text-to-Image Diffusion'), making the completion 'text-to-image diffusion models' too easily recoverable.",No strong restoration rationale under the restoration rubric.,"According to the paper ""Controlling Text-to-Image Diffusion by Orthogonal Finetuning"", the authors say that preserving hyperspherical energy is crucial for preserving semantic generation ability in",text-to-image diffusion models.,"According to the paper ""Controlling Text-to-Image Diffusion by Orthogonal Finetuning"", the authors say that preserving hyperspherical energy is crucial for preserving semantic generation ability in text-to-image diffusion models.",We find that this property is crucial for preserving the semantic generation ability of text-to-image diffusion models.,Title/Abstract
7,8,keep_rejected,too_generic_target|weak_distractor_space,"It fails criterion 3 because the target, ""the hypersphere,"" is a very short generic phrase with little conceptual depth, making it hard to create five meaningful, distinguishable answer options.",Target remains too generic or low-information for restoration.,"According to the paper ""Controlling Text-to-Image Diffusion by Orthogonal Finetuning"", to improve finetuning stability in the proposed Constrained Orthogonal Finetuning (COFT) method, COFT imposes an additional radius constraint on",the hypersphere.,"According to the paper ""Controlling Text-to-Image Diffusion by Orthogonal Finetuning"", to improve finetuning stability in the proposed Constrained Orthogonal Finetuning (COFT) method, COFT imposes an additional radius constraint on the hypersphere.","To improve finetuning stability, we further propose Constrained Orthogonal Finetuning (COFT) which imposes an additional radius constraint to the hypersphere.",Title/Abstract
14,15,keep_rejected,unsupported_or_unclear,"It fails criterion 3 because the target is a single common adjective ('ambiguous'), making the completion too trivial and not rich enough to support five meaningful, field-specific distractors.","Question or target is malformed, incomplete, ambiguous, or not source-faithful enough to restore.","According to the paper ""Controlling Text-to-Image Diffusion by Orthogonal Finetuning"", the authors explain that text guidance in recent text-to-image diffusion models may be insufficient for fine-grained and accurate control of the generated images because it is",ambiguous.,"According to the paper ""Controlling Text-to-Image Diffusion by Orthogonal Finetuning"", the authors explain that text guidance in recent text-to-image diffusion models may be insufficient for fine-grained and accurate control of the generated images because it is ambiguous.","Despite strong results, text guidance can still be ambiguous and insufficient to provide fine-grained and accurate control to the generated images.",Introduction
22,23,keep_rejected,too_generic_target|weak_distractor_space,"Unsuitable because it is effectively tautological and too generic: the probe already says the method 'adds' something, and the target 'a small component' is a trivially short descriptive phrase with weak potential for five meaningful distractors (criteria 1 and 3).",Target remains too generic or low-information for restoration.,"According to the paper ""Controlling Text-to-Image Diffusion by Orthogonal Finetuning"", in the discussion of typical finetuning methods for text-to-image diffusion models, the approach that uses re-parameterized neuron weights adds",a small component.,"According to the paper ""Controlling Text-to-Image Diffusion by Orthogonal Finetuning"", in the discussion of typical finetuning methods for text-to-image diffusion models, the approach that uses re-parameterized neuron weights adds a small component.","To this end, finetuning is typically done either by updating the neuron weights by a small learning rate (\emph{e.g.}, \cite{ruiz2023dreambooth}) or by adding a small component with re-parameterized neuron weights (\emph{e.g.}, \cite{hulora2022,zhang2023adding}).",Introduction
25,26,keep_rejected,unsupported_or_unclear,"It is incorrectly formulated and too underspecified: the source fact says the key difficulty is the lack of a measure for quantifying preservation of pretrained generative ability, whereas the target 'the lack of a measure' is too generic to support meaningful 5-way distractors (criteria 3 and 5).","Question or target is malformed, incomplete, ambiguous, or not source-faithful enough to restore.","In the paper ""Controlling Text-to-Image Diffusion by Orthogonal Finetuning"", the key difficulty the authors identify in designing a finetuning strategy for preserving pretrained generative ability is",the lack of a measure.,"In the paper ""Controlling Text-to-Image Diffusion by Orthogonal Finetuning"", the key difficulty the authors identify in designing a finetuning strategy for preserving pretrained generative ability is the lack of a measure.",A key difficulty is the lack of a measure for quantifying the preservation of pretrained generative ability.,Introduction
34,35,keep_rejected,unsupported_or_unclear,"It fails criterion 5 because the probe is incorrectly formulated: the source fact says a good finetuned model should have a minimal difference in hyperspherical energy compared to the pretrained model, whereas the target 'a minimal difference' is incomplete and too underspecified to support meaningful distractors.","Question or target is malformed, incomplete, ambiguous, or not source-faithful enough to restore.","According to the paper ""Controlling Text-to-Image Diffusion by Orthogonal Finetuning"", a good finetuned model should have",a minimal difference.,"According to the paper ""Controlling Text-to-Image Diffusion by Orthogonal Finetuning"", a good finetuned model should have a minimal difference.",We hypothesize that a good finetuned model should have a minimal difference in hyperspherical energy compared to the pretrained model.,Introduction
36,37,keep_rejected,too_generic_target|weak_distractor_space,"It fails criterion 3 because the target, 'a regularizer,' is a trivially short and generic phrase that lacks enough conceptual specificity to support five meaningful, discriminative answer choices.",Target remains too generic or low-information for restoration.,"According to the paper ""Controlling Text-to-Image Diffusion by Orthogonal Finetuning"", the naive approach to keeping hyperspherical energy the same during finetuning adds",a regularizer,"According to the paper ""Controlling Text-to-Image Diffusion by Orthogonal Finetuning"", the naive approach to keeping hyperspherical energy the same during finetuning adds a regularizer","A naive way is to add a regularizer such that the hyperspherical energy remains the same during the finetuning stage, but there is no guarantee that the hyperspherical energy difference can be well minimized.",Introduction
53,54,keep_rejected,near_binary_answer_space,"It fails criterion 3 because the target, ""neural networks,"" is a very short, generic phrase with little conceptual specificity, making it hard to create five meaningful distractors.",Answer space is too narrow for robust five-option MCQA.,"According to the paper ""Controlling Text-to-Image Diffusion by Orthogonal Finetuning"", the authors hypothesize that angles between pairs of neurons are crucial for representing the knowledge of",neural networks.,"According to the paper ""Controlling Text-to-Image Diffusion by Orthogonal Finetuning"", the authors hypothesize that angles between pairs of neurons are crucial for representing the knowledge of neural networks.","To constrain the degree of freedom, we propose to preserve the angle between any pair of neurons, largely based on the hypothesis that the angles between neurons are crucial for representing the knowledge of neural networks.",Introduction
