section,subsection,section_text,subsection_text,raw_knowledge_statement,target,fact,contextualized_question,valid_fact,probe
Title/Abstract,No Subsection,"\title{Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning}

\begin{abstract}
Large Language Models (LLMs), with their remarkable ability to tackle challenging and unseen reasoning problems, hold immense potential for tabular learning, that is vital for many real-world applications. In this paper, we propose a novel in-context learning framework, \textsf{FeatLLM}, which employs LLMs as feature engineers to produce an input data set that is optimally suited for tabular predictions. The generated features are used to infer class likelihood with a simple downstream machine learning model, such as linear regression and yields high performance few-shot learning. The proposed \textsf{FeatLLM} framework only uses this simple predictive model with the discovered features at inference time. Compared to existing LLM-based approaches, \textsf{FeatLLM} eliminates the need to send queries to the LLM for each sample at inference time. Moreover, it merely requires API-level access to LLMs, and overcomes prompt size limitations. As demonstrated across numerous tabular datasets from a wide range of domains, \textsf{FeatLLM} generates high-quality rules, significantly (10\% on average) outperforming alternatives such as TabLLM and STUNT.
\end{abstract}

","\title{Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning}

\begin{abstract}
Large Language Models (LLMs), with their remarkable ability to tackle challenging and unseen reasoning problems, hold immense potential for tabular learning, that is vital for many real-world applications. In this paper, we propose a novel in-context learning framework, \textsf{FeatLLM}, which employs LLMs as feature engineers to produce an input data set that is optimally suited for tabular predictions. The generated features are used to infer class likelihood with a simple downstream machine learning model, such as linear regression and yields high performance few-shot learning. The proposed \textsf{FeatLLM} framework only uses this simple predictive model with the discovered features at inference time. Compared to existing LLM-based approaches, \textsf{FeatLLM} eliminates the need to send queries to the LLM for each sample at inference time. Moreover, it merely requires API-level access to LLMs, and overcomes prompt size limitations. As demonstrated across numerous tabular datasets from a wide range of domains, \textsf{FeatLLM} generates high-quality rules, significantly (10\% on average) outperforming alternatives such as TabLLM and STUNT.
\end{abstract}

","Large Language Models (LLMs), with their remarkable ability to tackle challenging and unseen reasoning problems, hold immense potential for tabular learning, that is vital for many real-world applications.", challenging and unseen reasoning problems.,"According to the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", Large Language Models (LLMs) are described as having a remarkable ability to tackle challenging and unseen reasoning problems.","**Question:** According to the paper **""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning""**, what kind of problems are Large Language Models (LLMs) described as having a remarkable ability to tackle?

**Answer:** challenging and unseen reasoning problems",True,"According to the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", Large Language Models (LLMs) are described as having a remarkable ability to tackle"
Title/Abstract,No Subsection,"\title{Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning}

\begin{abstract}
Large Language Models (LLMs), with their remarkable ability to tackle challenging and unseen reasoning problems, hold immense potential for tabular learning, that is vital for many real-world applications. In this paper, we propose a novel in-context learning framework, \textsf{FeatLLM}, which employs LLMs as feature engineers to produce an input data set that is optimally suited for tabular predictions. The generated features are used to infer class likelihood with a simple downstream machine learning model, such as linear regression and yields high performance few-shot learning. The proposed \textsf{FeatLLM} framework only uses this simple predictive model with the discovered features at inference time. Compared to existing LLM-based approaches, \textsf{FeatLLM} eliminates the need to send queries to the LLM for each sample at inference time. Moreover, it merely requires API-level access to LLMs, and overcomes prompt size limitations. As demonstrated across numerous tabular datasets from a wide range of domains, \textsf{FeatLLM} generates high-quality rules, significantly (10\% on average) outperforming alternatives such as TabLLM and STUNT.
\end{abstract}

","\title{Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning}

\begin{abstract}
Large Language Models (LLMs), with their remarkable ability to tackle challenging and unseen reasoning problems, hold immense potential for tabular learning, that is vital for many real-world applications. In this paper, we propose a novel in-context learning framework, \textsf{FeatLLM}, which employs LLMs as feature engineers to produce an input data set that is optimally suited for tabular predictions. The generated features are used to infer class likelihood with a simple downstream machine learning model, such as linear regression and yields high performance few-shot learning. The proposed \textsf{FeatLLM} framework only uses this simple predictive model with the discovered features at inference time. Compared to existing LLM-based approaches, \textsf{FeatLLM} eliminates the need to send queries to the LLM for each sample at inference time. Moreover, it merely requires API-level access to LLMs, and overcomes prompt size limitations. As demonstrated across numerous tabular datasets from a wide range of domains, \textsf{FeatLLM} generates high-quality rules, significantly (10\% on average) outperforming alternatives such as TabLLM and STUNT.
\end{abstract}

","The generated features are used to infer class likelihood with a simple downstream machine learning model, such as linear regression and yields high performance few-shot learning.", class likelihood.,"According to the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", the generated features help infer, with a simple downstream machine learning model such as linear regression in the proposed \textsf{FeatLLM} framework, class likelihood.","**Question:** According to the paper **""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning""**, what do the generated features help infer with a simple downstream machine learning model, such as linear regression, in the proposed \textsf{FeatLLM} framework?

**Answer:** class likelihood",True,"According to the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", the generated features help infer, with a simple downstream machine learning model such as linear regression in the proposed \textsf{FeatLLM} framework,"
Title/Abstract,No Subsection,"\title{Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning}

\begin{abstract}
Large Language Models (LLMs), with their remarkable ability to tackle challenging and unseen reasoning problems, hold immense potential for tabular learning, that is vital for many real-world applications. In this paper, we propose a novel in-context learning framework, \textsf{FeatLLM}, which employs LLMs as feature engineers to produce an input data set that is optimally suited for tabular predictions. The generated features are used to infer class likelihood with a simple downstream machine learning model, such as linear regression and yields high performance few-shot learning. The proposed \textsf{FeatLLM} framework only uses this simple predictive model with the discovered features at inference time. Compared to existing LLM-based approaches, \textsf{FeatLLM} eliminates the need to send queries to the LLM for each sample at inference time. Moreover, it merely requires API-level access to LLMs, and overcomes prompt size limitations. As demonstrated across numerous tabular datasets from a wide range of domains, \textsf{FeatLLM} generates high-quality rules, significantly (10\% on average) outperforming alternatives such as TabLLM and STUNT.
\end{abstract}

","\title{Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning}

\begin{abstract}
Large Language Models (LLMs), with their remarkable ability to tackle challenging and unseen reasoning problems, hold immense potential for tabular learning, that is vital for many real-world applications. In this paper, we propose a novel in-context learning framework, \textsf{FeatLLM}, which employs LLMs as feature engineers to produce an input data set that is optimally suited for tabular predictions. The generated features are used to infer class likelihood with a simple downstream machine learning model, such as linear regression and yields high performance few-shot learning. The proposed \textsf{FeatLLM} framework only uses this simple predictive model with the discovered features at inference time. Compared to existing LLM-based approaches, \textsf{FeatLLM} eliminates the need to send queries to the LLM for each sample at inference time. Moreover, it merely requires API-level access to LLMs, and overcomes prompt size limitations. As demonstrated across numerous tabular datasets from a wide range of domains, \textsf{FeatLLM} generates high-quality rules, significantly (10\% on average) outperforming alternatives such as TabLLM and STUNT.
\end{abstract}

","The generated features are used to infer class likelihood with a simple downstream machine learning model, such as linear regression and yields high performance few-shot learning.", linear regression.,"According to the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", the simple downstream machine learning model given as an example for inferring class likelihood from the generated features is linear regression.","**Question:** According to the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", which simple downstream machine learning model is given as an example for inferring class likelihood from the generated features?

**Answer:** linear regression",True,"According to the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", the simple downstream machine learning model given as an example for inferring class likelihood from the generated features is"
Title/Abstract,No Subsection,"\title{Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning}

\begin{abstract}
Large Language Models (LLMs), with their remarkable ability to tackle challenging and unseen reasoning problems, hold immense potential for tabular learning, that is vital for many real-world applications. In this paper, we propose a novel in-context learning framework, \textsf{FeatLLM}, which employs LLMs as feature engineers to produce an input data set that is optimally suited for tabular predictions. The generated features are used to infer class likelihood with a simple downstream machine learning model, such as linear regression and yields high performance few-shot learning. The proposed \textsf{FeatLLM} framework only uses this simple predictive model with the discovered features at inference time. Compared to existing LLM-based approaches, \textsf{FeatLLM} eliminates the need to send queries to the LLM for each sample at inference time. Moreover, it merely requires API-level access to LLMs, and overcomes prompt size limitations. As demonstrated across numerous tabular datasets from a wide range of domains, \textsf{FeatLLM} generates high-quality rules, significantly (10\% on average) outperforming alternatives such as TabLLM and STUNT.
\end{abstract}

","\title{Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning}

\begin{abstract}
Large Language Models (LLMs), with their remarkable ability to tackle challenging and unseen reasoning problems, hold immense potential for tabular learning, that is vital for many real-world applications. In this paper, we propose a novel in-context learning framework, \textsf{FeatLLM}, which employs LLMs as feature engineers to produce an input data set that is optimally suited for tabular predictions. The generated features are used to infer class likelihood with a simple downstream machine learning model, such as linear regression and yields high performance few-shot learning. The proposed \textsf{FeatLLM} framework only uses this simple predictive model with the discovered features at inference time. Compared to existing LLM-based approaches, \textsf{FeatLLM} eliminates the need to send queries to the LLM for each sample at inference time. Moreover, it merely requires API-level access to LLMs, and overcomes prompt size limitations. As demonstrated across numerous tabular datasets from a wide range of domains, \textsf{FeatLLM} generates high-quality rules, significantly (10\% on average) outperforming alternatives such as TabLLM and STUNT.
\end{abstract}

","The generated features are used to infer class likelihood with a simple downstream machine learning model, such as linear regression and yields high performance few-shot learning.", high performance few-shot learning.,"According to the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", when the generated features are used to infer class likelihood with a simple downstream machine learning model such as linear regression, the result is high performance few-shot learning.","**Question:** According to the paper **""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning""**, what kind of learning is yielded when the generated features are used to infer class likelihood with a simple downstream machine learning model, such as linear regression?

**Answer:** high performance few-shot learning",True,"According to the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", when the generated features are used to infer class likelihood with a simple downstream machine learning model such as linear regression, the result is"
Title/Abstract,No Subsection,"\title{Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning}

\begin{abstract}
Large Language Models (LLMs), with their remarkable ability to tackle challenging and unseen reasoning problems, hold immense potential for tabular learning, that is vital for many real-world applications. In this paper, we propose a novel in-context learning framework, \textsf{FeatLLM}, which employs LLMs as feature engineers to produce an input data set that is optimally suited for tabular predictions. The generated features are used to infer class likelihood with a simple downstream machine learning model, such as linear regression and yields high performance few-shot learning. The proposed \textsf{FeatLLM} framework only uses this simple predictive model with the discovered features at inference time. Compared to existing LLM-based approaches, \textsf{FeatLLM} eliminates the need to send queries to the LLM for each sample at inference time. Moreover, it merely requires API-level access to LLMs, and overcomes prompt size limitations. As demonstrated across numerous tabular datasets from a wide range of domains, \textsf{FeatLLM} generates high-quality rules, significantly (10\% on average) outperforming alternatives such as TabLLM and STUNT.
\end{abstract}

","\title{Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning}

\begin{abstract}
Large Language Models (LLMs), with their remarkable ability to tackle challenging and unseen reasoning problems, hold immense potential for tabular learning, that is vital for many real-world applications. In this paper, we propose a novel in-context learning framework, \textsf{FeatLLM}, which employs LLMs as feature engineers to produce an input data set that is optimally suited for tabular predictions. The generated features are used to infer class likelihood with a simple downstream machine learning model, such as linear regression and yields high performance few-shot learning. The proposed \textsf{FeatLLM} framework only uses this simple predictive model with the discovered features at inference time. Compared to existing LLM-based approaches, \textsf{FeatLLM} eliminates the need to send queries to the LLM for each sample at inference time. Moreover, it merely requires API-level access to LLMs, and overcomes prompt size limitations. As demonstrated across numerous tabular datasets from a wide range of domains, \textsf{FeatLLM} generates high-quality rules, significantly (10\% on average) outperforming alternatives such as TabLLM and STUNT.
\end{abstract}

",The proposed \textsf{FeatLLM} framework only uses this simple predictive model with the discovered features at inference time., this simple predictive model with the discovered features.,"According to the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", at inference time, after the features have been discovered, the proposed `\textsf{FeatLLM}` framework uses this simple predictive model with the discovered features.","**Question:** In the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", what does the proposed `\textsf{FeatLLM}` framework use at inference time after the features have been discovered?

**Answer:** this simple predictive model with the discovered features",True,"According to the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", at inference time, after the features have been discovered, the proposed `\textsf{FeatLLM}` framework uses"
Title/Abstract,No Subsection,"\title{Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning}

\begin{abstract}
Large Language Models (LLMs), with their remarkable ability to tackle challenging and unseen reasoning problems, hold immense potential for tabular learning, that is vital for many real-world applications. In this paper, we propose a novel in-context learning framework, \textsf{FeatLLM}, which employs LLMs as feature engineers to produce an input data set that is optimally suited for tabular predictions. The generated features are used to infer class likelihood with a simple downstream machine learning model, such as linear regression and yields high performance few-shot learning. The proposed \textsf{FeatLLM} framework only uses this simple predictive model with the discovered features at inference time. Compared to existing LLM-based approaches, \textsf{FeatLLM} eliminates the need to send queries to the LLM for each sample at inference time. Moreover, it merely requires API-level access to LLMs, and overcomes prompt size limitations. As demonstrated across numerous tabular datasets from a wide range of domains, \textsf{FeatLLM} generates high-quality rules, significantly (10\% on average) outperforming alternatives such as TabLLM and STUNT.
\end{abstract}

","\title{Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning}

\begin{abstract}
Large Language Models (LLMs), with their remarkable ability to tackle challenging and unseen reasoning problems, hold immense potential for tabular learning, that is vital for many real-world applications. In this paper, we propose a novel in-context learning framework, \textsf{FeatLLM}, which employs LLMs as feature engineers to produce an input data set that is optimally suited for tabular predictions. The generated features are used to infer class likelihood with a simple downstream machine learning model, such as linear regression and yields high performance few-shot learning. The proposed \textsf{FeatLLM} framework only uses this simple predictive model with the discovered features at inference time. Compared to existing LLM-based approaches, \textsf{FeatLLM} eliminates the need to send queries to the LLM for each sample at inference time. Moreover, it merely requires API-level access to LLMs, and overcomes prompt size limitations. As demonstrated across numerous tabular datasets from a wide range of domains, \textsf{FeatLLM} generates high-quality rules, significantly (10\% on average) outperforming alternatives such as TabLLM and STUNT.
\end{abstract}

",The proposed \textsf{FeatLLM} framework only uses this simple predictive model with the discovered features at inference time.,a simple predictive model with the discovered features.,"According to the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", at inference time, the proposed FeatLLM framework uses a simple predictive model with the discovered features.","**Question:** According to the paper **""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning""**, at what stage does the proposed $\textsf{FeatLLM}$ framework use the simple predictive model with the discovered features?

**Answer:** at inference time",True,"According to the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", at inference time, the proposed FeatLLM framework uses"
Title/Abstract,No Subsection,"\title{Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning}

\begin{abstract}
Large Language Models (LLMs), with their remarkable ability to tackle challenging and unseen reasoning problems, hold immense potential for tabular learning, that is vital for many real-world applications. In this paper, we propose a novel in-context learning framework, \textsf{FeatLLM}, which employs LLMs as feature engineers to produce an input data set that is optimally suited for tabular predictions. The generated features are used to infer class likelihood with a simple downstream machine learning model, such as linear regression and yields high performance few-shot learning. The proposed \textsf{FeatLLM} framework only uses this simple predictive model with the discovered features at inference time. Compared to existing LLM-based approaches, \textsf{FeatLLM} eliminates the need to send queries to the LLM for each sample at inference time. Moreover, it merely requires API-level access to LLMs, and overcomes prompt size limitations. As demonstrated across numerous tabular datasets from a wide range of domains, \textsf{FeatLLM} generates high-quality rules, significantly (10\% on average) outperforming alternatives such as TabLLM and STUNT.
\end{abstract}

","\title{Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning}

\begin{abstract}
Large Language Models (LLMs), with their remarkable ability to tackle challenging and unseen reasoning problems, hold immense potential for tabular learning, that is vital for many real-world applications. In this paper, we propose a novel in-context learning framework, \textsf{FeatLLM}, which employs LLMs as feature engineers to produce an input data set that is optimally suited for tabular predictions. The generated features are used to infer class likelihood with a simple downstream machine learning model, such as linear regression and yields high performance few-shot learning. The proposed \textsf{FeatLLM} framework only uses this simple predictive model with the discovered features at inference time. Compared to existing LLM-based approaches, \textsf{FeatLLM} eliminates the need to send queries to the LLM for each sample at inference time. Moreover, it merely requires API-level access to LLMs, and overcomes prompt size limitations. As demonstrated across numerous tabular datasets from a wide range of domains, \textsf{FeatLLM} generates high-quality rules, significantly (10\% on average) outperforming alternatives such as TabLLM and STUNT.
\end{abstract}

","Compared to existing LLM-based approaches, \textsf{FeatLLM} eliminates the need to send queries to the LLM for each sample at inference time.", send queries to the LLM,"According to the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", compared to existing LLM-based approaches, \textsf{FeatLLM} eliminates the need to do the following for each sample at inference time: send queries to the LLM","**Question:** According to the paper **""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning""**, compared to existing LLM-based approaches, what does \textsf{FeatLLM} eliminate the need to do for each sample at inference time?

**Answer:** send queries to the LLM",True,"According to the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", compared to existing LLM-based approaches, \textsf{FeatLLM} eliminates the need to do the following for each sample at inference time:"
Title/Abstract,No Subsection,"\title{Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning}

\begin{abstract}
Large Language Models (LLMs), with their remarkable ability to tackle challenging and unseen reasoning problems, hold immense potential for tabular learning, that is vital for many real-world applications. In this paper, we propose a novel in-context learning framework, \textsf{FeatLLM}, which employs LLMs as feature engineers to produce an input data set that is optimally suited for tabular predictions. The generated features are used to infer class likelihood with a simple downstream machine learning model, such as linear regression and yields high performance few-shot learning. The proposed \textsf{FeatLLM} framework only uses this simple predictive model with the discovered features at inference time. Compared to existing LLM-based approaches, \textsf{FeatLLM} eliminates the need to send queries to the LLM for each sample at inference time. Moreover, it merely requires API-level access to LLMs, and overcomes prompt size limitations. As demonstrated across numerous tabular datasets from a wide range of domains, \textsf{FeatLLM} generates high-quality rules, significantly (10\% on average) outperforming alternatives such as TabLLM and STUNT.
\end{abstract}

","\title{Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning}

\begin{abstract}
Large Language Models (LLMs), with their remarkable ability to tackle challenging and unseen reasoning problems, hold immense potential for tabular learning, that is vital for many real-world applications. In this paper, we propose a novel in-context learning framework, \textsf{FeatLLM}, which employs LLMs as feature engineers to produce an input data set that is optimally suited for tabular predictions. The generated features are used to infer class likelihood with a simple downstream machine learning model, such as linear regression and yields high performance few-shot learning. The proposed \textsf{FeatLLM} framework only uses this simple predictive model with the discovered features at inference time. Compared to existing LLM-based approaches, \textsf{FeatLLM} eliminates the need to send queries to the LLM for each sample at inference time. Moreover, it merely requires API-level access to LLMs, and overcomes prompt size limitations. As demonstrated across numerous tabular datasets from a wide range of domains, \textsf{FeatLLM} generates high-quality rules, significantly (10\% on average) outperforming alternatives such as TabLLM and STUNT.
\end{abstract}

","Compared to existing LLM-based approaches, \textsf{FeatLLM} eliminates the need to send queries to the LLM for each sample at inference time.", inference time.,"According to the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", \textsf{FeatLLM} eliminates the need to send queries to the LLM for each sample at inference time.","**Question:** According to the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", at what stage does \textsf{FeatLLM} eliminate the need to send queries to the LLM for each sample?

**Answer:** inference time",True,"According to the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", \textsf{FeatLLM} eliminates the need to send queries to the LLM for each sample at"
Title/Abstract,No Subsection,"\title{Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning}

\begin{abstract}
Large Language Models (LLMs), with their remarkable ability to tackle challenging and unseen reasoning problems, hold immense potential for tabular learning, that is vital for many real-world applications. In this paper, we propose a novel in-context learning framework, \textsf{FeatLLM}, which employs LLMs as feature engineers to produce an input data set that is optimally suited for tabular predictions. The generated features are used to infer class likelihood with a simple downstream machine learning model, such as linear regression and yields high performance few-shot learning. The proposed \textsf{FeatLLM} framework only uses this simple predictive model with the discovered features at inference time. Compared to existing LLM-based approaches, \textsf{FeatLLM} eliminates the need to send queries to the LLM for each sample at inference time. Moreover, it merely requires API-level access to LLMs, and overcomes prompt size limitations. As demonstrated across numerous tabular datasets from a wide range of domains, \textsf{FeatLLM} generates high-quality rules, significantly (10\% on average) outperforming alternatives such as TabLLM and STUNT.
\end{abstract}

","\title{Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning}

\begin{abstract}
Large Language Models (LLMs), with their remarkable ability to tackle challenging and unseen reasoning problems, hold immense potential for tabular learning, that is vital for many real-world applications. In this paper, we propose a novel in-context learning framework, \textsf{FeatLLM}, which employs LLMs as feature engineers to produce an input data set that is optimally suited for tabular predictions. The generated features are used to infer class likelihood with a simple downstream machine learning model, such as linear regression and yields high performance few-shot learning. The proposed \textsf{FeatLLM} framework only uses this simple predictive model with the discovered features at inference time. Compared to existing LLM-based approaches, \textsf{FeatLLM} eliminates the need to send queries to the LLM for each sample at inference time. Moreover, it merely requires API-level access to LLMs, and overcomes prompt size limitations. As demonstrated across numerous tabular datasets from a wide range of domains, \textsf{FeatLLM} generates high-quality rules, significantly (10\% on average) outperforming alternatives such as TabLLM and STUNT.
\end{abstract}

","Moreover, it merely requires API-level access to LLMs, and overcomes prompt size limitations.", API-level access.,"According to the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", the proposed \textsf{FeatLLM} framework merely requires API-level access.","**Question:** According to the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", what kind of access to LLMs does the proposed \textsf{FeatLLM} framework merely require?

**Answer:** API-level access",True,"According to the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", the proposed \textsf{FeatLLM} framework merely requires"
Title/Abstract,No Subsection,"\title{Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning}

\begin{abstract}
Large Language Models (LLMs), with their remarkable ability to tackle challenging and unseen reasoning problems, hold immense potential for tabular learning, that is vital for many real-world applications. In this paper, we propose a novel in-context learning framework, \textsf{FeatLLM}, which employs LLMs as feature engineers to produce an input data set that is optimally suited for tabular predictions. The generated features are used to infer class likelihood with a simple downstream machine learning model, such as linear regression and yields high performance few-shot learning. The proposed \textsf{FeatLLM} framework only uses this simple predictive model with the discovered features at inference time. Compared to existing LLM-based approaches, \textsf{FeatLLM} eliminates the need to send queries to the LLM for each sample at inference time. Moreover, it merely requires API-level access to LLMs, and overcomes prompt size limitations. As demonstrated across numerous tabular datasets from a wide range of domains, \textsf{FeatLLM} generates high-quality rules, significantly (10\% on average) outperforming alternatives such as TabLLM and STUNT.
\end{abstract}

","\title{Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning}

\begin{abstract}
Large Language Models (LLMs), with their remarkable ability to tackle challenging and unseen reasoning problems, hold immense potential for tabular learning, that is vital for many real-world applications. In this paper, we propose a novel in-context learning framework, \textsf{FeatLLM}, which employs LLMs as feature engineers to produce an input data set that is optimally suited for tabular predictions. The generated features are used to infer class likelihood with a simple downstream machine learning model, such as linear regression and yields high performance few-shot learning. The proposed \textsf{FeatLLM} framework only uses this simple predictive model with the discovered features at inference time. Compared to existing LLM-based approaches, \textsf{FeatLLM} eliminates the need to send queries to the LLM for each sample at inference time. Moreover, it merely requires API-level access to LLMs, and overcomes prompt size limitations. As demonstrated across numerous tabular datasets from a wide range of domains, \textsf{FeatLLM} generates high-quality rules, significantly (10\% on average) outperforming alternatives such as TabLLM and STUNT.
\end{abstract}

","Moreover, it merely requires API-level access to LLMs, and overcomes prompt size limitations.", prompt size limitations.,"In the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", the proposed \textsf{FeatLLM} framework overcomes prompt size limitations.","**Question:** According to the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", what limitation does the proposed \textsf{FeatLLM} framework overcome?

**Answer:** prompt size limitations",True,"In the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", the proposed \textsf{FeatLLM} framework overcomes"
