row_1based,decision,issue_type,reason,old_target,new_target,old_probe,new_probe,old_fact,new_fact
1,keep,,"Source-framed, answerable, source-backed, and retained after target-source validation.", excellent maternal and neonatal outcome., excellent maternal and neonatal outcome.,"In the case report ""Management of atypical complicated abdominal masses in the second trimester of pregnancy"", after the pregnant patient was followed regularly after laparotomy and later underwent an elective caesarean delivery, the reported outcome after the delivery was","In the case report ""Management of atypical complicated abdominal masses in the second trimester of pregnancy"", after the pregnant patient was followed regularly after laparotomy and later underwent an elective caesarean delivery, the reported outcome after the delivery was","In the case report ""Management of atypical complicated abdominal masses in the second trimester of pregnancy"", after the pregnant patient was followed regularly after laparotomy and later underwent an elective caesarean delivery, the reported outcome after the delivery was excellent maternal and neonatal outcome.","In the case report ""Management of atypical complicated abdominal masses in the second trimester of pregnancy"", after the pregnant patient was followed regularly after laparotomy and later underwent an elective caesarean delivery, the reported outcome after the delivery was excellent maternal and neonatal outcome."
2,keep,,"Source-framed, answerable, source-backed, and retained after target-source validation.", non-contrast MRI., non-contrast MRI.,"According to the case report ""Management of atypical complicated abdominal masses in the second trimester of pregnancy"", when evaluating large symptomatic masses during pregnancy, the safe imaging modality mentioned as being used alongside ultrasound for comprehensive assessment was","According to the case report ""Management of atypical complicated abdominal masses in the second trimester of pregnancy"", when evaluating large symptomatic masses during pregnancy, the safe imaging modality mentioned as being used alongside ultrasound for comprehensive assessment was","According to the case report ""Management of atypical complicated abdominal masses in the second trimester of pregnancy"", when evaluating large symptomatic masses during pregnancy, the safe imaging modality mentioned as being used alongside ultrasound for comprehensive assessment was non-contrast MRI.","According to the case report ""Management of atypical complicated abdominal masses in the second trimester of pregnancy"", when evaluating large symptomatic masses during pregnancy, the safe imaging modality mentioned as being used alongside ultrasound for comprehensive assessment was non-contrast MRI."
3,keep,,"Source-framed, answerable, source-backed, and retained after target-source validation.", overtreatment., overtreatment.,"In the case report ""Management of atypical complicated abdominal masses in the second trimester of pregnancy"", the authors note that surgical management during pregnancy should be considered only when there is oncological suspicion or clinical complications, and in that context, while aiming to preserve the pregnancy, one should always avoid","In the case report ""Management of atypical complicated abdominal masses in the second trimester of pregnancy"", the authors note that surgical management during pregnancy should be considered only when there is oncological suspicion or clinical complications, and in that context, while aiming to preserve the pregnancy, one should always avoid","In the case report ""Management of atypical complicated abdominal masses in the second trimester of pregnancy"", the authors note that surgical management during pregnancy should be considered only when there is oncological suspicion or clinical complications, and in that context, while aiming to preserve the pregnancy, one should always avoid overtreatment.","In the case report ""Management of atypical complicated abdominal masses in the second trimester of pregnancy"", the authors note that surgical management during pregnancy should be considered only when there is oncological suspicion or clinical complications, and in that context, while aiming to preserve the pregnancy, one should always avoid overtreatment."
4,keep,,"Source-framed, answerable, source-backed, and retained after target-source validation."," the size, number and anatomical location of uterine masses."," the size, number and anatomical location of uterine masses.","According to the case report ""Management of atypical complicated abdominal masses in the second trimester of pregnancy"", when uterine masses are present during pregnancy, the mode of delivery should depend on the following factors:","According to the case report ""Management of atypical complicated abdominal masses in the second trimester of pregnancy"", when uterine masses are present during pregnancy, the mode of delivery should depend on the following factors:","According to the case report ""Management of atypical complicated abdominal masses in the second trimester of pregnancy"", when uterine masses are present during pregnancy, the mode of delivery should depend on the following factors: the size, number and anatomical location of uterine masses.","According to the case report ""Management of atypical complicated abdominal masses in the second trimester of pregnancy"", when uterine masses are present during pregnancy, the mode of delivery should depend on the following factors: the size, number and anatomical location of uterine masses."
5,keep,,"Source-framed, answerable, source-backed, and retained after target-source validation.", significant clinical challenges., significant clinical challenges.,"According to the case report ""Management of atypical complicated abdominal masses in the second trimester of pregnancy"", the diagnosis and management of atypical or symptomatic abdominal masses during pregnancy are described as","According to the case report ""Management of atypical complicated abdominal masses in the second trimester of pregnancy"", the diagnosis and management of atypical or symptomatic abdominal masses during pregnancy are described as","According to the case report ""Management of atypical complicated abdominal masses in the second trimester of pregnancy"", the diagnosis and management of atypical or symptomatic abdominal masses during pregnancy are described as significant clinical challenges.","According to the case report ""Management of atypical complicated abdominal masses in the second trimester of pregnancy"", the diagnosis and management of atypical or symptomatic abdominal masses during pregnancy are described as significant clinical challenges."
6,keep,,"Source-framed, answerable, source-backed, and retained after target-source validation.", non-contrast MRI., non-contrast MRI.,"According to the case report ""Management of atypical complicated abdominal masses in the second trimester of pregnancy"", the authors note that diagnostic options for atypical or symptomatic abdominal masses during pregnancy are limited to clinical examination, ultrasound with colour Doppler, and","According to the case report ""Management of atypical complicated abdominal masses in the second trimester of pregnancy"", the authors note that diagnostic options for atypical or symptomatic abdominal masses during pregnancy are limited to clinical examination, ultrasound with colour Doppler, and","According to the case report ""Management of atypical complicated abdominal masses in the second trimester of pregnancy"", the authors note that diagnostic options for atypical or symptomatic abdominal masses during pregnancy are limited to clinical examination, ultrasound with colour Doppler, and non-contrast MRI.","According to the case report ""Management of atypical complicated abdominal masses in the second trimester of pregnancy"", the authors note that diagnostic options for atypical or symptomatic abdominal masses during pregnancy are limited to clinical examination, ultrasound with colour Doppler, and non-contrast MRI."
7,keep,,"Source-framed, answerable, source-backed, and retained after target-source validation.", MRI., MRI.,"According to the case report ""Management of atypical complicated abdominal masses in the second trimester of pregnancy"", the imaging modality described as offering superior diagnostic accuracy for multiple, large, intramural, or posterior leiomyomas and as being able to precisely determine the distance between the myoma and the uterine cavity was","According to the case report ""Management of atypical complicated abdominal masses in the second trimester of pregnancy"", the imaging modality described as offering superior diagnostic accuracy for multiple, large, intramural, or posterior leiomyomas and as being able to precisely determine the distance between the myoma and the uterine cavity was","According to the case report ""Management of atypical complicated abdominal masses in the second trimester of pregnancy"", the imaging modality described as offering superior diagnostic accuracy for multiple, large, intramural, or posterior leiomyomas and as being able to precisely determine the distance between the myoma and the uterine cavity was MRI.","According to the case report ""Management of atypical complicated abdominal masses in the second trimester of pregnancy"", the imaging modality described as offering superior diagnostic accuracy for multiple, large, intramural, or posterior leiomyomas and as being able to precisely determine the distance between the myoma and the uterine cavity was MRI."
8,keep,,"Source-framed, answerable, source-backed, and retained after target-source validation.", the distance between the myoma and the uterine cavity., the distance between the myoma and the uterine cavity.,"According to the case report ""Management of atypical complicated abdominal masses in the second trimester of pregnancy"", MRI was described as especially useful for multiple, large, intramural or posterior leiomyomas because it can precisely determine","According to the case report ""Management of atypical complicated abdominal masses in the second trimester of pregnancy"", MRI was described as especially useful for multiple, large, intramural or posterior leiomyomas because it can precisely determine","According to the case report ""Management of atypical complicated abdominal masses in the second trimester of pregnancy"", MRI was described as especially useful for multiple, large, intramural or posterior leiomyomas because it can precisely determine the distance between the myoma and the uterine cavity.","According to the case report ""Management of atypical complicated abdominal masses in the second trimester of pregnancy"", MRI was described as especially useful for multiple, large, intramural or posterior leiomyomas because it can precisely determine the distance between the myoma and the uterine cavity."
9,keep,,"Source-framed, answerable, source-backed, and retained after target-source validation.", the first trimester., the first trimester.,"According to the case report ""Management of atypical complicated abdominal masses in the second trimester of pregnancy"", the authors note that serum CA-125 levels can show a physiological change during pregnancy before returning to normal later, and they physiologically rise during","According to the case report ""Management of atypical complicated abdominal masses in the second trimester of pregnancy"", the authors note that serum CA-125 levels can show a physiological change during pregnancy before returning to normal later, and they physiologically rise during","According to the case report ""Management of atypical complicated abdominal masses in the second trimester of pregnancy"", the authors note that serum CA-125 levels can show a physiological change during pregnancy before returning to normal later, and they physiologically rise during the first trimester.","According to the case report ""Management of atypical complicated abdominal masses in the second trimester of pregnancy"", the authors note that serum CA-125 levels can show a physiological change during pregnancy before returning to normal later, and they physiologically rise during the first trimester."
10,keep,,"Source-framed, answerable, source-backed, and retained after target-source validation.", subsequently normalise., subsequently normalise.,"According to the case report ""Management of atypical complicated abdominal masses in the second trimester of pregnancy"", CA-125 levels are noted to physiologically rise during the first trimester of pregnancy and","According to the case report ""Management of atypical complicated abdominal masses in the second trimester of pregnancy"", CA-125 levels are noted to physiologically rise during the first trimester of pregnancy and","According to the case report ""Management of atypical complicated abdominal masses in the second trimester of pregnancy"", CA-125 levels are noted to physiologically rise during the first trimester of pregnancy and subsequently normalise.","According to the case report ""Management of atypical complicated abdominal masses in the second trimester of pregnancy"", CA-125 levels are noted to physiologically rise during the first trimester of pregnancy and subsequently normalise."
