bucket,variant,domain,source_row_0based,target,probe,fact,inference_type,source_fact(s),derivation,question,answer,source_facts,text_sentences,original_row_index
passed_filter_no_mcqa,regular,America_First_Legal_Foundation_v_Jamieson_Greer,4.0, a procedural right in vacuo,"According to the opinion 'America First Legal Foundation v. Jamieson Greer', if AFL had alleged only that OSC denied it an investigation under section 1216, without tying that denial to any concrete interest, its alleged injury would amount for standing purposes to","According to the opinion 'America First Legal Foundation v. Jamieson Greer', if AFL had alleged only that OSC denied it an investigation under section 1216, without tying that denial to any concrete interest, its alleged injury would amount for standing purposes to a procedural right in vacuo",Reasoning Step,"['In its supplemental brief, AFL claims that OSC violated its alleged procedural right to an investigation under section 1216.', 'But the “deprivation of a procedural right without some concrete interest that is affected by the deprivation—a procedural right in vacuo—is insufficient” to confer Article III standing.']","If AFL alleged only denial of the investigation itself and no affected concrete interest, its asserted harm would fit the court’s description of an insufficient bare procedural injury.","If AFL had alleged only that OSC denied it an investigation under section 1216, without tying that denial to any concrete interest, what would its alleged injury amount to for standing purposes?",a procedural right in vacuo,"['In its supplemental brief, AFL claims that OSC violated its alleged procedural right to an investigation under section 1216.', 'But the “deprivation of a procedural right without some concrete interest that is affected by the deprivation—a procedural right in vacuo—is insufficient” to confer Article III standing.']","['In its supplemental brief, AFL claims that OSC violated its alleged procedural right to an investigation under section 1216.', 'But the “deprivation of a procedural right without some concrete interest that is affected by the deprivation—a procedural right in vacuo—is insufficient” to confer Article III standing.']",
prefilter_rejected,regular,America_First_Legal_Foundation_v_Jamieson_Greer,15.0, dismiss for lack of subject-matter jurisdiction,"According to the opinion 'America First Legal Foundation v. Jamieson Greer', because standing bears on subject-matter jurisdiction, once standing was absent, the district court’s merits disposition had to be replaced with","According to the opinion 'America First Legal Foundation v. Jamieson Greer', because standing bears on subject-matter jurisdiction, once standing was absent, the district court’s merits disposition had to be replaced with dismiss for lack of subject-matter jurisdiction",Multi-Fact Integration,"['Before reaching the merits, we must consider whether AFL satisfied the requirements for Article III standing, a question bearing on whether the district court had subjectmatter jurisdiction.', 'Because AFL lacks Article III standing, we vacate the district court’s judgment and remand with instructions to dismiss for lack of subject-matter jurisdiction.']","Because standing determines subject-matter jurisdiction, the absence of standing required a jurisdictional dismissal rather than a merits disposition.","Because standing bears on subject-matter jurisdiction, what dismissal had to replace the district court’s merits disposition once standing was absent?",dismiss for lack of subject-matter jurisdiction,"['Before reaching the merits, we must consider whether AFL satisfied the requirements for Article III standing, a question bearing on whether the district court had subjectmatter jurisdiction.', 'Because AFL lacks Article III standing, we vacate the district court’s judgment and remand with instructions to dismiss for lack of subject-matter jurisdiction.']","['Before reaching the merits, we must consider whether AFL satisfied the requirements for Article III standing, a question bearing on whether the district court had subjectmatter jurisdiction.', 'Because AFL lacks Article III standing, we vacate the district court’s judgment and remand with instructions to dismiss for lack of subject-matter jurisdiction.']",
prefilter_rejected,regular,America_First_Legal_Foundation_v_Jamieson_Greer,16.0, procedural or substantive,"According to the opinion 'America First Legal Foundation v. Jamieson Greer', because AFL cannot satisfy even the more relaxed standing requirements for procedural injuries, the court need not decide whether these injuries are","According to the opinion 'America First Legal Foundation v. Jamieson Greer', because AFL cannot satisfy even the more relaxed standing requirements for procedural injuries, the court need not decide whether these injuries are procedural or substantive",Reasoning Step,"['Because AFL cannot satisfy even the more relaxed standing requirements for procedural injuries, we need not decide whether these injuries are procedural or substantive.']","Once AFL lost even under the more forgiving framework, the court had no need to classify the injuries further.",What classification question became unnecessary once AFL failed even the relaxed procedural-injury standing test?,procedural or substantive,"['Because AFL cannot satisfy even the more relaxed standing requirements for procedural injuries, we need not decide whether these injuries are procedural or substantive.']","['Because AFL cannot satisfy even the more relaxed standing requirements for procedural injuries, we need not decide whether these injuries are procedural or substantive.']",
passed_filter_no_mcqa,regular,Apex_Bank_v_Cc_Serve_Corp,0.0, similar goods and services,"In the opinion 'Apex Bank v. CC Serve Corp.', under the court’s discussion of the sixth factor, non-identical third-party evidence could still matter to proving weakness if it involved","In the opinion 'Apex Bank v. CC Serve Corp.', under the court’s discussion of the sixth factor, non-identical third-party evidence could still matter to proving weakness if it involved similar goods and services",Reasoning Step,"['The Board concluded that there were nine Aspire-formative marks for credit card services, but that only nine uses did not rise to the level of “considerable” or “ubiquitous” use found to demonstrate weakness.', 'We have held that the sixth DuPont factor does not require identical goods—only similar ones.']","Because identical goods are unnecessary under the sixth factor, additional third-party uses on similar services could still be relevant to weakness even if they are not credit card services.",What kind of non-identical third-party evidence did the court say could still matter to proving weakness under the sixth factor?,similar goods and services,"['The Board concluded that there were nine Aspire-formative marks for credit card services, but that only nine uses did not rise to the level of “considerable” or “ubiquitous” use found to demonstrate weakness.', 'We have held that the sixth DuPont factor does not require identical goods—only similar ones.']","['The Board concluded that there were nine Aspire-formative marks for credit card services, but that only nine uses did not rise to the level of “considerable” or “ubiquitous” use found to demonstrate weakness.', 'We have held that the sixth DuPont factor does not require identical goods—only similar ones.']",
passed_filter_no_mcqa,regular,Apex_Bank_v_Cc_Serve_Corp,2.0, services are highly similar,"According to the opinion 'Apex Bank v. CC Serve Corp.', on remand, when the Board reconsiders factors six and one, the service-related premise settled for the Board is that the parties'","According to the opinion 'Apex Bank v. CC Serve Corp.', on remand, when the Board reconsiders factors six and one, the service-related premise settled for the Board is that the parties' services are highly similar",Multi-Fact Integration,"['We affirm the Board’s analysis as to the second DuPont factor because the Board did not err in its legal analysis and substantial evidence supports the Board’s finding that the parties’ services are highly similar.', 'But we vacate the Board’s findings with respect to DuPont factors six and one and remand for the Board to consider the number and nature of similar marks used on similar goods and the appearance, sound, connotation, and commercial impression of the marks in light of its finding that the parties’ services are highly similar.']","Because the remand expressly proceeds in light of an affirmed finding, that service-similarity determination is fixed rather than reopened.",What service-related premise is settled for the Board when it reconsiders factors six and one on remand?,services are highly similar,"['We affirm the Board’s analysis as to the second DuPont factor because the Board did not err in its legal analysis and substantial evidence supports the Board’s finding that the parties’ services are highly similar.', 'But we vacate the Board’s findings with respect to DuPont factors six and one and remand for the Board to consider the number and nature of similar marks used on similar goods and the appearance, sound, connotation, and commercial impression of the marks in light of its finding that the parties’ services are highly similar.']","['We affirm the Board’s analysis as to the second DuPont factor because the Board did not err in its legal analysis and substantial evidence supports the Board’s finding that the parties’ services are highly similar.', 'But we vacate the Board’s findings with respect to DuPont factors six and one and remand for the Board to consider the number and nature of similar marks used on similar goods and the appearance, sound, connotation, and commercial impression of the marks in light of its finding that the parties’ services are highly similar.']",
passed_filter_no_mcqa,regular,Apex_Bank_v_Cc_Serve_Corp,6.0, sixth DuPont factor,"According to the opinion 'Apex Bank v. CC Serve Corp.', reconsideration of which factor could change the commercial-impression analysis under the first DuPont factor was the factor concerning the mark's commercial strength or weakness, the","According to the opinion 'Apex Bank v. CC Serve Corp.', reconsideration of which factor could change the commercial-impression analysis under the first DuPont factor was the factor concerning the mark's commercial strength or weakness, the sixth DuPont factor",Reasoning Step,"['The first DuPont factor considers the “similarity or dissimilarity of the marks in their entireties as to appearance, sound, connotation and commercial impression.”', 'Because commercial impression informs the analysis under the first DuPont factor, we must similarly vacate the Board’s analysis here because reconsideration of the sixth DuPont factor may result in a different determination of the mark’s commercial strength or weakness and affect the overall commercial impression.']",The court linked any change in commercial strength or weakness under factor six to the first factor’s commercial-impression analysis.,Which factor’s reconsideration could change the commercial-impression analysis under the first DuPont factor?,sixth DuPont factor,"['The first DuPont factor considers the “similarity or dissimilarity of the marks in their entireties as to appearance, sound, connotation and commercial impression.”', 'Because commercial impression informs the analysis under the first DuPont factor, we must similarly vacate the Board’s analysis here because reconsideration of the sixth DuPont factor may result in a different determination of the mark’s commercial strength or weakness and affect the overall commercial impression.']","['The first DuPont factor considers the “similarity or dissimilarity of the marks in their entireties as to appearance, sound, connotation and commercial impression.”', 'Because commercial impression informs the analysis under the first DuPont factor, we must similarly vacate the Board’s analysis here because reconsideration of the sixth DuPont factor may result in a different determination of the mark’s commercial strength or weakness and affect the overall commercial impression.']",
passed_filter_no_mcqa,regular,Apex_Bank_v_Cc_Serve_Corp,9.0, a more stringent legal standard,"According to the opinion 'Apex Bank v. CC Serve Corp.', under the sixth DuPont factor, the Board improperly imposed a similarity threshold that amounted to","According to the opinion 'Apex Bank v. CC Serve Corp.', under the sixth DuPont factor, the Board improperly imposed a similarity threshold that amounted to a more stringent legal standard",Synthesized Insight,"['We see no reason to impose a different and more stringent legal standard for similarity under the sixth DuPont factor.', 'The Board focused solely on the marks identified for credit card services and deemed the marks using Aspire for other services to be “essentially irrelevant.” J.A. 47.']","By limiting factor six to credit-card-only marks, the Board effectively used a narrower similarity requirement than the court said the law allows.",What kind of similarity threshold did the Board improperly impose under the sixth DuPont factor?,a more stringent legal standard,"['We see no reason to impose a different and more stringent legal standard for similarity under the sixth DuPont factor.', 'The Board focused solely on the marks identified for credit card services and deemed the marks using Aspire for other services to be “essentially irrelevant.” J.A. 47.']","['We see no reason to impose a different and more stringent legal standard for similarity under the sixth DuPont factor.', 'The Board focused solely on the marks identified for credit card services and deemed the marks using Aspire for other services to be “essentially irrelevant.” J.A. 47.']",
passed_filter_no_mcqa,regular,Apex_Bank_v_Cc_Serve_Corp,13.0, likelihood of confusion,"According to the opinion 'Apex Bank v. CC Serve Corp.', after this disposition, the Board remains free to reassess the ultimate issue using corrected factor analyses, namely","According to the opinion 'Apex Bank v. CC Serve Corp.', after this disposition, the Board remains free to reassess the ultimate issue using corrected factor analyses, namely likelihood of confusion",Synthesized Insight,"['“Likelihood of confusion is a question of law, based on findings of relevant underlying facts, namely findings under the DuPont factors.”', 'But we vacate the Board’s findings with respect to DuPont factors six and one and remand for the Board to consider the number and nature of similar marks used on similar goods and the appearance, sound, connotation, and commercial impression of the marks in light of its finding that the parties’ services are highly similar.']","Because the ultimate legal question depends on the underlying factor findings, vacating two factor findings means the ultimate confusion determination remains to be reassessed.","After this disposition, what ultimate issue remains open for the Board to reassess using corrected factor analyses?",likelihood of confusion,"['“Likelihood of confusion is a question of law, based on findings of relevant underlying facts, namely findings under the DuPont factors.”', 'But we vacate the Board’s findings with respect to DuPont factors six and one and remand for the Board to consider the number and nature of similar marks used on similar goods and the appearance, sound, connotation, and commercial impression of the marks in light of its finding that the parties’ services are highly similar.']","['“Likelihood of confusion is a question of law, based on findings of relevant underlying facts, namely findings under the DuPont factors.”', 'But we vacate the Board’s findings with respect to DuPont factors six and one and remand for the Board to consider the number and nature of similar marks used on similar goods and the appearance, sound, connotation, and commercial impression of the marks in light of its finding that the parties’ services are highly similar.']",
prefilter_rejected,regular,Apex_Bank_v_Cc_Serve_Corp,3.0, its definition of similarity,"According to the opinion 'Apex Bank v. CC Serve Corp.', the aspect that was too narrow and caused it to disregard many third-party Aspire marks outside credit card services was","According to the opinion 'Apex Bank v. CC Serve Corp.', the aspect that was too narrow and caused it to disregard many third-party Aspire marks outside credit card services was its definition of similarity",Synthesized Insight,"['The Board concluded that because of the overlap between Apex and CC Serve’s services, the properly defined relevant public is “consumers of ‘credit card services.’” J.A. 47.', 'The Board focused solely on the marks identified for credit card services and deemed the marks using Aspire for other services to be “essentially irrelevant.” J.A. 47.', 'Here, we find the Board’s definition of similarity to be too narrow.']","By defining the relevant scope around only credit card services, the Board treated broader similar-service Aspire marks as irrelevant; the court identified that narrow similarity definition as the flaw.",What was too narrow in the Board’s approach that caused it to disregard many third-party Aspire marks outside credit card services?,its definition of similarity,"['The Board concluded that because of the overlap between Apex and CC Serve’s services, the properly defined relevant public is “consumers of ‘credit card services.’” J.A. 47.', 'The Board focused solely on the marks identified for credit card services and deemed the marks using Aspire for other services to be “essentially irrelevant.” J.A. 47.', 'Here, we find the Board’s definition of similarity to be too narrow.']","['The Board concluded that because of the overlap between Apex and CC Serve’s services, the properly defined relevant public is “consumers of ‘credit card services.’” J.A. 47.', 'The Board focused solely on the marks identified for credit card services and deemed the marks using Aspire for other services to be “essentially irrelevant.” J.A. 47.', 'Here, we find the Board’s definition of similarity to be too narrow.']",
prefilter_rejected,regular,Apex_Bank_v_Cc_Serve_Corp,11.0, 51 marks,"According to the opinion 'Apex Bank v. CC Serve Corp.', using the court's description of Apex's argument, if the 42 excluded marks were added to the 9 credit-card-service marks, there would be","According to the opinion 'Apex Bank v. CC Serve Corp.', using the court's description of Apex's argument, if the 42 excluded marks were added to the 9 credit-card-service marks, there would be 51 marks",Reasoning Step,"['The Board concluded that there were nine Aspire-formative marks for credit card services, but that only nine uses did not rise to the level of “considerable” or “ubiquitous” use found to demonstrate weakness.', 'On appeal, Apex contends that the Board erred in limiting the relevant public to consumers of credit card services and that the Board should have considered the 42 other third-party marks that use Aspire and Aspire-formative marks.']",Adding the 42 excluded marks Apex says should have been considered to the 9 already counted yields a total of 51 marks.,"Using the court’s description of Apex’s argument, how many third-party Aspire or Aspire-formative marks would be in play if the 42 excluded marks were added to the 9 credit-card-service marks?",51 marks,"['The Board concluded that there were nine Aspire-formative marks for credit card services, but that only nine uses did not rise to the level of “considerable” or “ubiquitous” use found to demonstrate weakness.', 'On appeal, Apex contends that the Board erred in limiting the relevant public to consumers of credit card services and that the Board should have considered the 42 other third-party marks that use Aspire and Aspire-formative marks.']","['The Board concluded that there were nine Aspire-formative marks for credit card services, but that only nine uses did not rise to the level of “considerable” or “ubiquitous” use found to demonstrate weakness.', 'On appeal, Apex contends that the Board erred in limiting the relevant public to consumers of credit card services and that the Board should have considered the 42 other third-party marks that use Aspire and Aspire-formative marks.']",
