variant,domain,source_version,source_rows,filtered_version,filtered_rows,mcqa_rows,prefilter_rejected,passed_filter_no_mcqa,safe_recovery_index_file,prefilter_rejected_index_file
regular,America_First_Legal_Foundation_v_Jamieson_Greer,v11,17,v12,15,14,2,1,reports/legal_mcqa_recovery_v12/regular/passed_filter_no_mcqa/America_First_Legal_Foundation_v_Jamieson_Greer/row_indices.txt,reports/legal_mcqa_recovery_v12/regular/prefilter_rejected/America_First_Legal_Foundation_v_Jamieson_Greer/row_indices.txt
regular,Apex_Bank_v_Cc_Serve_Corp,v11,18,v12,14,9,4,5,reports/legal_mcqa_recovery_v12/regular/passed_filter_no_mcqa/Apex_Bank_v_Cc_Serve_Corp/row_indices.txt,reports/legal_mcqa_recovery_v12/regular/prefilter_rejected/Apex_Bank_v_Cc_Serve_Corp/row_indices.txt
regular,Bruce_Cohen_v_Consilio_LLC,v11,12,v12,9,8,3,1,reports/legal_mcqa_recovery_v12/regular/passed_filter_no_mcqa/Bruce_Cohen_v_Consilio_LLC/row_indices.txt,reports/legal_mcqa_recovery_v12/regular/prefilter_rejected/Bruce_Cohen_v_Consilio_LLC/row_indices.txt
regular,Finesse_Wireless_LLC_v_Att_Mobility_LLC,v11,13,v12,11,8,2,3,reports/legal_mcqa_recovery_v12/regular/passed_filter_no_mcqa/Finesse_Wireless_LLC_v_Att_Mobility_LLC/row_indices.txt,reports/legal_mcqa_recovery_v12/regular/prefilter_rejected/Finesse_Wireless_LLC_v_Att_Mobility_LLC/row_indices.txt
regular,Foad_Farahi_v_FBI,v11,11,v12,10,7,1,3,reports/legal_mcqa_recovery_v12/regular/passed_filter_no_mcqa/Foad_Farahi_v_FBI/row_indices.txt,reports/legal_mcqa_recovery_v12/regular/prefilter_rejected/Foad_Farahi_v_FBI/row_indices.txt
regular,Jimenez_v_Bondi,v11,13,v12,11,8,2,3,reports/legal_mcqa_recovery_v12/regular/passed_filter_no_mcqa/Jimenez_v_Bondi/row_indices.txt,reports/legal_mcqa_recovery_v12/regular/prefilter_rejected/Jimenez_v_Bondi/row_indices.txt
regular,Pacito_v_Trump,v11,19,v12,15,12,4,3,reports/legal_mcqa_recovery_v12/regular/passed_filter_no_mcqa/Pacito_v_Trump/row_indices.txt,reports/legal_mcqa_recovery_v12/regular/prefilter_rejected/Pacito_v_Trump/row_indices.txt
regular,Santos_v_Kimmel,v11,9,v12,8,7,1,1,reports/legal_mcqa_recovery_v12/regular/passed_filter_no_mcqa/Santos_v_Kimmel/row_indices.txt,reports/legal_mcqa_recovery_v12/regular/prefilter_rejected/Santos_v_Kimmel/row_indices.txt
regular,United_States_v_Constantinescu,v11,18,v12,12,8,6,4,reports/legal_mcqa_recovery_v12/regular/passed_filter_no_mcqa/United_States_v_Constantinescu/row_indices.txt,reports/legal_mcqa_recovery_v12/regular/prefilter_rejected/United_States_v_Constantinescu/row_indices.txt
regular,United_States_v_Jaison_Coleman,v11,14,v12,12,9,2,3,reports/legal_mcqa_recovery_v12/regular/passed_filter_no_mcqa/United_States_v_Jaison_Coleman/row_indices.txt,reports/legal_mcqa_recovery_v12/regular/prefilter_rejected/United_States_v_Jaison_Coleman/row_indices.txt
