domain,v11_reviewed_row_index_0based,bucket,probe,target
Apex_Bank_v_Cc_Serve_Corp,3,passed_filter_but_failed_recovery,"According to the opinion 'Apex Bank v. CC Serve Corp.', after this disposition, the Board remains free to reassess the ultimate issue using corrected factor analyses, namely", likelihood of confusion
Bruce_Cohen_v_Consilio_LLC,0,passed_filter_but_failed_recovery,"According to the opinion 'Bruce Cohen v. Consilio, LLC', after the appeal, only the claim sent back for further proceedings was the", MFLSA claim
Finesse_Wireless_LLC_v_Att_Mobility_LLC,5,prefilter_rejected_failed_broader_recovery,"According to the opinion 'Finesse Wireless LLC v. AT&T Mobility LLC', under the construction the panel accepted, the “three signals S1, S2 and S3” language could still satisfy the claim with", two unique signals
Jimenez_v_Bondi,6,passed_filter_but_failed_recovery,"According to the opinion 'Jimenez v. Bondi', from the timing of the escalated threats and the content of the accusations, the court treated the predominant motive as", Jimenez’s involvement with Don Rafa
Jimenez_v_Bondi,8,passed_filter_but_failed_recovery,"According to the opinion 'Jimenez v. Bondi', given the emphasis on reporting and Petitioners’ minimal outreach to authorities, the key predicate for proving government inability or unwillingness that was missing was", notice and opportunity
Pacito_v_Trump,7,prefilter_rejected_failed_broader_recovery,"According to the opinion 'Pacito v. Trump', because § 1522 duties operate ""to the extent of available appropriations"" and the panel identified FY 2025 refugee-assistance appropriations, it could treat the funding precondition as met because", available appropriations existed
Santos_v_Kimmel,5,passed_filter_but_failed_recovery,"According to the opinion 'Santos v. Kimmel', on the Rule 12(b)(6) appeal, the court was able to determine the videos’ publication dates without waiting for later factual development by taking", judicial notice of registrations
United_States_v_Jaison_Coleman,2,passed_filter_but_failed_recovery,"According to the opinion 'United States v. Jaison Coleman', because the officers were trying to confirm Coleman posed no danger, the opinion implies that finding him in a separate bedroom during a quick canvas was", within the scope of consent
United_States_v_Justin_Cutbank,1,passed_filter_but_failed_recovery,"According to the opinion 'United States v. Justin Cutbank', when D.F. and C.F. said they had seen Cutbank with the same sawed-off rifle before the charged night, that evidence supported the non-propensity point on the possession issue of", ownership or control
Williams_v_GoAuto_Insurance,4,prefilter_rejected_failed_broader_recovery,"According to the opinion 'Williams v. GoAuto Insurance,' waiting until after midnight on the tenth day before sending the cancellation request preserved the insured's", minimum time to cure
