row_1based,decision,issue_type,reason,old_target,new_target,old_probe,new_probe,old_fact,new_fact
1,keep,,"Retained as source-framed, meaningful, and source-backed under the v13 medical case-report rubric.", failed transcatheter prostheses., failed transcatheter prostheses.,"According to the case report ""TAV-in-TAV-in-TAV after treated endocarditis: procedural strategy, imaging planning and 1-year outcome"", in this setting, transcatheter aortic valve-in-transcatheter aortic valve (TAV-in-TAV) procedures are used to manage","According to the case report ""TAV-in-TAV-in-TAV after treated endocarditis: procedural strategy, imaging planning and 1-year outcome"", in this setting, transcatheter aortic valve-in-transcatheter aortic valve (TAV-in-TAV) procedures are used to manage","According to the case report ""TAV-in-TAV-in-TAV after treated endocarditis: procedural strategy, imaging planning and 1-year outcome"", in this setting, transcatheter aortic valve-in-transcatheter aortic valve (TAV-in-TAV) procedures are used to manage failed transcatheter prostheses.","According to the case report ""TAV-in-TAV-in-TAV after treated endocarditis: procedural strategy, imaging planning and 1-year outcome"", in this setting, transcatheter aortic valve-in-transcatheter aortic valve (TAV-in-TAV) procedures are used to manage failed transcatheter prostheses."
2,keep,,"Retained as source-framed, meaningful, and source-backed under the v13 medical case-report rubric.", coronary artery obstruction., coronary artery obstruction.,"According to the case report ""TAV-in-TAV-in-TAV after treated endocarditis: procedural strategy, imaging planning and 1-year outcome"", TAV-in-transcatheter aortic valve (TAV-in-TAV) procedures can pose specific anatomical and technical challenges, including","According to the case report ""TAV-in-TAV-in-TAV after treated endocarditis: procedural strategy, imaging planning and 1-year outcome"", TAV-in-transcatheter aortic valve (TAV-in-TAV) procedures can pose specific anatomical and technical challenges, including","According to the case report ""TAV-in-TAV-in-TAV after treated endocarditis: procedural strategy, imaging planning and 1-year outcome"", TAV-in-transcatheter aortic valve (TAV-in-TAV) procedures can pose specific anatomical and technical challenges, including coronary artery obstruction.","According to the case report ""TAV-in-TAV-in-TAV after treated endocarditis: procedural strategy, imaging planning and 1-year outcome"", TAV-in-transcatheter aortic valve (TAV-in-TAV) procedures can pose specific anatomical and technical challenges, including coronary artery obstruction."
3,keep,,"Retained as source-framed, meaningful, and source-backed under the v13 medical case-report rubric.", severe prosthesis-patient mismatch., severe prosthesis-patient mismatch.,"According to the case report ""TAV-in-TAV-in-TAV after treated endocarditis: procedural strategy, imaging planning and 1-year outcome"", transcatheter valve-in-transcatheter valve interventions can present anatomical and technical challenges, and in this context a reduced effective orifice area can result in","According to the case report ""TAV-in-TAV-in-TAV after treated endocarditis: procedural strategy, imaging planning and 1-year outcome"", transcatheter valve-in-transcatheter valve interventions can present anatomical and technical challenges, and in this context a reduced effective orifice area can result in","According to the case report ""TAV-in-TAV-in-TAV after treated endocarditis: procedural strategy, imaging planning and 1-year outcome"", transcatheter valve-in-transcatheter valve interventions can present anatomical and technical challenges, and in this context a reduced effective orifice area can result in severe prosthesis-patient mismatch.","According to the case report ""TAV-in-TAV-in-TAV after treated endocarditis: procedural strategy, imaging planning and 1-year outcome"", transcatheter valve-in-transcatheter valve interventions can present anatomical and technical challenges, and in this context a reduced effective orifice area can result in severe prosthesis-patient mismatch."
4,keep,,"Retained as source-framed, meaningful, and source-backed under the v13 medical case-report rubric.", patients with a history of prosthetic valve endocarditis (PVE)., patients with a history of prosthetic valve endocarditis (PVE).,"In the case report ""TAV-in-TAV-in-TAV after treated endocarditis: procedural strategy, imaging planning and 1-year outcome,"" evidence regarding serial transcatheter valve reinterventions is described as being particularly limited in","In the case report ""TAV-in-TAV-in-TAV after treated endocarditis: procedural strategy, imaging planning and 1-year outcome,"" evidence regarding serial transcatheter valve reinterventions is described as being particularly limited in","In the case report ""TAV-in-TAV-in-TAV after treated endocarditis: procedural strategy, imaging planning and 1-year outcome,"" evidence regarding serial transcatheter valve reinterventions is described as being particularly limited in patients with a history of prosthetic valve endocarditis (PVE).","In the case report ""TAV-in-TAV-in-TAV after treated endocarditis: procedural strategy, imaging planning and 1-year outcome,"" evidence regarding serial transcatheter valve reinterventions is described as being particularly limited in patients with a history of prosthetic valve endocarditis (PVE)."
5,keep,,"Retained as source-framed, meaningful, and source-backed under the v13 medical case-report rubric.", CT-guided planning, CT-guided planning,"According to the case report ""TAV-in-TAV-in-TAV after treated endocarditis: procedural strategy, imaging planning and 1-year outcome"", this case illustrated the role of planning in guiding the transcatheter intervention, specifically","According to the case report ""TAV-in-TAV-in-TAV after treated endocarditis: procedural strategy, imaging planning and 1-year outcome"", this case illustrated the role of planning in guiding the transcatheter intervention, specifically","According to the case report ""TAV-in-TAV-in-TAV after treated endocarditis: procedural strategy, imaging planning and 1-year outcome"", this case illustrated the role of planning in guiding the transcatheter intervention, specifically CT-guided planning","According to the case report ""TAV-in-TAV-in-TAV after treated endocarditis: procedural strategy, imaging planning and 1-year outcome"", this case illustrated the role of planning in guiding the transcatheter intervention, specifically CT-guided planning"
6,keep,,"Retained as source-framed, meaningful, and source-backed under the v13 medical case-report rubric.", PVE., PVE.,"In the case report ""TAV-in-TAV-in-TAV after treated endocarditis: procedural strategy, imaging planning and 1-year outcome"", the authors describe a patient with multiple prior TAVI procedures, and the condition that had been treated in this patient was","In the case report ""TAV-in-TAV-in-TAV after treated endocarditis: procedural strategy, imaging planning and 1-year outcome"", the authors describe a patient with multiple prior TAVI procedures, and the condition that had been treated in this patient was","In the case report ""TAV-in-TAV-in-TAV after treated endocarditis: procedural strategy, imaging planning and 1-year outcome"", the authors describe a patient with multiple prior TAVI procedures, and the condition that had been treated in this patient was PVE.","In the case report ""TAV-in-TAV-in-TAV after treated endocarditis: procedural strategy, imaging planning and 1-year outcome"", the authors describe a patient with multiple prior TAVI procedures, and the condition that had been treated in this patient was PVE."
7,keep,,"Retained as source-framed, meaningful, and source-backed under the v13 medical case-report rubric.", severe bioprosthetic valve stenosis., severe bioprosthetic valve stenosis.,"According to the case report ""TAV-in-TAV-in-TAV after treated endocarditis: procedural strategy, imaging planning and 1-year outcome"", by December 2021 the patient had worsening exertional dyspnoea after prior transcatheter aortic valve implantation, and the echocardiographic finding reported at that time was","According to the case report ""TAV-in-TAV-in-TAV after treated endocarditis: procedural strategy, imaging planning and 1-year outcome"", by December 2021 the patient had worsening exertional dyspnoea after prior transcatheter aortic valve implantation, and the echocardiographic finding reported at that time was","According to the case report ""TAV-in-TAV-in-TAV after treated endocarditis: procedural strategy, imaging planning and 1-year outcome"", by December 2021 the patient had worsening exertional dyspnoea after prior transcatheter aortic valve implantation, and the echocardiographic finding reported at that time was severe bioprosthetic valve stenosis.","According to the case report ""TAV-in-TAV-in-TAV after treated endocarditis: procedural strategy, imaging planning and 1-year outcome"", by December 2021 the patient had worsening exertional dyspnoea after prior transcatheter aortic valve implantation, and the echocardiographic finding reported at that time was severe bioprosthetic valve stenosis."
8,keep,,"Retained as source-framed, meaningful, and source-backed under the v13 medical case-report rubric.", 83 mm Hg, 83 mm Hg,"According to the case report “TAV-in-TAV-in-TAV after treated endocarditis: procedural strategy, imaging planning and 1-year outcome,” by early 2022 in this patient with worsening prosthetic valve stenosis, the reported mean aortic valve gradient was","According to the case report “TAV-in-TAV-in-TAV after treated endocarditis: procedural strategy, imaging planning and 1-year outcome,” by early 2022 in this patient with worsening prosthetic valve stenosis, the reported mean aortic valve gradient was","According to the case report “TAV-in-TAV-in-TAV after treated endocarditis: procedural strategy, imaging planning and 1-year outcome,” by early 2022 in this patient with worsening prosthetic valve stenosis, the reported mean aortic valve gradient was 83 mm Hg","According to the case report “TAV-in-TAV-in-TAV after treated endocarditis: procedural strategy, imaging planning and 1-year outcome,” by early 2022 in this patient with worsening prosthetic valve stenosis, the reported mean aortic valve gradient was 83 mm Hg"
9,keep,,"Retained as source-framed, meaningful, and source-backed under the v13 medical case-report rubric.", 42%, 42%,"According to the case report ""TAV-in-TAV-in-TAV after treated endocarditis: procedural strategy, imaging planning and 1-year outcome"", the patient had worsening bioprosthetic aortic valve stenosis by early 2022, with the mean gradient rising to 83 mm Hg. His ejection fraction (EF) had declined further to","According to the case report ""TAV-in-TAV-in-TAV after treated endocarditis: procedural strategy, imaging planning and 1-year outcome"", the patient had worsening bioprosthetic aortic valve stenosis by early 2022, with the mean gradient rising to 83 mm Hg. His ejection fraction (EF) had declined further to","According to the case report ""TAV-in-TAV-in-TAV after treated endocarditis: procedural strategy, imaging planning and 1-year outcome"", the patient had worsening bioprosthetic aortic valve stenosis by early 2022, with the mean gradient rising to 83 mm Hg. His ejection fraction (EF) had declined further to 42%","According to the case report ""TAV-in-TAV-in-TAV after treated endocarditis: procedural strategy, imaging planning and 1-year outcome"", the patient had worsening bioprosthetic aortic valve stenosis by early 2022, with the mean gradient rising to 83 mm Hg. His ejection fraction (EF) had declined further to 42%"
10,keep,,"Retained as source-framed, meaningful, and source-backed under the v13 medical case-report rubric.", open vascular surgery., open vascular surgery.,"According to the case report ""TAV-in-TAV-in-TAV after treated endocarditis: procedural strategy, imaging planning and 1-year outcome"", after the May 2022 TAV-in-TAV with implantation of a 23 mm Evolut valve was complicated by a pulsatile femoral haematoma and pseudoaneurysm, the procedural complication required","According to the case report ""TAV-in-TAV-in-TAV after treated endocarditis: procedural strategy, imaging planning and 1-year outcome"", after the May 2022 TAV-in-TAV with implantation of a 23 mm Evolut valve was complicated by a pulsatile femoral haematoma and pseudoaneurysm, the procedural complication required","According to the case report ""TAV-in-TAV-in-TAV after treated endocarditis: procedural strategy, imaging planning and 1-year outcome"", after the May 2022 TAV-in-TAV with implantation of a 23 mm Evolut valve was complicated by a pulsatile femoral haematoma and pseudoaneurysm, the procedural complication required open vascular surgery.","According to the case report ""TAV-in-TAV-in-TAV after treated endocarditis: procedural strategy, imaging planning and 1-year outcome"", after the May 2022 TAV-in-TAV with implantation of a 23 mm Evolut valve was complicated by a pulsatile femoral haematoma and pseudoaneurysm, the procedural complication required open vascular surgery."
