row_index,keep,drop_reason,review_notes,replacement_probe,replacement_target,duplicate_of
0,true,keep,Correctly composes the stay of admissions with the separate directive preserving post-admission reception and placement services.,,,
1,true,keep,Correctly identifies that success on the merits points opposite ways for the admissions challenge and the APA services challenge.,,,
2,false,duplicate,Overlaps with stronger remedy-narrowing probes about reinstating necessary cooperative agreements.,,,18
3,false,duplicate,"Same available-appropriations inference as row 16, with less precise wording.",,,16
4,true,keep,Correctly composes the majority directive with Judge Lee’s contrary permissive reading of section 1522.,,,
5,true,keep,Correctly derives the line between suspended entry and required services from admission into the United States.,,,
6,false,duplicate,Repeats the cooperative-agreement reinstatement concept covered more clearly by rows 18 and 0.,,,18
7,false,duplicate,"Duplicates row 0’s distinction between suspended admissions and post-admission services, with a more abstract target.",,,0
8,false,bad_target,The target is an awkward coined abstraction and the probe mostly restates the deference language rather than testing a clean cloze.,,,
9,true,keep,Correctly infers that the APA exception rested on termination of post-admission resettlement services.,,,
10,false,recall_not_composition,The answer is a direct lookup from the final sentence defining the services under the reinstated agreements.,,,
11,true,keep,Valid counterfactual: securing a replacement agency would undercut the uncertainty rationale for reinstating old agreements.,,,
12,false,duplicate,Duplicates row 11’s replacement-provider counterfactual and has a less natural target.,,,11
13,false,duplicate,Conceptually duplicates row 17’s included-versus-excluded agreement-category inference.,,,17
14,true,keep,"Correctly composes the vacatur of earlier stays, issuance of a new stay, and mootness of the July 17 motion.",,,
15,false,duplicate,Repeats the concrete reinstatement obligation already tested by stronger rows 0 and 18.,,,18
16,true,keep,Correctly applies the available-appropriations condition to the panel’s identification of FY 2025 appropriations.,,,
17,true,keep,Correctly infers that overseas processing support agreements were outside the express reinstatement directive.,,,
18,true,keep,Correctly compares the district court’s all-agreements injunction with the panel’s narrower necessary-agreements directive.,,,
