row,decision,reason,proposed_fact,proposed_probe,proposed_target
7,fix,Factual and writing drift; unsupported phrase before the real target.,"In Jimenez v. Bondi, after Jimenez had already received threats related to his political activity and his work in Colombia, two men later held him at gunpoint while he was working at the furniture factory at night and told him to leave the neighborhood.","In Jimenez v. Bondi, after Jimenez had already received threats related to his political activity and his work in Colombia, two men later held him at gunpoint while he was working at the furniture factory at night and told him to",leave the neighborhood.
18,fix,Ungrammatical and not self-contained.,"In Jimenez v. Bondi, the petitioners argued that even if they could not establish past persecution, they had a well-founded fear of future persecution because the Colombian government was unable or unwilling to protect them.","In Jimenez v. Bondi, the petitioners argued that even if they could not establish past persecution, they had a well-founded fear of future persecution because",the Colombian government was unable or unwilling to protect them.
19,fix,Vague “this” construction and awkward colon-style probe.,"In Jimenez v. Bondi, the court said that a one-off conversation with an unhelpful officer does not necessarily show that a government is unable or unwilling to protect a victim.","In Jimenez v. Bondi, the court said that what does not necessarily show that a government is unable or unwilling to protect a victim?",A one-off conversation with an unhelpful officer.
24,fix,Broken sentence structure and target carries the predicate.,"In Jimenez v. Bondi, the immigration judge denied the petitioners’ applications for asylum, withholding of removal, and protection under the Convention Against Torture.","In Jimenez v. Bondi, before the Board of Immigration Appeals affirmed, who denied the petitioners’ applications for asylum, withholding of removal, and protection under the Convention Against Torture?",The immigration judge.
37,fix,Target includes extra material beyond the office being asked for.,"According to the opinion in Jimenez v. Bondi, Jimenez also worked as an intern for the National Prosecutor’s office in Colombia.","According to the opinion in Jimenez v. Bondi, Jimenez also worked as an intern for",the National Prosecutor’s office in Colombia.
39,fix,Probe truncates before the predicate and forces too much into target.,"In Jimenez v. Bondi, in June 2022, a woman from San Bernardo requested Jimenez’s help with a property dispute.","In Jimenez v. Bondi, in June 2022, a woman from San Bernardo requested Jimenez’s help with",a property dispute.
45,fix,Question-answer span mismatch; target includes extra clause.,"In Jimenez v. Bondi, Jimenez investigated a property in Colombia and learned that it had been closed for being used as a day-rental for migrants.","In Jimenez v. Bondi, Jimenez investigated a property in Colombia and learned that it had been closed for being used as",a day-rental for migrants.
47,fix,Repetitive and hard to parse.,"In Jimenez v. Bondi, after Jimenez learned that the property had been used for narco-trafficking and prostitution and was affiliated with reports of kidnapping and murder, the opinion stated that law enforcement had attempted several searches and seizures there, but those efforts were seemingly unsuccessful.","In Jimenez v. Bondi, after Jimenez learned that the property had been used for narco-trafficking and prostitution and was affiliated with reports of kidnapping and murder, the opinion stated that law enforcement had attempted",several searches and seizures.
50,fix,Unclear antecedent (“did so”) and poor readability.,"According to the opinion in Jimenez v. Bondi, the two men held Jimenez at gunpoint while he was working at the furniture factory at night.","According to the opinion in Jimenez v. Bondi, what did the two men do to Jimenez while he was working at the furniture factory at night?",They held Jimenez at gunpoint.
55,fix,Awkward punctuation and capitalized target fragment.,"According to the opinion in Jimenez v. Bondi, the same two men returned to the furniture factory about two months after the death threat while Petitioners were out of town.","According to the opinion in Jimenez v. Bondi, when did the same two men return to the furniture factory while Petitioners were out of town?",About two months after the death threat.
73,fix,Ungrammatical and target contains stray semicolon.,"In Jimenez v. Bondi, although the Immigration Judge found Petitioners credible, the IJ concluded that Petitioners failed to establish that internal relocation within Colombia was not reasonably available.","In Jimenez v. Bondi, although the Immigration Judge found Petitioners credible, the IJ concluded that Petitioners failed to establish that",internal relocation within Colombia was not reasonably available.
77,fix,Answer leakage; probe gives away almost the entire answer.,"In Jimenez v. Bondi, Petitioners argued that the BIA erred in finding that they had not established a well-founded fear of future persecution that the government was unable or unwilling to protect them from.","In Jimenez v. Bondi, Petitioners argued that the BIA erred in finding that they had not established what kind of fear of future persecution that the government was unable or unwilling to protect them from?",a well-founded fear of future persecution
81,fix,Target incorrectly quotes the court instead of naming what may be consulted.,"In Jimenez v. Bondi, when a single member of the BIA affirmed the IJ’s decision, the court reviewed the BIA’s decision but could still consult the IJ’s more complete explanation of the same grounds.","In Jimenez v. Bondi, when a single member of the BIA affirmed the IJ’s decision, what could the court still consult?",the IJ’s more complete explanation of those same grounds.
83,fix,Source rule was reversed in the current wording.,"In Jimenez v. Bondi, under the substantial-evidence standard, the BIA’s findings of fact are conclusive unless the record demonstrates that any reasonable adjudicator would be compelled to conclude to the contrary.","In Jimenez v. Bondi, under the substantial-evidence standard, the BIA’s findings of fact are conclusive unless",the record demonstrates that any reasonable adjudicator would be compelled to conclude to the contrary.
88,fix,Target adds an extra protected ground beyond the one being asked for.,"In Jimenez v. Bondi, one protected ground in the INA’s refugee definition is membership in a particular social group.","In Jimenez v. Bondi, one protected ground in the INA’s refugee definition is membership in",a particular social group.
90,fix,Probe repeats the beginning of the target and is overly quote-shaped.,"In Jimenez v. Bondi, the opinion explains that a showing of past persecution gives rise to a rebuttable presumption of a well-founded fear of future persecution.","In Jimenez v. Bondi, what does a showing of past persecution give rise to?",a rebuttable presumption of a well-founded fear of future persecution.
94,fix,Dangling quotation mark in fact and target.,"In Jimenez v. Bondi, the court stated that the cumulative effects of multiple incidents may constitute persecution.","In Jimenez v. Bondi, the court stated that the cumulative effects of multiple incidents may constitute",persecution.
96,fix,Adds unsupported physical and psychological harm language to a simpler source claim.,"In Jimenez v. Bondi, Petitioners argued that the multiple threats against them established persecution.","In Jimenez v. Bondi, Petitioners argued that the multiple threats against them established",persecution.
