source_file,row_index,accepted,attempts,note,old_token_jaccard,new_token_jaccard,old_char_ratio,new_char_ratio,old_longest_common_token_run,new_longest_common_token_run,original_probe,rewritten_probe,original_fact,rewritten_fact
/vast/projects/myatskar/design-documents/joseph/fine-tuning-or-retrieval/probes/legal/Jimenez_v_Bondi/facts/probes_v14.csv,0,True,2,accepted,0.225806,0.206897,0.443636,0.329114,3,1,"In the case ""Jimenez v. Bondi,"" the petitioners appealed from a decision of the Board of Immigration Appeals after the immigration judge denied their applications for","In ""Jimenez v. Bondi,"" the petitioners sought review of the Board of Immigration Appeals’ ruling that rejected their requests for","In the case ""Jimenez v. Bondi,"" the petitioners appealed from a decision of the Board of Immigration Appeals after the immigration judge denied their applications for asylum and withholding of removal.","In ""Jimenez v. Bondi,"" the petitioners sought review of the Board of Immigration Appeals’ ruling that rejected their requests for asylum and withholding of removal."
/vast/projects/myatskar/design-documents/joseph/fine-tuning-or-retrieval/probes/legal/Jimenez_v_Bondi/facts/probes_v14.csv,1,False,3,absolute lexical overlap still too high (new token Jaccard 0.429 > 0.250 or new LCS 8 > 6; jaccard drop 0.071),0.500000,0.428571,0.657343,0.616541,10,8,"In the case ""Jimenez v. Bondi,"" the opinion’s factual background describes Wilson Leonardo Canon Jimenez, his wife Angelica Parada Duarte, and their two minor sons as being from","In the background of ""Jimenez v. Bondi,"" the opinion identifies Wilson Leonardo Canon Jimenez, Angelica Parada Duarte, and their two minor sons as natives of","In the case ""Jimenez v. Bondi,"" the opinion’s factual background describes Wilson Leonardo Canon Jimenez, his wife Angelica Parada Duarte, and their two minor sons as being from Bogota, Colombia.","In the background of ""Jimenez v. Bondi,"" the opinion identifies Wilson Leonardo Canon Jimenez, Angelica Parada Duarte, and their two minor sons as natives of Bogota, Colombia."
/vast/projects/myatskar/design-documents/joseph/fine-tuning-or-retrieval/probes/legal/Jimenez_v_Bondi/facts/probes_v14.csv,2,False,3,absolute lexical overlap still too high (new token Jaccard 0.283 > 0.250 or new LCS 2 > 6; jaccard drop 0.231),0.513514,0.282609,0.464589,0.407609,5,2,"According to the opinion in ""Jimenez v. Bondi,"" after a woman from San Bernardo told Jimenez she had not received rent for over a year, she asked him to speak with the tenant about","In the opinion for ""Jimenez v. Bondi,"" after a San Bernardo woman said the occupant of her property had gone more than a year without paying rent, she requested that Jimenez talk to him regarding","According to the opinion in ""Jimenez v. Bondi,"" after a woman from San Bernardo told Jimenez she had not received rent for over a year, she asked him to speak with the tenant about restitution and leaving the property.","In the opinion for ""Jimenez v. Bondi,"" after a San Bernardo woman said the occupant of her property had gone more than a year without paying rent, she requested that Jimenez talk to him regarding restitution and leaving the property."
/vast/projects/myatskar/design-documents/joseph/fine-tuning-or-retrieval/probes/legal/Jimenez_v_Bondi/facts/probes_v14.csv,3,True,1,accepted,0.448276,0.142857,0.507042,0.349206,9,3,"According to the opinion in ""Jimenez v. Bondi,"" the property had previously belonged to the tenant, the client’s ex-husband, and it was transferred to the client as part of","Per the opinion in ""Jimenez v. Bondi,"" ownership had earlier been held by the client’s former husband, but it later passed to the client in","According to the opinion in ""Jimenez v. Bondi,"" the property had previously belonged to the tenant, the client’s ex-husband, and it was transferred to the client as part of a divorce settlement.","Per the opinion in ""Jimenez v. Bondi,"" ownership had earlier been held by the client’s former husband, but it later passed to the client in a divorce settlement."
/vast/projects/myatskar/design-documents/joseph/fine-tuning-or-retrieval/probes/legal/Jimenez_v_Bondi/facts/probes_v14.csv,4,False,3,absolute lexical overlap still too high (new token Jaccard 0.279 > 0.250 or new LCS 4 > 6; jaccard drop 0.245),0.523810,0.279070,0.048035,0.051414,9,4,"In the case ""Jimenez v. Bondi,"" the opinion stated that the group of narco-trafficking guerrillas led by Rafael Augusto Montanez Lancheros, also known as “Don Rafa,” and discovered during Jimenez’s tenant negotiations was politically aligned with","In ""Jimenez v. Bondi,"" the court described Rafael Augusto Montanez Lancheros, called “Don Rafa,” as heading a narcotics-linked guerrilla faction whose politics were aligned with","In the case ""Jimenez v. Bondi,"" the opinion stated that the group of narco-trafficking guerrillas led by Rafael Augusto Montanez Lancheros, also known as “Don Rafa,” and discovered during Jimenez’s tenant negotiations was politically aligned with Gustavo Petro.","In ""Jimenez v. Bondi,"" the court described Rafael Augusto Montanez Lancheros, called “Don Rafa,” as heading a narcotics-linked guerrilla faction whose politics were aligned with Gustavo Petro."
/vast/projects/myatskar/design-documents/joseph/fine-tuning-or-retrieval/probes/legal/Jimenez_v_Bondi/facts/probes_v14.csv,5,True,2,accepted,0.413793,0.242424,0.327869,0.408511,5,2,"According to the opinion in ""Jimenez v. Bondi,"" when Jimenez saw a man as his younger son was leaving school, the man put his arm around","In the opinion from ""Jimenez v. Bondi,"" Jimenez later observed a man who, just as the boy was leaving school, placed an arm over","According to the opinion in ""Jimenez v. Bondi,"" when Jimenez saw a man as his younger son was leaving school, the man put his arm around his younger son’s shoulder","In the opinion from ""Jimenez v. Bondi,"" Jimenez later observed a man who, just as the boy was leaving school, placed an arm over his younger son’s shoulder"
/vast/projects/myatskar/design-documents/joseph/fine-tuning-or-retrieval/probes/legal/Jimenez_v_Bondi/facts/probes_v14.csv,6,True,1,accepted,0.192982,0.120690,0.016360,0.017241,3,2,"In the case ""Jimenez v. Bondi,"" the petitioners appealed the BIA’s denial of their applications for asylum and withholding of removal, and they argued that the BIA wrongly found they had not established that their past persecution was based on","In Jimenez v. Bondi, the petitioners challenged the BIA’s denial of asylum and withholding of removal, contending that it incorrectly concluded they had not shown that the harm they previously suffered was because of","In the case ""Jimenez v. Bondi,"" the petitioners appealed the BIA’s denial of their applications for asylum and withholding of removal, and they argued that the BIA wrongly found they had not established that their past persecution was based on their political opinion.","In Jimenez v. Bondi, the petitioners challenged the BIA’s denial of asylum and withholding of removal, contending that it incorrectly concluded they had not shown that the harm they previously suffered was because of their political opinion."
/vast/projects/myatskar/design-documents/joseph/fine-tuning-or-retrieval/probes/legal/Jimenez_v_Bondi/facts/probes_v14.csv,7,True,1,accepted,0.253731,0.181818,0.018051,0.023301,5,3,"In the case ""Jimenez v. Bondi,"" the opinion quotes Wiransane v. Ashcroft for the proposition that persecution under the INA is not limited to threats alone and must entail more than","In Jimenez v. Bondi, the opinion invokes Wiransane v. Ashcroft to state that a showing of persecution under the INA demands something beyond","In the case ""Jimenez v. Bondi,"" the opinion quotes Wiransane v. Ashcroft for the proposition that persecution under the INA is not limited to threats alone and must entail more than just restrictions or threats to life and liberty.","In Jimenez v. Bondi, the opinion invokes Wiransane v. Ashcroft to state that a showing of persecution under the INA demands something beyond just restrictions or threats to life and liberty."
/vast/projects/myatskar/design-documents/joseph/fine-tuning-or-retrieval/probes/legal/Jimenez_v_Bondi/facts/probes_v14.csv,8,True,1,accepted,0.285714,0.170732,0.454333,0.434251,3,3,"In the case ""Jimenez v. Bondi,"" the court reviewed the BIA’s determination that Petitioners had not shown the level of mistreatment needed for relief under the INA, and their harm, even when considered in the aggregate, failed to amount to","In Jimenez v. Bondi, the court upheld the BIA’s conclusion that Petitioners’ mistreatment, taken together, was insufficient to constitute","In the case ""Jimenez v. Bondi,"" the court reviewed the BIA’s determination that Petitioners had not shown the level of mistreatment needed for relief under the INA, and their harm, even when considered in the aggregate, failed to amount to past persecution.","In Jimenez v. Bondi, the court upheld the BIA’s conclusion that Petitioners’ mistreatment, taken together, was insufficient to constitute past persecution."
/vast/projects/myatskar/design-documents/joseph/fine-tuning-or-retrieval/probes/legal/Jimenez_v_Bondi/facts/probes_v14.csv,9,True,1,accepted,0.545455,0.250000,0.783862,0.540230,12,2,"In the case ""Jimenez v. Bondi,"" Petitioners argued that the harm they suffered was on account of statutorily protected grounds, and besides their shared political opinion, they identified a","In Jimenez v. Bondi, Petitioners contended that the mistreatment they experienced was tied to protected grounds under the statute, and beyond their common political view, they pointed to a","In the case ""Jimenez v. Bondi,"" Petitioners argued that the harm they suffered was on account of statutorily protected grounds, and besides their shared political opinion, they identified a particular social group.","In Jimenez v. Bondi, Petitioners contended that the mistreatment they experienced was tied to protected grounds under the statute, and beyond their common political view, they pointed to a particular social group."
