row_1based,decision,issue_type,reason,old_target,new_target,old_probe,new_probe,old_fact,new_fact
1,keep,,No first-pass rubric issue found.,,,,,,
2,keep,,No first-pass rubric issue found.,,,,,,
3,repair,source_framing_issue,Added required paper-title framing to an otherwise source-supported cloze.," full-precision (i.e., FP16 or BF16) Transformer LLM."," full-precision (i.e., FP16 or BF16) Transformer LLM.","In terms of perplexity and end-task performance, BitNet b1.58 matches a","According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", in terms of perplexity and end-task performance, BitNet b1.58 matches a","In terms of perplexity and end-task performance, BitNet b1.58 matches a full-precision (i.e., FP16 or BF16) Transformer LLM.","According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", in terms of perplexity and end-task performance, BitNet b1.58 matches a full-precision (i.e., FP16 or BF16) Transformer LLM."
4,keep,,No first-pass rubric issue found.,,,,,,
5,keep,,No first-pass rubric issue found.,,,,,,
6,drop,title_leakage,"The required paper title contains a near-verbatim form of the target ""Large Language Models"", so attribution unavoidably leaks the answer.", Large Language Models (LLMs).,,"According to the paper, in recent years, the field of AI has seen rapid growth in the size and capabilities of",,"According to the paper, in recent years, the field of AI has seen rapid growth in the size and capabilities of Large Language Models (LLMs).",
7,keep,,No first-pass rubric issue found.,,,,,,
8,repair,source_framing_issue,Normalized attribution to required paper-title framing., natural language processing tasks., natural language processing tasks.,"According to the authors of ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits,"" large language models have demonstrated remarkable performance on","According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", large language models have demonstrated remarkable performance on","According to the authors of ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits,"" large language models have demonstrated remarkable performance on natural language processing tasks.","According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", large language models have demonstrated remarkable performance on natural language processing tasks."
9,keep,,No first-pass rubric issue found.,,,,,,
10,keep,,No first-pass rubric issue found.,,,,,,
