step,probe_index,mcqa_accuracy
0,0,0.0
0,1,1.0
0,2,0.0
0,3,1.0
0,4,1.0
0,5,0.0
0,6,0.0
0,7,1.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
0,12,0.0
4,0,0.0
4,1,1.0
4,2,0.0
4,3,1.0
4,4,1.0
4,5,0.0
4,6,0.0
4,7,1.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
4,12,0.0
8,0,0.0
8,1,1.0
8,2,0.0
8,3,1.0
8,4,1.0
8,5,0.0
8,6,0.0
8,7,1.0
8,8,0.0
8,9,0.0
8,10,0.0
8,11,0.0
8,12,0.0
12,0,0.0
12,1,1.0
12,2,0.0
12,3,1.0
12,4,1.0
12,5,0.0
12,6,0.0
12,7,0.0
12,8,0.0
12,9,0.0
12,10,0.0
12,11,0.0
12,12,0.0
16,0,0.0
16,1,1.0
16,2,0.0
16,3,1.0
16,4,1.0
16,5,0.0
16,6,0.0
16,7,0.0
16,8,0.0
16,9,0.0
16,10,0.0
16,11,0.0
16,12,0.0
20,0,0.0
20,1,1.0
20,2,0.0
20,3,1.0
20,4,1.0
20,5,0.0
20,6,0.0
20,7,0.0
20,8,0.0
20,9,0.0
20,10,0.0
20,11,0.0
20,12,0.0
24,0,0.0
24,1,1.0
24,2,0.0
24,3,1.0
24,4,1.0
24,5,0.0
24,6,0.0
24,7,0.0
24,8,0.0
24,9,0.0
24,10,0.0
24,11,0.0
24,12,0.0
28,0,0.0
28,1,0.0
28,2,0.0
28,3,1.0
28,4,1.0
28,5,1.0
28,6,0.0
28,7,0.0
28,8,0.0
28,9,0.0
28,10,0.0
28,11,0.0
28,12,0.0
32,0,0.0
32,1,0.0
32,2,0.0
32,3,1.0
32,4,1.0
32,5,1.0
32,6,1.0
32,7,0.0
32,8,0.0
32,9,0.0
32,10,0.0
32,11,0.0
32,12,0.0
36,0,0.0
36,1,0.0
36,2,0.0
36,3,1.0
36,4,1.0
36,5,1.0
36,6,0.0
36,7,0.0
36,8,0.0
36,9,0.0
36,10,0.0
36,11,0.0
36,12,0.0
40,0,0.0
40,1,0.0
40,2,0.0
40,3,1.0
40,4,1.0
40,5,0.0
40,6,0.0
40,7,0.0
40,8,0.0
40,9,0.0
40,10,0.0
40,11,0.0
40,12,0.0
44,0,0.0
44,1,0.0
44,2,0.0
44,3,1.0
44,4,1.0
44,5,1.0
44,6,0.0
44,7,0.0
44,8,0.0
44,9,0.0
44,10,0.0
44,11,0.0
44,12,0.0
48,0,0.0
48,1,0.0
48,2,0.0
48,3,1.0
48,4,1.0
48,5,1.0
48,6,0.0
48,7,0.0
48,8,0.0
48,9,0.0
48,10,0.0
48,11,0.0
48,12,0.0
52,0,0.0
52,1,1.0
52,2,0.0
52,3,1.0
52,4,1.0
52,5,1.0
52,6,0.0
52,7,0.0
52,8,0.0
52,9,0.0
52,10,0.0
52,11,0.0
52,12,0.0
56,0,0.0
56,1,1.0
56,2,0.0
56,3,1.0
56,4,1.0
56,5,1.0
56,6,0.0
56,7,0.0
56,8,0.0
56,9,0.0
56,10,0.0
56,11,0.0
56,12,0.0
60,0,0.0
60,1,1.0
60,2,0.0
60,3,1.0
60,4,1.0
60,5,1.0
60,6,0.0
60,7,0.0
60,8,0.0
60,9,0.0
60,10,0.0
60,11,0.0
60,12,0.0
64,0,0.0
64,1,1.0
64,2,0.0
64,3,1.0
64,4,1.0
64,5,1.0
64,6,0.0
64,7,0.0
64,8,0.0
64,9,0.0
64,10,0.0
64,11,0.0
64,12,0.0
68,0,0.0
68,1,1.0
68,2,0.0
68,3,1.0
68,4,1.0
68,5,1.0
68,6,0.0
68,7,0.0
68,8,0.0
68,9,0.0
68,10,0.0
68,11,0.0
68,12,0.0
72,0,0.0
72,1,1.0
72,2,0.0
72,3,1.0
72,4,1.0
72,5,1.0
72,6,0.0
72,7,0.0
72,8,0.0
72,9,0.0
72,10,0.0
72,11,0.0
72,12,0.0
76,0,0.0
76,1,1.0
76,2,0.0
76,3,1.0
76,4,1.0
76,5,1.0
76,6,0.0
76,7,0.0
76,8,0.0
76,9,0.0
76,10,0.0
76,11,0.0
76,12,0.0
80,0,0.0
80,1,1.0
80,2,0.0
80,3,1.0
80,4,1.0
80,5,1.0
80,6,0.0
80,7,0.0
80,8,0.0
80,9,0.0
80,10,0.0
80,11,0.0
80,12,0.0
84,0,0.0
84,1,1.0
84,2,0.0
84,3,1.0
84,4,1.0
84,5,1.0
84,6,0.0
84,7,0.0
84,8,0.0
84,9,0.0
84,10,0.0
84,11,0.0
84,12,0.0
88,0,0.0
88,1,1.0
88,2,0.0
88,3,1.0
88,4,1.0
88,5,1.0
88,6,0.0
88,7,0.0
88,8,0.0
88,9,0.0
88,10,0.0
88,11,0.0
88,12,0.0
92,0,0.0
92,1,1.0
92,2,0.0
92,3,1.0
92,4,1.0
92,5,1.0
92,6,0.0
92,7,0.0
92,8,0.0
92,9,0.0
92,10,0.0
92,11,0.0
92,12,0.0
96,0,0.0
96,1,1.0
96,2,0.0
96,3,1.0
96,4,1.0
96,5,1.0
96,6,0.0
96,7,0.0
96,8,0.0
96,9,0.0
96,10,0.0
96,11,0.0
96,12,0.0
100,0,0.0
100,1,1.0
100,2,0.0
100,3,1.0
100,4,1.0
100,5,1.0
100,6,0.0
100,7,0.0
100,8,0.0
100,9,0.0
100,10,0.0
100,11,0.0
100,12,0.0
