target,probe,fact,inference_type,source_fact(s),derivation,question,answer,source_facts,text_sentences
 reversal and remand,"According to the opinion 'United States v. Constantinescu', after taking the indictment’s allegations as true and concluding that an offense had been stated, the court of appeals’ disposition was","According to the opinion 'United States v. Constantinescu', after taking the indictment’s allegations as true and concluding that an offense had been stated, the court of appeals’ disposition was reversal and remand",Multi-Fact Integration,"['“[T]he court is required to take the allegations of the indictment as true and to determine whether an offense has been stated.”', 'Because the indictment sufficiently alleges a scheme and intent to defraud, we REVERSE the district court’s dismissal of the indictment and REMAND for proceedings consistent with this opinion.']","After taking the allegations as true and finding that they state an offense, the court logically reversed the dismissal and sent the case back.","After taking the indictment’s allegations as true and finding an offense stated, what procedural step followed in the court of appeals?",reversal and remand,"['“[T]he court is required to take the allegations of the indictment as true and to determine whether an offense has been stated.”', 'Because the indictment sufficiently alleges a scheme and intent to defraud, we REVERSE the district court’s dismissal of the indictment and REMAND for proceedings consistent with this opinion.']","['“[T]he court is required to take the allegations of the indictment as true and to determine whether an offense has been stated.”', 'Because the indictment sufficiently alleges a scheme and intent to defraud, we REVERSE the district court’s dismissal of the indictment and REMAND for proceedings consistent with this opinion.']"
 no traditional property interest,"According to the opinion 'United States v. Constantinescu', if the district court had been right that the indictment alleged only deprivation of valuable economic information, then the charged property interest would have been","According to the opinion 'United States v. Constantinescu', if the district court had been right that the indictment alleged only deprivation of valuable economic information, then the charged property interest would have been no traditional property interest",Reasoning Step,"['The district court dismissed the indictment, concluding that it failed to allege that defendants schemed to deprive victims of any traditional property interest.', 'The Court held that because the federal fraud statutes protect only traditional property interests, and “[t]he right to valuable economic information . . . is not a traditional property interest,” “the right-to-control theory cannot form the basis for a [fraud] conviction.”']","If the indictment really alleged only deprivation of valuable economic information, then it would fail because no traditional property interest would be at stake.","If the district court had been right that the indictment alleged only deprivation of valuable economic information, what would that mean about the charged property interest?",no traditional property interest,"['The district court dismissed the indictment, concluding that it failed to allege that defendants schemed to deprive victims of any traditional property interest.', 'The Court held that because the federal fraud statutes protect only traditional property interests, and “[t]he right to valuable economic information . . . is not a traditional property interest,” “the right-to-control theory cannot form the basis for a [fraud] conviction.”']","['The district court dismissed the indictment, concluding that it failed to allege that defendants schemed to deprive victims of any traditional property interest.', 'The Court held that because the federal fraud statutes protect only traditional property interests, and “[t]he right to valuable economic information . . . is not a traditional property interest,” “the right-to-control theory cannot form the basis for a [fraud] conviction.”']"
 right-to-control theory,"According to the opinion 'United States v. Constantinescu', if the indictment had alleged only deprivation of potentially valuable economic information, rather than inducing followers to hand over money or property, it would have mirrored the","According to the opinion 'United States v. Constantinescu', if the indictment had alleged only deprivation of potentially valuable economic information, rather than inducing followers to hand over money or property, it would have mirrored the right-to-control theory",Reasoning Step,"['In Ciminelli, the Supreme Court held that a fraud conviction cannot be based solely on the deprivation of valuable economic information.', 'Under the right-to-control theory, the government attempted to “establish wire fraud by showing that the defendant schemed to deprive a victim of potentially valuable economic information necessary to make discretionary economic decisions.”', 'The Court held that because the federal fraud statutes protect only traditional property interests, and “[t]he right to valuable economic information . . . is not a traditional property interest,” “the right-to-control theory cannot form the basis for a [fraud] conviction.”']","If the allegation were limited to withholding valuable economic information, it would match the right-to-control theory that Ciminelli rejected.","If the indictment had alleged only deprivation of potentially valuable economic information, rather than inducing followers to hand over money or property, what theory would it mirror under Ciminelli?",right-to-control theory,"['In Ciminelli, the Supreme Court held that a fraud conviction cannot be based solely on the deprivation of valuable economic information.', 'Under the right-to-control theory, the government attempted to “establish wire fraud by showing that the defendant schemed to deprive a victim of potentially valuable economic information necessary to make discretionary economic decisions.”', 'The Court held that because the federal fraud statutes protect only traditional property interests, and “[t]he right to valuable economic information . . . is not a traditional property interest,” “the right-to-control theory cannot form the basis for a [fraud] conviction.”']","['In Ciminelli, the Supreme Court held that a fraud conviction cannot be based solely on the deprivation of valuable economic information.', 'Under the right-to-control theory, the government attempted to “establish wire fraud by showing that the defendant schemed to deprive a victim of potentially valuable economic information necessary to make discretionary economic decisions.”', 'The Court held that because the federal fraud statutes protect only traditional property interests, and “[t]he right to valuable economic information . . . is not a traditional property interest,” “the right-to-control theory cannot form the basis for a [fraud] conviction.”']"
 obtain money,"According to the opinion 'United States v. Constantinescu', defendants' claim that they meant to profit rather than harm their followers was irrelevant because their alleged objective was to","According to the opinion 'United States v. Constantinescu', defendants' claim that they meant to profit rather than harm their followers was irrelevant because their alleged objective was to obtain money",Multi-Fact Integration,"['The Court rejected that assertion, holding that a defendant violates the fraud statutes when he “schem[es] to ‘obtain’ the victim’s ‘money or property,’ regardless of whether he seeks to leave the victim economically worse off.”', 'Defendants argue they intended to profit—not harm any victim. But here, that is a distinction without a difference. As the indictment alleges, defendants’ object was to obtain money,']","Because the statutes reach schemes aimed at obtaining money even without intending net economic harm, the profit-versus-harm distinction fails once the object is obtaining money.",What alleged objective made defendants' claim that they meant to profit rather than harm their followers irrelevant under the opinion's reasoning?,obtain money,"['The Court rejected that assertion, holding that a defendant violates the fraud statutes when he “schem[es] to ‘obtain’ the victim’s ‘money or property,’ regardless of whether he seeks to leave the victim economically worse off.”', 'Defendants argue they intended to profit—not harm any victim. But here, that is a distinction without a difference. As the indictment alleges, defendants’ object was to obtain money,']","['The Court rejected that assertion, holding that a defendant violates the fraud statutes when he “schem[es] to ‘obtain’ the victim’s ‘money or property,’ regardless of whether he seeks to leave the victim economically worse off.”', 'Defendants argue they intended to profit—not harm any victim. But here, that is a distinction without a difference. As the indictment alleges, defendants’ object was to obtain money,']"
 inducing followers to purchase securities,"According to the opinion 'United States v. Constantinescu', under the court’s reasoning, the necessary injury was supplied by the event itself, even without net pecuniary loss, namely","According to the opinion 'United States v. Constantinescu', under the court’s reasoning, the necessary injury was supplied by the event itself, even without net pecuniary loss, namely inducing followers to purchase securities",Synthesized Insight,"['For example, it alleges that defendants “post[ed] false and misleading information about the security . . . so that other investors were induced to purchase the security.” Indictment ¶ 13.', '“[A] fraud is complete when the defendant has induced the deprivation of money or property under materially false pretenses”—regardless of whether the victim suffered a net pecuniary loss.', 'The indictment’s allegation of defendants’ fraudulently inducing their followers to purchase securities is sufficient to allege an injury.']","Because fraud is complete upon induced deprivation under false pretenses, the induced purchases themselves supplied the injury even without net loss.","Under the court’s reasoning, what event itself supplied the necessary injury even without net pecuniary loss?",inducing followers to purchase securities,"['For example, it alleges that defendants “post[ed] false and misleading information about the security . . . so that other investors were induced to purchase the security.” Indictment ¶ 13.', '“[A] fraud is complete when the defendant has induced the deprivation of money or property under materially false pretenses”—regardless of whether the victim suffered a net pecuniary loss.', 'The indictment’s allegation of defendants’ fraudulently inducing their followers to purchase securities is sufficient to allege an injury.']","['For example, it alleges that defendants “post[ed] false and misleading information about the security . . . so that other investors were induced to purchase the security.” Indictment ¶ 13.', '“[A] fraud is complete when the defendant has induced the deprivation of money or property under materially false pretenses”—regardless of whether the victim suffered a net pecuniary loss.', 'The indictment’s allegation of defendants’ fraudulently inducing their followers to purchase securities is sufficient to allege an injury.']"
 fraudulently inducing purchases,"According to the opinion 'United States v. Constantinescu', even if followers received market-value securities, the allegation that still supplied the necessary injury was","According to the opinion 'United States v. Constantinescu', even if followers received market-value securities, the allegation that still supplied the necessary injury was fraudulently inducing purchases",Synthesized Insight,"['Because the fraud statutes do not require actual economic harm, defendants’ followers’ receipt of market-value securities does not obviate the fraud charges.', 'The indictment’s allegation of defendants’ fraudulently inducing their followers to purchase securities is sufficient to allege an injury.']","Even if followers got market-value securities, the alleged injury remains the fraudulent inducement that caused them to purchase.","According to the opinion, what allegation still supplied the necessary injury even if followers received market-value securities?",fraudulently inducing purchases,"['Because the fraud statutes do not require actual economic harm, defendants’ followers’ receipt of market-value securities does not obviate the fraud charges.', 'The indictment’s allegation of defendants’ fraudulently inducing their followers to purchase securities is sufficient to allege an injury.']","['Because the fraud statutes do not require actual economic harm, defendants’ followers’ receipt of market-value securities does not obviate the fraud charges.', 'The indictment’s allegation of defendants’ fraudulently inducing their followers to purchase securities is sufficient to allege an injury.']"
 it borrows key concepts,"According to the opinion 'United States v. Constantinescu', the panel was able to use Ciminelli and Kousisis because § 1348 is structured in a way that","According to the opinion 'United States v. Constantinescu', the panel was able to use Ciminelli and Kousisis because § 1348 is structured in a way that it borrows key concepts",Multi-Fact Integration,"['While “[t]here is scant caselaw construing the securities fraud statute in this circuit,” § 1348 “borrows key concepts from the mail and wire fraud statutes,” so “courts have given the terms similar treatment,” often relying on mail and wire fraud cases in analyzing securities fraud charges.', 'In light of the Supreme Court’s decisions in Ciminelli and Kousisis, we disagree.']","Because § 1348 uses concepts treated similarly to mail and wire fraud, the panel could rely on Supreme Court fraud cases like Ciminelli and Kousisis in analyzing this securities-fraud indictment.",What feature of § 1348 let the panel use Ciminelli and Kousisis to analyze this indictment?,it borrows key concepts,"['While “[t]here is scant caselaw construing the securities fraud statute in this circuit,” § 1348 “borrows key concepts from the mail and wire fraud statutes,” so “courts have given the terms similar treatment,” often relying on mail and wire fraud cases in analyzing securities fraud charges.', 'In light of the Supreme Court’s decisions in Ciminelli and Kousisis, we disagree.']","['While “[t]here is scant caselaw construing the securities fraud statute in this circuit,” § 1348 “borrows key concepts from the mail and wire fraud statutes,” so “courts have given the terms similar treatment,” often relying on mail and wire fraud cases in analyzing securities fraud charges.', 'In light of the Supreme Court’s decisions in Ciminelli and Kousisis, we disagree.']"
 receipt of market-value securities,"According to the opinion 'United States v. Constantinescu,' defendants’ no-fraud argument would have been supported if the statutes required the victim to be economically worse off, because that would have been shown by","According to the opinion 'United States v. Constantinescu,' defendants’ no-fraud argument would have been supported if the statutes required the victim to be economically worse off, because that would have been shown by receipt of market-value securities",Reasoning Step,"['The Court rejected that assertion, holding that a defendant violates the fraud statutes when he “schem[es] to ‘obtain’ the victim’s ‘money or property,’ regardless of whether he seeks to leave the victim economically worse off.”', 'Because the fraud statutes do not require actual economic harm, defendants’ followers’ receipt of market-value securities does not obviate the fraud charges.']","If economic worsening were required, the followers’ getting market-value securities would have supported defendants’ claim that no fraud was alleged.",What fact would have supported defendants’ no-fraud argument if the statutes required the victim to be economically worse off?,receipt of market-value securities,"['The Court rejected that assertion, holding that a defendant violates the fraud statutes when he “schem[es] to ‘obtain’ the victim’s ‘money or property,’ regardless of whether he seeks to leave the victim economically worse off.”', 'Because the fraud statutes do not require actual economic harm, defendants’ followers’ receipt of market-value securities does not obviate the fraud charges.']","['The Court rejected that assertion, holding that a defendant violates the fraud statutes when he “schem[es] to ‘obtain’ the victim’s ‘money or property,’ regardless of whether he seeks to leave the victim economically worse off.”', 'Because the fraud statutes do not require actual economic harm, defendants’ followers’ receipt of market-value securities does not obviate the fraud charges.']"
 induced purchase of securities,"According to the opinion 'United States v. Constantinescu', under the court’s definition of when fraud is complete, the event in the alleged pump-and-dump scheme that would complete the fraud was","According to the opinion 'United States v. Constantinescu', under the court’s definition of when fraud is complete, the event in the alleged pump-and-dump scheme that would complete the fraud was induced purchase of securities",Multi-Fact Integration,"['“[A] fraud is complete when the defendant has induced the deprivation of money or property under materially false pretenses”—regardless of whether the victim suffered a net pecuniary loss.', 'For example, it alleges that defendants “post[ed] false and misleading information about the security . . . so that other investors were induced to purchase the security.” Indictment ¶ 13.']","If fraud is complete upon inducing a deprivation of money or property by false pretenses, then the alleged induced purchase of securities is the completion point here.","Under the court’s definition of when fraud is complete, what event in the alleged pump-and-dump scheme would complete the fraud?",induced purchase of securities,"['“[A] fraud is complete when the defendant has induced the deprivation of money or property under materially false pretenses”—regardless of whether the victim suffered a net pecuniary loss.', 'For example, it alleges that defendants “post[ed] false and misleading information about the security . . . so that other investors were induced to purchase the security.” Indictment ¶ 13.']","['“[A] fraud is complete when the defendant has induced the deprivation of money or property under materially false pretenses”—regardless of whether the victim suffered a net pecuniary loss.', 'For example, it alleges that defendants “post[ed] false and misleading information about the security . . . so that other investors were induced to purchase the security.” Indictment ¶ 13.']"
 each material element,"According to the opinion 'United States v. Constantinescu', once the court concluded that the indictment alleged both a scheme to defraud and an intent to defraud, the general indictment requirement that was necessarily met was to allege","According to the opinion 'United States v. Constantinescu', once the court concluded that the indictment alleged both a scheme to defraud and an intent to defraud, the general indictment requirement that was necessarily met was to allege each material element",Multi-Fact Integration,"['“In sum, to be sufficient, an indictment must allege each material element of the offense.”', 'With those concepts in mind, securities fraud requires (1) a “scheme to defraud” (2) enacted with an “intent to defraud.”', 'Because the indictment sufficiently alleges a scheme and intent to defraud, we REVERSE the district court’s dismissal of the indictment']","Once the court found both required securities-fraud elements alleged, the indictment necessarily satisfied the rule requiring allegation of each material element.","Once the court concluded that the indictment alleged both a scheme to defraud and an intent to defraud, what general indictment requirement was necessarily met?",each material element,"['“In sum, to be sufficient, an indictment must allege each material element of the offense.”', 'With those concepts in mind, securities fraud requires (1) a “scheme to defraud” (2) enacted with an “intent to defraud.”', 'Because the indictment sufficiently alleges a scheme and intent to defraud, we REVERSE the district court’s dismissal of the indictment']","['“In sum, to be sufficient, an indictment must allege each material element of the offense.”', 'With those concepts in mind, securities fraud requires (1) a “scheme to defraud” (2) enacted with an “intent to defraud.”', 'Because the indictment sufficiently alleges a scheme and intent to defraud, we REVERSE the district court’s dismissal of the indictment']"
