row_index,keep,drop_reason,review_notes,replacement_probe,replacement_target,duplicate_of
0,false,duplicate,Duplicates row 17’s offense-stated consequence and adds only the direct disposition.,,,17
1,true,keep,"Correctly infers that induced securities purchases involved followers parting with money, a protected property interest.",,,
2,true,keep,Correctly applies Ciminelli to the district court’s information-only theory.,,,
3,true,keep,Correctly identifies the information-only alternative as the right-to-control theory rejected in Ciminelli.,,,
4,true,keep,Correctly applies Kousisis to explain why profit rather than intended net harm did not defeat intent to defraud.,,,
5,false,duplicate,Repeats the money-as-thing-of-value concept covered more centrally by row 1.,,,1
6,false,duplicate,Duplicates row 10’s induced-purchase completion/injury concept.,,,10
7,false,duplicate,"Duplicates row 10’s fraudulent-inducement injury concept, with a less precise target.",,,10
8,true,keep,Correctly explains why mail-and-wire-fraud precedents informed the section 1348 analysis.,,,
9,false,bad_target,The target does not cleanly complete the cloze and leaves the counterfactual conclusion ambiguous.,,,
10,true,keep,Correctly applies the fraud-completion rule to the alleged induced purchase of securities.,,,
11,false,too_minor,The remaining-defendants point is procedural and mostly follows directly from Knight’s plea and the remand.,,,
12,false,recall_not_composition,The material-element answer is a generic restatement of the sufficiency standard after listing the elements.,,,
13,false,recall_not_composition,The two disputed elements are stated directly in one sentence.,,,
14,false,recall_not_composition,The follower purchase step is a direct lookup from the pump-and-dump sequence.,,,
15,true,keep,Valid counterfactual applying the material-misrepresentation requirement to truthful posts.,,,
16,false,recall_not_composition,The remand phrase is direct disposition language and does not add meaningful composition.,,,
17,true,keep,Correctly combines the review standard with the merits holding to conclude the indictment stated an offense.,,,
