row_index,keep,drop_reason,review_notes,replacement_probe,replacement_target,duplicate_of
0,False,duplicate,"Duplicates row 4 and is weaker because the singular target omits load balancing, which the source gives alongside the persistent kernel.",,,4.0
1,True,keep,"Correct, document-grounded composition probe with concise target and no stronger duplicate found. Cloze shape repaired so the probe is declarative and completes by appending the target.","According to the paper 'FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision', pingpong scheduling hides another operation under GEMMs, and the softmax component it is trying to hide is the", exponential calculation,
2,True,keep,"Correct, document-grounded composition probe with concise target and no stronger duplicate found.",,,
3,True,keep,"Correct, document-grounded composition probe with concise target and no stronger duplicate found.",,,
4,True,keep,"Correct, document-grounded composition probe with concise target and no stronger duplicate found.",,,
5,True,keep,"Correct, document-grounded composition probe with concise target and no stronger duplicate found.",,,
6,False,duplicate,Duplicates row 15 on register pressure/tradeoff from deeper pipelining and larger blocks; row 15 names the limiting resource directly.,,,15.0
7,True,keep,"Correct, document-grounded composition probe with concise target and no stronger duplicate found.",,,
8,True,keep,"Correct, document-grounded composition probe with concise target and no stronger duplicate found.",,,
9,True,keep,"Correct, document-grounded composition probe with concise target and no stronger duplicate found.",,,
10,True,keep,"Correct, document-grounded composition probe with concise target and no stronger duplicate found.",,,
11,True,keep,"Correct, document-grounded composition probe with concise target and no stronger duplicate found.",,,
12,True,keep,"Correct, document-grounded composition probe with concise target and no stronger duplicate found.",,,
13,True,keep,"Correct, document-grounded composition probe with concise target and no stronger duplicate found.",,,
14,True,keep,"Correct, document-grounded composition probe with concise target and no stronger duplicate found.",,,
15,True,keep,"Correct, document-grounded composition probe with concise target and no stronger duplicate found.",,,
16,True,keep,"Correct, document-grounded composition probe with concise target and no stronger duplicate found.",,,
17,True,keep,"Correct, document-grounded composition probe with concise target and no stronger duplicate found.",,,
18,False,duplicate,Duplicates row 14 on needing an in-kernel V-tile transpose under FP8 layout constraints; row 14 includes the ruled-out alternatives.,,,14.0
19,False,duplicate,Duplicates the orthogonal-transform preservation tested more compositionally by row 30.,,,30.0
20,False,duplicate,Duplicates row 9 on the orthogonal transform preserving attention while reducing quantization error; row 9 gives the mechanism.,,,9.0
21,True,keep,"Correct, document-grounded composition probe with concise target and no stronger duplicate found.",,,
22,True,keep,"Correct, document-grounded composition probe with concise target and no stronger duplicate found.",,,
23,True,keep,"Correct, document-grounded composition probe with concise target and no stronger duplicate found.",,,
24,True,keep,"Correct, document-grounded composition probe with concise target and no stronger duplicate found.",,,
25,False,duplicate,Duplicates row 2 on allocating more registers to the compute/MMA consumer side.,,,2.0
26,True,keep,"Correct, document-grounded composition probe with concise target and no stronger duplicate found.",,,
27,False,duplicate,Duplicates row 26 on hiding the next V-tile transpose under the two WGMMAs; row 26 has the cleaner target.,,,26.0
28,False,duplicate,Duplicates row 1 on pingpong scheduling overlapping one warpgroup softmax with another warpgroup GEMMs.,,,1.0
29,True,keep,"Correct, document-grounded composition probe with concise target and no stronger duplicate found.",,,
30,True,keep,"Correct, document-grounded composition probe with concise target and no stronger duplicate found.",,,
31,True,keep,"Correct, document-grounded composition probe with concise target and no stronger duplicate found.",,,
32,False,duplicate,Duplicates row 23 on FP8 making exponential/softmax the worse relative bottleneck; row 23 is a valid cloze.,,,23.0
33,True,keep,"Correct, document-grounded composition probe with concise target and no stronger duplicate found.",,,
34,True,keep,"Correct, document-grounded composition probe with concise target and no stronger duplicate found.",,,
35,True,keep,"Correct, document-grounded composition probe with concise target and no stronger duplicate found. Cloze shape repaired so the probe is declarative and completes by appending the target.","According to the paper 'FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision', when causal masking is used, compared with the forward-pass FLOP count, the backward-pass FLOP count is", 2.5 times larger,
36,False,duplicate,Duplicates row 10 on cross-iteration pipelining with register buffers enabling GEMM-softmax overlap.,,,10.0
