v13_row_0based,v13_row_1based,decision,issue_type,filter_reason,review_reason,probe,target,fact,raw_knowledge_statement,section
8,9,keep_rejected,too_generic_target|weak_distractor_space,Generic phrase; weak distractor space,Target remains too generic or low-information for restoration.,"In the paper ""xLSTM: Extended Long Short-Term Memory"", the authors characterize mLSTM in terms of parallelization when describing their modified LSTM memory structures as",fully parallelizable.,"In the paper ""xLSTM: Extended Long Short-Term Memory"", the authors characterize mLSTM in terms of parallelization when describing their modified LSTM memory structures as fully parallelizable.","Secondly, we modify the LSTM memory structure, obtaining: (i) sLSTM with a scalar memory, a scalar update, and new memory mixing, (ii) mLSTM that is fully parallelizable with a matrix memory and a covariance update rule.",Title/Abstract
10,11,keep_rejected,tautological_stem|weak_distractor_space,Target strongly implied by paper title,Visible stem makes the completion too easy or too weakly distractible.,"According to the paper ""xLSTM: Extended Long Short-Term Memory"", after integrating the LSTM extensions into residual block backbones, the resulting blocks are residually stacked into",xLSTM architectures.,"According to the paper ""xLSTM: Extended Long Short-Term Memory"", after integrating the LSTM extensions into residual block backbones, the resulting blocks are residually stacked into xLSTM architectures.",Integrating these LSTM extensions into residual block backbones yields xLSTM blocks that are then residually stacked into xLSTM architectures.,Title/Abstract
12,13,keep_rejected,too_generic_target|weak_distractor_space,Too generic phrase completion,Target remains too generic or low-information for restoration.,"According to the paper ""xLSTM: Extended Long Short-Term Memory"", exponential gating and modified memory structures enable xLSTM to perform favorably compared to state-of-the-art Transformers and State Space Models in",performance and scaling,"According to the paper ""xLSTM: Extended Long Short-Term Memory"", exponential gating and modified memory structures enable xLSTM to perform favorably compared to state-of-the-art Transformers and State Space Models in performance and scaling","Exponential gating and modified memory structures boost xLSTM capabilities to perform favorably when compared to state-of-the-art Transformers and State Space Models, both in performance and scaling.",Title/Abstract
18,19,restore,formula_or_symbol_memorization|filter_overstrict,Notation-only target; weak meaningful distractors,Cell-state squashing function symbol is source-backed notation with plausible alternatives.,"In the paper ""xLSTM: Extended Long Short-Term Memory"", the function used to normalize or squash the cell state before output gating to produce the hidden state is",$\psi$.,"In the paper ""xLSTM: Extended Long Short-Term Memory"", the function used to normalize or squash the cell state before output gating to produce the hidden state is $\psi$.","The cell state is normalized or squashed by $\psi$ 
and then output gating gives the hidden state.",Introduction
28,29,keep_rejected,tautological_stem|weak_distractor_space,Too trivial phrase completion,Visible stem makes the completion too easy or too weakly distractible.,"According to the paper ""xLSTM: Extended Long Short-Term Memory"", LSTMs excel at learning by adeptly extracting semantic information and storing it in their memory cells as",abstractions,"According to the paper ""xLSTM: Extended Long Short-Term Memory"", LSTMs excel at learning by adeptly extracting semantic information and storing it in their memory cells as abstractions","LSTMs excel at learning abstractions, i.e., adeptly extracting semantic information and storing it in their memory cells~\citep{Karpathy:15blog}, which for example became evident by number and syntax neurons~\citep{Lakretz:19}, linguistic neurons~\citep{Bau:19}, and sentiment neurons~\citep{Radford:17arxiv}.",Introduction
31,32,keep_rejected,too_generic_target|weak_distractor_space,Too generic phrase completion,Target remains too generic or low-information for restoration.,"According to the paper ""xLSTM: Extended Long Short-Term Memory"", LSTMs are still used in",highly relevant applications.,"According to the paper ""xLSTM: Extended Long Short-Term Memory"", LSTMs are still used in highly relevant applications.","LSTMs are still used in highly relevant applications~\citep{Degrave:22short,Nearing:24} and have stood the test of time.",Introduction
32,33,keep_rejected,too_generic_target|weak_distractor_space,Too generic phrase completion,Target remains too generic or low-information for restoration.,"In the paper ""xLSTM: Extended Long Short-Term Memory"", the authors say that despite still being used in highly relevant applications, LSTMs have",stood the test of time.,"In the paper ""xLSTM: Extended Long Short-Term Memory"", the authors say that despite still being used in highly relevant applications, LSTMs have stood the test of time.","LSTMs are still used in highly relevant applications~\citep{Degrave:22short,Nearing:24} and have stood the test of time.",Introduction
33,34,keep_rejected,tautological_stem|weak_distractor_space,Too trivial phrase completion,Visible stem makes the completion too easy or too weakly distractible.,"According to the paper ""xLSTM: Extended Long Short-Term Memory"", in the discussion of the Nearest Neighbor Search limitation, LSTM struggles to revise when a more similar vector is found",a stored value,"According to the paper ""xLSTM: Extended Long Short-Term Memory"", in the discussion of the Nearest Neighbor Search limitation, LSTM struggles to revise when a more similar vector is found a stored value","LSTM struggles to revise a stored value when a more similar vector is found, while our new xLSTM remediates this limitation by exponential gating.",Introduction
36,37,keep_rejected,tautological_stem|weak_distractor_space,Target strongly implied by question wording,Visible stem makes the completion too easy or too weakly distractible.,"According to the paper ""xLSTM: Extended Long Short-Term Memory"", the limitation of LSTM discussed in relation to rare token prediction, which requires information to be compressed into scalar cell states, is",Limited storage capacities.,"According to the paper ""xLSTM: Extended Long Short-Term Memory"", the limitation of LSTM discussed in relation to rare token prediction, which requires information to be compressed into scalar cell states, is Limited storage capacities.","(ii) Limited storage capacities, i.e., information must be compressed into scalar cell states.",Introduction
40,41,keep_rejected,tautological_stem|weak_distractor_space,Target trivially implied by question wording,Visible stem makes the completion too easy or too weakly distractible.,"According to the paper ""xLSTM: Extended Long Short-Term Memory"", Extended Long Short-Term Memory (xLSTM) aims to overcome",the LSTM limitations,"According to the paper ""xLSTM: Extended Long Short-Term Memory"", Extended Long Short-Term Memory (xLSTM) aims to overcome the LSTM limitations","To overcome the LSTM limitations, Extended Long Short-Term Memory (xLSTM) introduces two main modifications to the LSTM idea of Equation~\eqref{eq:lstm_idea}.",Extended Long Short-Term Memory
