target,probe,fact,inference_type,text_sentences,question,answer
 overfitting,"In the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', the authors note that increasing expressiveness without appropriate regularity during finetuning commonly leads to","In the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', the authors note that increasing expressiveness without appropriate regularity during finetuning commonly leads to overfitting",New Insight,"['However, we note that better expressiveness does not always lead to better performance in finetuning, as full finetuning, despite its universal expressiveness, often yields unsatisfactory performance.', 'The trade-off between expressivity and regularity is the key to the generalizability of model finetuning.', 'Given the widespread use of the butterfly structure in many fast linear transforms, such as the discrete Fourier and discrete cosine transforms, we argue that our structured approach to parameter efficiency will introduce an implicit inductive bias that benefits generalizability and prevents overfitting.', 'LoRA~\\cite{hulora2022} further implements a Dropout layer for the low-rank weight update to prevent overfitting.']",What common negative outcome arises when increasing expressiveness without appropriate regularity during finetuning?,overfitting
 parameter efficiency,"In the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', composing a dense orthogonal matrix from a product of sparse orthogonal matrices is proposed primarily to achieve","In the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', composing a dense orthogonal matrix from a product of sparse orthogonal matrices is proposed primarily to achieve parameter efficiency",Conceptual Synthesis,"['To address this question, we propose to compose a dense orthogonal matrix with a product of multiple sparse orthogonal matrices.', 'We draw inspiration from an interesting topology from the Cooley-Tukey algorithm, called butterfly graphs, which can densely connect d source nodes and d receiver nodes efficiently with O(d log d) edges.', 'If we use the butterfly matrix, i.e., m=log d,b=2, BOFT uses O(d log d) parameters.', 'The key to addressing this problem is to generate a dense orthogonal matrix, while still being parameter-efficient.', 'This approach is guided by the insight that the number of trainable parameters can be reduced by trading computation time for space.']","What primary advantage does composing a dense orthogonal matrix from a product of sparse orthogonal matrices provide, according to the paper?",parameter efficiency
 skew-symmetric,"In the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', the Cayley parameterization is written as $\bm{R}=(\bm{I}+\bm{Q})(\bm{I}-\bm{Q})^{-1}$. The constraint required on $\bm{Q}$ so that $\bm{R}$ remains orthogonal is that $\bm{Q}$ be","In the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', the Cayley parameterization is written as $\bm{R}=(\bm{I}+\bm{Q})(\bm{I}-\bm{Q})^{-1}$. The constraint required on $\bm{Q}$ so that $\bm{R}$ remains orthogonal is that $\bm{Q}$ be skew-symmetric",Conceptual Synthesis,"['To ensure the orthogonality of R throughout the finetuning process, we follow to employ Cayley parameterization, i.e., R=(I+Q)(I-Q)^{-1} where Q is a skew-symmetric matrix with Q=-Q^T.', 'In BOFT, we initialize all the butterfly components with identity matrices (\\emph{i.e.}, the skew-symmetric matrix is initialized as zeros in Cayley transform).']",Which constraint on Q in the Cayley parameterization is required so that R remains orthogonal?,skew-symmetric
 worse generalization,"In the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', replacing BOFT's structured product of sparse orthogonal factors with an unstructured dense orthogonal matrix while keeping the same number of effective parameters is likely to result in","In the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', replacing BOFT's structured product of sparse orthogonal factors with an unstructured dense orthogonal matrix while keeping the same number of effective parameters is likely to result in worse generalization",Predicting Hypothetical,"['BOFT enlarges the finetuning parameter space with structural priors, which enables us to find a better trade-off between expressivity and regularity.', 'However, we note that better expressiveness does not always lead to better performance in finetuning, as full finetuning, despite its universal expressiveness, often yields unsatisfactory performance.', 'Since $\\bm{R}(m,b)$ in BOFT usually represents a structured subset of the orthogonal group which constrains the hypothesis class, BOFT will naturally induce an inductive bias.', 'We argue that the structured inductive bias induced by butterfly factorization is beneficial to generalization, as it has a shared structured pattern of many classic linear transforms~\\cite{dao2019kaleidoscope}, such as discrete Fourier transform, discrete sine/cosine transform and Hadamard transform.']","If one replaced BOFT's structured product with an unstructured dense orthogonal matrix but kept the same number of effective parameters, what is the likely effect on finetuning generalization?",worse generalization
 angles encode semantics,"In the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', the unstated assumption about pretrained representations that justifies preserving pairwise angles between neurons is that","In the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', the unstated assumption about pretrained representations that justifies preserving pairwise angles between neurons is that angles encode semantics",Conceptual Synthesis,"['The motivation for applying orthogonal transformation to finetune the weight matrix is to preserve the pair-wise angles of neurons, such that the semantic knowledge from pretraining can be largely preserved.', 'Given the structured nature of weight matrices, a more principled approach  tries to preserve the relational information of the weight matrices, i.e.~the pairwise angles between neurons.', 'This insight leads to a novel model finetuning framework, known as Orthogonal Finetuning~(OFT)~\\cite{qiu2023controlling}, where neurons in the same layer are transformed by the same orthogonal matrix such that pairwise angles between neurons are provably preserved throughout the finetuning process.']",What unstated assumption about pretrained representations justifies preserving pair-wise angles between neurons?,angles encode semantics
 full reachability,"In the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', in graph-theoretic terms, the property that must hold between the first and $(m+1)$-th level so that the composed matrix $\bm{R}$ is dense is","In the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', in graph-theoretic terms, the property that must hold between the first and $(m+1)$-th level so that the composed matrix $\bm{R}$ is dense is full reachability",Conceptual Synthesis,"['A dense square matrix can be interpreted as a dense connectivity from d nodes to another d nodes.', 'For the matrix R to be dense, every node in the first level should be able to transmit information to every node in the (m+1)-th level.', 'Under the information transmission view, the general desiderata towards our goal are \\emph{(i)} \\textbf{dense connectivity}: every node in the first level has at least one path to every node in the last level, and \\emph{(ii)} \\textbf{minimum free edges}: the total number of edges should be as small as possible under the orthogonality constraint.']","In graph-theoretic terms, what property must hold between the first and last level to ensure the resulting R is dense?",full reachability
 block butterfly,"In the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', when the model dimension $d$ is not a power of two, the BOFT variant from the paper that best adapts the butterfly structure is","In the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', when the model dimension $d$ is not a power of two, the BOFT variant from the paper that best adapts the butterfly structure is block butterfly",Conceptual Synthesis,"['We generalize the butterfly matrices following, and define a block butterfly component ~B^b(d,k) where each entry in d_i, ∀ i becomes a b×b matrix.', 'Combining pieces, the forward pass in BOFT is ... where we denote BOFT(m,b).', 'Assuming that $k\\geq 2$ is a power of $2$, we start by defining the \\emph{butterfly factor} $\\bm{B}^F(k)$ as', 'BOFT($\\log \\frac{2d}{b}$,$b$) uses the block butterfly matrix $\\bm{B}^{\\frac{b}{2}}(d)$ as $\\bm{R}$, and yields a dense orthogonal matrix $\\bm{R}$.']","If the model dimension d is not a power of two, which BOFT variant from the paper best adapts the butterfly structure?",block butterfly
 butterfly factorization,"In the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', BOFT introduces the key parameterization to produce dense orthogonal matrices with far fewer trainable parameters:","In the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', BOFT introduces the key parameterization to produce dense orthogonal matrices with far fewer trainable parameters: butterfly factorization",Conceptual Synthesis,"['Inspired by how the Cooley-Tukey fast Fourier transform algorithm enables efficient information transmission, we propose an efficient orthogonal parameterization using butterfly structures.', 'We apply this parameterization to OFT, creating a novel parameter-efficient finetuning method, called Orthogonal Butterfly (BOFT).', 'Specifically, the butterfly graph in the Cooley-Tukey algorithm inherently induces a way to perform sparse matrix factorization, called butterfly factorization.', 'With butterfly factorization, we are able to generate a $d$-dimensional dense matrix with a product of $\\mathcal{O}(\\log d)$ sparse matrices, each with $\\mathcal{O}(d)$ non-zero entries.']",What key parameterization does BOFT introduce to produce dense orthogonal matrices with far fewer trainable parameters?,butterfly factorization
 $\mathcal{O}(d\log d)$,"According to the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', the asymptotic number of trainable parameters per layer for BOFT, expressed in terms of $d$, is","According to the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', the asymptotic number of trainable parameters per layer for BOFT, expressed in terms of $d$, is $\mathcal{O}(d\log d)$",Conceptual Synthesis,"['With butterfly factorization, we are able to generate a d-dimensional dense matrix with a product of O(log d) sparse matrices, each with O(d) non-zero entries.', 'By ensuring that each sparse matrix is orthogonal, we arrive at an efficient orthogonal parameterization with only O(d\\log d)  parameters', 'In general, BOFT($m$,$b$) takes $\\frac{1}{2}(b-1)dm$ effective trainable parameters for finetuning a linear layer of size $d\\times n$.', 'If we use the butterfly matrix, \\emph{i.e.}, $m=\\log d,b=2$, BOFT uses $\\mathcal{O}(d\\log d)$ parameters.']",What is the asymptotic number of trainable parameters per layer for BOFT in terms of d?,O(d log d)
 global connectivity,"According to the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', the butterfly inductive bias in BOFT is motivated by a high-level property of classic transforms that makes the butterfly pattern a sensible prior:","According to the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', the butterfly inductive bias in BOFT is motivated by a high-level property of classic transforms that makes the butterfly pattern a sensible prior: global connectivity",Conceptual Synthesis,"['The butterfly structure is originally used in the Cooley-Tukey algorithm to perform fast Fourier transform.', 'In Fourier transform, a local change in the frequency domain can cause a global change in the spatial domain, which is conceptually similar to our information transmission problem -- every node in the first level can transmit information to all the nodes in the last level.', 'Under the information transmission view, the general desiderata towards our goal are \\emph{(i)} \\textbf{dense connectivity}: every node in the first level has at least one path to every node in the last level, and \\emph{(ii)} \\textbf{minimum free edges}: the total number of edges should be as small as possible under the orthogonality constraint.', 'We draw inspiration from an interesting topology from the Cooley-Tukey algorithm, called butterfly graphs~\\cite{cooley1965algorithm}, which can densely connect $d$ source nodes and $d$ receiver nodes efficiently with $\\mathcal{O}(d\\log d)$ edges.']","Which high-level property of classic transforms motivates the butterfly inductive bias in BOFT (i.e., why is the butterfly pattern a sensible prior)?",global connectivity
