target,probe,fact,inference_type,text_sentences,question,answer
 skew-symmetric,"In the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', the Cayley parameterization is written as $\bm{R}=(\bm{I}+\bm{Q})(\bm{I}-\bm{Q})^{-1}$. The constraint required on $\bm{Q}$ so that $\bm{R}$ remains orthogonal is that $\bm{Q}$ be","In the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', the Cayley parameterization is written as $\bm{R}=(\bm{I}+\bm{Q})(\bm{I}-\bm{Q})^{-1}$. The constraint required on $\bm{Q}$ so that $\bm{R}$ remains orthogonal is that $\bm{Q}$ be skew-symmetric",Conceptual Synthesis,"['To ensure the orthogonality of R throughout the finetuning process, we follow to employ Cayley parameterization, i.e., R=(I+Q)(I-Q)^{-1} where Q is a skew-symmetric matrix with Q=-Q^T.', 'In BOFT, we initialize all the butterfly components with identity matrices (\\emph{i.e.}, the skew-symmetric matrix is initialized as zeros in Cayley transform).']",Which constraint on Q in the Cayley parameterization is required so that R remains orthogonal?,skew-symmetric
 angles encode semantics,"In the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', the unstated assumption about pretrained representations that justifies preserving pairwise angles between neurons is that","In the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', the unstated assumption about pretrained representations that justifies preserving pairwise angles between neurons is that angles encode semantics",Conceptual Synthesis,"['The motivation for applying orthogonal transformation to finetune the weight matrix is to preserve the pair-wise angles of neurons, such that the semantic knowledge from pretraining can be largely preserved.', 'Given the structured nature of weight matrices, a more principled approach  tries to preserve the relational information of the weight matrices, i.e.~the pairwise angles between neurons.', 'This insight leads to a novel model finetuning framework, known as Orthogonal Finetuning~(OFT)~\\cite{qiu2023controlling}, where neurons in the same layer are transformed by the same orthogonal matrix such that pairwise angles between neurons are provably preserved throughout the finetuning process.']",What unstated assumption about pretrained representations justifies preserving pair-wise angles between neurons?,angles encode semantics
 stability and generalization,"According to the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', preserving the spectral norm (i.e., the largest singular value $\|\bm{W}^0\|_2$) via orthogonal finetuning primarily benefits training by improving","According to the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', preserving the spectral norm (i.e., the largest singular value $\|\bm{W}^0\|_2$) via orthogonal finetuning primarily benefits training by improving stability and generalization",Conceptual Synthesis,"['Both OFT and BOFT multiply an orthogonal matrix R to the left and obtain the finetuned weights R U Σ V^T, which does not affect the largest singular value (i.e., the spectral norm of W^0).', 'Such a preservation has been shown to greatly benefit training stability and generalization.', 'Specifically, OFT learns an orthogonal matrix to transform the neurons of the same layer, and it achieves stronger generalization and consistently more stable training than LoRA.']",Preserving the spectral norm via orthogonal finetuning primarily benefits which aspects of training?,stability and generalization
 preserves orthogonality,"According to the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', the proposed multiplicative Dropout randomly replaces a percentage of the butterfly components and diagonal blocks in each butterfly component with identity matrices $\bm{I}$, relying on the implicit property that replacing these blocks by $\bm{I}$ keeps the model valid, namely that this operation","According to the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', the proposed multiplicative Dropout randomly replaces a percentage of the butterfly components and diagonal blocks in each butterfly component with identity matrices $\bm{I}$, relying on the implicit property that replacing these blocks by $\bm{I}$ keeps the model valid, namely that this operation preserves orthogonality",New Insight,"['The multiplicative Dropout first randomly picks p1 percent of the butterfly components and p2 percent of the diagonal blocks in each butterfly component, and then replaces these blocks as identity matrices.', 'Now we are ready to use the butterfly matrix to parameterize an orthogonal matrix.', 'The orthogonal matrix R(m,b) is composed of a product of multiple orthogonal butterfly components.']",What implicit property of replacing butterfly blocks with identity does multiplicative Dropout rely on to keep the model valid?,preserves orthogonality
 orthogonality,"In the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', the authors attribute OFT's improved training stability compared to LoRA to","In the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', the authors attribute OFT's improved training stability compared to LoRA to orthogonality",Conceptual Synthesis,"['Inspired by how hyperspherical energy characterizes generalization, qiu2023controlling proposes orthogonal finetuning, an alternative yet effective method to finetune text-to-image diffusion models.', 'Specifically, OFT learns an orthogonal matrix to transform the neurons of the same layer, and it achieves stronger generalization and consistently more stable training than LoRA.', 'Orthogonal finetuning generally yields better spectral property than LoRA, because it perfectly preserves the spectral norm of the pretrained weight matrix \\bm{W}^0.', 'Such a preservation has been shown to greatly benefit training stability and generalization~\\cite{miyato2018spectral,yoshida2017spectral}.']",Which property of OFT do the authors credit for its improved stability over LoRA?,orthogonality
 pairwise angles,"In the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', OFT aims to preserve the relational property between neurons that maintains pretrained knowledge, namely the","In the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', OFT aims to preserve the relational property between neurons that maintains pretrained knowledge, namely the pairwise angles",Conceptual Synthesis,"['The fundamental principle behind model finetuning is to ensure that the pretrained model and the finetuned model are similar based on certain measurements, such that the pretraining knowledge is preserved.', 'a more principled approach tries to preserve the relational information of the weight matrices, i.e. the pairwise angles between neurons. This insight leads to a novel model finetuning framework, known as Orthogonal Finetuning (OFT)...', 'This insight leads to a novel model finetuning framework, known as Orthogonal Finetuning~(OFT)~\\cite{qiu2023controlling}, where neurons in the same layer are transformed by the same orthogonal matrix such that pairwise angles between neurons are provably preserved throughout the finetuning process.', 'The motivation for applying orthogonal transformation to finetune the weight matrix is to preserve the pair-wise angles of neurons~\\cite{liu2018learning,liu2021orthogonal,qiu2023controlling}, such that the semantic knowledge from pretraining can be largely preserved.']",What relational property between neurons does OFT aim to preserve to maintain pretrained knowledge?,pairwise angles
 paired zeros,"According to the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', the orthogonality constraint introduces a common sparsity-pattern effect between matrix entries, e.g., in a $2\times 2$ orthogonal matrix a zero at position $(1,1)$ implies a zero at position $(2,2)$, namely","According to the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', the orthogonality constraint introduces a common sparsity-pattern effect between matrix entries, e.g., in a $2\times 2$ orthogonal matrix a zero at position $(1,1)$ implies a zero at position $(2,2)$, namely paired zeros",Conceptual Synthesis,"['For example, for a 2\\times 2 orthogonal matrix, one zero at the (1,1) position will imply another zero at the (2,2) position (i.e., one missing edge could imply another missing edge).', 'Therefore, for each feasible set of edge connections, the orthogonality may sometimes add or remove some edges.', 'We note that orthogonality injects a delicate constraint to the edges between adjacent levels.', 'Because orthogonal matrices require less number of parameters than full matrices, the orthogonality constraint will bring in additional dependency among edges.']",What common sparsity-pattern effect does the orthogonality constraint introduce between matrix entries?,paired zeros
 $\bm{I}-\bm{Q}$ is invertible,"In the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', the authors employ the Cayley parameterization $\bm{R}=(\bm{I}+\bm{Q})(\bm{I}-\bm{Q})^{-1}$ where $\bm{Q}$ is skew-symmetric. For the Cayley parameterization to be valid, the implicit mathematical condition on $\bm{Q}$ that must hold is that","In the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', the authors employ the Cayley parameterization $\bm{R}=(\bm{I}+\bm{Q})(\bm{I}-\bm{Q})^{-1}$ where $\bm{Q}$ is skew-symmetric. For the Cayley parameterization to be valid, the implicit mathematical condition on $\bm{Q}$ that must hold is that $\bm{I}-\bm{Q}$ is invertible",New Insight,"['we follow \\cite{qiu2023controlling,liu2021orthogonal} to employ Cayley parameterization, i.e., R=(I+Q)(I-Q)^{-1} where Q is a skew-symmetric matrix with Q=-Q^\\top.']",What implicit mathematical condition on Q must hold for the Cayley parameterization R=(I+Q)(I-Q)^{-1} to be valid?,I-Q invertible
 spectral norm,"In the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', when BOFT multiplies the pretrained weight matrix $\bm{W}^0$ on the left by an orthogonal matrix $\bm{R}$, the property of $\bm{W}^0$ that is preserved is its","In the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', when BOFT multiplies the pretrained weight matrix $\bm{W}^0$ on the left by an orthogonal matrix $\bm{R}$, the property of $\bm{W}^0$ that is preserved is its spectral norm",Conceptual Synthesis,"['Both OFT and BOFT multiply an orthogonal matrix R to the left and obtain the finetuned weights R U \\Sigma V^\\top, which does not affect the largest singular value (i.e., the spectral norm of W^0).', 'Such a preservation has been shown to greatly benefit training stability and generalization.', 'Orthogonal finetuning generally yields better spectral property than LoRA, because it perfectly preserves the spectral norm of the pretrained weight matrix \\bm{W}^0.']",Which property of the pretrained weight matrix W^0 is preserved when BOFT multiplies it on the left by an orthogonal R?,spectral norm
 spectral norm preservation,"In the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', if BOFT's sparse factors were not constrained to be orthogonal, the stability benefit tied to SVD that would likely disappear is","In the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', if BOFT's sparse factors were not constrained to be orthogonal, the stability benefit tied to SVD that would likely disappear is spectral norm preservation",Predicting Hypothetical,"['Orthogonal finetuning generally yields better spectral property than LoRA, because it perfectly preserves the spectral norm of the pretrained weight matrix $\\bm{W}^0$.', 'Both OFT and BOFT multiply an orthogonal matrix $\\bm{R}$ to the left and obtain the finetuned weights $\\bm{R}\\bm{U}\\bm{\\Sigma}\\bm{V}^\\top$, which does not affect the largest singular value (\\emph{i.e.}, the spectral norm of $\\bm{W}^0$).', 'Such a preservation has been shown to greatly benefit training stability and generalization~\\cite{miyato2018spectral,yoshida2017spectral}.']","If BOFT’s sparse factors were not constrained to be orthogonal, which stability benefit tied to SVD would likely disappear?",spectral norm preservation
 skew symmetry,"In the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', in the Cayley parameterization $\bm{R}=(\bm{I}+\bm{Q})(\bm{I}-\bm{Q})^{-1}$, the property of $\bm{Q}$ that guarantees $\bm{R}$ stays orthogonal during finetuning is","In the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', in the Cayley parameterization $\bm{R}=(\bm{I}+\bm{Q})(\bm{I}-\bm{Q})^{-1}$, the property of $\bm{Q}$ that guarantees $\bm{R}$ stays orthogonal during finetuning is skew symmetry",Conceptual Synthesis,"['To ensure the orthogonality of $\\bm{R}$ throughout the finetuning process, we follow \\cite{qiu2023controlling,liu2021orthogonal} to employ Cayley parameterization, \\emph{i.e.}, $\\bm{R}=(\\bm{I}+\\bm{Q})(\\bm{I}-\\bm{Q})^{-1}$ where $\\bm{Q}$ is a skew-symmetric matrix with $\\bm{Q}=-\\bm{Q}^\\top$.', 'In BOFT, we initialize all the butterfly components with identity matrices (\\emph{i.e.}, the skew-symmetric matrix is initialized as zeros in Cayley transform).']","In the Cayley form R=(I+Q)(I−Q)^{-1}, what specific property of Q guarantees R stays orthogonal during finetuning?",skew symmetry
