section,subsection,section_text,subsection_text,raw_knowledge_statement,target,fact,contextualized_question,valid_fact,probe
Title/Abstract,No Subsection,"\title{Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning}

\begin{abstract}
Large Language Models (LLMs), with their remarkable ability to tackle challenging and unseen reasoning problems, hold immense potential for tabular learning, that is vital for many real-world applications. In this paper, we propose a novel in-context learning framework, \textsf{FeatLLM}, which employs LLMs as feature engineers to produce an input data set that is optimally suited for tabular predictions. The generated features are used to infer class likelihood with a simple downstream machine learning model, such as linear regression and yields high performance few-shot learning. The proposed \textsf{FeatLLM} framework only uses this simple predictive model with the discovered features at inference time. Compared to existing LLM-based approaches, \textsf{FeatLLM} eliminates the need to send queries to the LLM for each sample at inference time. Moreover, it merely requires API-level access to LLMs, and overcomes prompt size limitations. As demonstrated across numerous tabular datasets from a wide range of domains, \textsf{FeatLLM} generates high-quality rules, significantly (10\% on average) outperforming alternatives such as TabLLM and STUNT.
\end{abstract}

","\title{Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning}

\begin{abstract}
Large Language Models (LLMs), with their remarkable ability to tackle challenging and unseen reasoning problems, hold immense potential for tabular learning, that is vital for many real-world applications. In this paper, we propose a novel in-context learning framework, \textsf{FeatLLM}, which employs LLMs as feature engineers to produce an input data set that is optimally suited for tabular predictions. The generated features are used to infer class likelihood with a simple downstream machine learning model, such as linear regression and yields high performance few-shot learning. The proposed \textsf{FeatLLM} framework only uses this simple predictive model with the discovered features at inference time. Compared to existing LLM-based approaches, \textsf{FeatLLM} eliminates the need to send queries to the LLM for each sample at inference time. Moreover, it merely requires API-level access to LLMs, and overcomes prompt size limitations. As demonstrated across numerous tabular datasets from a wide range of domains, \textsf{FeatLLM} generates high-quality rules, significantly (10\% on average) outperforming alternatives such as TabLLM and STUNT.
\end{abstract}

","Large Language Models (LLMs), with their remarkable ability to tackle challenging and unseen reasoning problems, hold immense potential for tabular learning, that is vital for many real-world applications.", tabular learning.,"According to the paper, LLMs, with their ability to tackle challenging and unseen reasoning problems, hold immense potential for tabular learning.","- According to the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", LLMs, with their ability to tackle challenging and unseen reasoning problems, hold immense potential for what kind of learning?  

  **Answer:** tabular learning",True,"According to the paper, LLMs, with their ability to tackle challenging and unseen reasoning problems, hold immense potential for"
Title/Abstract,No Subsection,"\title{Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning}

\begin{abstract}
Large Language Models (LLMs), with their remarkable ability to tackle challenging and unseen reasoning problems, hold immense potential for tabular learning, that is vital for many real-world applications. In this paper, we propose a novel in-context learning framework, \textsf{FeatLLM}, which employs LLMs as feature engineers to produce an input data set that is optimally suited for tabular predictions. The generated features are used to infer class likelihood with a simple downstream machine learning model, such as linear regression and yields high performance few-shot learning. The proposed \textsf{FeatLLM} framework only uses this simple predictive model with the discovered features at inference time. Compared to existing LLM-based approaches, \textsf{FeatLLM} eliminates the need to send queries to the LLM for each sample at inference time. Moreover, it merely requires API-level access to LLMs, and overcomes prompt size limitations. As demonstrated across numerous tabular datasets from a wide range of domains, \textsf{FeatLLM} generates high-quality rules, significantly (10\% on average) outperforming alternatives such as TabLLM and STUNT.
\end{abstract}

","\title{Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning}

\begin{abstract}
Large Language Models (LLMs), with their remarkable ability to tackle challenging and unseen reasoning problems, hold immense potential for tabular learning, that is vital for many real-world applications. In this paper, we propose a novel in-context learning framework, \textsf{FeatLLM}, which employs LLMs as feature engineers to produce an input data set that is optimally suited for tabular predictions. The generated features are used to infer class likelihood with a simple downstream machine learning model, such as linear regression and yields high performance few-shot learning. The proposed \textsf{FeatLLM} framework only uses this simple predictive model with the discovered features at inference time. Compared to existing LLM-based approaches, \textsf{FeatLLM} eliminates the need to send queries to the LLM for each sample at inference time. Moreover, it merely requires API-level access to LLMs, and overcomes prompt size limitations. As demonstrated across numerous tabular datasets from a wide range of domains, \textsf{FeatLLM} generates high-quality rules, significantly (10\% on average) outperforming alternatives such as TabLLM and STUNT.
\end{abstract}

","The generated features are used to infer class likelihood with a simple downstream machine learning model, such as linear regression and yields high performance few-shot learning.", class likelihood.,"According to the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", in the proposed FeatLLM framework, the generated features are used with a simple downstream machine learning model such as linear regression to infer class likelihood.","1. **Question:** According to the paper **""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning""**, in the proposed FeatLLM framework, what quantity are the generated features used to infer with a simple downstream machine learning model such as linear regression?  
   **Answer:** class likelihood",True,"According to the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", in the proposed FeatLLM framework, the generated features are used with a simple downstream machine learning model such as linear regression to infer"
Title/Abstract,No Subsection,"\title{Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning}

\begin{abstract}
Large Language Models (LLMs), with their remarkable ability to tackle challenging and unseen reasoning problems, hold immense potential for tabular learning, that is vital for many real-world applications. In this paper, we propose a novel in-context learning framework, \textsf{FeatLLM}, which employs LLMs as feature engineers to produce an input data set that is optimally suited for tabular predictions. The generated features are used to infer class likelihood with a simple downstream machine learning model, such as linear regression and yields high performance few-shot learning. The proposed \textsf{FeatLLM} framework only uses this simple predictive model with the discovered features at inference time. Compared to existing LLM-based approaches, \textsf{FeatLLM} eliminates the need to send queries to the LLM for each sample at inference time. Moreover, it merely requires API-level access to LLMs, and overcomes prompt size limitations. As demonstrated across numerous tabular datasets from a wide range of domains, \textsf{FeatLLM} generates high-quality rules, significantly (10\% on average) outperforming alternatives such as TabLLM and STUNT.
\end{abstract}

","\title{Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning}

\begin{abstract}
Large Language Models (LLMs), with their remarkable ability to tackle challenging and unseen reasoning problems, hold immense potential for tabular learning, that is vital for many real-world applications. In this paper, we propose a novel in-context learning framework, \textsf{FeatLLM}, which employs LLMs as feature engineers to produce an input data set that is optimally suited for tabular predictions. The generated features are used to infer class likelihood with a simple downstream machine learning model, such as linear regression and yields high performance few-shot learning. The proposed \textsf{FeatLLM} framework only uses this simple predictive model with the discovered features at inference time. Compared to existing LLM-based approaches, \textsf{FeatLLM} eliminates the need to send queries to the LLM for each sample at inference time. Moreover, it merely requires API-level access to LLMs, and overcomes prompt size limitations. As demonstrated across numerous tabular datasets from a wide range of domains, \textsf{FeatLLM} generates high-quality rules, significantly (10\% on average) outperforming alternatives such as TabLLM and STUNT.
\end{abstract}

","The generated features are used to infer class likelihood with a simple downstream machine learning model, such as linear regression and yields high performance few-shot learning.", linear regression,"In the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", an example of a simple downstream machine learning model given for inferring class likelihood from the generated features is linear regression","1. In the paper **""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning""**, what example of a simple downstream machine learning model is given for inferring class likelihood from the generated features?

   **Answer:** linear regression",True,"In the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", an example of a simple downstream machine learning model given for inferring class likelihood from the generated features is"
Title/Abstract,No Subsection,"\title{Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning}

\begin{abstract}
Large Language Models (LLMs), with their remarkable ability to tackle challenging and unseen reasoning problems, hold immense potential for tabular learning, that is vital for many real-world applications. In this paper, we propose a novel in-context learning framework, \textsf{FeatLLM}, which employs LLMs as feature engineers to produce an input data set that is optimally suited for tabular predictions. The generated features are used to infer class likelihood with a simple downstream machine learning model, such as linear regression and yields high performance few-shot learning. The proposed \textsf{FeatLLM} framework only uses this simple predictive model with the discovered features at inference time. Compared to existing LLM-based approaches, \textsf{FeatLLM} eliminates the need to send queries to the LLM for each sample at inference time. Moreover, it merely requires API-level access to LLMs, and overcomes prompt size limitations. As demonstrated across numerous tabular datasets from a wide range of domains, \textsf{FeatLLM} generates high-quality rules, significantly (10\% on average) outperforming alternatives such as TabLLM and STUNT.
\end{abstract}

","\title{Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning}

\begin{abstract}
Large Language Models (LLMs), with their remarkable ability to tackle challenging and unseen reasoning problems, hold immense potential for tabular learning, that is vital for many real-world applications. In this paper, we propose a novel in-context learning framework, \textsf{FeatLLM}, which employs LLMs as feature engineers to produce an input data set that is optimally suited for tabular predictions. The generated features are used to infer class likelihood with a simple downstream machine learning model, such as linear regression and yields high performance few-shot learning. The proposed \textsf{FeatLLM} framework only uses this simple predictive model with the discovered features at inference time. Compared to existing LLM-based approaches, \textsf{FeatLLM} eliminates the need to send queries to the LLM for each sample at inference time. Moreover, it merely requires API-level access to LLMs, and overcomes prompt size limitations. As demonstrated across numerous tabular datasets from a wide range of domains, \textsf{FeatLLM} generates high-quality rules, significantly (10\% on average) outperforming alternatives such as TabLLM and STUNT.
\end{abstract}

","The generated features are used to infer class likelihood with a simple downstream machine learning model, such as linear regression and yields high performance few-shot learning.", high performance few-shot learning.,The paper states that using the generated features with a simple downstream machine learning model such as linear regression to infer class likelihood yields high performance few-shot learning.,"1. **Question:** According to the paper **""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning""**, when the FeatLLM framework uses the generated features with a simple downstream machine learning model such as linear regression to infer class likelihood, what kind of learning does this yield?  
   **Answer:** high performance few-shot learning",True,The paper states that using the generated features with a simple downstream machine learning model such as linear regression to infer class likelihood yields
Title/Abstract,No Subsection,"\title{Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning}

\begin{abstract}
Large Language Models (LLMs), with their remarkable ability to tackle challenging and unseen reasoning problems, hold immense potential for tabular learning, that is vital for many real-world applications. In this paper, we propose a novel in-context learning framework, \textsf{FeatLLM}, which employs LLMs as feature engineers to produce an input data set that is optimally suited for tabular predictions. The generated features are used to infer class likelihood with a simple downstream machine learning model, such as linear regression and yields high performance few-shot learning. The proposed \textsf{FeatLLM} framework only uses this simple predictive model with the discovered features at inference time. Compared to existing LLM-based approaches, \textsf{FeatLLM} eliminates the need to send queries to the LLM for each sample at inference time. Moreover, it merely requires API-level access to LLMs, and overcomes prompt size limitations. As demonstrated across numerous tabular datasets from a wide range of domains, \textsf{FeatLLM} generates high-quality rules, significantly (10\% on average) outperforming alternatives such as TabLLM and STUNT.
\end{abstract}

","\title{Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning}

\begin{abstract}
Large Language Models (LLMs), with their remarkable ability to tackle challenging and unseen reasoning problems, hold immense potential for tabular learning, that is vital for many real-world applications. In this paper, we propose a novel in-context learning framework, \textsf{FeatLLM}, which employs LLMs as feature engineers to produce an input data set that is optimally suited for tabular predictions. The generated features are used to infer class likelihood with a simple downstream machine learning model, such as linear regression and yields high performance few-shot learning. The proposed \textsf{FeatLLM} framework only uses this simple predictive model with the discovered features at inference time. Compared to existing LLM-based approaches, \textsf{FeatLLM} eliminates the need to send queries to the LLM for each sample at inference time. Moreover, it merely requires API-level access to LLMs, and overcomes prompt size limitations. As demonstrated across numerous tabular datasets from a wide range of domains, \textsf{FeatLLM} generates high-quality rules, significantly (10\% on average) outperforming alternatives such as TabLLM and STUNT.
\end{abstract}

","Compared to existing LLM-based approaches, \textsf{FeatLLM} eliminates the need to send queries to the LLM for each sample at inference time.", the need to send queries to the LLM.,"According to the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", compared to existing LLM-based approaches, \textsf{FeatLLM} eliminates at inference time the need to send queries to the LLM.","1. According to the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", compared to existing LLM-based approaches, what does \textsf{FeatLLM} eliminate at inference time?

   Answer: ""the need to send queries to the LLM""",True,"According to the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", compared to existing LLM-based approaches, \textsf{FeatLLM} eliminates at inference time"
Title/Abstract,No Subsection,"\title{Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning}

\begin{abstract}
Large Language Models (LLMs), with their remarkable ability to tackle challenging and unseen reasoning problems, hold immense potential for tabular learning, that is vital for many real-world applications. In this paper, we propose a novel in-context learning framework, \textsf{FeatLLM}, which employs LLMs as feature engineers to produce an input data set that is optimally suited for tabular predictions. The generated features are used to infer class likelihood with a simple downstream machine learning model, such as linear regression and yields high performance few-shot learning. The proposed \textsf{FeatLLM} framework only uses this simple predictive model with the discovered features at inference time. Compared to existing LLM-based approaches, \textsf{FeatLLM} eliminates the need to send queries to the LLM for each sample at inference time. Moreover, it merely requires API-level access to LLMs, and overcomes prompt size limitations. As demonstrated across numerous tabular datasets from a wide range of domains, \textsf{FeatLLM} generates high-quality rules, significantly (10\% on average) outperforming alternatives such as TabLLM and STUNT.
\end{abstract}

","\title{Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning}

\begin{abstract}
Large Language Models (LLMs), with their remarkable ability to tackle challenging and unseen reasoning problems, hold immense potential for tabular learning, that is vital for many real-world applications. In this paper, we propose a novel in-context learning framework, \textsf{FeatLLM}, which employs LLMs as feature engineers to produce an input data set that is optimally suited for tabular predictions. The generated features are used to infer class likelihood with a simple downstream machine learning model, such as linear regression and yields high performance few-shot learning. The proposed \textsf{FeatLLM} framework only uses this simple predictive model with the discovered features at inference time. Compared to existing LLM-based approaches, \textsf{FeatLLM} eliminates the need to send queries to the LLM for each sample at inference time. Moreover, it merely requires API-level access to LLMs, and overcomes prompt size limitations. As demonstrated across numerous tabular datasets from a wide range of domains, \textsf{FeatLLM} generates high-quality rules, significantly (10\% on average) outperforming alternatives such as TabLLM and STUNT.
\end{abstract}

","Compared to existing LLM-based approaches, \textsf{FeatLLM} eliminates the need to send queries to the LLM for each sample at inference time.", sample,"According to the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", compared to existing LLM-based approaches, \textsf{FeatLLM} eliminates the need to send queries to the LLM at inference time for each sample","1. **Question:** According to the paper **""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning""**, compared to existing LLM-based approaches, \textsf{FeatLLM} eliminates the need to send queries to the LLM for each what at inference time?  
   **Answer:** sample",True,"According to the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", compared to existing LLM-based approaches, \textsf{FeatLLM} eliminates the need to send queries to the LLM at inference time for each"
Title/Abstract,No Subsection,"\title{Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning}

\begin{abstract}
Large Language Models (LLMs), with their remarkable ability to tackle challenging and unseen reasoning problems, hold immense potential for tabular learning, that is vital for many real-world applications. In this paper, we propose a novel in-context learning framework, \textsf{FeatLLM}, which employs LLMs as feature engineers to produce an input data set that is optimally suited for tabular predictions. The generated features are used to infer class likelihood with a simple downstream machine learning model, such as linear regression and yields high performance few-shot learning. The proposed \textsf{FeatLLM} framework only uses this simple predictive model with the discovered features at inference time. Compared to existing LLM-based approaches, \textsf{FeatLLM} eliminates the need to send queries to the LLM for each sample at inference time. Moreover, it merely requires API-level access to LLMs, and overcomes prompt size limitations. As demonstrated across numerous tabular datasets from a wide range of domains, \textsf{FeatLLM} generates high-quality rules, significantly (10\% on average) outperforming alternatives such as TabLLM and STUNT.
\end{abstract}

","\title{Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning}

\begin{abstract}
Large Language Models (LLMs), with their remarkable ability to tackle challenging and unseen reasoning problems, hold immense potential for tabular learning, that is vital for many real-world applications. In this paper, we propose a novel in-context learning framework, \textsf{FeatLLM}, which employs LLMs as feature engineers to produce an input data set that is optimally suited for tabular predictions. The generated features are used to infer class likelihood with a simple downstream machine learning model, such as linear regression and yields high performance few-shot learning. The proposed \textsf{FeatLLM} framework only uses this simple predictive model with the discovered features at inference time. Compared to existing LLM-based approaches, \textsf{FeatLLM} eliminates the need to send queries to the LLM for each sample at inference time. Moreover, it merely requires API-level access to LLMs, and overcomes prompt size limitations. As demonstrated across numerous tabular datasets from a wide range of domains, \textsf{FeatLLM} generates high-quality rules, significantly (10\% on average) outperforming alternatives such as TabLLM and STUNT.
\end{abstract}

","Moreover, it merely requires API-level access to LLMs, and overcomes prompt size limitations.", API-level access.,"According to the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", the proposed \textsf{FeatLLM} framework merely requires API-level access.","1. According to the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", what level of access to LLMs does the proposed \textsf{FeatLLM} framework merely require?  
   **Answer:** API-level access",True,"According to the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", the proposed \textsf{FeatLLM} framework merely requires"
Title/Abstract,No Subsection,"\title{Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning}

\begin{abstract}
Large Language Models (LLMs), with their remarkable ability to tackle challenging and unseen reasoning problems, hold immense potential for tabular learning, that is vital for many real-world applications. In this paper, we propose a novel in-context learning framework, \textsf{FeatLLM}, which employs LLMs as feature engineers to produce an input data set that is optimally suited for tabular predictions. The generated features are used to infer class likelihood with a simple downstream machine learning model, such as linear regression and yields high performance few-shot learning. The proposed \textsf{FeatLLM} framework only uses this simple predictive model with the discovered features at inference time. Compared to existing LLM-based approaches, \textsf{FeatLLM} eliminates the need to send queries to the LLM for each sample at inference time. Moreover, it merely requires API-level access to LLMs, and overcomes prompt size limitations. As demonstrated across numerous tabular datasets from a wide range of domains, \textsf{FeatLLM} generates high-quality rules, significantly (10\% on average) outperforming alternatives such as TabLLM and STUNT.
\end{abstract}

","\title{Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning}

\begin{abstract}
Large Language Models (LLMs), with their remarkable ability to tackle challenging and unseen reasoning problems, hold immense potential for tabular learning, that is vital for many real-world applications. In this paper, we propose a novel in-context learning framework, \textsf{FeatLLM}, which employs LLMs as feature engineers to produce an input data set that is optimally suited for tabular predictions. The generated features are used to infer class likelihood with a simple downstream machine learning model, such as linear regression and yields high performance few-shot learning. The proposed \textsf{FeatLLM} framework only uses this simple predictive model with the discovered features at inference time. Compared to existing LLM-based approaches, \textsf{FeatLLM} eliminates the need to send queries to the LLM for each sample at inference time. Moreover, it merely requires API-level access to LLMs, and overcomes prompt size limitations. As demonstrated across numerous tabular datasets from a wide range of domains, \textsf{FeatLLM} generates high-quality rules, significantly (10\% on average) outperforming alternatives such as TabLLM and STUNT.
\end{abstract}

","Moreover, it merely requires API-level access to LLMs, and overcomes prompt size limitations.", prompt size limitations,"According to the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", the proposed \textsf{FeatLLM} framework overcomes prompt size limitations by requiring only API-level access to LLMs: prompt size limitations","1. According to the paper **""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning""**, what limitations does the proposed \textsf{FeatLLM} framework overcome by requiring only API-level access to LLMs?  
   **Answer:** prompt size limitations",True,"According to the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", the proposed \textsf{FeatLLM} framework overcomes prompt size limitations by requiring only API-level access to LLMs:"
Title/Abstract,No Subsection,"\title{Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning}

\begin{abstract}
Large Language Models (LLMs), with their remarkable ability to tackle challenging and unseen reasoning problems, hold immense potential for tabular learning, that is vital for many real-world applications. In this paper, we propose a novel in-context learning framework, \textsf{FeatLLM}, which employs LLMs as feature engineers to produce an input data set that is optimally suited for tabular predictions. The generated features are used to infer class likelihood with a simple downstream machine learning model, such as linear regression and yields high performance few-shot learning. The proposed \textsf{FeatLLM} framework only uses this simple predictive model with the discovered features at inference time. Compared to existing LLM-based approaches, \textsf{FeatLLM} eliminates the need to send queries to the LLM for each sample at inference time. Moreover, it merely requires API-level access to LLMs, and overcomes prompt size limitations. As demonstrated across numerous tabular datasets from a wide range of domains, \textsf{FeatLLM} generates high-quality rules, significantly (10\% on average) outperforming alternatives such as TabLLM and STUNT.
\end{abstract}

","\title{Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning}

\begin{abstract}
Large Language Models (LLMs), with their remarkable ability to tackle challenging and unseen reasoning problems, hold immense potential for tabular learning, that is vital for many real-world applications. In this paper, we propose a novel in-context learning framework, \textsf{FeatLLM}, which employs LLMs as feature engineers to produce an input data set that is optimally suited for tabular predictions. The generated features are used to infer class likelihood with a simple downstream machine learning model, such as linear regression and yields high performance few-shot learning. The proposed \textsf{FeatLLM} framework only uses this simple predictive model with the discovered features at inference time. Compared to existing LLM-based approaches, \textsf{FeatLLM} eliminates the need to send queries to the LLM for each sample at inference time. Moreover, it merely requires API-level access to LLMs, and overcomes prompt size limitations. As demonstrated across numerous tabular datasets from a wide range of domains, \textsf{FeatLLM} generates high-quality rules, significantly (10\% on average) outperforming alternatives such as TabLLM and STUNT.
\end{abstract}

","As demonstrated across numerous tabular datasets from a wide range of domains, \textsf{FeatLLM} generates high-quality rules, significantly (10\% on average) outperforming alternatives such as TabLLM and STUNT.", high-quality rules.,"According to the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", as demonstrated across numerous tabular datasets from a wide range of domains, \textsf{FeatLLM} generates high-quality rules.","Question: According to the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", as demonstrated across numerous tabular datasets from a wide range of domains, what does \textsf{FeatLLM} generate?

Answer: high-quality rules",True,"According to the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", as demonstrated across numerous tabular datasets from a wide range of domains, \textsf{FeatLLM} generates"
Title/Abstract,No Subsection,"\title{Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning}

\begin{abstract}
Large Language Models (LLMs), with their remarkable ability to tackle challenging and unseen reasoning problems, hold immense potential for tabular learning, that is vital for many real-world applications. In this paper, we propose a novel in-context learning framework, \textsf{FeatLLM}, which employs LLMs as feature engineers to produce an input data set that is optimally suited for tabular predictions. The generated features are used to infer class likelihood with a simple downstream machine learning model, such as linear regression and yields high performance few-shot learning. The proposed \textsf{FeatLLM} framework only uses this simple predictive model with the discovered features at inference time. Compared to existing LLM-based approaches, \textsf{FeatLLM} eliminates the need to send queries to the LLM for each sample at inference time. Moreover, it merely requires API-level access to LLMs, and overcomes prompt size limitations. As demonstrated across numerous tabular datasets from a wide range of domains, \textsf{FeatLLM} generates high-quality rules, significantly (10\% on average) outperforming alternatives such as TabLLM and STUNT.
\end{abstract}

","\title{Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning}

\begin{abstract}
Large Language Models (LLMs), with their remarkable ability to tackle challenging and unseen reasoning problems, hold immense potential for tabular learning, that is vital for many real-world applications. In this paper, we propose a novel in-context learning framework, \textsf{FeatLLM}, which employs LLMs as feature engineers to produce an input data set that is optimally suited for tabular predictions. The generated features are used to infer class likelihood with a simple downstream machine learning model, such as linear regression and yields high performance few-shot learning. The proposed \textsf{FeatLLM} framework only uses this simple predictive model with the discovered features at inference time. Compared to existing LLM-based approaches, \textsf{FeatLLM} eliminates the need to send queries to the LLM for each sample at inference time. Moreover, it merely requires API-level access to LLMs, and overcomes prompt size limitations. As demonstrated across numerous tabular datasets from a wide range of domains, \textsf{FeatLLM} generates high-quality rules, significantly (10\% on average) outperforming alternatives such as TabLLM and STUNT.
\end{abstract}

","As demonstrated across numerous tabular datasets from a wide range of domains, \textsf{FeatLLM} generates high-quality rules, significantly (10\% on average) outperforming alternatives such as TabLLM and STUNT.", 10\%.,"According to the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", across numerous tabular datasets from a wide range of domains, the amount by which \textsf{FeatLLM} outperformed alternatives such as TabLLM and STUNT on average was 10\%.","1. According to the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", across numerous tabular datasets from a wide range of domains, by how much did \textsf{FeatLLM} outperform alternatives such as TabLLM and STUNT on average?

   **Answer:** 10\%",True,"According to the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", across numerous tabular datasets from a wide range of domains, the amount by which \textsf{FeatLLM} outperformed alternatives such as TabLLM and STUNT on average was"
