domain_group,document,total_v14_mcqa_rows,shortened_rows_matched_for_review,accepted_repairs,rejected_kept_old_rows,question_formatted_rows,non_shortened_question_formatted_rows
arxiv,1_58,107,0,0,0,107,107
arxiv,BOFT,207,5,0,5,207,202
arxiv,ByteLatent,378,15,0,15,378,363
arxiv,DPO,235,6,0,6,235,229
arxiv,FeatLLM,212,10,0,10,212,202
arxiv,GRPO,322,7,0,7,322,315
arxiv,GSPO,124,5,0,5,124,119
arxiv,LongRoPE,236,5,0,5,236,231
arxiv,OFT,271,3,0,3,271,268
arxiv,QLoRA,303,7,0,7,303,296
arxiv,fa3,204,4,0,4,204,200
arxiv,xLSTM,164,5,0,5,164,159
legal,America_First_Legal_Foundation_v_Jamieson_Greer,49,5,0,5,49,44
legal,Apex_Bank_v_Cc_Serve_Corp,56,9,0,9,56,47
legal,Bruce_Cohen_v_Consilio_LLC,50,11,0,11,50,39
legal,Finesse_Wireless_LLC_v_Att_Mobility_LLC,61,8,0,8,61,53
legal,Foad_Farahi_v_FBI,62,5,0,5,62,57
legal,Jimenez_v_Bondi,100,9,0,9,100,91
legal,Pacito_v_Trump,41,6,0,6,41,35
legal,Santos_v_Kimmel,37,4,0,4,37,33
legal,United_States_v_Constantinescu,38,4,0,4,38,34
legal,United_States_v_Jaison_Coleman,53,4,0,4,53,49
legal,United_States_v_Justin_Cutbank,51,10,0,10,51,41
legal,Williams_v_GoAuto_Insurance,49,6,0,6,49,43
medical,Acute_neurological_Behets_disease_complicated_by_a_syndrome,92,4,0,4,92,88
medical,Autoimmune_heparininduced_thrombocytopenia_following_cardiac,78,6,0,6,78,72
medical,Central_hypoventilation_and_choking_episodes_revealing_Chiar,101,7,0,7,101,94
medical,Dermatomyositis_masquerading_as_angioedema_a_crucial_differe,93,5,0,5,93,88
medical,From_dog_bite_to_dialysis_complementmediated_haemolytic_urae,103,0,0,0,103,103
medical,Immunemediated_necrotising_myopathy_following_semaglutide_tr,65,5,0,5,65,60
medical,Management_of_atypical_complicated_abdominal_masses_in_the_s,90,7,0,7,90,83
medical,Monoallelic_PARN_mutation_presenting_as_pancytopenia_hepatic,96,3,0,3,96,93
medical,Multiphasic_anaphylaxis_in_the_emergency_and_intensive_care,112,13,0,13,112,99
medical,Nontype_1_and_nontype_2_diabetes_in_a_young_man_due_to_novel,88,5,0,5,88,83
medical,Pancreatopleural_fistula_in_childhood,112,9,0,9,112,103
medical,TAVinTAVinTAV_after_treated_endocarditis_procedural_strategy,106,6,0,6,106,100
