domain_group,document,v14_mcqa_row_index,short_cloze_row_index,old_cloze_probe,old_cloze_target,shortened_cloze_probe,shortened_cloze_target,contextualized_question,old_formatted_question,old_option_a,old_option_b,old_option_c,old_option_d,old_option_e,old_correct_label,fact,source_statement,rewrite_reason
arxiv,BOFT,13,18,"According to the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization"", broad progress in the field requires",the ability to adapt such models without retraining them from scratch.,"According to the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization"", broad progress in the field requires the ability to",adapt such models without retraining them from scratch.,"According to the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization"", what does broad progress in the field require in order to make use of existing foundation models instead of training them from scratch?","According to the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization"", broad progress in the field requires
(A) the ability to train ever-larger foundation models from scratch at scale.
(B) the ability to preserve pairwise angles between neurons during the finetuning process.
(C) the ability to add trainable adapters to the original model for downstream tasks.
(D) the ability to adapt such models without retraining them from scratch.
(E) the ability to attach trainable prefix tokens to the input for task adaptation.",the ability to train ever-larger foundation models from scratch at scale.,the ability to preserve pairwise angles between neurons during the finetuning process.,the ability to add trainable adapters to the original model for downstream tasks.,the ability to adapt such models without retraining them from scratch.,the ability to attach trainable prefix tokens to the input for task adaptation.,(D),"According to the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization"", broad progress in the field requires the ability to adapt such models without retraining them from scratch.",Broad progress in the field therefore requires the ability to adapt such models without retraining them from scratch.,accepted: Leaves a coherent verb phrase.
arxiv,BOFT,81,107,"According to the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization"", OFT reparameterizes the new weight matrix when finetuning the pretrained weight matrix as",the product of a learnable orthogonal matrix and the frozen pretrained weight matrix,"According to the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization"", OFT reparameterizes the new weight matrix when finetuning the pretrained weight matrix as the product of",a learnable orthogonal matrix and the frozen pretrained weight matrix,"According to the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization"", how does OFT reparameterize the new weight matrix when finetuning the pretrained weight matrix?","According to the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization"", OFT reparameterizes the new weight matrix when finetuning the pretrained weight matrix as
(A) the product of a learnable dense projection matrix and the trainable pretrained weight matrix
(B) the product of a learnable block-diagonal matrix and a newly initialized weight matrix
(C) the sum of a learnable bottleneck adapter matrix and the frozen pretrained weight matrix
(D) the sum of a learnable low-rank matrix and the frozen pretrained weight matrix
(E) the product of a learnable orthogonal matrix and the frozen pretrained weight matrix",the product of a learnable dense projection matrix and the trainable pretrained weight matrix,the product of a learnable block-diagonal matrix and a newly initialized weight matrix,the sum of a learnable bottleneck adapter matrix and the frozen pretrained weight matrix,the sum of a learnable low-rank matrix and the frozen pretrained weight matrix,the product of a learnable orthogonal matrix and the frozen pretrained weight matrix,(E),"According to the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization"", OFT reparameterizes the new weight matrix when finetuning the pretrained weight matrix as the product of a learnable orthogonal matrix and the frozen pretrained weight matrix","To finetune the pretrained weight matrix, OFT reparameterizes the new weight matrix as the product of a learnable orthogonal matrix and the frozen pretrained weight matrix.",accepted: Leaves a meaningful product complement.
arxiv,BOFT,139,188,"According to the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization"", for butterfly components $\tilde{\bm{B}}^b(d,k)$ with $k>2$, the non-zero pattern relative to $\tilde{\bm{B}}^b(d,2)$ is","the block-wise permutation of the non-zero pattern of $\tilde{\bm{B}}^b(d,2)$","According to the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization"", for butterfly components $\tilde{\bm{B}}^b(d,k)$ with $k>2$, the non-zero pattern relative to $\tilde{\bm{B}}^b(d,2)$ is the block-wise permutation of","the non-zero pattern of $\tilde{\bm{B}}^b(d,2)$","According to the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization"", for butterfly components $\tilde{\bm{B}}^b(d,k)$ with $k>2$, what is the non-zero pattern relative to $\tilde{\bm{B}}^b(d,2)$?","According to the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization"", for butterfly components $\tilde{\bm{B}}^b(d,k)$ with $k>2$, the non-zero pattern relative to $\tilde{\bm{B}}^b(d,2)$ is
(A) a Kronecker-product expansion of the non-zero pattern of \tilde{\bm{B}}^b(d,2)
(B) identical to the non-zero pattern of \tilde{\bm{B}}^b(d,2)
(C) a block-diagonal replication of the non-zero pattern of \tilde{\bm{B}}^b(d,2)
(D) the block-wise permutation of the non-zero pattern of $\tilde{\bm{B}}^b(d,2)$
(E) a permutation of the non-zero pattern of \tilde{\bm{B}}(d,2)","a Kronecker-product expansion of the non-zero pattern of \tilde{\bm{B}}^b(d,2)","identical to the non-zero pattern of \tilde{\bm{B}}^b(d,2)","a block-diagonal replication of the non-zero pattern of \tilde{\bm{B}}^b(d,2)","the block-wise permutation of the non-zero pattern of $\tilde{\bm{B}}^b(d,2)$","a permutation of the non-zero pattern of \tilde{\bm{B}}(d,2)",(D),"According to the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization"", for butterfly components $\tilde{\bm{B}}^b(d,k)$ with $k>2$, the non-zero pattern relative to $\tilde{\bm{B}}^b(d,2)$ is the block-wise permutation of the non-zero pattern of $\tilde{\bm{B}}^b(d,2)$","The non-zero pattern of the other butterfly components $\tilde{\bm{B}}^b(d,k),k>2$ are the block-wise permutation of the non-zero pattern of $\tilde{\bm{B}}^b(d,2)$ and therefore can be similarly turned into orthogonal matrices.",accepted: Leaves the referenced base pattern.
arxiv,BOFT,164,220,"According to the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization"", although the butterfly structure along with permutations can perfectly recover many classic fast linear transforms such as the fast Fourier transform and Hadamard transform, it is still unknown",how well our orthogonal butterfly matrix can approximate a general orthogonal matrix,"According to the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization"", although the butterfly structure along with permutations can perfectly recover many classic fast linear transforms such as the fast Fourier transform and Hadamard transform, it is still unknown how well our orthogonal butterfly matrix can approximate",a general orthogonal matrix,"According to the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization"", although the butterfly structure along with permutations can perfectly recover many classic fast linear transforms such as the fast Fourier transform and Hadamard transform, what is still unknown about the orthogonal butterfly matrix?","According to the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization"", although the butterfly structure along with permutations can perfectly recover many classic fast linear transforms such as the fast Fourier transform and Hadamard transform, it is still unknown
(A) how well the butterfly parameterization can approximate a general dense linear transform
(B) how well our orthogonal butterfly matrix can approximate a general orthogonal matrix
(C) how the butterfly-based orthogonal update affects the spectral norm of the pretrained weight matrix
(D) whether BOFT always yields better finetuning performance than full finetuning
(E) how much inductive bias the sparse butterfly factorization contributes to downstream generalization",how well the butterfly parameterization can approximate a general dense linear transform,how well our orthogonal butterfly matrix can approximate a general orthogonal matrix,how the butterfly-based orthogonal update affects the spectral norm of the pretrained weight matrix,whether BOFT always yields better finetuning performance than full finetuning,how much inductive bias the sparse butterfly factorization contributes to downstream generalization,(B),"According to the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization"", although the butterfly structure along with permutations can perfectly recover many classic fast linear transforms such as the fast Fourier transform and Hadamard transform, it is still unknown how well our orthogonal butterfly matrix can approximate a general orthogonal matrix","The butterfly structure along with permutations can perfectly recover many classic fast linear transform~\cite{dao2019learning,dao2019kaleidoscope} (\emph{e.g.}, fast Fourier transform, Hadamard transform), but how well our orthogonal butterfly matrix can approximate a general orthogonal matrix remains unknown.",accepted: Leaves a coherent object of approximation.
arxiv,BOFT,202,270,"According to the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization"", what remains unknown about the butterfly network in the authors' information transmission framework is",whether the butterfly network is the most efficient way to transmit information,"According to the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization"", what remains unknown about the butterfly network in the authors' information transmission framework is whether the butterfly network is",the most efficient way to transmit information,"According to the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization"", what remains unknown about the butterfly network in the authors' information transmission framework?","According to the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization"", what remains unknown about the butterfly network in the authors' information transmission framework is
(A) whether BOFT-learned orthogonal matrices introduce additional inference latency after finetuning
(B) how to improve BOFT's training runtime without sacrificing parameter efficiency
(C) whether a single sparse orthogonal matrix can replace the product of multiple orthogonal factors
(D) whether low-rank adaptation is the most parameter-efficient way to finetune foundation models
(E) whether the butterfly network is the most efficient way to transmit information",whether BOFT-learned orthogonal matrices introduce additional inference latency after finetuning,how to improve BOFT's training runtime without sacrificing parameter efficiency,whether a single sparse orthogonal matrix can replace the product of multiple orthogonal factors,whether low-rank adaptation is the most parameter-efficient way to finetune foundation models,whether the butterfly network is the most efficient way to transmit information,(E),"According to the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization"", what remains unknown about the butterfly network in the authors' information transmission framework is whether the butterfly network is the most efficient way to transmit information","Moreover, whether the butterfly network is the most efficient way to transmit information is also unknown.",accepted: Leaves the unknown property.
arxiv,ByteLatent,25,42,"According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", the computational cost of processing data for both token-based and patch-based models is primarily determined by",the number of steps executed by the main Transformer,"According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", the computational cost of processing data for both token-based and patch-based models is primarily determined by the number of",steps executed by the main Transformer,"According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", what primarily determines the computational cost of processing data for both token-based and patch-based models?","According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", the computational cost of processing data for both token-based and patch-based models is primarily determined by
(A) the total number of bytes in the input sequence
(B) the number of steps executed by the main Transformer
(C) the average size of a patch produced by the patching function
(D) the number of patches needed to encode the data with a given patching function
(E) the entropy scores predicted by a small byte language model",the total number of bytes in the input sequence,the number of steps executed by the main Transformer,the average size of a patch produced by the patching function,the number of patches needed to encode the data with a given patching function,the entropy scores predicted by a small byte language model,(B),"According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", the computational cost of processing data for both token-based and patch-based models is primarily determined by the number of steps executed by the main Transformer","For both token-based and patch-based models, the computational cost of processing data is primarily determined by the number of steps executed by the main Transformer.",accepted: Leaves a meaningful determinant.
arxiv,ByteLatent,52,76,"According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", BLT’s crucial improvement over tokenization-based models is said to redefine",the trade off between the vocabulary size and compute.,"According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", BLT’s crucial improvement over tokenization-based models is said to redefine the trade off between",the vocabulary size and compute.,"According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", what crucial improvement of BLT over tokenization-based models is said to redefine?","According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", BLT’s crucial improvement over tokenization-based models is said to redefine
(A) the threshold for distinguishing between low and high entropy bytes.
(B) the distinction between tokens and dynamically grouped patches.
(C) the trade off between sequence length and memory usage.
(D) the balance between average token size and embedding table size.
(E) the trade off between the vocabulary size and compute.",the threshold for distinguishing between low and high entropy bytes.,the distinction between tokens and dynamically grouped patches.,the trade off between sequence length and memory usage.,the balance between average token size and embedding table size.,the trade off between the vocabulary size and compute.,(E),"According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", BLT’s crucial improvement over tokenization-based models is said to redefine the trade off between the vocabulary size and compute.",A crucial improvement of {\textsc BLT} over tokenization-based models is that redefines the trade off between the vocabulary size and compute.,accepted: Leaves the two sides of the tradeoff.
arxiv,ByteLatent,54,75,"According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", compared with tokenization-based models, BLT crucially redefines",the trade off between the vocabulary size and compute.,"According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", compared with tokenization-based models, BLT crucially redefines the trade off between",the vocabulary size and compute.,"According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", what trade-off does BLT crucially redefine compared with tokenization-based models?","According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", compared with tokenization-based models, BLT crucially redefines
(A) the trade off between the vocabulary size and compute.
(B) the balance between average token size and embedding table capacity.
(C) the way patch boundaries are identified from entropy thresholds.
(D) the model's direct access to the underlying byte features.
(E) the trade off between context length and attention complexity.",the trade off between the vocabulary size and compute.,the balance between average token size and embedding table capacity.,the way patch boundaries are identified from entropy thresholds.,the model's direct access to the underlying byte features.,the trade off between context length and attention complexity.,(A),"According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", compared with tokenization-based models, BLT crucially redefines the trade off between the vocabulary size and compute.",A crucial improvement of {\textsc BLT} over tokenization-based models is that redefines the trade off between the vocabulary size and compute.,accepted: Leaves the two sides of the tradeoff.
arxiv,ByteLatent,60,89,"According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", in the discussion of incremental patching for byte sequences, BPE is not considered an incremental patching scheme, given the property $f_p(\pmb{x}_{<i}) = f_p(\pmb{x})_{<i}$, because",the same prefix can be tokenized differently depending on the continuation sequence,"According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", in the discussion of incremental patching for byte sequences, BPE is not considered an incremental patching scheme, given the property $f_p(\pmb{x}_{<i}) = f_p(\pmb{x})_{<i}$, because the same prefix can be tokenized differently depending on",the continuation sequence,"According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", in the discussion of incremental patching for byte sequences, why is BPE not considered an incremental patching scheme, given the property $f_p(\pmb{x}_{<i}) = f_p(\pmb{x})_{<i}$?","According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", in the discussion of incremental patching for byte sequences, BPE is not considered an incremental patching scheme, given the property $f_p(\pmb{x}_{<i}) = f_p(\pmb{x})_{<i}$, because
(A) its larger vocabulary requires a much larger final projection and embedding table as token size grows
(B) it does not provide direct access to the underlying byte features during generation
(C) it relies on fixed merge rules learned from token frequencies rather than adaptive byte-level patch boundaries
(D) it increases the byte-sequence length when special delimiter tokens are added to mark patch boundaries
(E) the same prefix can be tokenized differently depending on the continuation sequence",its larger vocabulary requires a much larger final projection and embedding table as token size grows,it does not provide direct access to the underlying byte features during generation,it relies on fixed merge rules learned from token frequencies rather than adaptive byte-level patch boundaries,it increases the byte-sequence length when special delimiter tokens are added to mark patch boundaries,the same prefix can be tokenized differently depending on the continuation sequence,(E),"According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", in the discussion of incremental patching for byte sequences, BPE is not considered an incremental patching scheme, given the property $f_p(\pmb{x}_{<i}) = f_p(\pmb{x})_{<i}$, because the same prefix can be tokenized differently depending on the continuation sequence","bpe is not an incremental patching scheme as the same prefix can be tokenized differently depending on the continuation sequence, and therefore does not satisfy the property above\footnote{Using a special delimiter token to indicate patch boundaries can turn bpe into an incremental patching scheme but increases the byte-sequence length.}.",accepted: Leaves the dependency source.
arxiv,ByteLatent,101,139,"According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", the cross-attention layer in the decoder is applied before the transformer layer in order",to first create byte representations from the patch representations,"According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", the cross-attention layer in the decoder is applied before the transformer layer in order to first create byte representations from",the patch representations,"Q: According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", why is the cross-attention layer in the decoder applied before the transformer layer?","According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", the cross-attention layer in the decoder is applied before the transformer layer in order
(A) to first initialize the decoder state from the byte embeddings of the last encoder layer
(B) to first inject positional information into the byte sequence for autoregressive decoding
(C) to let each patch query attend only to the bytes within its own patch
(D) to first align the dimensionality of patch and byte hidden states before self-attention
(E) to first create byte representations from the patch representations",to first initialize the decoder state from the byte embeddings of the last encoder layer,to first inject positional information into the byte sequence for autoregressive decoding,to let each patch query attend only to the bytes within its own patch,to first align the dimensionality of patch and byte hidden states before self-attention,to first create byte representations from the patch representations,(E),"According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", the cross-attention layer in the decoder is applied before the transformer layer in order to first create byte representations from the patch representations","The cross-attention layer in the decoder is applied before the transformer layer to first create byte representations from the patch representations, and the local decoder transformer layer operates on the resulting byte sequence.",accepted: Leaves a coherent source representation.
