document,row_1based_before_drop,old_target,new_target,method
arxiv/BOFT,157, $ \pm 1 $.,$\pm 1$,no_whitespace_exact_source_span
arxiv/GSPO,37,"$w_{t}(\theta) = \frac{ \pi_{\theta} (y_{t} | x, y_{<t}) }{ \pi_{\theta_\text{old}} (y_{t} | x,y_{<t})}$","$
w_{t}(\theta) = \frac{ \pi_{\theta} (y_{t} | x, y_{<t}) }{ \pi_{\theta_\text{old}} (y_{t} | x,y_{<t})} $",no_whitespace_exact_source_span
arxiv/GSPO,49, $\pi_{\theta_\text{old}}( \cdot | x)$.,$\pi_{\theta_\text{old}} (\cdot | x)$,no_whitespace_exact_source_span
arxiv/GSPO,90, $\pi_{\theta_\text{old}}( \cdot | x)$.,$\pi_{\theta_\text{old}} (\cdot | x)$,no_whitespace_exact_source_span
arxiv/GSPO,91,"$ \frac{ \pi_{\theta} (y_{i,t} | x, y_{i,<t}) }{ \pi_{\theta_\text{old}} (y_{i,t} | x,y_{i,<t})} $","$\frac{ \pi_{\theta} (y_{i,t} | x, y_{i,<t}) }{ \pi_{\theta_\text{old}} (y_{i,t} | x,y_{i,<t})}$",no_whitespace_exact_source_span
arxiv/GSPO,102, $\pi_{\theta_\text{old}}( \cdot | x)$.,$\pi_{\theta_\text{old}} (\cdot | x)$,no_whitespace_exact_source_span
arxiv/LongRoPE,206," $\mathbb{I}(\hat{\lambda}_{i}, \hat{n})$.","$\mathbb{I}(\hat{\lambda}_{i},\hat{n})$",no_whitespace_exact_source_span
arxiv/LongRoPE,384,good initialization for fine-tuning.,good  initialization for fine-tuning,no_whitespace_exact_source_span
arxiv/fa3,66, $\mathbf{P}\mathbf{V}$.,$\mathbf{P} \mathbf{V}$,no_whitespace_exact_source_span
arxiv/fa3,279,the product of random diagonal matrices of $\pm 1$ and a Hadamard matrix.,"the product of random diagonal matrices of $\pm
  1$ and a Hadamard matrix",no_whitespace_exact_source_span
legal/Bruce_Cohen_v_Consilio_LLC,53,"the payment of wages... as well as commissions, in addition to the right to be paid at certain times","the payment of wages . . . as well as commissions, in addition to the right to be paid at certain times",no_whitespace_exact_source_span
legal/Pacito_v_Trump,63,"“In providing assistance under this section [i.e., the discretionary funding provisions under §1522(b)-(e)]... ”","“In providing assistance under this section [i.e., the discretionary funding provisions under §1522(b)-(e)]. . . ”",no_whitespace_exact_source_span
legal/Santos_v_Kimmel,26,“to comment on the willingness of Santos... to say absurd things for money.”,“to comment on the willingness of Santos . . . to say absurd things for money.”,no_whitespace_exact_source_span
legal/Santos_v_Kimmel,55,"the essential terms of the parties’... contract, including those specific provisions of the contract upon which liability is predicated.","the essential terms of the parties’ . . . contract, including those specific provisions of the contract upon which liability is predicated",no_whitespace_exact_source_span
legal/United_States_v_Constantinescu,60,false and misleading information about the security... so that other investors were induced to purchase the security.,false and misleading information about the security . . . so that other investors were induced to purchase the security,no_whitespace_exact_source_span
legal/United_States_v_Justin_Cutbank,29,the sawed-off Marlin.22 caliber rifle,the sawed-off Marlin .22 caliber rifle,no_whitespace_exact_source_span
legal/United_States_v_Justin_Cutbank,41,“when the hearsay declarants... actually appear in court and testify in person.”,“when the hearsay declarants . . . actually appear in court and testify in person.”,no_whitespace_exact_source_span
medical/Central_hypoventilation_and_choking_episodes_revealing_Chiar,46,11 mm.,11 mm,no_whitespace_exact_source_span
medical/Immunemediated_necrotising_myopathy_following_semaglutide_tr,66,2 g/kg.,2 g/kg,no_whitespace_exact_source_span
medical/Management_of_atypical_complicated_abdominal_masses_in_the_s,114,8.3 ± 4.1 cm.,8.3 ± 4.1cm,no_whitespace_exact_source_span
