document,row_1based_before_drop,old_target,new_target,method,probe_repaired,old_probe,new_probe
arxiv/1_58,38, $\frac{1}{nm}\sum_{ij} |W_{ij}|$.,\frac{1}{nm}\sum_{ij} |W_{ij}|,strip_outer_dollars,no,"According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", in the absmean quantization function used to constrain the BitLinear weight matrix to \{-1, 0, +1\}, \gamma is defined as","According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", in the absmean quantization function used to constrain the BitLinear weight matrix to \{-1, 0, +1\}, \gamma is defined as"
arxiv/BOFT,175, $\mathbb{R}^{k\times k}$.,\mathbb{R}^{k\times k},strip_outer_dollars,no,"According to the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization"", when the authors define the butterfly factor $\bm{B}^F(k)$ for $k\geq 2$ as a block matrix built from diagonal blocks, the ambient space of $\bm{B}^F(k)$ is","According to the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization"", when the authors define the butterfly factor $\bm{B}^F(k)$ for $k\geq 2$ as a block matrix built from diagonal blocks, the ambient space of $\bm{B}^F(k)$ is"
arxiv/BOFT,176, $\mathbb{R}^{\frac{k}{2}}$.,\mathbb{R}^{\frac{k}{2}},strip_outer_dollars,no,"According to the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization"", in the definition of the butterfly factor $\bm{B}^F(k)$, the vectors $\bm{d}_i$ belong to","According to the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization"", in the definition of the butterfly factor $\bm{B}^F(k)$, the vectors $\bm{d}_i$ belong to"
arxiv/BOFT,180," $\text{diag}(\bm{B}^F_1(k),\cdots,\bm{B}^F_{d/k}(k))$.","\text{diag}(\bm{B}^F_1(k),\cdots,\bm{B}^F_{d/k}(k))",strip_outer_dollars,no,"According to the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization"", the authors define the butterfly component $\tilde{\bm{B}}(d,k)$ as a block-diagonal matrix of size $d\times d$ with block size $k$ as","According to the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization"", the authors define the butterfly component $\tilde{\bm{B}}(d,k)$ as a block-diagonal matrix of size $d\times d$ with block size $k$ as"
arxiv/BOFT,189," a block butterfly component \tilde{\bm{B}}^b(d,k).","a block butterfly component $\tilde{\bm{B}}^b(d,k)$",source_math_wrap,no,"According to the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization"", when the authors generalize the butterfly matrices following \cite{chen2022pixelated} so that each entry in $\bm{d}_i,\forall i$ becomes a $b\times b$ matrix, they define","According to the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization"", when the authors generalize the butterfly matrices following \cite{chen2022pixelated} so that each entry in $\bm{d}_i,\forall i$ becomes a $b\times b$ matrix, they define"
arxiv/BOFT,194," $\big(\bm{R}(m,b)\cdot\bm{W}^0\big)^\top\bm{x}$","\big(\bm{R}(m,b)\cdot\bm{W}^0\big)^\top\bm{x}",strip_outer_dollars,no,"According to the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization"", the BOFT forward pass output $\bm{z}$ is expressed in terms of the orthogonal matrix $\bm{R}(m,b)$, the base weight matrix $\bm{W}^0$, and the input $\bm{x}$ as","According to the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization"", the BOFT forward pass output $\bm{z}$ is expressed in terms of the orthogonal matrix $\bm{R}(m,b)$, the base weight matrix $\bm{W}^0$, and the input $\bm{x}$ as"
arxiv/BOFT,195," $\prod_{i=1}^m \tilde{\bm{B}}^b_{(d,i)}$.","\prod_{i=1}^m \tilde{\bm{B}}^b_{(d,i)}",strip_outer_dollars,no,"According to the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization"", in the BOFT forward pass, the orthogonal matrix $\bm{R}(m,b)$ is defined in terms of the butterfly components $\tilde{\bm{B}}^b_{(d,i)}$ as","According to the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization"", in the BOFT forward pass, the orthogonal matrix $\bm{R}(m,b)$ is defined in terms of the butterfly components $\tilde{\bm{B}}^b_{(d,i)}$ as"
arxiv/BOFT,198, $\mathbb{R}^{d\times d}$.,\mathbb{R}^{d\times d},strip_outer_dollars,no,"According to the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization"", the orthogonal matrix $\bm{R}(m,b)$, given that it is composed of a product of multiple orthogonal butterfly components, belongs to the space","According to the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization"", the orthogonal matrix $\bm{R}(m,b)$, given that it is composed of a product of multiple orthogonal butterfly components, belongs to the space"
arxiv/BOFT,201, $m=1$.,m=1,strip_outer_dollars,no,"In the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization"", the case in which BOFT reduces to the block-diagonal OFT with block size $b$ is","In the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization"", the case in which BOFT reduces to the block-diagonal OFT with block size $b$ is"
arxiv/ByteLatent,20, more efficient allocation of compute,\textit{more} efficient allocation of compute,textit_first_word,no,"In the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", the authors describe a dynamic, learnable method for grouping bytes into patches and claim that, relative to tokenization-based models, this approach results in","In the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", the authors describe a dynamic, learnable method for grouping bytes into patches and claim that, relative to tokenization-based models, this approach results in"
