document,row_1based_before_drop,target,probe,fact,reason,candidate_target,score,candidate_source_ok,v12_raw_knowledge_statement
arxiv/1_58,38, $\frac{1}{nm}\sum_{ij} |W_{ij}|$.,"According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", in the absmean quantization function used to constrain the BitLinear weight matrix to \{-1, 0, +1\}, \gamma is defined as","According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", in the absmean quantization function used to constrain the BitLinear weight matrix to \{-1, 0, +1\}, \gamma is defined as $\frac{1}{nm}\sum_{ij} |W_{ij}|$.",target_not_exact_source_span,\frac{1}{nm}\sum_{ij} |W_{ij}|.,1.100,True,"It first scales the weight matrix by its average absolute value, and then round each value to the nearest integer among \{-1, 0, +1\}:

\begin{equation}
    \widetilde{W} = \mathrm{RoundClip}(\frac{W}{\gamma + \epsilon}, -1, 1),
\end{equation}

\begin{equation}
    \mathrm{RoundClip}(x, a, b) = \max(a, \min(b, \mathrm{round}(x))),
\end{equation}

\begin{equation}
    \gamma = \frac{1}{nm}\sum_{ij} |W_{ij}|.
\end{equation}"
arxiv/BOFT,175, $\mathbb{R}^{k\times k}$.,"According to the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization"", when the authors define the butterfly factor $\bm{B}^F(k)$ for $k\geq 2$ as a block matrix built from diagonal blocks, the ambient space of $\bm{B}^F(k)$ is","According to the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization"", when the authors define the butterfly factor $\bm{B}^F(k)$ for $k\geq 2$ as a block matrix built from diagonal blocks, the ambient space of $\bm{B}^F(k)$ is $\mathbb{R}^{k\times k}$.",target_not_exact_source_span,"$\bm{d}_i\in\mathbb{R}^{\frac{k}{2}},\forall",0.671,True,"Assuming that $k\geq 2$ is a power of $2$, we start by defining the \emph{butterfly factor} $\bm{B}^F(k)$ as

\begin{equation}\label{eq:but_factor}
\footnotesize
\begin{aligned}
    \bm{B}^F(k)=\begin{bmatrix}
    \text{diag}(\bm{d}_1) & \text{diag}(\bm{d}_2) \\
    \text{diag}(\bm{d}_3) & \text{diag}(\bm{d}_4)
    \end{bmatrix}\in\mathbb{R}^{k\times k},
\end{aligned}
\end{equation}

where $\bm{d}_i\in\mathbb{R}^{\frac{k}{2}},\forall i$ are some vectors."
arxiv/BOFT,176, $\mathbb{R}^{\frac{k}{2}}$.,"According to the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization"", in the definition of the butterfly factor $\bm{B}^F(k)$, the vectors $\bm{d}_i$ belong to","According to the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization"", in the definition of the butterfly factor $\bm{B}^F(k)$, the vectors $\bm{d}_i$ belong to $\mathbb{R}^{\frac{k}{2}}$.",target_not_exact_source_span,$k\geq 2$,0.850,True,"Assuming that $k\geq 2$ is a power of $2$, we start by defining the \emph{butterfly factor} $\bm{B}^F(k)$ as

\begin{equation}\label{eq:but_factor}
\footnotesize
\begin{aligned}
    \bm{B}^F(k)=\begin{bmatrix}
    \text{diag}(\bm{d}_1) & \text{diag}(\bm{d}_2) \\
    \text{diag}(\bm{d}_3) & \text{diag}(\bm{d}_4)
    \end{bmatrix}\in\mathbb{R}^{k\times k},
\end{aligned}
\end{equation}

where $\bm{d}_i\in\mathbb{R}^{\frac{k}{2}},\forall i$ are some vectors."
arxiv/BOFT,180," $\text{diag}(\bm{B}^F_1(k),\cdots,\bm{B}^F_{d/k}(k))$.","According to the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization"", the authors define the butterfly component $\tilde{\bm{B}}(d,k)$ as a block-diagonal matrix of size $d\times d$ with block size $k$ as","According to the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization"", the authors define the butterfly component $\tilde{\bm{B}}(d,k)$ as a block-diagonal matrix of size $d\times d$ with block size $k$ as $\text{diag}(\bm{B}^F_1(k),\cdots,\bm{B}^F_{d/k}(k))$.",target_not_exact_source_span,"\tilde{\bm{B}}(d,k)=\text{diag}(\bm{B}^F_1(k),\cdots,\bm{B}^F_{d/k}(k))$",0.980,True,"We then define the \emph{butterfly component} as $\thickmuskip=2mu \medmuskip=2mu \tilde{\bm{B}}(d,k)=\text{diag}(\bm{B}^F_1(k),\cdots,\bm{B}^F_{d/k}(k))$ that is a block-diagonal matrix of size $d\times d$ with the block size $k$, where $\bm{B}^F_i(k),\forall i$ are butterfly factors defined in Equation~\ref{eq:but_factor}."
arxiv/BOFT,189," a block butterfly component \tilde{\bm{B}}^b(d,k).","According to the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization"", when the authors generalize the butterfly matrices following \cite{chen2022pixelated} so that each entry in $\bm{d}_i,\forall i$ becomes a $b\times b$ matrix, they define","According to the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization"", when the authors generalize the butterfly matrices following \cite{chen2022pixelated} so that each entry in $\bm{d}_i,\forall i$ becomes a $b\times b$ matrix, they define a block butterfly component \tilde{\bm{B}}^b(d,k).
",target_not_exact_source_span,"a block butterfly component $\tilde{\bm{B}}^b(d,k)$",1.100,True,"We generalize the butterfly matrices following \cite{chen2022pixelated}, and define a block butterfly component $\tilde{\bm{B}}^b(d,k)$ where each entry in $\bm{d}_i,\forall i$ becomes a $b\times b$ matrix."
arxiv/BOFT,194," $\big(\bm{R}(m,b)\cdot\bm{W}^0\big)^\top\bm{x}$","According to the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization"", the BOFT forward pass output $\bm{z}$ is expressed in terms of the orthogonal matrix $\bm{R}(m,b)$, the base weight matrix $\bm{W}^0$, and the input $\bm{x}$ as","According to the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization"", the BOFT forward pass output $\bm{z}$ is expressed in terms of the orthogonal matrix $\bm{R}(m,b)$, the base weight matrix $\bm{W}^0$, and the input $\bm{x}$ as $\big(\bm{R}(m,b)\cdot\bm{W}^0\big)^\top\bm{x}$",target_not_exact_source_span,"\bm{z}=\big(\bm{R}(m,b)\cdot\bm{W}^0\big)^\top\bm{x},~~~~\text{s.t.}~\bigg{\{}\bm{R}(m,b)=\prod_{i=1}^m",0.650,True,"Combining pieces, the forward pass in BOFT is

\begin{equation}
    \footnotesize
    \begin{aligned}\nonumber
    \bm{z}=\big(\bm{R}(m,b)\cdot\bm{W}^0\big)^\top\bm{x},~~~~\text{s.t.}~\bigg{\{}\bm{R}(m,b)=\prod_{i=1}^m \tilde{\bm{B}}^b_{(d,i)}~~\&~~\underbrace{\big(\tilde{\bm{B}}^b_{(d,j)}\big)^\top\tilde{\bm{B}}^b_{(d,j)}=\tilde{\bm{B}}^b_{(d,j)}\big(\tilde{\bm{B}}^b_{(d,j)}\big)^\top\!=\bm{I}_d}_{\forall j\in [1, m]}\bigg{\}},
    \end{aligned}
\end{equation}

where we denote $\tilde{\bm{B}}^b(d,2^{m - i+1})$ as $\tilde{\bm{B}}^b_{(d,i)}$ for simplicity, and $\bm{I}_d$ is an identity matrix of size $d$."
arxiv/BOFT,195," $\prod_{i=1}^m \tilde{\bm{B}}^b_{(d,i)}$.","According to the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization"", in the BOFT forward pass, the orthogonal matrix $\bm{R}(m,b)$ is defined in terms of the butterfly components $\tilde{\bm{B}}^b_{(d,i)}$ as","According to the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization"", in the BOFT forward pass, the orthogonal matrix $\bm{R}(m,b)$ is defined in terms of the butterfly components $\tilde{\bm{B}}^b_{(d,i)}$ as $\prod_{i=1}^m \tilde{\bm{B}}^b_{(d,i)}$.
",target_not_exact_source_span,"i+1})$ as $\tilde{\bm{B}}^b_{(d,i)}$",0.989,True,"Combining pieces, the forward pass in BOFT is

\begin{equation}
    \footnotesize
    \begin{aligned}\nonumber
    \bm{z}=\big(\bm{R}(m,b)\cdot\bm{W}^0\big)^\top\bm{x},~~~~\text{s.t.}~\bigg{\{}\bm{R}(m,b)=\prod_{i=1}^m \tilde{\bm{B}}^b_{(d,i)}~~\&~~\underbrace{\big(\tilde{\bm{B}}^b_{(d,j)}\big)^\top\tilde{\bm{B}}^b_{(d,j)}=\tilde{\bm{B}}^b_{(d,j)}\big(\tilde{\bm{B}}^b_{(d,j)}\big)^\top\!=\bm{I}_d}_{\forall j\in [1, m]}\bigg{\}},
    \end{aligned}
\end{equation}

where we denote $\tilde{\bm{B}}^b(d,2^{m - i+1})$ as $\tilde{\bm{B}}^b_{(d,i)}$ for simplicity, and $\bm{I}_d$ is an identity matrix of size $d$."
arxiv/BOFT,198, $\mathbb{R}^{d\times d}$.,"According to the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization"", the orthogonal matrix $\bm{R}(m,b)$, given that it is composed of a product of multiple orthogonal butterfly components, belongs to the space","According to the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization"", the orthogonal matrix $\bm{R}(m,b)$, given that it is composed of a product of multiple orthogonal butterfly components, belongs to the space $\mathbb{R}^{d\times d}$.
",target_not_exact_source_span,"$\bm{R}(m,b)\in\mathbb{R}^{d\times d}$",0.725,True,"The orthogonal matrix $\bm{R}(m,b)\in\mathbb{R}^{d\times d}$ is composed of a product of multiple orthogonal butterfly components."
arxiv/BOFT,201, $m=1$.,"In the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization"", the case in which BOFT reduces to the block-diagonal OFT with block size $b$ is","In the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization"", the case in which BOFT reduces to the block-diagonal OFT with block size $b$ is $m=1$.",target_not_exact_source_span,m=1$,1.100,True,"When $\thickmuskip=2mu \medmuskip=2mu m=1$, then BOFT($1$,$b$) reduces to the block-diagonal OFT~\cite{qiu2023controlling} with the block size $b$."
arxiv/ByteLatent,20, more efficient allocation of compute,"In the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", the authors describe a dynamic, learnable method for grouping bytes into patches and claim that, relative to tokenization-based models, this approach results in","In the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", the authors describe a dynamic, learnable method for grouping bytes into patches and claim that, relative to tokenization-based models, this approach results in more efficient allocation of compute",target_not_exact_source_span,\textit{more} efficient allocation of compute,1.100,True,We show that this results in \textit{more} efficient allocation of compute than tokenization-based models.
