document,row_1based_before_drop,reason
arxiv/1_58,3,already_reverted
arxiv/1_58,7,already_reverted
arxiv/1_58,8,already_reverted
arxiv/1_58,10,already_reverted
arxiv/1_58,13,already_reverted
arxiv/1_58,14,already_reverted
arxiv/1_58,15,already_reverted
arxiv/1_58,17,already_reverted
arxiv/1_58,18,already_reverted
arxiv/1_58,21,already_reverted
arxiv/1_58,24,already_reverted
arxiv/1_58,25,already_reverted
arxiv/1_58,26,already_reverted
arxiv/1_58,28,already_reverted
arxiv/1_58,29,already_reverted
arxiv/1_58,36,already_reverted
arxiv/1_58,39,already_reverted
arxiv/1_58,41,already_reverted
arxiv/1_58,43,already_reverted
arxiv/1_58,45,already_reverted
arxiv/1_58,47,already_reverted
arxiv/1_58,48,already_reverted
arxiv/1_58,49,already_reverted
arxiv/1_58,51,already_reverted
arxiv/1_58,52,already_reverted
arxiv/1_58,53,already_reverted
arxiv/1_58,55,already_reverted
arxiv/1_58,57,already_reverted
arxiv/1_58,59,already_reverted
arxiv/1_58,60,already_reverted
arxiv/1_58,61,already_reverted
arxiv/1_58,62,already_reverted
arxiv/1_58,63,already_reverted
arxiv/1_58,66,already_reverted
arxiv/1_58,73,already_reverted
arxiv/1_58,79,already_reverted
arxiv/1_58,80,already_reverted
arxiv/1_58,83,already_reverted
arxiv/1_58,90,already_reverted
arxiv/1_58,91,already_reverted
arxiv/1_58,92,already_reverted
arxiv/1_58,93,already_reverted
arxiv/1_58,95,already_reverted
arxiv/1_58,98,already_reverted
arxiv/1_58,101,already_reverted
arxiv/1_58,103,already_reverted
arxiv/1_58,104,already_reverted
arxiv/1_58,106,already_reverted
arxiv/1_58,109,already_reverted
arxiv/1_58,110,already_reverted
arxiv/1_58,116,already_reverted
arxiv/1_58,117,already_reverted
arxiv/1_58,118,already_reverted
arxiv/1_58,123,already_reverted
arxiv/1_58,124,already_reverted
arxiv/1_58,127,already_reverted
arxiv/1_58,128,already_reverted
