document,pre_sanity_row,current_row,action,details,final_decision,final_details
arxiv/1_58,8,7,probe_text_cleanup+fact_text_cleanup,natural language processing tasks.,mechanically_repaired,probe_text_cleanup+fact_text_cleanup
arxiv/1_58,12,11,probe_text_cleanup, low-bit models,mechanically_repaired,probe_text_cleanup
arxiv/1_58,21,19,probe_text_cleanup+fact_text_cleanup,matrix multiplication.,mechanically_repaired,probe_text_cleanup+fact_text_cleanup
arxiv/1_58,38,35,needs_review,question_shaped_cloze_review:  the inclusion of 0 in the model weights,kept_after_review,review-only flag under clarified rubric; no hard drop criterion found in this pass
arxiv/1_58,46,42,needs_review,question_shaped_cloze_review: the zero-point quantization.,kept_after_review,review-only flag under clarified rubric; no hard drop criterion found in this pass
arxiv/1_58,121,117,needs_review,question_shaped_cloze_review:  the context length.,kept_after_review,review-only flag under clarified rubric; no hard drop criterion found in this pass
arxiv/BOFT,116,116,needs_review,question_shaped_cloze_review:  the semantic knowledge from pretraining.,kept_after_review,review-only flag under clarified rubric; no hard drop criterion found in this pass
arxiv/BOFT,123,123,probe_text_cleanup+fact_text_cleanup," $\text{diag}(\bm{R}_1,\bm{R}_2,\cdots,\bm{R}_r)$.",mechanically_repaired,probe_text_cleanup+fact_text_cleanup
arxiv/BOFT,144,144,needs_review,"short_target_review: $(3,1).",kept_after_review,review-only flag under clarified rubric; no hard drop criterion found in this pass
arxiv/BOFT,160,160,needs_review,question_shaped_cloze_review:  the orthogonality.,kept_after_review,review-only flag under clarified rubric; no hard drop criterion found in this pass
arxiv/BOFT,179,179,probe_text_cleanup+fact_text_cleanup," $\tilde{\bm{B}}(d,2)$.",mechanically_repaired,probe_text_cleanup+fact_text_cleanup
arxiv/BOFT,195,195,probe_text_cleanup+fact_text_cleanup," $\prod_{i=1}^m \tilde{\bm{B}}^b_{(d,i)}$.",mechanically_repaired,probe_text_cleanup+fact_text_cleanup
arxiv/BOFT,198,198,probe_text_cleanup+fact_text_cleanup, $\mathbb{R}^{d\times d}$.,mechanically_repaired,probe_text_cleanup+fact_text_cleanup
arxiv/BOFT,200,200,probe_text_cleanup+fact_text_cleanup, $b\geq 2$.,mechanically_repaired,probe_text_cleanup+fact_text_cleanup
arxiv/BOFT,218,218,needs_review,short_target_review:  LoRA,kept_after_review,review-only flag under clarified rubric; no hard drop criterion found in this pass
arxiv/BOFT,232,232,probe_text_cleanup+fact_text_cleanup," $\thickmuskip=2mu \medmuskip=2mu \bm{R}^G(m_1,b_1,m_2,b_2,l)=\bm{R}_{l,1}(m_1,b_1)\bm{R}_{l,2}^T(m_2,b_2)\cdots\bm{R}_{1,1}(m_1,b_1)\bm{R}_{1,2}^T(m_2,b_2)$.",mechanically_repaired,probe_text_cleanup+fact_text_cleanup
arxiv/BOFT,249,249,needs_review,short_target_review:  $\bm{R}$,kept_after_review,review-only flag under clarified rubric; no hard drop criterion found in this pass
arxiv/BOFT,258,258,needs_review,short_target_review:  BOFT.,kept_after_review,review-only flag under clarified rubric; no hard drop criterion found in this pass
arxiv/ByteLatent,18,17,needs_review,short_target_review: byte.,kept_after_review,review-only flag under clarified rubric; no hard drop criterion found in this pass
arxiv/ByteLatent,40,39,needs_review,question_shaped_cloze_review: Segmenting bytes into \textit{patches},kept_after_review,review-only flag under clarified rubric; no hard drop criterion found in this pass
arxiv/ByteLatent,51,50,needs_review,question_shaped_cloze_review:  whitespace.,kept_after_review,review-only flag under clarified rubric; no hard drop criterion found in this pass
arxiv/ByteLatent,86,85,probe_text_cleanup+fact_text_cleanup, the rest of the sequence,mechanically_repaired,probe_text_cleanup+fact_text_cleanup
arxiv/ByteLatent,104,103,needs_review,short_target_review:  $x_i$.,kept_after_review,review-only flag under clarified rubric; no hard drop criterion found in this pass
arxiv/ByteLatent,113,112,needs_review,question_shaped_cloze_review:  the byte $b_i$.,kept_after_review,review-only flag under clarified rubric; no hard drop criterion found in this pass
arxiv/ByteLatent,167,166,needs_review,question_shaped_cloze_review: the receptive field of the model.,kept_after_review,review-only flag under clarified rubric; no hard drop criterion found in this pass
arxiv/ByteLatent,257,256,needs_review,short_target_review:  50\%.,kept_after_review,review-only flag under clarified rubric; no hard drop criterion found in this pass
arxiv/ByteLatent,420,419,needs_review,question_shaped_cloze_review:  arithmetic coding.,kept_after_review,review-only flag under clarified rubric; no hard drop criterion found in this pass
