source,domain,paraphrase_idx,source_chunks,source_tokens,paraphrase_chunks,paraphrase_tokens,delta_chunks,delta_tokens,longer_tokens,longer_chunks,path
arxiv,1_58,0,1,3961,1,4084,0,123,True,False,data/arxiv/paraphrased/1_58/0.tex
arxiv,1_58,1,1,3961,1,3980,0,19,True,False,data/arxiv/paraphrased/1_58/1.tex
arxiv,1_58,2,1,3961,1,3968,0,7,True,False,data/arxiv/paraphrased/1_58/2.tex
arxiv,1_58,3,1,3961,1,3950,0,-11,False,False,data/arxiv/paraphrased/1_58/3.tex
arxiv,1_58,4,1,3961,1,4043,0,82,True,False,data/arxiv/paraphrased/1_58/4.tex
arxiv,1_58,5,1,3961,1,3934,0,-27,False,False,data/arxiv/paraphrased/1_58/5.tex
arxiv,1_58,6,1,3961,1,3998,0,37,True,False,data/arxiv/paraphrased/1_58/6.tex
arxiv,1_58,7,1,3961,1,3999,0,38,True,False,data/arxiv/paraphrased/1_58/7.tex
arxiv,1_58,8,1,3961,1,4086,0,125,True,False,data/arxiv/paraphrased/1_58/8.tex
arxiv,BOFT,0,3,9355,3,9504,0,149,True,False,data/arxiv/paraphrased/BOFT/0.tex
arxiv,BOFT,1,3,9355,3,9283,0,-72,False,False,data/arxiv/paraphrased/BOFT/1.tex
arxiv,BOFT,2,3,9355,3,9302,0,-53,False,False,data/arxiv/paraphrased/BOFT/2.tex
arxiv,BOFT,3,3,9355,3,9376,0,21,True,False,data/arxiv/paraphrased/BOFT/3.tex
arxiv,BOFT,4,3,9355,3,9336,0,-19,False,False,data/arxiv/paraphrased/BOFT/4.tex
arxiv,BOFT,5,3,9355,3,9320,0,-35,False,False,data/arxiv/paraphrased/BOFT/5.tex
arxiv,BOFT,6,3,9355,3,9386,0,31,True,False,data/arxiv/paraphrased/BOFT/6.tex
arxiv,BOFT,7,3,9355,3,9362,0,7,True,False,data/arxiv/paraphrased/BOFT/7.tex
arxiv,BOFT,8,3,9355,3,9178,0,-177,False,False,data/arxiv/paraphrased/BOFT/8.tex
arxiv,ByteLatent,0,4,15212,5,16374,1,1162,True,True,data/arxiv/paraphrased/ByteLatent/0.tex
arxiv,ByteLatent,1,4,15212,5,16427,1,1215,True,True,data/arxiv/paraphrased/ByteLatent/1.tex
arxiv,ByteLatent,2,4,15212,5,16304,1,1092,True,True,data/arxiv/paraphrased/ByteLatent/2.tex
arxiv,ByteLatent,3,4,15212,5,16541,1,1329,True,True,data/arxiv/paraphrased/ByteLatent/3.tex
arxiv,ByteLatent,4,4,15212,5,16311,1,1099,True,True,data/arxiv/paraphrased/ByteLatent/4.tex
arxiv,ByteLatent,5,4,15212,5,16453,1,1241,True,True,data/arxiv/paraphrased/ByteLatent/5.tex
arxiv,ByteLatent,6,4,15212,5,16440,1,1228,True,True,data/arxiv/paraphrased/ByteLatent/6.tex
arxiv,ByteLatent,7,4,15212,5,16341,1,1129,True,True,data/arxiv/paraphrased/ByteLatent/7.tex
arxiv,ByteLatent,8,4,15212,5,16419,1,1207,True,True,data/arxiv/paraphrased/ByteLatent/8.tex
arxiv,DPO,0,3,11576,4,12156,1,580,True,True,data/arxiv/paraphrased/DPO/0.tex
arxiv,DPO,1,3,11576,3,11806,0,230,True,False,data/arxiv/paraphrased/DPO/1.tex
arxiv,DPO,2,3,11576,3,11864,0,288,True,False,data/arxiv/paraphrased/DPO/2.tex
arxiv,DPO,3,3,11576,3,11793,0,217,True,False,data/arxiv/paraphrased/DPO/3.tex
arxiv,DPO,4,3,11576,3,11905,0,329,True,False,data/arxiv/paraphrased/DPO/4.tex
arxiv,DPO,5,3,11576,3,11938,0,362,True,False,data/arxiv/paraphrased/DPO/5.tex
arxiv,DPO,6,3,11576,3,11844,0,268,True,False,data/arxiv/paraphrased/DPO/6.tex
arxiv,DPO,7,3,11576,3,11831,0,255,True,False,data/arxiv/paraphrased/DPO/7.tex
arxiv,DPO,8,3,11576,3,11854,0,278,True,False,data/arxiv/paraphrased/DPO/8.tex
arxiv,FeatLLM,0,3,8168,3,8316,0,148,True,False,data/arxiv/paraphrased/FeatLLM/0.tex
arxiv,FeatLLM,1,3,8168,3,8274,0,106,True,False,data/arxiv/paraphrased/FeatLLM/1.tex
arxiv,FeatLLM,2,3,8168,3,8265,0,97,True,False,data/arxiv/paraphrased/FeatLLM/2.tex
arxiv,FeatLLM,3,3,8168,3,8502,0,334,True,False,data/arxiv/paraphrased/FeatLLM/3.tex
arxiv,FeatLLM,4,3,8168,3,8322,0,154,True,False,data/arxiv/paraphrased/FeatLLM/4.tex
arxiv,FeatLLM,5,3,8168,3,8365,0,197,True,False,data/arxiv/paraphrased/FeatLLM/5.tex
arxiv,FeatLLM,6,3,8168,3,8472,0,304,True,False,data/arxiv/paraphrased/FeatLLM/6.tex
arxiv,FeatLLM,7,3,8168,3,8413,0,245,True,False,data/arxiv/paraphrased/FeatLLM/7.tex
arxiv,FeatLLM,8,3,8168,3,8382,0,214,True,False,data/arxiv/paraphrased/FeatLLM/8.tex
arxiv,GRPO,0,4,14158,4,14763,0,605,True,False,data/arxiv/paraphrased/GRPO/0.tex
arxiv,GRPO,1,4,14158,4,14704,0,546,True,False,data/arxiv/paraphrased/GRPO/1.tex
arxiv,GRPO,2,4,14158,4,14728,0,570,True,False,data/arxiv/paraphrased/GRPO/2.tex
arxiv,GRPO,3,4,14158,4,14859,0,701,True,False,data/arxiv/paraphrased/GRPO/3.tex
arxiv,GRPO,4,4,14158,4,14715,0,557,True,False,data/arxiv/paraphrased/GRPO/4.tex
arxiv,GRPO,5,4,14158,4,14915,0,757,True,False,data/arxiv/paraphrased/GRPO/5.tex
arxiv,GRPO,6,4,14158,4,14719,0,561,True,False,data/arxiv/paraphrased/GRPO/6.tex
arxiv,GRPO,7,4,14158,4,14513,0,355,True,False,data/arxiv/paraphrased/GRPO/7.tex
arxiv,GRPO,8,4,14158,4,14854,0,696,True,False,data/arxiv/paraphrased/GRPO/8.tex
arxiv,GSPO,0,2,7626,3,7959,1,333,True,True,data/arxiv/paraphrased/GSPO/0.tex
arxiv,GSPO,1,2,7626,3,7936,1,310,True,True,data/arxiv/paraphrased/GSPO/1.tex
arxiv,GSPO,2,2,7626,3,7980,1,354,True,True,data/arxiv/paraphrased/GSPO/2.tex
arxiv,GSPO,3,2,7626,3,7910,1,284,True,True,data/arxiv/paraphrased/GSPO/3.tex
arxiv,GSPO,4,2,7626,3,7969,1,343,True,True,data/arxiv/paraphrased/GSPO/4.tex
arxiv,GSPO,5,2,7626,3,7891,1,265,True,True,data/arxiv/paraphrased/GSPO/5.tex
arxiv,GSPO,6,2,7626,3,7947,1,321,True,True,data/arxiv/paraphrased/GSPO/6.tex
arxiv,GSPO,7,2,7626,3,7928,1,302,True,True,data/arxiv/paraphrased/GSPO/7.tex
arxiv,GSPO,8,2,7626,3,7905,1,279,True,True,data/arxiv/paraphrased/GSPO/8.tex
arxiv,LongRoPE,0,4,12658,4,13802,0,1144,True,False,data/arxiv/paraphrased/LongRoPE/0.tex
arxiv,LongRoPE,1,4,12658,4,13851,0,1193,True,False,data/arxiv/paraphrased/LongRoPE/1.tex
arxiv,LongRoPE,2,4,12658,4,13765,0,1107,True,False,data/arxiv/paraphrased/LongRoPE/2.tex
